gid	gname	chr	start	end	logCPM	logFC.M23.F23	PV.M23.F23	FDR.M23.F23	Am2_231	Am2_233	Am4_231	Am4_232	Am5_231	Am5_232	average	ward.D
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.06935402502601	-9.66855580982409	8.2737885568164e-21	3.31489338528849e-17	1.19990534914117	-3.65675753661725	-3.65675753661724	2.7322535232343	-3.65675753661725	1.75841750966527	0	0
TRINITY_DN112907_c0_g1_i1	NA	NA	NA	NA	0.65459053934865	9.24579995725764	1.72425511361736e-22	1.03623421690619e-18	-3.65675753661725	1.64256772106241	1.66882593759916	-3.65675753661725	1.56014074156833	-3.65675753661725	0	0
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.07075458798794	7.82859593744358	1.06332067140925e-22	8.52038854000236e-19	-3.14696932661999	2.48933922844574	1.87340945722712	-3.65675753661725	1.61523153401045	-3.65675753661725	0	0
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	4.56732927117868	-1.09728871913109	1.69686339116944e-05	0.0214688942422748	5.10393521092882	3.96567864082337	3.82536089805476	4.94825150230625	3.96114123540327	4.9810963277553	0	0
TRINITY_DN119122_c0_g3_i1	NA	NA	NA	NA	1.70549638945918	-6.53232923256205	1.18454196409546e-05	0.0167501201617004	2.42097813825951	-1.92908110729724	-3.65675753661724	-3.65675753661725	-3.65675753661725	3.79219196541146	0	0
TRINITY_DN126986_c0_g1_i1	NA	NA	NA	NA	2.00993261852027	2.78401639802083	5.41464246238391e-09	1.30162590153247e-05	0.207469924946366	2.83154033392287	3.19186075353457	-0.789785692002201	2.24703735327763	0.605845833701746	0	0
TRINITY_DN127055_c1_g5_i1	NA	NA	NA	NA	2.33873867440007	10.9743308634682	7.83733492165701e-38	9.42008470908564e-34	-3.65675753661725	3.81223143405027	3.00427280438116	-3.65675753661725	3.00674216924386	-3.65675753661725	0	0
TRINITY_DN127464_c0_g2_i1	NA	NA	NA	NA	0.460850266880458	9.03535870254697	5.33813325073631e-19	1.60404231518063e-15	-3.65675753661725	1.70878634641484	0.866464460995116	-3.65675753661725	1.5412995250342	-3.65675753661725	0	0
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.11824941090527	9.73899864878925	1.25407751920946e-20	4.3066813548966e-17	-3.65675753661725	1.42345431009031	2.90513323604162	-3.65675753661725	1.4832529289626	-3.65675753661725	0	0
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.605061698127063	9.19039043893923	1.89056933788195e-21	9.08947926266882e-18	-3.65675753661725	1.65940949302052	1.26573090816353	-3.65675753661725	1.73614209949705	-3.65675753661725	0	0
TRINITY_DN128967_c0_g4_i1	NA	NA	NA	NA	0.0932263563187612	5.87362429919835	1.16982087499599e-05	0.0167501201617004	-3.65675753661725	2.09042108075294	-3.65675753661724	-3.65675753661725	0.686799201943845	-2.536522720055	0	0
TRINITY_DN129733_c3_g5_i1	iqgap1-like.1	Chr03	96927798	96927798	1.50287702376837	4.45451460190169	7.58664886682053e-18	2.02639391232776e-14	-2.01557879870143	2.12720691111525	2.43506210457506	-1.69123783886184	2.65895430223666	-1.30389104063684	0	0
TRINITY_DN131242_c2_g2_i1	NA	NA	NA	NA	1.39869766326028	4.06896069928127	1.38919938159668e-05	0.0185527577412237	-0.954114386027605	2.79390189479188	2.94197703663097	-1.52260584789011	-2.10575369626775	-2.19170498390648	0	0
TRINITY_DN134625_c0_g1_i4	NA	NA	NA	NA	4.49917869003347	2.4480172532571	2.9458468663912e-07	0.000544732406316755	1.3783422828416	5.11483703601194	5.55071544506844	3.77712615214956	5.04700818836415	2.28462843195611	0	0
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.67296031618803	11.3140440935668	2.5271899810506e-49	6.07511199544754e-45	-3.65675753661725	3.57543607258316	3.64717723506358	-3.65675753661725	3.76802639673415	-3.65675753661725	0	0
TRINITY_DN180929_c0_g1_i1	NA	NA	NA	NA	0.166157585182858	2.93999551314857	5.06438538921377e-06	0.00811618402475399	-1.05124094466329	1.60828262384038	0.420910609009161	-1.88222217576501	0.464820005268555	-2.536522720055	0	0
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.490122663607472	3.27862057140775	2.46714846645734e-05	0.029653890992584	-1.83176695417642	1.67605692357694	-1.09905713717735	-0.995278872088222	1.8929879185633	-2.536522720055	0	0
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	1.36940784698272	2.41328229663867	3.77045813491966e-08	8.23982210048489e-05	-0.0694081358929547	1.91919560455574	2.15024831986423	-0.527789509587114	2.23536238443466	-0.0537159985622787	0	0
TRINITY_DN44748_c0_g1_i1	NA	NA	NA	NA	0.212774592147205	-8.7326984890941	4.74010688129935e-08	9.49561910996292e-05	1.73942224463567	-3.65675753661725	-3.65675753661724	1.63809083882182	-3.65675753661725	-3.65675753661725	0	0
TRINITY_DN93628_c0_g1_i1	NA	NA	NA	NA	1.34992216062497	3.68122604008873	4.25946326243609e-06	0.00731380266897866	-1.15538139029977	-0.847128379696534	2.2564472732344	-0.789785692002201	3.12534745809194	-1.91361011759097	0	0
