gid	gname	chr	start	end	logFC.XY43.XX43	bias	tau	tissue
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.25029612	unbias	0.505257093	Brain_mmean
TRINITY_DN100034_c0_g1_i1	myo9a	Chr03	82351034	82351034	-0.308220086	unbias	0.154410881	G46_F_mean
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	1.287648268	unbias	0.487386997	Brain_mmean
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.994444919	unbias	0.47119469	Brain_mmean
TRINITY_DN100105_c0_g1_i1	NA	NA	NA	NA	0.198804439	unbias	0.79919844	Brain_mmean
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	-0.418171006	unbias	0.490391902	Ovary_mean
TRINITY_DN100132_c0_g1_i2	NA	NA	NA	NA	0.031109366	unbias	0.575283282	G46_M_mean
TRINITY_DN100260_c0_g2_i1	znf408-like	Chr04	4986739	4986739	-0.284541343	unbias	0.257661278	Ovary_mean
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	-0.379938795	unbias	0.512994422	Brain_fmean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	-1.159534132	unbias	0.465101477	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.134339371	unbias	0.243568285	G46_M_mean
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	0.326822689	unbias	0.575462817	Brain_mmean
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	-0.489764091	unbias	0.441229383	G31_fmean
TRINITY_DN100358_c0_g1_i1	chrnb4	Chr03	80472595	80472595	0.196229205	unbias	0.33834217	G46_M_mean
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	0.7622727	unbias	0.398501081	G31_fmean
TRINITY_DN100376_c0_g2_i1	nkx6-2	Chr07	12176665	12176665	0.355412316	unbias	0.569257309	Liver_mmean
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	0.647253317	unbias	0.536567119	Ovary_mean
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	-0.412198171	unbias	0.416926551	Brain_mmean
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.051464331	unbias	0.618468984	G43_M_mean
TRINITY_DN100418_c0_g3_i1	NA	NA	NA	NA	0.528491455	unbias	0.567053285	G43_M_mean
TRINITY_DN100549_c0_g1_i1	cndp2	scaffold_21	1670075	1670075	-0.013124011	unbias	0.406904097	Brain_fmean
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	0.359103315	unbias	0.431096319	G46_M_mean
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	-0.577164179	unbias	0.562439164	G43_F_mean
TRINITY_DN100595_c0_g1_i1	gde1	Chr09	25932397	25932397	-0.151644677	unbias	0.19357363	Brain_fmean
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	0.031080099	unbias	0.396914093	G23_fmean
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.15914508	unbias	0.195032263	Ovary_mean
TRINITY_DN100681_c0_g1_i1	ocel1	Chr01	99481568	99481568	0.05654699	unbias	0.141796895	Brain_fmean
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	-0.728611331	unbias	0.434386206	G23_fmean
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	0.189640414	unbias	0.380993312	G27_mmean
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	0.022417693	unbias	0.1456891	Brain_fmean
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	0.048341254	unbias	0.309325789	Brain_fmean
TRINITY_DN100754_c0_g1_i1	cyth2	Chr10	15271968	15271968	0.373020773	unbias	0.645895403	G46_M_mean
TRINITY_DN100779_c0_g1_i1	atat1	Chr08	52476494	52476494	1.180885876	unbias	0.582069999	G27_mmean
TRINITY_DN100784_c0_g2_i1	NA	NA	NA	NA	0.204159669	unbias	0.60984036	G31_mmean
TRINITY_DN100788_c0_g1_i1	pls1	Chr05	116352087	116352087	-0.871550145	unbias	0.345261534	G23_fmean
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	-0.077297231	unbias	0.437639948	G27_mmean
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.429677951	unbias	0.646753634	Liver_mmean
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-0.11296711	unbias	0.280627776	Brain_mmean
TRINITY_DN100856_c0_g2_i1	pmp2	Chr06	109097975	109097975	-0.748796911	unbias	0.20354166	Brain_mmean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.254656453	unbias	0.326273107	Ovary_mean
TRINITY_DN100932_c0_g1_i1	NA	NA	NA	NA	0.447775547	unbias	0.447648528	G46_M_mean
TRINITY_DN100945_c0_g2_i1	atp1b4-like	Chr08	24828563	24828563	0.668697904	unbias	0.660510955	G23_mmean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.276050949	unbias	0.214017864	G43_F_mean
TRINITY_DN101023_c0_g2_i1	ssna1	Chr08	103347	103347	0.829688126	unbias	0.610683874	Liver_fmean
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	0.116029637	unbias	0.600830486	Ovary_mean
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	0.219652679	unbias	0.606357753	Ovary_mean
TRINITY_DN101047_c0_g1_i2	gldc	Chr01	114524252	114524252	-0.322644703	unbias	0.719096943	Ovary_mean
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	-5.96559315	female	0.901888887	Ovary_mean
TRINITY_DN101074_c0_g1_i1	NA	NA	NA	NA	-0.562759053	unbias	0.209076279	G23_fmean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	-0.302590819	unbias	0.273916653	Ovary_mean
TRINITY_DN101111_c0_g1_i2	NA	NA	NA	NA	0.159454253	unbias	0.473016121	Ovary_mean
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	-0.152709307	unbias	0.472543558	G23_mmean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	0.250816495	unbias	0.452904283	Ovary_mean
TRINITY_DN101180_c0_g1_i1	NA	NA	NA	NA	1.100800935	unbias	0.638427447	G43_M_mean
TRINITY_DN101193_c0_g1_i1	NA	NA	NA	NA	0.00480639	unbias	0.530143701	G31_mmean
TRINITY_DN101211_c0_g2_i1	NA	NA	NA	NA	0.286552511	unbias	0.734402799	Brain_fmean
TRINITY_DN101217_c0_g1_i1	ippk	Chr04	113574422	113574422	0.019998419	unbias	0.346337874	Brain_fmean
TRINITY_DN101232_c0_g1_i1	ralyl	Chr06	109681568	109681568	0.161114449	unbias	0.675159323	Brain_mmean
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	-0.588888461	unbias	0.378557799	Ovary_mean
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	0.711223007	unbias	0.466858407	G23_fmean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	0.237294936	unbias	0.288124765	Brain_fmean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	-0.468917111	unbias	0.287104048	Brain_mmean
TRINITY_DN101326_c0_g1_i1	cnksr2	Chr02	41296797	41296797	-0.279427427	unbias	0.531050733	G31_mmean
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	0.169479837	unbias	0.359279261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	nsun3-like	Chr02	17600060	17600060	0.334089705	unbias	0.654838779	Ovary_mean
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	-0.671924663	unbias	0.451788343	G23_mmean
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	-0.898678071	unbias	0.396156883	G31_mmean
TRINITY_DN101432_c0_g2_i1	ipmk	Chr07	7302223	7302223	0.015521111	unbias	0.319922517	G27_mmean
TRINITY_DN101437_c0_g1_i1	LOC100488384-like	scaffold_316	127985	127985	-0.384439532	unbias	0.235972827	Ovary_mean
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	0.172738488	unbias	0.484065879	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	-0.311040276	unbias	0.463317315	Ovary_mean
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	0.025123022	unbias	0.379893771	G46_M_mean
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.078157002	unbias	0.333703367	Brain_fmean
TRINITY_DN101483_c0_g2_i1	NA	NA	NA	NA	0.261260735	unbias	0.536541262	Brain_mmean
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.200778845	unbias	0.170045449	G23_mmean
TRINITY_DN101537_c1_g1_i2	NA	NA	NA	NA	-0.438016062	unbias	0.412703434	G46_F_mean
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.035816107	unbias	0.253323869	Ovary_mean
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	-0.096711203	unbias	0.434258624	Ovary_mean
TRINITY_DN101570_c0_g1_i1	NA	NA	NA	NA	-1.46806948	unbias	0.744289268	G46_M_mean
TRINITY_DN101570_c0_g2_i1	NA	NA	NA	NA	1.928213071	unbias	0.907874211	G43_M_mean
TRINITY_DN101592_c0_g2_i1	NA	NA	NA	NA	-0.227688941	unbias	0.834554414	Ovary_mean
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	-0.672620907	unbias	0.176829961	G43_F_mean
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.507119141	unbias	0.459006234	G43_F_mean
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	0.109149255	unbias	0.334721874	G43_M_mean
TRINITY_DN101751_c0_g1_i1	s1pr5	Chr03	127323105	127323105	-0.43951459	unbias	0.51580006	Ovary_mean
TRINITY_DN101758_c0_g1_i1	Xetrov90003730m	Chr01	188782517	188782517	-0.388554573	unbias	0.098486839	G27_fmean
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	0.389292808	unbias	0.412454283	Brain_fmean
TRINITY_DN101813_c0_g1_i1	NA	NA	NA	NA	-0.92313111	unbias	0.500209223	G27_mmean
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	0.157261097	unbias	0.703153505	Brain_mmean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	0.191086617	unbias	0.394024284	Ovary_mean
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.404623009	unbias	0.261813566	G23_mmean
TRINITY_DN101869_c0_g1_i1	slc37a2	Chr07	65097722	65097722	0.570346129	unbias	0.609127914	Brain_mmean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	-0.143793968	unbias	0.32010738	G31_mmean
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	-0.367361043	unbias	0.399599534	Brain_mmean
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	-0.306853869	unbias	0.436273168	G31_mmean
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	-0.255242043	unbias	0.455250056	Ovary_mean
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.507507983	unbias	0.469207272	Ovary_mean
TRINITY_DN101919_c0_g1_i1	NA	NA	NA	NA	0.539318071	unbias	0.415215728	G43_M_mean
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	-0.32226952	unbias	0.257230037	G23_mmean
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	2.012712772	unbias	0.553789112	Brain_mmean
TRINITY_DN101945_c0_g2_i1	rnmtl1	Chr02	92666816	92666816	0.265140952	unbias	0.521161325	G31_fmean
TRINITY_DN101949_c0_g1_i1	pnrc2	Chr02	54849501	54849501	0.000953339	unbias	0.883474767	G43_M_mean
TRINITY_DN101950_c0_g1_i1	NA	NA	NA	NA	0.446081073	unbias	0.735070975	Brain_mmean
TRINITY_DN101953_c0_g1_i3	myoz1	Chr07	52868617	52868617	-0.602961106	unbias	0.428111172	Ovary_mean
TRINITY_DN101960_c0_g1_i1	NA	NA	NA	NA	-0.238981777	unbias	0.612092351	G43_F_mean
TRINITY_DN101966_c0_g1_i1	NA	NA	NA	NA	-0.246788808	unbias	0.57209203	G46_M_mean
TRINITY_DN101967_c0_g1_i4	NA	NA	NA	NA	0.293802028	unbias	0.620008627	Brain_mmean
TRINITY_DN101988_c0_g1_i1	NA	NA	NA	NA	-0.688306165	unbias	0.536554319	G43_F_mean
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	-0.683363896	unbias	0.411657529	Testis_mean
TRINITY_DN102010_c0_g1_i1	NA	NA	NA	NA	-0.492349584	unbias	0.649104963	G43_F_mean
TRINITY_DN102010_c0_g3_i1	NA	NA	NA	NA	0.169954375	unbias	0.77584878	G46_M_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	-0.298364118	unbias	0.331308297	Ovary_mean
TRINITY_DN10201_c0_g1_i1	znf131	Chr01	182108399	182108399	-0.640738933	unbias	0.774695299	G46_F_mean
TRINITY_DN102026_c0_g1_i2	spock3	Chr01	41555975	41555975	0.470375028	unbias	0.577737791	Brain_fmean
TRINITY_DN102032_c0_g1_i1	NA	NA	NA	NA	0.739705577	unbias	0.7996036	Brain_mmean
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-0.0461439	unbias	0.434214696	Ovary_mean
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	-0.436181448	unbias	0.462382496	Testis_mean
TRINITY_DN102070_c0_g3_i2	NA	NA	NA	NA	-0.057422321	unbias	0.739712783	G46_F_mean
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.33175945	unbias	0.261237667	Ovary_mean
TRINITY_DN102078_c0_g2_i1	NA	NA	NA	NA	-0.54093111	unbias	0.245801134	Ovary_mean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.224731198	unbias	0.22164913	Ovary_mean
TRINITY_DN102094_c0_g1_i1	fam81b-like	Chr01	172482617	172482617	-0.611064839	unbias	0.843226352	Brain_fmean
TRINITY_DN102094_c0_g2_i1	NA	NA	NA	NA	0.994521683	unbias	0.85066817	Brain_fmean
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	0.302258801	unbias	0.761298496	Brain_fmean
TRINITY_DN102104_c0_g1_i1	limch1-like	Chr01	27762044	27762044	-0.311802172	unbias	0.322697995	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.330539593	unbias	0.486775433	Ovary_mean
TRINITY_DN102142_c0_g1_i1	adamtsl4	Chr08	106754257	106754257	-0.175512782	unbias	0.538210506	G27_mmean
TRINITY_DN102158_c0_g1_i1	apoa1bp	Chr08	111805654	111805654	-0.505802556	unbias	0.208238663	Ovary_mean
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	-0.296957202	unbias	0.46068713	Liver_fmean
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.355157479	unbias	0.497457845	Ovary_mean
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.030427587	unbias	0.29869715	Ovary_mean
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	-0.422320023	unbias	0.616356934	G43_F_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	0.555708477	unbias	0.435739261	Brain_fmean
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	0.176594257	unbias	0.445715317	Brain_fmean
