gid	A10FO1	A15MT1	A17FO1	A17MT1	A2FO2	A6FO1	A6MT1	A8FO2	A8MT1	A12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary
TRINITY_DN100034_c0_g1_i1	47.38308919	47.2748214	35.80301974	30.57315765	30.77456374	8.853829867	33.50377342	28.54685582	24.32582731	40.47872908	NA	NA	NA	NA	4.723292158	0.206102682
TRINITY_DN100099_c0_g1_i1	1.038590646	3.902897305	7.081231696	1.40318111	6.982030947	10.44538328	3.104856914	3.28453683	4.129799642	3.508540525	katnb1	Chr04	28039297	28039297	2.373732113	-0.831172014
TRINITY_DN100099_c0_g2_i1	1.267747471	5.549225272	7.991584759	1.791833416	8.279059197	14.63071062	3.63267775	5.185869884	4.357480904	4.70201728	zswim7	Chr02	31296160	31296160	1.697179222	-0.891358465
TRINITY_DN100108_c0_g1_i1	7.720378715	0	31.02201687	0	2.659039013	58.94707223	0.20012532	0	0	0	drap1	Chr04	37112616	37112616	3.679327976	-8.433457092
TRINITY_DN100115_c0_g1_i1	81.13604211	80.50509213	55.59992712	63.60594183	66.5508477	50.41376425	30.76971078	84.15377656	17.92842224	52.1681941	NA	NA	NA	NA	6.183540965	-0.487598356
TRINITY_DN100115_c0_g2_i1	1.211711368	14.69335347	5.543960966	7.492765114	0.989139239	0	2.374791276	0	5.379629597	15.94709722	NA	NA	NA	NA	1.332972658	2.568132847
TRINITY_DN100260_c0_g2_i1	136.4280343	107.5994971	99.56309391	92.7182331	85.27986917	90.31683116	81.23126711	131.7003892	66.13643748	85.97250867	NA	NA	NA	NA	6.754724336	-0.336667561
TRINITY_DN100266_c0_g1_i1	0.958712076	0.907352549	1.364660752	3.302917309	9.391342774	10.32660683	3.524644841	10.64468029	4.833061922	3.097003786	NA	NA	NA	NA	1.871055322	-1.071002812
TRINITY_DN100287_c0_g1_i1	0.671732802	0	0	0	0.079759441	0.234917453	0.528253162	1.284686602	1.43429742	1.095935271	NA	NA	NA	NA	0.409022203	0.393879337
TRINITY_DN100287_c0_g2_i1	0.827978611	4.760507634	0.404081365	4.315350004	0.183842649	0.382218564	2.408350238	1.045114065	4.876000282	3.90305898	NA	NA	NA	NA	3.286301767	2.819026546
TRINITY_DN100300_c0_g1_i1	0.554385679	1.499104211	0.080523461	3.008342744	0.155161315	0.541630172	1.413012989	0.092562437	0.907393049	2.368883733	NA	NA	NA	NA	0.065192659	2.649538762
TRINITY_DN100323_c0_g3_i1	2.561460853	0	4.118477027	0	3.734553932	2.393404066	0.128824217	3.96839544	0	0	NA	NA	NA	NA	1.073325518	-6.197179162
TRINITY_DN100335_c0_g2_i1	4.376846186	1.725988543	1.813003628	2.291196827	4.869715475	0	7.887843428	1.13676211	2.043015637	0.969744442	vat1l	Chr04	57105981	57105981	0.406671908	0.306359804
TRINITY_DN100358_c0_g1_i1	1.570714289	0.763648438	1.968907493	1.368521822	1.377046626	1.250783509	1.698421355	1.684883806	2.317307532	2.651559234	NA	NA	NA	NA	2.455163974	0.162220112
TRINITY_DN100360_c0_g1_i1	0.301936802	0	5.410702362	0	0.690132263	10.38916958	0.020405363	0.044110998	0	0	NA	NA	NA	NA	1.64187384	-8.291045975
TRINITY_DN100376_c0_g1_i1	8.652376488	19.24073485	11.64139172	8.160504487	7.647236258	43.10070453	9.883444752	8.287643939	7.900800902	19.1473488	NA	NA	NA	NA	3.92538272	-0.280862014
TRINITY_DN100379_c0_g1_i1	0.526380319	0.934090124	6.600678494	0.309993994	3.552125627	7.724751479	0.237157382	2.973494975	0.301544306	0.3148904	NA	NA	NA	NA	0.972641328	-3.344150855
TRINITY_DN100399_c0_g2_i1	8.39706046	0.268487107	1.384475498	1.603837779	3.557009565	4.656243642	1.717797013	6.100623326	1.040080688	1.900699106	ifnar1	Chr02	10560295	10560295	0.089802792	-1.840518003
TRINITY_DN100410_c0_g1_i1	3.709411153	1.904385291	3.558013371	2.349403419	4.707762701	3.470211915	2.270380279	3.108375801	2.48583491	3.68444056	NA	NA	NA	NA	1.686502395	-0.557534452
TRINITY_DN100411_c0_g3_i1	5.537520952	1.1393192	3.916661119	1.169755597	6.44643545	3.190201712	1.431853163	2.673203189	0.41377123	0.432084393	NA	NA	NA	NA	0.729067309	-2.191126252
TRINITY_DN100465_c0_g1_i1	8.001122343	0.880522231	2.27024208	1.150602707	5.954245961	1.590674631	0.301801895	3.262079443	1.918697237	0.445248254	NA	NA	NA	NA	0.128507463	-2.193780539
TRINITY_DN100528_c0_g1_i1	1.831700872	1.254560227	0.392075234	2.810345968	3.336760655	1.31862053	4.273985605	7.436450742	1.65681377	1.845485801	mrvi1	scaffold_203	255729	255729	1.032139426	-0.294707236
TRINITY_DN100538_c0_g1_i1	3.194723626	1.259824116	3.093516681	1.075100049	3.576553573	0.780304566	1.727235458	2.489217544	1.045795417	1.274095005	NA	NA	NA	NA	0.032049629	-1.02241733
