gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb
TRINITY_DN100108_c0_g1_i1	6.66E-09	4.35E-08	7.720378715	2	2.948671619	0	NA	31.02201687	4.95522058	0	NA	2.659039013	1.410904944	58.94707223	5.881348254	0.20012532	-2.321024385	0	NA	0	NA	0	NA	drap1	Chr04	37112616	37112616	3.679327976	-8.433457092	7	female
TRINITY_DN100115_c0_g2_i1	0.002914898	0.006864311	1.211711368	2	0.277046087	14.69335347	3.877091795	5.543960966	2.4709171	7.492765114	2.905498226	0.989139239	-0.015754475	0	NA	2.374791276	1.247800718	0	NA	5.379629597	2.427506842	15.94709722	3.995221935	NA	NA	NA	NA	1.332972658	2.568132847	1	male
TRINITY_DN100266_c0_g1_i1	0.093593084	0.145980363	0.958712076	2	-0.06083049	0.907352549	-0.140264881	1.364660752	0.448542349	3.302917309	1.723740851	9.391342774	3.231331449	10.32660683	3.368294379	3.524644841	1.817477892	10.64468029	3.412060714	4.833061922	2.272937479	3.097003786	1.630873147	NA	NA	NA	NA	1.871055322	-1.071002812	1	female
TRINITY_DN100287_c0_g2_i1	8.56E-09	5.49E-08	0.827978611	2	-0.272334596	4.760507634	2.251115423	0.404081365	-1.307282275	4.315350004	2.109477576	0.183842649	-2.443456604	0.382218564	-1.387530245	2.408350238	1.268045213	1.045114065	0.063660408	4.876000282	2.285698209	3.90305898	1.964605264	NA	NA	NA	NA	3.286301767	2.819026546	1	male
TRINITY_DN100300_c0_g1_i1	2.08E-05	7.64E-05	0.554385679	2	-0.851038105	1.499104211	0.584100676	0.080523461	-3.634447007	3.008342744	1.588968944	0.155161315	-2.688159187	0.541630172	-0.884619987	1.413012989	0.498774728	0.092562437	-3.433429341	0.907393049	-0.140200487	2.368883733	1.244207392	NA	NA	NA	NA	0.065192659	2.649538762	1	male
TRINITY_DN100323_c0_g3_i1	3.41E-18	6.93E-17	2.561460853	2	1.356966843	0	NA	4.118477027	2.042110941	0	NA	3.734553932	1.900935933	2.393404066	1.25906398	0.128824217	-2.956524271	3.96839544	1.988555794	0	NA	0	NA	NA	NA	NA	NA	1.073325518	-6.197179162	5	female
TRINITY_DN100360_c0_g1_i1	1.23E-09	9.10E-09	0.301936802	2	-1.727681482	0	NA	5.410702362	2.435815882	0	NA	0.690132263	-0.535055216	10.38916958	3.377008437	0.020405363	-5.614907814	0.044110998	-4.502717788	0	NA	0	NA	NA	NA	NA	NA	1.64187384	-8.291045975	7	female
TRINITY_DN100379_c0_g1_i1	8.00E-07	3.78E-06	0.526380319	2	-0.925822546	0.934090124	-0.098366342	6.600678494	2.722614329	0.309993994	-1.689687831	3.552125627	1.828682606	7.724751479	2.949488519	0.237157382	-2.076083319	2.973494975	1.572159638	0.301544306	-1.729558102	0.3148904	-1.66707832	NA	NA	NA	NA	0.972641328	-3.344150855	3	female
TRINITY_DN100399_c0_g2_i1	0.002216698	0.005365166	8.39706046	2	3.069884375	0.268487107	-1.897075285	1.384475498	0.469339522	1.603837779	0.681528227	3.557009565	1.830664854	4.656243642	2.21916655	1.717797013	0.780559568	6.100623326	2.608956656	1.040080688	0.056695455	1.900699106	0.926530161	ifnar1	Chr02	10560295	10560295	0.089802792	-1.840518003	1	female
TRINITY_DN100411_c0_g3_i1	2.95E-05	0.000105357	5.537520952	2	2.469240252	1.1393192	0.188172	3.916661119	1.969624307	1.169755597	0.226207132	6.44643545	2.688501644	3.190201712	1.673647646	1.431853163	0.517883551	2.673203189	1.4185695	0.41377123	-1.273094758	0.432084393	-1.210614974	NA	NA	NA	NA	0.729067309	-2.191126252	1	female
