gid	gname	chr	start	end	logCPM	logFC.FL.ML	PV.FL.ML	FDR.FL.ML	A2FL1	A17ML1	A17FL1	A15ML1	A12ML1	A12FL1	A7FL1	A8FL1	A8ML1	average	ward.D
TRINITY_DN100376_c0_g3_i1	lpcat3	Chr07	849641	849641	4.59630055572989	1.33619897989881	0.000168975280293159	0.0210442873534653	3.3465367993669	5.65371365025153	4.33870260073002	5.19759297468565	4.72319590277554	3.71709175984106	4.29729583456171	3.18642197573188	5.01243333133345	2	2
TRINITY_DN102016_c0_g3_i1	NA	NA	NA	NA	0.510525344026502	-3.72946344400105	1.11192549583491e-05	0.00239354598495462	0.287206065685358	-3.03012314092908	1.18379518850662	-0.479699676219413	-3.03012314092908	1.39112800089885	0.0525786212201245	2.11513369475872	-3.03012314092908	1	1
TRINITY_DN104464_c0_g1_i1	MGC146177	Chr07	116290047	116290047	2.24188785201427	-2.07104054382586	6.94787242970713e-05	0.010363271451649	3.73299737217229	1.47799815004012	2.49805606492927	0.391588136846623	0.339709262965171	3.17080427284569	2.21570961098297	1.4940280406174	0.859780417514791	1	1
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	-0.0341909914875774	-4.45705197476382	1.04221021839809e-07	4.59129957374768e-05	1.21296303092142	-3.03012314092908	0.433599740344045	-3.03012314092908	-2.39853281370844	0.766916941545498	-0.851108313196784	1.06145125444334	-1.89122788999925	1	1
TRINITY_DN106055_c0_g2_i1	NA	NA	NA	NA	1.09379258493417	-2.95562671743489	0.000218809658587444	0.024526102737408	1.84192941204698	0.475716479040977	1.45011818798857	-1.88313204429709	-1.62532049432322	1.56161418676765	2.7611575085198	-1.12278078425526	-1.89122788999925	1	1
TRINITY_DN107343_c0_g1_i1	NA	NA	NA	NA	4.14546989839026	-2.21022881658285	6.68980600562558e-05	0.010057539298775	5.90073486139484	2.87796192326117	5.07983321524491	2.95964142193703	2.74673470968568	4.25345730054235	3.97947192962572	2.83570004288533	0.972268061544047	1	1
TRINITY_DN107602_c0_g1_i1	NA	NA	NA	NA	8.64812062876314	-8.02482312378124	2.26388489677473e-11	1.78686548331682e-08	11.2648878549519	-0.667277823120409	6.58376925163983	-1.25232219196737	1.65454042694805	7.29755692082229	7.55569393409732	9.44536054432311	2.85990956002103	1	1
TRINITY_DN107602_c0_g2_i1	NA	NA	NA	NA	9.59982541398116	-4.31644701676194	1.0106061147618e-08	5.46968903769507e-06	11.8367788160782	6.55215838558093	8.90028884603761	4.20239762538438	6.90136318103957	8.5928615648687	9.48734825672733	10.5254962736504	5.25689627938282	1	1
TRINITY_DN107602_c0_g3_i1	NA	NA	NA	NA	9.44089178525055	-6.80893224109931	9.82341433496861e-14	9.79394409196371e-11	11.8379441339325	3.93929391009091	9.13052053026108	0.122766160286644	4.09880721014577	9.12967098622959	8.66802454486118	9.99741961236231	3.48967520813623	1	1
TRINITY_DN107814_c0_g2_i1	NA	NA	NA	NA	0.567424616165992	-1.99203519718268	0.000534881854457916	0.0461247710078143	1.40921976986132	-0.991729525760769	0.856920104756585	-0.207887057998669	-1.1246338656865	-0.357673174460982	1.25323806624758	1.57779790883531	-0.649551168478271	1	1
TRINITY_DN109189_c0_g1_i1	NA	NA	NA	NA	0.494517853213234	2.13511351229974	0.0004181726318965	0.039495453968433	-0.668591389638937	1.26613402082084	0.0615049313690842	1.99567655663212	0.903550372105343	-0.0323535655173095	-1.14329190785944	-2.48560899549787	0.53292632150326	2	2
