"gid"	"Log2RPKM"	"sex"
"TRINITY_DN100684_c0_g3_i1"	7.50657934648548	"meanmale"
"TRINITY_DN100754_c0_g1_i1"	5.22758696183839	"meanmale"
"TRINITY_DN101728_c0_g2_i1"	6.20294464049272	"meanmale"
"TRINITY_DN101945_c0_g2_i1"	1.55957167242494	"meanmale"
"TRINITY_DN101983_c0_g1_i1"	0.188215954050853	"meanmale"
"TRINITY_DN102579_c0_g1_i1"	1.84716274750605	"meanmale"
"TRINITY_DN103086_c1_g1_i1"	0.608187054061849	"meanmale"
"TRINITY_DN103284_c0_g1_i2"	1.7174611337108	"meanmale"
"TRINITY_DN103698_c0_g1_i1"	0.423223640893824	"meanmale"
"TRINITY_DN104018_c1_g1_i1"	2.16325203535084	"meanmale"
"TRINITY_DN104073_c1_g1_i1"	2.82434377436548	"meanmale"
"TRINITY_DN104546_c0_g1_i1"	3.37073462652117	"meanmale"
"TRINITY_DN105039_c0_g1_i1"	4.04620531064367	"meanmale"
"TRINITY_DN105307_c0_g1_i1"	6.87826365795877	"meanmale"
"TRINITY_DN105833_c0_g2_i1"	1.89835201455924	"meanmale"
"TRINITY_DN105870_c0_g1_i1"	2.84938923722254	"meanmale"
"TRINITY_DN105987_c0_g2_i2"	1.20422548890366	"meanmale"
"TRINITY_DN106183_c0_g1_i1"	4.04554698923794	"meanmale"
"TRINITY_DN106189_c0_g2_i1"	3.24171762207596	"meanmale"
"TRINITY_DN106256_c0_g3_i3"	3.02194073315928	"meanmale"
"TRINITY_DN106277_c0_g1_i2"	6.29496996985877	"meanmale"
"TRINITY_DN107052_c0_g1_i1"	3.75435789837827	"meanmale"
"TRINITY_DN107294_c0_g1_i2"	2.16794206520055	"meanmale"
"TRINITY_DN107711_c0_g1_i1"	2.60616750755042	"meanmale"
"TRINITY_DN108081_c0_g2_i1"	0.906394922279426	"meanmale"
"TRINITY_DN108162_c0_g1_i1"	3.37958831937119	"meanmale"
"TRINITY_DN108203_c0_g2_i1"	1.1051962742926	"meanmale"
"TRINITY_DN108376_c0_g1_i4"	1.75617557681468	"meanmale"
"TRINITY_DN108517_c0_g1_i1"	2.75374192155461	"meanmale"
"TRINITY_DN108683_c0_g1_i2"	1.9011767228589	"meanmale"
"TRINITY_DN108890_c1_g2_i1"	6.23640949902184	"meanmale"
"TRINITY_DN108998_c0_g2_i1"	2.58998251771718	"meanmale"
"TRINITY_DN109035_c0_g1_i1"	2.42760173992921	"meanmale"
"TRINITY_DN109528_c0_g2_i1"	2.18078542605982	"meanmale"
"TRINITY_DN109892_c0_g1_i1"	4.68741933922466	"meanmale"
"TRINITY_DN109948_c0_g1_i1"	-1.13810166319147	"meanmale"
"TRINITY_DN110181_c0_g1_i1"	2.25414365265253	"meanmale"
"TRINITY_DN110260_c0_g2_i1"	0.122776968518737	"meanmale"
"TRINITY_DN110378_c0_g4_i1"	1.0012329839641	"meanmale"
"TRINITY_DN111011_c1_g2_i1"	4.8012439319603	"meanmale"
"TRINITY_DN111082_c0_g1_i1"	1.06174509723862	"meanmale"
"TRINITY_DN111167_c0_g1_i1"	-0.278467818553422	"meanmale"
"TRINITY_DN111757_c0_g1_i1"	2.17514469343444	"meanmale"
"TRINITY_DN112201_c0_g1_i1"	3.25163405131763	"meanmale"
"TRINITY_DN112522_c0_g1_i1"	2.33007392871987	"meanmale"
"TRINITY_DN112592_c0_g1_i1"	1.27875397181462	"meanmale"
"TRINITY_DN112596_c0_g1_i1"	-0.308963537854322	"meanmale"
"TRINITY_DN112641_c0_g1_i2"	5.90772164862593	"meanmale"
"TRINITY_DN112708_c0_g1_i1"	2.2299177701203	"meanmale"
"TRINITY_DN112721_c0_g1_i1"	3.1954428846054	"meanmale"
"TRINITY_DN112760_c0_g1_i2"	2.71479573601821	"meanmale"
"TRINITY_DN113011_c0_g3_i1"	2.15831588084315	"meanmale"
"TRINITY_DN113131_c0_g1_i5"	4.04685316664987	"meanmale"
"TRINITY_DN113348_c0_g3_i1"	1.81007864161452	"meanmale"
"TRINITY_DN113380_c0_g1_i1"	5.03822629897997	"meanmale"
"TRINITY_DN113404_c0_g2_i1"	1.54253040438587	"meanmale"
"TRINITY_DN113584_c0_g1_i1"	0.849330131896845	"meanmale"
"TRINITY_DN113797_c0_g1_i1"	3.43163970847206	"meanmale"
"TRINITY_DN113982_c0_g1_i1"	2.28360448621353	"meanmale"
"TRINITY_DN114195_c0_g1_i1"	0.696415654534325	"meanmale"
"TRINITY_DN114220_c0_g1_i1"	3.75418629359727	"meanmale"
"TRINITY_DN114406_c0_g1_i1"	4.08781371434654	"meanmale"
"TRINITY_DN114439_c1_g1_i1"	3.26020727100036	"meanmale"
"TRINITY_DN114543_c0_g2_i1"	3.95602985199606	"meanmale"
"TRINITY_DN114581_c0_g1_i2"	3.58491567677278	"meanmale"
"TRINITY_DN114610_c0_g2_i1"	0.992452870880182	"meanmale"
"TRINITY_DN114644_c0_g2_i1"	0.105494392083486	"meanmale"
"TRINITY_DN114792_c0_g1_i1"	2.88739200772001	"meanmale"
"TRINITY_DN114818_c0_g1_i1"	0.191825440238732	"meanmale"
"TRINITY_DN114875_c0_g1_i1"	0.99524202876917	"meanmale"
"TRINITY_DN114884_c0_g2_i1"	4.2279080407516	"meanmale"
"TRINITY_DN115056_c0_g1_i4"	2.61705461338155	"meanmale"
"TRINITY_DN115114_c1_g1_i1"	3.03710364759909	"meanmale"
"TRINITY_DN115474_c0_g1_i1"	4.42707899400925	"meanmale"
"TRINITY_DN115612_c0_g2_i2"	0.86525439016002	"meanmale"
"TRINITY_DN115650_c0_g1_i2"	5.80820904888924	"meanmale"
"TRINITY_DN115715_c2_g3_i1"	7.42702524376287	"meanmale"
"TRINITY_DN115900_c0_g1_i2"	3.16457886128967	"meanmale"
"TRINITY_DN116209_c0_g1_i1"	1.035143024612	"meanmale"
"TRINITY_DN116233_c0_g1_i1"	3.00981066176775	"meanmale"
"TRINITY_DN116288_c1_g1_i1"	1.64698070092046	"meanmale"
"TRINITY_DN116299_c0_g1_i2"	3.02633304096709	"meanmale"
"TRINITY_DN116347_c0_g1_i1"	4.3166461658982	"meanmale"
"TRINITY_DN116432_c0_g1_i1"	4.24470577036248	"meanmale"
"TRINITY_DN116593_c2_g1_i4"	4.7891683585542	"meanmale"
"TRINITY_DN116614_c0_g1_i2"	4.68731118420103	"meanmale"
"TRINITY_DN116614_c0_g2_i1"	2.35786958580053	"meanmale"
"TRINITY_DN116643_c1_g1_i1"	4.86081699935588	"meanmale"
