"gid"	"A10FB"	"A10MB"	"A12FB"	"A15FB"	"A15MB"	"A16FB"	"A16MB"	"A17FB"	"A17MB"	"A8MB"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.XYbrain.XXbrain"	"PV.XYbrain.XXbrain"	"FDR.XYbrain.XXbrain"	"meanXY"	"group1"	"meanXX"	"group2"
"498"	"TRINITY_DN105267_c0_g2_i2"	4.062165109	16.12633445	4.268989753	6.109456466	16.31667929	7.290909198	13.46981653	4.941004817	9.490473779	10.93141048	NA	NA	NA	NA	2.525049624	1.304167488	8.2238e-06	0.00319706	3.7297749388021	"meanmale"	2.41538146942605	"meanfemale"
"559"	"TRINITY_DN105687_c0_g1_i1"	0.210944202	2.203304486	0.518455452	0.534911761	5.611385051	0.657234405	0.445818722	0.362968917	1.439134626	4.399344037	NA	NA	NA	NA	1.496580264	2.602896493	3.11604e-06	0.001459161	1.49564266414505	"meanmale"	-1.12972462504023	"meanfemale"
"1111"	"TRINITY_DN109305_c0_g2_i2"	0.274227462	0.572859166	0.505494066	0.695385289	10.36629554	0.804145625	0.362227712	0.294912245	0.516103452	13.62140985	NA	NA	NA	NA	2.825962253	3.28503586	4.74979e-05	0.011163077	2.34706440167127	"meanmale"	-0.957543540611662	"meanfemale"
"1480"	"TRINITY_DN110989_c1_g2_i1"	0.216588043	0.33514877	0.141953813	0.146459573	3.800580576	0.158780894	8.163148825	0.496906933	3.804495482	0.323802802	NA	NA	NA	NA	1.133451884	3.764965364	1.21359e-06	0.000644537	1.71612843866265	"meanmale"	-2.10632496640404	"meanfemale"
"2075"	"TRINITY_DN113301_c1_g1_i1"	74.10776019	142.2292274	39.91772495	20.05401446	115.5154582	58.99770016	113.6460234	61.87449159	72.73312763	102.0638661	NA	NA	NA	NA	6.671083007	1.093945762	7.56335e-05	0.016462684	6.77132624815802	"meanmale"	5.67215483307424	"meanfemale"
"2087"	"TRINITY_DN113348_c0_g3_i1"	0.16437611	7.172836996	0	0	3.958366697	0	6.079494342	0	5.413804487	3.243835011	"wdfy2"	"Chr02"	147090182	147090182	0.565283231	6.757725497	1.37266e-20	9.11275e-17	2.3712152251453	"meanmale"	-4.92247381756945	"meanfemale"
"2429"	"TRINITY_DN114504_c0_g2_i2"	0.637473123	0.804924582	0.576572004	0.362096603	2.099172235	0.186932854	0.592796001	0.372943153	0.671855265	3.636774478	NA	NA	NA	NA	1.789721923	1.86774696	0.000282092	0.048003153	0.642659537578944	"meanmale"	-1.22666680081441	"meanfemale"
"2765"	"TRINITY_DN115328_c0_g1_i1"	16.73230983	39.41912026	7.319059186	12.11210425	36.36761473	23.56027183	40.11418601	13.69795195	19.83772644	21.22425472	"nfyc"	"Chr02"	83728547	83728547	4.727049183	1.089627236	0.000137859	0.026517646	4.97235631211122	"meanmale"	3.87621628550726	"meanfemale"
"3007"	"TRINITY_DN115904_c0_g3_i2"	62.47072985	126.8962617	53.81658325	71.41954608	233.2877221	124.5131546	115.9146789	79.80325341	110.3638848	219.735172	"vsx1"	"Chr05"	49372262	49372262	7.166735951	1.034310808	0.000103847	0.021454458	7.33306269186778	"meanmale"	6.29286921802304	"meanfemale"
"3462"	"TRINITY_DN117036_c0_g1_i1"	0.677648978	1.061702825	1.165860749	0.902149774	11.50364344	0.745177638	1.074129789	1.202459871	1.594191979	13.37287683	"alx1"	"Chr03"	44294726	44294726	2.770642105	2.594002158	2.93919e-05	0.008130232	2.5163704734845	"meanmale"	-0.0911726430984302	"meanfemale"
"3608"	"TRINITY_DN117360_c0_g1_i1"	6.486534206	9.253878842	7.154685242	8.023676409	36.76933888	11.01834149	12.53865156	5.852873779	13.84546761	64.85484597	NA	NA	NA	NA	3.253211643	1.824143329	4.44796e-05	0.010836289	4.77886755309237	"meanmale"	2.94622970794189	"meanfemale"
"3653"	"TRINITY_DN117446_c0_g1_i2"	0.177975822	2.015929049	0.349941017	0.722097007	1.534937152	0.6523712	1.316496664	0.551233187	1.105352423	3.767648578	NA	NA	NA	NA	1.605292233	1.969791417	7.60363e-06	0.003013648	0.962121628131638	"meanmale"	-1.02672333893716	"meanfemale"
"3712"	"TRINITY_DN117550_c0_g1_i1"	10.33064561	14.89395794	7.637793806	7.965416846	18.08537694	10.65202611	9.629701048	5.094285916	26.95085544	14.80410931	NA	NA	NA	NA	4.670443039	1.014548261	0.00013869	0.026517646	4.07663606209025	"meanmale"	3.05937840928759	"meanfemale"
"3769"	"TRINITY_DN117646_c0_g2_i1"	0.712203925	1.939635766	1.400355183	0.626081687	3.669450711	1.079042535	1.15398896	1.102931942	2.636094279	8.262514025	NA	NA	NA	NA	2.062632708	1.832693842	8.16853e-05	0.017635397	1.82066372789816	"meanmale"	-0.0229427843947196	"meanfemale"
