gid	cutoff	bias	log2RPKM	sex
TRINITY_DN100115_c0_g2_i1	FC1	male	3.198105506	meanmale
TRINITY_DN100998_c0_g1_i1	FC1	male	2.539146995	meanmale
TRINITY_DN101247_c0_g3_i1	FC1	male	1.955173075	meanmale
TRINITY_DN101361_c0_g1_i2	FC1	male	2.309475994	meanmale
TRINITY_DN101809_c0_g1_i2	FC1	male	3.472559661	meanmale
TRINITY_DN101895_c0_g1_i1	FC1	male	2.163209043	meanmale
TRINITY_DN101897_c0_g1_i1	FC1	male	1.633592584	meanmale
TRINITY_DN102000_c0_g1_i1	FC1	male	5.613411199	meanmale
TRINITY_DN102192_c0_g1_i1	FC1	male	2.190867026	meanmale
TRINITY_DN102429_c0_g1_i2	FC1	male	2.791453514	meanmale
TRINITY_DN102865_c0_g1_i2	FC1	male	4.53774288	meanmale
TRINITY_DN103267_c0_g1_i1	FC1	male	2.62582886	meanmale
TRINITY_DN103284_c0_g1_i2	FC1	male	1.75808146	meanmale
TRINITY_DN103537_c0_g2_i1	FC1	male	3.154435614	meanmale
TRINITY_DN103615_c0_g1_i1	FC1	male	6.936836149	meanmale
TRINITY_DN103744_c0_g1_i2	FC1	male	9.139807542	meanmale
TRINITY_DN103769_c0_g1_i1	FC1	male	6.066275696	meanmale
TRINITY_DN103795_c0_g1_i3	FC1	male	4.288540456	meanmale
TRINITY_DN103833_c0_g1_i1	FC1	male	6.025030456	meanmale
TRINITY_DN103974_c0_g2_i1	FC1	male	2.284120874	meanmale
TRINITY_DN103997_c0_g1_i1	FC1	male	2.636233611	meanmale
TRINITY_DN104012_c0_g1_i1	FC1	male	3.918831241	meanmale
TRINITY_DN104090_c1_g2_i1	FC1	male	5.414274971	meanmale
TRINITY_DN104155_c0_g1_i1	FC1	male	4.657605267	meanmale
TRINITY_DN104173_c0_g1_i1	FC1	male	4.329604972	meanmale
TRINITY_DN104464_c0_g1_i1	FC1	male	2.226100173	meanmale
TRINITY_DN104532_c0_g1_i1	FC1	male	2.232862657	meanmale
TRINITY_DN104667_c0_g1_i3	FC1	male	4.107802627	meanmale
TRINITY_DN104783_c1_g1_i1	FC1	male	3.421200216	meanmale
TRINITY_DN105198_c0_g4_i1	FC1	male	1.783220417	meanmale
TRINITY_DN105250_c0_g1_i2	FC1	male	7.466529846	meanmale
TRINITY_DN105320_c0_g2_i2	FC1	male	3.913086404	meanmale
TRINITY_DN105324_c0_g1_i5	FC1	male	9.671103982	meanmale
TRINITY_DN105451_c0_g1_i1	FC1	male	2.838863601	meanmale
TRINITY_DN105493_c0_g2_i1	FC1	male	6.856025776	meanmale
TRINITY_DN105675_c0_g2_i1	FC1	male	1.478241617	meanmale
TRINITY_DN105698_c0_g1_i1	FC1	male	2.620861204	meanmale
TRINITY_DN105849_c0_g1_i1	FC1	male	3.220652382	meanmale
TRINITY_DN105870_c0_g1_i1	FC1	male	2.116465979	meanmale
TRINITY_DN105981_c0_g1_i1	FC1	male	3.291713977	meanmale
TRINITY_DN106179_c0_g1_i1	FC1	male	1.871087436	meanmale
TRINITY_DN106281_c0_g2_i1	FC1	male	2.197045763	meanmale
TRINITY_DN106338_c0_g1_i1	FC1	male	3.205962773	meanmale
TRINITY_DN106476_c0_g1_i1	FC1	male	5.015071122	meanmale
TRINITY_DN106671_c0_g2_i1	FC1	male	2.773854604	meanmale
TRINITY_DN106937_c0_g1_i1	FC1	male	4.611420731	meanmale
TRINITY_DN106961_c0_g1_i1	FC1	male	4.758985929	meanmale
TRINITY_DN107048_c0_g1_i1	FC1	male	3.346973156	meanmale
TRINITY_DN107048_c1_g1_i1	FC1	male	3.294785236	meanmale
TRINITY_DN107077_c0_g1_i2	FC1	male	2.902462024	meanmale
TRINITY_DN107214_c0_g1_i1	FC1	male	4.368082008	meanmale
TRINITY_DN107257_c0_g1_i1	FC1	male	1.804279286	meanmale
TRINITY_DN107303_c0_g1_i1	FC1	male	3.822155592	meanmale
TRINITY_DN107343_c0_g1_i1	FC1	male	5.4361884	meanmale
TRINITY_DN107445_c0_g1_i2	FC1	male	2.46879123	meanmale
TRINITY_DN107472_c0_g1_i1	FC1	male	3.012860583	meanmale
TRINITY_DN107707_c0_g1_i1	FC1	male	5.454065146	meanmale
TRINITY_DN107730_c0_g1_i1	FC1	male	1.39247401	meanmale
TRINITY_DN107742_c0_g1_i1	FC1	male	5.174142231	meanmale
TRINITY_DN107751_c0_g1_i1	FC1	male	4.749582948	meanmale
TRINITY_DN107761_c0_g1_i1	FC1	male	1.974712919	meanmale
TRINITY_DN107817_c0_g1_i1	FC1	male	1.495108884	meanmale
TRINITY_DN107843_c0_g4_i1	FC1	male	4.325538837	meanmale
TRINITY_DN107875_c0_g1_i1	FC1	male	3.156770359	meanmale
TRINITY_DN107920_c0_g1_i1	FC1	male	3.744474591	meanmale
TRINITY_DN107978_c0_g1_i1	FC1	male	7.304271156	meanmale
TRINITY_DN108039_c0_g1_i2	FC1	male	6.918048268	meanmale
TRINITY_DN108126_c0_g2_i2	FC1	male	4.163533519	meanmale
TRINITY_DN108191_c0_g1_i1	FC1	male	2.731523335	meanmale
TRINITY_DN108382_c0_g3_i1	FC1	male	1.863837346	meanmale
TRINITY_DN108491_c0_g1_i1	FC1	male	2.994771361	meanmale
TRINITY_DN108540_c0_g1_i1	FC1	male	3.034198116	meanmale
TRINITY_DN10856_c0_g2_i1	FC1	male	2.509993961	meanmale
TRINITY_DN108615_c0_g2_i1	FC1	male	2.357642588	meanmale
TRINITY_DN108618_c0_g1_i2	FC1	male	3.03348847	meanmale
TRINITY_DN108709_c0_g1_i2	FC1	male	9.997263828	meanmale
TRINITY_DN108737_c0_g1_i6	FC1	male	6.594354895	meanmale
TRINITY_DN108742_c0_g1_i1	FC1	male	4.579815769	meanmale
TRINITY_DN109025_c0_g1_i1	FC1	male	2.772738552	meanmale
TRINITY_DN109035_c0_g2_i1	FC1	male	3.493555906	meanmale
TRINITY_DN109134_c0_g1_i1	FC1	male	4.083038886	meanmale
TRINITY_DN109203_c0_g1_i1	FC1	male	3.42013814	meanmale
TRINITY_DN109245_c0_g1_i1	FC1	male	3.120242429	meanmale
TRINITY_DN109361_c0_g1_i1	FC1	male	6.17993444	meanmale
TRINITY_DN109555_c0_g1_i2	FC1	male	4.479382817	meanmale
TRINITY_DN109621_c1_g1_i1	FC1	male	3.917118148	meanmale
TRINITY_DN109683_c0_g1_i2	FC1	male	6.478145774	meanmale
TRINITY_DN109692_c0_g1_i2	FC1	male	5.076242358	meanmale
TRINITY_DN109773_c0_g1_i2	FC1	male	5.021350831	meanmale
TRINITY_DN109897_c0_g1_i1	FC1	male	3.938419679	meanmale
TRINITY_DN109897_c1_g1_i1	FC1	male	2.78242453	meanmale
TRINITY_DN109907_c0_g1_i1	FC1	male	6.65097555	meanmale
TRINITY_DN109954_c0_g2_i1	FC1	male	1.642792603	meanmale
TRINITY_DN110023_c0_g1_i1	FC1	male	2.487339973	meanmale
TRINITY_DN110146_c0_g1_i3	FC1	male	3.615535133	meanmale
TRINITY_DN110217_c0_g1_i2	FC1	male	3.170024389	meanmale
TRINITY_DN110285_c0_g2_i2	FC1	male	5.985855286	meanmale
TRINITY_DN110285_c0_g3_i1	FC1	male	4.540555206	meanmale
TRINITY_DN110308_c0_g1_i1	FC1	male	2.894262563	meanmale
TRINITY_DN110395_c0_g2_i1	FC1	male	3.613500573	meanmale
TRINITY_DN110412_c0_g1_i1	FC1	male	5.363065539	meanmale
TRINITY_DN110440_c0_g1_i1	FC1	male	6.425847436	meanmale
TRINITY_DN110445_c1_g1_i3	FC1	male	4.445357819	meanmale
TRINITY_DN110478_c0_g1_i2	FC1	male	2.755151884	meanmale
TRINITY_DN110588_c0_g1_i1	FC1	male	3.989723707	meanmale
TRINITY_DN110591_c0_g2_i1	FC1	male	3.930851682	meanmale
TRINITY_DN110650_c0_g1_i1	FC1	male	9.790903632	meanmale
TRINITY_DN110705_c0_g1_i1	FC1	male	4.337688677	meanmale
TRINITY_DN110788_c1_g1_i1	FC1	male	2.064893398	meanmale
TRINITY_DN110843_c0_g1_i1	FC1	male	5.071086909	meanmale
TRINITY_DN110855_c0_g1_i1	FC1	male	4.562522441	meanmale
TRINITY_DN110867_c0_g1_i1	FC1	male	2.414232242	meanmale
TRINITY_DN110879_c0_g2_i1	FC1	male	3.744292863	meanmale
TRINITY_DN110957_c0_g1_i1	FC1	male	2.140579696	meanmale
TRINITY_DN111011_c1_g2_i1	FC1	male	5.093134416	meanmale
TRINITY_DN111035_c0_g1_i1	FC1	male	5.702237131	meanmale
TRINITY_DN111111_c0_g1_i1	FC1	male	4.763957916	meanmale
TRINITY_DN111122_c0_g2_i3	FC1	male	3.770964864	meanmale
TRINITY_DN111143_c0_g1_i2	FC1	male	4.346854929	meanmale
TRINITY_DN111173_c0_g1_i1	FC1	male	3.774256071	meanmale
TRINITY_DN111208_c0_g1_i1	FC1	male	3.244937054	meanmale
TRINITY_DN111231_c0_g1_i1	FC1	male	5.496265936	meanmale
TRINITY_DN111247_c0_g1_i1	FC1	male	4.079132637	meanmale
TRINITY_DN111333_c0_g1_i1	FC1	male	4.289003409	meanmale
TRINITY_DN111351_c0_g1_i1	FC1	male	2.806677789	meanmale
