gid	cutoff	bias	log2RPKM	sex
TRINITY_DN100399_c0_g2_i1	FC1	female	0.385354097	meanmale
TRINITY_DN100550_c0_g2_i1	FC1	female	0.176300052	meanmale
TRINITY_DN100638_c0_g2_i1	FC1	female	5.619375187	meanmale
TRINITY_DN100806_c0_g1_i1	FC1	female	0.557758706	meanmale
TRINITY_DN101042_c0_g2_i1	FC1	female	2.193189607	meanmale
TRINITY_DN101047_c0_g1_i2	FC1	female	2.71323228	meanmale
TRINITY_DN101150_c0_g1_i1	FC1	female	1.755324132	meanmale
TRINITY_DN101457_c0_g1_i1	FC1	female	4.864269126	meanmale
TRINITY_DN101542_c0_g1_i1	FC1	female	4.323901455	meanmale
TRINITY_DN101751_c0_g1_i1	FC1	female	5.574261647	meanmale
TRINITY_DN101833_c0_g1_i1	FC1	female	4.149501054	meanmale
TRINITY_DN101903_c0_g1_i1	FC1	female	3.629005976	meanmale
TRINITY_DN101903_c0_g2_i2	FC1	female	3.663776255	meanmale
TRINITY_DN102065_c0_g1_i1	FC1	female	5.60817708	meanmale
TRINITY_DN102108_c0_g1_i1	FC1	female	0.985042836	meanmale
TRINITY_DN102162_c0_g1_i1	FC1	female	5.118947803	meanmale
TRINITY_DN102365_c0_g1_i1	FC1	female	6.215902327	meanmale
TRINITY_DN102370_c0_g1_i1	FC1	female	0.32643969	meanmale
TRINITY_DN102559_c0_g2_i1	FC1	female	3.026566794	meanmale
TRINITY_DN102903_c0_g1_i1	FC1	female	1.071331522	meanmale
TRINITY_DN102931_c0_g2_i1	FC1	female	1.207534158	meanmale
TRINITY_DN103196_c0_g1_i2	FC1	female	5.566259666	meanmale
TRINITY_DN103526_c0_g1_i1	FC1	female	1.428628148	meanmale
TRINITY_DN103537_c0_g1_i1	FC1	female	3.397537595	meanmale
TRINITY_DN103565_c0_g1_i1	FC1	female	5.017562833	meanmale
TRINITY_DN103567_c0_g1_i1	FC1	female	4.303330072	meanmale
TRINITY_DN103621_c0_g1_i2	FC1	female	4.142201648	meanmale
TRINITY_DN103622_c0_g3_i3	FC1	female	2.53296038	meanmale
TRINITY_DN103637_c0_g1_i1	FC1	female	1.90948804	meanmale
TRINITY_DN103783_c0_g1_i1	FC1	female	3.875390807	meanmale
TRINITY_DN103834_c0_g11_i1	FC1	female	3.497747517	meanmale
TRINITY_DN103834_c0_g3_i1	FC1	female	2.570285506	meanmale
TRINITY_DN103882_c0_g1_i1	FC1	female	4.434354071	meanmale
TRINITY_DN103912_c0_g1_i1	FC1	female	3.002694669	meanmale
TRINITY_DN104337_c0_g1_i1	FC1	female	3.964528004	meanmale
TRINITY_DN104354_c0_g1_i5	FC1	female	3.592549701	meanmale
TRINITY_DN104356_c0_g1_i3	FC1	female	3.180077608	meanmale
TRINITY_DN104428_c0_g1_i2	FC1	female	2.810506189	meanmale
TRINITY_DN104550_c0_g2_i1	FC1	female	3.369412381	meanmale
TRINITY_DN104740_c0_g1_i2	FC1	female	3.672259091	meanmale
TRINITY_DN104751_c0_g1_i2	FC1	female	3.322477078	meanmale
TRINITY_DN105215_c0_g1_i1	FC1	female	4.369934899	meanmale
TRINITY_DN105413_c0_g1_i1	FC1	female	5.99438965	meanmale
TRINITY_DN105440_c0_g1_i1	FC1	female	1.683735141	meanmale
TRINITY_DN105453_c0_g1_i1	FC1	female	7.320544866	meanmale
TRINITY_DN105455_c0_g3_i1	FC1	female	1.935819715	meanmale
TRINITY_DN105578_c0_g1_i1	FC1	female	0.129849618	meanmale
TRINITY_DN105777_c1_g1_i1	FC1	female	1.766049793	meanmale
TRINITY_DN105826_c0_g1_i2	FC1	female	1.989543109	meanmale
TRINITY_DN105850_c0_g2_i1	FC1	female	2.916174745	meanmale
TRINITY_DN105886_c0_g1_i2	FC1	female	4.729183534	meanmale
TRINITY_DN105940_c0_g1_i2	FC1	female	1.109217761	meanmale
TRINITY_DN105941_c0_g1_i1	FC1	female	3.49648239	meanmale
TRINITY_DN106065_c0_g1_i2	FC1	female	4.084201826	meanmale
TRINITY_DN106090_c0_g2_i1	FC1	female	6.260749499	meanmale
TRINITY_DN106219_c0_g3_i1	FC1	female	6.607604151	meanmale
TRINITY_DN106372_c0_g1_i1	FC1	female	4.171410689	meanmale
TRINITY_DN106459_c0_g1_i1	FC1	female	2.914570837	meanmale
TRINITY_DN106615_c0_g1_i1	FC1	female	3.451016526	meanmale
TRINITY_DN106620_c0_g1_i1	FC1	female	2.164650975	meanmale
TRINITY_DN106700_c0_g5_i1	FC1	female	3.466387949	meanmale
TRINITY_DN106780_c0_g1_i1	FC1	female	0.335625155	meanmale
TRINITY_DN106815_c0_g2_i2	FC1	female	6.436686242	meanmale
TRINITY_DN106923_c0_g1_i1	FC1	female	0.172259636	meanmale
TRINITY_DN106942_c0_g1_i1	FC1	female	2.149866032	meanmale
TRINITY_DN107178_c0_g3_i1	FC1	female	4.135449993	meanmale
TRINITY_DN107308_c0_g1_i1	FC1	female	3.428990565	meanmale
TRINITY_DN107361_c0_g1_i2	FC1	female	0.522645107	meanmale
TRINITY_DN107371_c0_g1_i1	FC1	female	0.234071577	meanmale
TRINITY_DN107374_c0_g2_i1	FC1	female	1.194829514	meanmale
TRINITY_DN107473_c0_g2_i2	FC1	female	0.177194896	meanmale
TRINITY_DN107522_c0_g2_i2	FC1	female	3.149492145	meanmale
TRINITY_DN107530_c1_g1_i1	FC1	female	5.625570838	meanmale
TRINITY_DN107645_c0_g1_i1	FC1	female	5.753565674	meanmale
TRINITY_DN107696_c0_g1_i4	FC1	female	2.505828523	meanmale
TRINITY_DN107727_c0_g1_i1	FC1	female	4.574191651	meanmale
TRINITY_DN107740_c0_g1_i1	FC1	female	2.484377025	meanmale
TRINITY_DN107777_c0_g3_i1	FC1	female	0.658353408	meanmale
TRINITY_DN107787_c0_g1_i1	FC1	female	5.241025266	meanmale
TRINITY_DN107852_c0_g1_i2	FC1	female	4.771780924	meanmale
TRINITY_DN107990_c0_g1_i1	FC1	female	4.086040772	meanmale
TRINITY_DN108427_c0_g3_i5	FC1	female	5.091000056	meanmale
TRINITY_DN108429_c0_g1_i1	FC1	female	3.958126941	meanmale
TRINITY_DN108429_c0_g2_i1	FC1	female	3.773847621	meanmale
TRINITY_DN108436_c0_g1_i2	FC1	female	6.137890038	meanmale
TRINITY_DN108450_c0_g1_i2	FC1	female	4.821830962	meanmale
TRINITY_DN108450_c0_g4_i1	FC1	female	5.830173858	meanmale
TRINITY_DN108541_c0_g1_i1	FC1	female	3.345046125	meanmale
TRINITY_DN108556_c0_g1_i1	FC1	female	1.279177222	meanmale
TRINITY_DN108604_c0_g1_i1	FC1	female	3.183677571	meanmale
TRINITY_DN108688_c0_g1_i1	FC1	female	1.811113785	meanmale
TRINITY_DN108703_c0_g8_i1	FC1	female	2.364860429	meanmale
TRINITY_DN108714_c0_g1_i1	FC1	female	1.283836969	meanmale
TRINITY_DN108717_c0_g3_i1	FC1	female	1.408622734	meanmale
TRINITY_DN108930_c0_g1_i3	FC1	female	0.622130579	meanmale
TRINITY_DN108932_c0_g1_i1	FC1	female	4.841528594	meanmale
TRINITY_DN108991_c0_g1_i1	FC1	female	0.224299572	meanmale
TRINITY_DN109077_c0_g1_i1	FC1	female	1.645264032	meanmale
TRINITY_DN109275_c0_g1_i1	FC1	female	5.005364395	meanmale
TRINITY_DN109288_c0_g1_i1	FC1	female	1.508069592	meanmale
TRINITY_DN109332_c0_g1_i1	FC1	female	6.070849054	meanmale
TRINITY_DN109352_c0_g2_i1	FC1	female	0.25960678	meanmale
TRINITY_DN109430_c0_g5_i1	FC1	female	3.066783776	meanmale
TRINITY_DN109440_c0_g1_i1	FC1	female	1.532221508	meanmale
TRINITY_DN109459_c0_g1_i1	FC1	female	3.744209589	meanmale
TRINITY_DN109541_c0_g2_i1	FC1	female	6.186489692	meanmale
TRINITY_DN109560_c0_g1_i1	FC1	female	4.006280895	meanmale
TRINITY_DN109586_c0_g1_i1	FC1	female	4.636639731	meanmale
TRINITY_DN109615_c0_g1_i1	FC1	female	0.241448877	meanmale
TRINITY_DN109619_c0_g1_i1	FC1	female	3.554251938	meanmale
TRINITY_DN109646_c1_g1_i3	FC1	female	5.129645318	meanmale
TRINITY_DN109667_c0_g1_i2	FC1	female	4.981403507	meanmale
TRINITY_DN109669_c1_g2_i1	FC1	female	5.826488918	meanmale
TRINITY_DN109713_c0_g1_i1	FC1	female	1.939885389	meanmale
TRINITY_DN109790_c0_g1_i1	FC1	female	5.778280416	meanmale
TRINITY_DN109864_c0_g1_i1	FC1	female	5.686629812	meanmale
TRINITY_DN109936_c0_g2_i1	FC1	female	5.411985454	meanmale
