gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	meanXX	log2meanXY	group1	log2meanXX	group2
TRINITY_DN100399_c0_g2_i1	0.002216698	0.005365166	8.39706046	2	3.069884375	0.268487107	-1.897075285	1.384475498	0.469339522	1.603837779	0.681528227	3.557009565	1.830664854	4.656243642	2.21916655	1.717797013	0.780559568	6.100623326	2.608956656	1.040080688	0.056695455	1.900699106	0.926530161	ifnar1	Chr02	10560295	10560295	0.089802792	-1.840518003	1	female	1.306180339	4.819082498	0.385354097	meanmale	2.268758499	meanfemale
TRINITY_DN100550_c0_g2_i1	2.41E-05	8.78E-05	2.972595603	2	1.57172321	1.20572124	0.269896398	7.858101728	2.974180844	0.825287691	-0.277030972	2.38497855	1.253976291	5.082351828	2.34549625	0.918366501	-0.122858077	5.856533302	2.550046933	0.973081625	-0.039367267	1.727453964	0.788647264	NA	NA	NA	NA	1.344732952	-2.097017066	1	female	1.129982204	4.830912202	0.176300052	meanmale	2.272295633	meanfemale
TRINITY_DN100638_c0_g2_i1	7.74E-08	4.30E-07	143.5967992	2	7.165879781	62.88423959	5.974626581	118.1810924	6.884855429	47.07112575	5.556770452	94.9916602	6.569728952	119.9650792	6.906470701	35.92296702	5.166834608	110.2447445	6.784566072	45.2643606	5.50030367	54.65086286	5.772172369	LOC100495096	scaffold_261	12460	12460	7.462843195	-1.260719512	1	female	49.15871116	117.3958751	5.619375187	meanmale	6.875237908	meanfemale
TRINITY_DN100806_c0_g1_i1	1.03E-06	4.78E-06	20.42175817	2	4.352035172	1.017249286	0.024673268	5.026964606	2.329687531	1.898953892	0.925204876	8.423042835	3.074341503	5.145486633	2.363307526	2.4406588	1.287270623	20.8529948	4.382182686	1.231461995	0.300372105	0.771579273	-0.374113706	NA	NA	NA	NA	1.211897233	-2.974916478	1	female	1.471980649	11.97404941	0.557758706	meanmale	3.581839223	meanfemale
TRINITY_DN101035_c0_g3_i1	1.27E-09	9.34E-09	30.97810169	2	4.953176835	3.682355285	1.880628829	15.07012944	3.913619903	0.916540058	-0.125730159	26.32847194	4.718551887	20.02001973	4.323371491	4.647878428	2.216572333	42.78842364	5.419148625	3.905870463	1.965644103	2.128038766	1.089524432	ptbp3	Chr01	95962064	95962064	2.857158672	-3.143141818	3	female	3.0561366	27.03702929	1.611709029	meanmale	4.756864738	meanfemale
TRINITY_DN101042_c0_g2_i1	8.00E-07	3.78E-06	10.4834361	2	3.390039754	3.720683993	1.895567864	20.0790506	4.327619151	2.703152703	1.434643013	13.1188691	3.713571454	14.36334265	3.844319628	5.49939138	2.459271964	14.53741765	3.861699114	5.518643437	2.464313675	5.423900143	2.439330618	ca14	Chr08	111966709	111966709	4.55084606	-1.660433523	1	female	4.573154331	14.51642322	2.193189607	meanmale	3.859614119	meanfemale
TRINITY_DN101047_c0_g1_i2	8.59E-22	2.38E-20	45.09307323	2	5.494833932	8.340502248	3.060134262	41.51900397	5.375699929	6.67271298	2.738273449	49.59846381	5.632223532	49.35004921	5.624979618	6.336242952	2.663627654	54.41459186	5.765921672	3.881385768	1.956571829	7.558619175	2.918122704	NA	NA	NA	NA	5.375597585	-2.882178859	1	female	6.557892625	47.99503642	2.71323228	meanmale	5.584813307	meanfemale
TRINITY_DN101072_c0_g2_i2	8.47E-49	9.60E-47	1751.295433	2	10.77420676	32.46565095	5.020842231	1213.804417	10.24532026	16.62891275	4.055621939	1194.223907	10.22185764	717.4059333	9.486645867	24.96530587	4.641852677	1636.440323	10.67634528	15.17522707	3.923646199	21.59950051	4.432926045	NA	NA	NA	NA	9.994668229	-5.891858286	5	female	22.16691943	1302.634003	4.470336386	meanmale	10.34721608	meanfemale
TRINITY_DN101150_c0_g1_i1	3.34E-09	2.30E-08	13.83322248	2	3.79006537	5.006561255	2.323820032	19.14741429	4.259077675	2.873900185	1.523009956	9.482923617	3.245331915	14.9458986	3.901677734	4.304338523	2.105791546	14.83828571	3.89125252	1.878861846	0.909858988	2.816446161	1.493875893	NA	NA	NA	NA	4.54879022	-2.091770351	1	female	3.376021594	14.44954894	1.755324132	meanmale	3.852952553	meanfemale
TRINITY_DN101457_c0_g1_i1	6.55E-16	1.06E-14	116.0706731	2	6.858859691	36.01778845	5.170637695	119.7692018	6.904113162	36.58936453	5.193352455	105.1417197	6.716191427	119.4653618	6.900448569	21.53541729	4.428639374	109.2876689	6.771986818	20.2972688	4.343213706	31.19353726	4.963175254	NA	NA	NA	NA	7.473385529	-1.975176504	1	female	29.12667527	113.9469251	4.864269126	meanmale	6.832218183	meanfemale
