gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	meanXX	log2meanXY	group1	log2meanXX	group2
TRINITY_DN100115_c0_g2_i1	0.002914898	0.006864311	1.211711368	2	0.277046087	14.69335347	3.877091795	5.543960966	2.4709171	7.492765114	2.905498226	0.989139239	-0.015754475	0	NA	2.374791276	1.247800718	0	NA	5.379629597	2.427506842	15.94709722	3.995221935	NA	NA	NA	NA	1.332972658	2.568132847	1	male	9.177527335	1.548962315	3.198105506	meanmale	0.631302045	meanfemale
TRINITY_DN100998_c0_g1_i1	0.025576604	0.047073578	4.058972551	2	2.021114584	3.1372477	1.649499441	1.595737006	0.6742229	7.553649585	2.917173858	3.604983306	1.849992579	0.370121009	-1.433931066	7.402759217	2.888063104	2.846349225	1.50911268	5.270541797	2.397951275	5.698063665	2.510471741	NA	NA	NA	NA	2.452869802	1.200132494	1	male	5.812452393	2.495232619	2.539146995	meanmale	1.319174318	meanfemale
TRINITY_DN101247_c0_g3_i1	0.024329451	0.045137534	1.239871121	2	0.310190167	3.237102114	1.694702876	2.955942128	1.563618024	2.492684874	1.317700508	2.568707237	1.361042471	0.986827424	-0.019130286	4.045152016	2.01619392	1.848847497	0.886626228	4.702526643	2.233436118	4.910656473	2.295915902	NA	NA	NA	NA	2.270066181	1.005937148	1	male	3.877624424	1.920039081	1.955173075	meanmale	0.941135677	meanfemale
TRINITY_DN101361_c0_g1_i2	0.002027093	0.004948195	2.076178625	2	1.053930572	10.42723695	3.382285012	1.51349472	0.597883642	2.94139038	1.556498271	1.151196856	0.203134557	1.841833783	0.881142871	2.266161595	1.18025074	2.060260701	1.042826905	6.103925712	2.609737404	3.046435425	1.60712216	NA	NA	NA	NA	2.584065067	1.508402493	1	male	4.957030012	1.728592937	2.309475994	meanmale	0.789598172	meanfemale
TRINITY_DN101809_c0_g1_i2	3.81E-11	3.47E-10	2.812964199	2	1.492091191	14.38101113	3.84609321	2.315273491	1.211182621	10.0283507	3.326012449	1.662060186	0.732972625	1.975299295	0.982071265	9.885435643	3.305304546	2.113486594	1.079624961	11.47195916	3.520039888	9.736008999	3.283330502	sumo2	Chr10	35830902	35830902	3.789000596	2.349384489	1	male	11.10055313	2.175816753	3.472559661	meanmale	1.121557058	meanfemale
TRINITY_DN101895_c0_g1_i1	0.001478171	0.00372723	2.72680956	2	1.447213946	5.211090661	2.381585355	0.284353553	-1.814242264	4.138184975	2.048998134	0.456602659	-1.130988834	0.478166435	-1.064415232	4.687379729	2.228781674	2.124635177	1.087215136	3.92525401	1.972786016	4.433593224	2.148476411	NA	NA	NA	NA	1.557904846	1.869543753	1	male	4.47910052	1.214113477	2.163209043	meanmale	0.279903269	meanfemale
TRINITY_DN101897_c0_g1_i1	0.003362756	0.007812953	0.942671368	2	-0.085173185	1.433846513	0.519890598	1.36921215	0.453346	2.141310653	1.098494111	0.659586526	-0.600366167	1.381473065	0.466207434	6.734762123	2.751626989	1.180441199	0.239326179	2.545820069	1.348130457	2.6584959	1.410610241	NA	NA	NA	NA	1.215306731	1.518446502	1	male	3.102847052	1.106676862	1.633592584	meanmale	0.146234031	meanfemale
TRINITY_DN102000_c0_g1_i1	2.55E-05	9.24E-05	19.90363529	2	4.31496005	90.88731121	6.506006989	10.05392921	3.329687531	31.69305354	4.986094761	18.37951142	4.200026511	11.27106596	3.49455206	32.28285321	5.012696187	16.59478363	4.052657914	38.34583195	5.260997866	51.5705121	5.688474467	polr1a	Chr01	15112002	15112002	4.137722113	1.662161837	1	male	48.9559124	15.2405851	5.613411199	meanmale	3.929846385	meanfemale
TRINITY_DN102067_c0_g2_i1	4.00E-24	1.38E-22	5.777084454	2	2.530341585	25.51963781	4.673535949	4.418801966	2.143655276	69.24609521	6.113660815	4.568823541	2.191822723	3.534074663	1.821332519	76.5948251	6.259175019	2.973337955	1.572083452	63.76068918	5.994595318	44.13480706	5.463844986	NA	NA	NA	NA	5.304397413	3.718726949	3	male	55.85121087	4.254424516	5.803516654	meanmale	2.088963996	meanfemale
TRINITY_DN102192_c0_g1_i1	0.009752191	0.020176946	1.515744786	2	0.60002686	2.689770466	1.427483064	2.568522062	1.360938466	4.016911225	2.006086578	2.309676223	1.207690625	2.483542362	1.312399355	4.780365776	2.257121012	1.328642576	0.409953051	6.65708579	2.73489076	4.684856633	2.228004899	NA	NA	NA	NA	0.953147981	1.157650512	1	male	4.565797978	2.041225602	2.190867026	meanmale	1.029435642	meanfemale
