gid	Am2_463	base	logAm2_463	Am2_464	logAm2_464	Am4_461	logAm4_461	Am6_462	logAm6_462	Am6_464	logAm6_464	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	meanXY	meanXX	log2meanXY	male	female	log2meanXX	cutoff
TRINITY_DN102894_c0_g1_i2	0	2	NA	180.9144574	7.499163892	0	NA	0	NA	121.8334765	6.928766791	NA	NA	NA	NA	5.998675446	-14.88551524	7.32E-94	1.14E-90	0	151.373967	-13.28771238	meanmale	meanfemale	7.241974257	FC7
TRINITY_DN119116_c0_g1_i1	0	2	NA	124.3023798	6.957710107	0	NA	0	NA	53.20060589	5.733370771	ccdc28b	Chr02	82466852	82466852	5.359601764	-14.24629998	1.42E-69	5.12E-67	0	88.75149285	-13.28771238	meanmale	meanfemale	6.471701107	FC7
TRINITY_DN103637_c0_g2_i1	0	2	NA	55.82516332	5.802843662	0	NA	0	NA	20.15147281	4.33281338	NA	NA	NA	NA	5.157001326	-14.0437609	2.27E-62	6.51E-60	0	37.98831807	-13.28771238	meanmale	meanfemale	5.247487731	FC7
TRINITY_DN119774_c0_g1_i2	0	2	NA	67.01138816	6.066334388	0	NA	0	NA	72.34603344	6.176842014	NA	NA	NA	NA	5.129158272	-14.01438195	9.01E-100	2.25E-95	0	69.6787108	-13.28771238	meanmale	meanfemale	6.122648097	FC7
TRINITY_DN151741_c0_g1_i1	0	2	NA	90.66778513	6.502518137	0	NA	0	NA	58.67504189	5.874675062	NA	NA	NA	NA	4.738147567	-13.6230719	3.81E-83	2.44E-80	0	74.67141351	-13.28771238	meanmale	meanfemale	6.222486068	FC7
TRINITY_DN126078_c0_g1_i1	0	2	NA	31.98180513	4.999179465	0	NA	0	NA	30.34439573	4.923358186	NA	NA	NA	NA	4.73024097	-13.61463927	2.11E-93	3.10E-90	0	31.16310043	-13.28771238	meanmale	meanfemale	4.961771499	FC7
TRINITY_DN127129_c2_g3_i1	0	2	NA	130.1551133	7.024088181	0.016385647	-5.93142355	0	NA	69.6495847	6.122042845	NA	NA	NA	NA	6.378606543	-13.41195137	1.12E-83	7.36E-81	0.005461882	99.902349	-7.490211061	meanmale	meanfemale	6.642448139	FC7
TRINITY_DN83270_c0_g2_i1	0	2	NA	26.18377849	4.710601397	0	NA	0	NA	33.33025156	5.058760301	NA	NA	NA	NA	4.286241384	-13.16881241	1.62E-78	8.07E-76	0	29.75701503	-13.28771238	meanmale	meanfemale	4.895162758	FC7
TRINITY_DN124389_c0_g1_i1	0	2	NA	43.64350887	5.447695192	0	NA	0	NA	22.81823316	4.512115181	apbb3	Chr03	14114667	14114667	4.262423971	-13.14677515	1.83E-64	5.62E-62	0	33.23087102	-13.28771238	meanmale	meanfemale	5.054456544	FC7
TRINITY_DN103798_c0_g1_i1	0.026545897	2	-5.235367298	145.6375982	7.186239043	0.015057275	-6.053395489	0	NA	112.2403017	6.810446982	ercc3	scaffold_33	1195941	1195941	6.865112502	-13.09839422	2.44E-96	7.04E-93	0.013867724	128.93895	-6.161759233	meanmale	meanfemale	7.010545448	FC7
TRINITY_DN111028_c0_g1_i1	0	2	NA	201.2441714	7.652803189	0.037593766	-4.733362743	0	NA	158.3370442	7.306855015	NA	NA	NA	NA	6.024976258	-13.05645752	4.88E-98	5.41E-94	0.012531255	179.7906078	-6.306858164	meanmale	meanfemale	7.490174649	FC7
TRINITY_DN132173_c9_g2_i1	0	2	NA	32.83724265	5.037261084	0	NA	0	NA	14.66253581	3.874062727	zbtb10	Chr06	108817196	108817196	4.170596829	-13.05525095	1.20E-57	2.86E-55	0	23.74988923	-13.28771238	meanmale	meanfemale	4.569854954	FC7
TRINITY_DN124448_c4_g1_i1	0	2	NA	85.92825486	6.42506069	0	NA	0	NA	78.94986263	6.302864851	rcn2	Chr07	76254321	76254321	3.79915727	-12.68027028	7.31E-64	2.22E-61	0	82.43905875	-13.28771238	meanmale	meanfemale	6.365257878	FC7
TRINITY_DN128402_c0_g1_i2	0.044608054	2	-4.486551977	575.671654	9.169102366	0.101209728	-3.30458013	0.109046619	-3.196983055	683.1096853	9.415973437	NA	NA	NA	NA	8.398604446	-12.67847167	8.67E-98	5.41E-94	0.0849548	629.3906697	-3.555463529	meanmale	meanfemale	9.297812211	FC7
TRINITY_DN123147_c0_g1_i1	0	2	NA	19.81226236	4.308321726	0	NA	0	NA	17.35361547	4.117164362	ddx20	Chr02	72871752	72871752	3.739182	-12.62014153	1.96E-62	5.70E-60	0	18.58293892	-13.28771238	meanmale	meanfemale	4.215914542	FC7
TRINITY_DN74428_c0_g1_i1	0.020917727	2	-5.579130098	417.4883211	8.70559203	0.118648835	-3.07523016	0.038350822	-4.704598689	396.0909881	8.629688067	NA	NA	NA	NA	8.863830545	-12.55346993	7.58E-90	7.27E-87	0.059305795	406.7896546	-4.073252526	meanmale	meanfemale	8.668139534	FC7
TRINITY_DN124226_c0_g1_i1	0	2	NA	20.24050539	4.339173408	0	NA	0	NA	9.66806814	3.273227641	NA	NA	NA	NA	3.607120603	-12.48998889	1.31E-48	2.40E-46	0	14.95428677	-13.28771238	meanmale	meanfemale	3.902496846	FC7
TRINITY_DN135526_c5_g2_i2	0	2	NA	36.09711093	5.173811469	0	NA	0	NA	25.98200416	4.699440814	NA	NA	NA	NA	3.555623373	-12.43637533	3.70E-56	8.39E-54	0	31.03955755	-13.28771238	meanmale	meanfemale	4.956040736	FC7
TRINITY_DN97753_c0_g2_i1	0	2	NA	29.04349239	4.860143038	0	NA	0	NA	24.3435931	4.60547022	NA	NA	NA	NA	3.555074338	-12.43522336	3.55E-58	8.85E-56	0	26.69354275	-13.28771238	meanmale	meanfemale	4.738424291	FC7
TRINITY_DN123696_c0_g1_i1	0	2	NA	18.27925022	4.19213499	0	NA	0	NA	7.079147604	2.823575657	NA	NA	NA	NA	3.444261482	-12.32770841	5.82E-42	8.65E-40	0	12.67919891	-13.28771238	meanmale	meanfemale	3.66440307	FC7
TRINITY_DN129649_c3_g2_i1	0.038981813	2	-4.681055	136.1669671	7.089232951	0.022111134	-5.499083172	0	NA	82.65937359	6.369106526	NA	NA	NA	NA	6.076777602	-12.3093902	2.45E-86	1.80E-83	0.020364316	109.4131703	-5.610745766	meanmale	meanfemale	6.773643918	FC7
TRINITY_DN136663_c13_g1_i1	0.100878829	2	-3.309304661	254.996932	7.994336079	0.057220154	-4.127332809	0	NA	260.6875998	8.026178149	fmo3	Chr04	97624423	97624423	6.936171715	-12.28218665	4.00E-97	1.66E-93	0.052699661	257.8422659	-4.243327523	meanmale	meanfemale	8.010345521	FC7
TRINITY_DN120071_c0_g1_i2	0.022868153	2	-5.450516342	97.60241589	6.608844953	0.025942395	-5.268544515	0	NA	77.13995421	6.269406384	scn1b	Chr07	115930063	115930063	6.518917188	-12.25113043	2.82E-96	7.04E-93	0.016270183	87.37118505	-5.93278577	meanmale	meanfemale	6.449087305	FC7
TRINITY_DN120456_c0_g1_i1	0.069549641	2	-3.845813122	85.46141509	6.417201301	0	NA	0	NA	131.0998344	7.034522053	ddx49	Chr01	100443086	100443086	5.219518705	-12.23283386	3.89E-88	3.03E-85	0.023183214	108.2806247	-5.42456599	meanmale	meanfemale	6.758632639	FC7
TRINITY_DN83270_c0_g1_i1	0.036624992	2	-4.771027745	408.7702448	8.675146373	0.083097225	-3.58905589	0.111914532	-3.159530714	420.937314	8.717461593	LOC101731749	Chr04	23281296	23281296	8.083421124	-12.21851828	3.70E-97	1.66E-93	0.07721225	414.8537794	-3.693159171	meanmale	meanfemale	8.696459467	FC7
TRINITY_DN45107_c0_g2_i1	0	2	NA	34.07606513	5.090686848	0	NA	0	NA	18.76645127	4.230083958	NA	NA	NA	NA	3.280568582	-12.16131876	3.62E-46	5.90E-44	0	26.4212582	-13.28771238	meanmale	meanfemale	4.723632726	FC7
TRINITY_DN119288_c0_g1_i2	0	2	NA	117.8437592	6.880731548	0	NA	0.058951158	-4.084336037	95.00930254	6.569996872	slc38a9	Chr01	178601879	178601879	7.048378351	-12.12575199	1.53E-89	1.41E-86	0.019650386	106.4265309	-5.66197534	meanmale	meanfemale	6.733715388	FC7
TRINITY_DN109666_c0_g1_i1	0	2	NA	605.03051	9.240864085	0.218394295	-2.194992925	0.15687003	-2.672358343	788.0011081	9.622053848	NA	NA	NA	NA	7.019894359	-12.10335183	8.39E-96	1.74E-92	0.125088108	696.5158091	-2.997830568	meanmale	meanfemale	9.444012495	FC7
TRINITY_DN69456_c0_g1_i2	0.064719805	2	-3.949648929	254.5099937	7.991578497	0.055065228	-4.182714601	0.0395527	-4.660080009	225.5606266	7.817371446	NA	NA	NA	NA	7.474527895	-12.0777447	6.89E-98	5.41E-94	0.053112578	240.0353102	-4.232088899	meanmale	meanfemale	7.907103438	FC7
TRINITY_DN75302_c0_g2_i1	0.03164981	2	-4.981659351	149.8419761	7.227298021	0.0538569	-4.214724999	0	NA	120.9340491	6.918076684	NA	NA	NA	NA	6.681680989	-12.04477145	4.29E-94	7.14E-91	0.028502237	135.3880126	-5.127728221	meanmale	meanfemale	7.080957262	FC7
TRINITY_DN122649_c5_g3_i1	0	2	NA	14.24465947	3.832349228	0	NA	0	NA	9.681152772	3.275178845	NA	NA	NA	NA	3.133121754	-12.01173182	4.09E-48	7.34E-46	0	11.96290612	-13.28771238	meanmale	meanfemale	3.580508057	FC7
TRINITY_DN102894_c0_g2_i1	0	2	NA	178.7411403	7.481727923	0.087543191	-3.513861218	0	NA	155.7566236	7.283149705	NA	NA	NA	NA	5.700771851	-11.94937372	2.70E-96	7.04E-93	0.029181064	167.248882	-5.093888228	meanmale	meanfemale	7.385853619	FC7
TRINITY_DN131553_c0_g1_i1	0	2	NA	185.9711996	7.538935406	0.064567559	-3.953046703	0.046378111	-4.43041213	151.8728146	7.246719839	hook2-like	scaffold_185	94113	94113	7.738728711	-11.89359551	1.40E-90	1.45E-87	0.03698189	168.9220071	-4.753141412	meanmale	meanfemale	7.400214338	FC7
TRINITY_DN105647_c0_g2_i1	0.049940426	2	-4.323648062	290.6479432	8.183128889	0.084981127	-3.556713713	0.061040935	-4.034079129	237.1668417	7.889758511	NA	NA	NA	NA	6.986414829	-11.81141532	4.45E-96	1.01E-92	0.065320829	263.9073925	-3.934106141	meanmale	meanfemale	8.0438885	FC7
TRINITY_DN135315_c2_g1_i1	0	2	NA	41.04355299	5.35908372	0	NA	0	NA	27.71376985	4.792531066	NA	NA	NA	NA	2.875661784	-11.75233216	2.84E-46	4.65E-44	0	34.37866142	-13.28771238	meanmale	meanfemale	5.103445664	FC7
TRINITY_DN92285_c0_g1_i1	0.079394151	2	-3.654823462	98.39788424	6.62055539	0	NA	0	NA	65.89493485	6.042095669	NA	NA	NA	NA	4.638194243	-11.65052315	1.69E-78	8.27E-76	0.026464717	82.14640955	-5.234344846	meanmale	meanfemale	6.36012737	FC7
TRINITY_DN45107_c0_g1_i1	0	2	NA	21.27665017	4.411199123	0	NA	0	NA	9.593873909	3.262113479	NA	NA	NA	NA	2.754141497	-11.63315435	2.34E-38	3.12E-36	0	15.43526204	-13.28771238	meanmale	meanfemale	3.948167417	FC7
TRINITY_DN97753_c0_g1_i1	0	2	NA	145.4954683	7.184830408	0.068790195	-3.861653245	0.037058386	-4.754056141	133.1533381	7.056944787	NA	NA	NA	NA	6.78377042	-11.62479257	1.74E-94	3.09E-91	0.03528286	139.3244032	-4.82080551	meanmale	meanfemale	7.122305199	FC7
TRINITY_DN118245_c0_g1_i2	0.128615153	2	-2.958867469	686.4480902	9.423006816	0.437715955	-1.191933123	0.078601544	-3.669298538	779.9766556	9.607287135	NA	NA	NA	NA	7.09250243	-11.53519483	4.06E-93	5.63E-90	0.214977551	733.2123729	-2.217071148	meanmale	meanfemale	9.518087518	FC7
TRINITY_DN101072_c0_g2_i2	0.079394151	2	-3.654823462	193.2461163	7.59429561	0.045033686	-4.472851623	0.072781115	-3.780292036	198.7669366	7.634933985	hdgf	Chr08	110018458	110018458	6.886359301	-11.48717789	4.69E-97	1.67E-93	0.065736317	196.0065265	-3.924972551	meanmale	meanfemale	7.614758619	FC7
TRINITY_DN135315_c3_g5_i3	0	2	NA	31.31242053	4.968663132	0	NA	0	NA	17.14576074	4.099780011	NA	NA	NA	NA	2.596927622	-11.47298118	9.73E-40	1.36E-37	0	24.22909064	-13.28771238	meanmale	meanfemale	4.598674308	FC7
TRINITY_DN119058_c0_g1_i1	0	2	NA	48.23179614	5.591912632	0	NA	0	NA	20.16207526	4.333572236	NA	NA	NA	NA	2.496269162	-11.37422669	1.55E-34	1.80E-32	0	34.1969357	-13.28771238	meanmale	meanfemale	5.095799368	FC7
TRINITY_DN208554_c0_g1_i1	0	2	NA	161.0666077	7.331513616	0.13175116	-2.924112431	0	NA	141.0509553	7.140072627	NA	NA	NA	NA	6.285689591	-11.37191644	3.57E-92	3.87E-89	0.043917053	151.0587815	-4.505793621	meanmale	meanfemale	7.2389672	FC7
TRINITY_DN130516_c0_g2_i1	0	2	NA	13.23564922	3.726357057	0	NA	0	NA	6.012107396	2.587870781	pfas	Chr09	3120017	3120017	2.49011818	-11.36717269	1.42E-35	1.66E-33	0	9.623878308	-13.28771238	meanmale	meanfemale	3.266633391	FC7
TRINITY_DN119058_c0_g2_i1	0	2	NA	31.44816334	4.974903857	0	NA	0	NA	10.91861329	3.448717734	mrpl47	Chr05	95219025	95219025	2.285735101	-11.16410936	1.36E-30	1.35E-28	0	21.18338832	-13.28771238	meanmale	meanfemale	4.404868274	FC7
TRINITY_DN109929_c0_g1_i1	0.048346159	2	-4.370454915	138.0583756	7.109134604	0.054845495	-4.188483067	0.029546151	-5.080885988	85.66374974	6.420612924	NA	NA	NA	NA	5.798559399	-11.15822606	6.17E-85	4.40E-82	0.044245935	111.8610627	-4.495054325	meanmale	meanfemale	6.80556542	FC7
TRINITY_DN96567_c0_g1_i1	0	2	NA	14.15672948	3.823416104	0	NA	0	NA	6.130282882	2.615953649	NA	NA	NA	NA	2.224790279	-11.10002577	1.46E-32	1.58E-30	0	10.14350618	-13.28771238	meanmale	meanfemale	3.342498735	FC7
TRINITY_DN98815_c0_g2_i1	0.071017277	2	-3.815686145	434.617048	8.763600956	0.161128734	-2.633714303	0.30380925	-1.718762299	401.0222517	8.64753848	NA	NA	NA	NA	7.140373843	-11.0227728	5.39E-93	7.08E-90	0.178651754	417.8196499	-2.483970699	meanmale	meanfemale	8.706736878	FC7
TRINITY_DN110915_c0_g1_i1	0	2	NA	14.37474264	3.845464222	0	NA	0	NA	11.28893196	3.496837095	NA	NA	NA	NA	2.145070253	-11.01236425	1.04E-37	1.33E-35	0	12.8318373	-13.28771238	meanmale	meanfemale	3.681667092	FC7
TRINITY_DN130516_c0_g1_i1	0	2	NA	8.457995093	3.080315723	0	NA	0	NA	9.102568701	3.186273724	micu1	Chr07	32279407	32279407	2.097423496	-10.96064047	4.51E-38	5.92E-36	0	8.780281897	-13.28771238	meanmale	meanfemale	3.13428369	FC7
TRINITY_DN9222_c0_g1_i1	0	2	NA	41.79077116	5.385112476	0.024953306	-5.324625223	0	NA	12.52807916	3.647093328	dyrk3	Chr02	65700950	65700950	3.898632362	-10.93332083	4.12E-40	5.94E-38	0.008317769	27.15942516	-6.892346422	meanmale	meanfemale	4.763386352	FC7
TRINITY_DN165190_c0_g1_i1	0.031001913	2	-5.011498949	40.21099051	5.329517969	0.017584802	-5.829527099	0	NA	25.10139143	4.649695433	NA	NA	NA	NA	4.66486348	-10.89538132	2.24E-75	9.82E-73	0.016195572	32.65619097	-5.939376225	meanmale	meanfemale	5.029289037	FC7
TRINITY_DN135585_c3_g1_i1	0.03951581	2	-4.661426209	82.94094165	6.374012522	0.022414026	-5.479454381	0.048299187	-4.371857285	68.25264334	6.092813016	NA	NA	NA	NA	5.52219333	-10.87906323	8.74E-93	1.09E-89	0.036743008	75.5967925	-4.76246535	meanmale	meanfemale	6.240255027	FC7
TRINITY_DN68190_c0_g2_i1	0	2	NA	8.619190067	3.107552308	0	NA	0	NA	6.380975797	2.673777062	NA	NA	NA	NA	2.011180026	-10.87712982	2.44E-35	2.85E-33	0	7.500082932	-13.28771238	meanmale	meanfemale	2.906925784	FC7
TRINITY_DN105624_c0_g1_i1	0	2	NA	25.55956629	4.675791451	0	NA	0.024615244	-5.344304149	21.58544827	4.431987149	NA	NA	NA	NA	3.817293593	-10.84079259	1.39E-61	3.91E-59	0.008205081	23.57250728	-6.911789988	meanmale	meanfemale	4.559039434	FC7
TRINITY_DN121548_c0_g1_i1	0	2	NA	34.01270968	5.08800204	0.01522406	-6.037503037	0.016402892	-5.92990599	19.84794569	4.310917788	Xetrov90020821m	Chr08	52630960	52630960	4.595073329	-10.84046237	5.45E-72	2.19E-69	0.010542317	26.93032769	-6.554043862	meanmale	meanfemale	4.751165237	FC7
TRINITY_DN114957_c0_g1_i3	0	2	NA	12.69196939	3.665844042	0	NA	0	NA	8.338345455	3.059761144	NA	NA	NA	NA	1.968824895	-10.83567142	1.21E-33	1.35E-31	0	10.51515742	-13.28771238	meanmale	meanfemale	3.394412264	FC7
TRINITY_DN133823_c0_g2_i1	0.037385972	2	-4.741359148	70.62230552	6.142052015	0.035343245	-4.822421684	0.03046396	-5.0367527	58.14834581	5.861666246	NA	NA	NA	NA	6.954417352	-10.81273176	1.43E-92	1.70E-89	0.034397726	64.38532567	-4.857354937	meanmale	meanfemale	6.008662251	FC7
TRINITY_DN114382_c0_g1_i2	0.088563943	2	-3.497136735	76.46762749	6.256777208	0	NA	0	NA	23.93683643	4.581160589	NA	NA	NA	NA	3.776027436	-10.77650855	1.51E-39	2.08E-37	0.029521314	50.20223196	-5.077220534	meanmale	meanfemale	5.649682476	FC7
TRINITY_DN110679_c0_g1_i1	0	2	NA	25.11435196	4.650440144	0.012577124	-6.31305413	0.027101996	-5.205457083	35.14761607	5.135354935	NA	NA	NA	NA	5.025042784	-10.76486731	1.58E-88	1.27E-85	0.013226373	30.13098402	-6.229571974	meanmale	meanfemale	4.913180672	FC7
TRINITY_DN112124_c0_g2_i1	0.076972982	2	-3.69950405	49.73383184	5.636155686	0	NA	0	NA	36.29549723	5.181718675	NA	NA	NA	NA	3.752146199	-10.75826753	8.34E-58	2.02E-55	0.025657661	43.01466454	-5.278854617	meanmale	meanfemale	5.426760035	FC7
TRINITY_DN135315_c3_g4_i2	0	2	NA	70.83001047	6.14628885	0.022635509	-5.465268441	0.048776452	-4.357671369	32.82021309	5.036512701	NA	NA	NA	NA	4.968529084	-10.71260842	7.68E-67	2.49E-64	0.023803987	51.82511178	-5.386604921	meanmale	meanfemale	5.695582202	FC7
TRINITY_DN118281_c0_g1_i1	0	2	NA	53.32838426	5.736831713	0	NA	0.063774896	-3.970867549	41.61092935	5.378890605	NA	NA	NA	NA	4.452244047	-10.69335517	4.62E-79	2.40E-76	0.021258299	47.46965681	-5.549059459	meanmale	meanfemale	5.568936754	FC7
TRINITY_DN128784_c3_g3_i1	0	2	NA	14.90488813	3.897713642	0	NA	0	NA	6.939659806	2.794864941	NA	NA	NA	NA	1.818791835	-10.68849987	7.96E-29	7.24E-27	0	10.92227397	-13.28771238	meanmale	meanfemale	3.449214554	FC7
