gid	meanXY	male	meanXX	female	bias	cutoff
TRINITY_DN117550_c0_g1_i1	4.076636062	meanmale	3.059378409	meanfemale	male	FC1
TRINITY_DN131154_c3_g9_i2	4.202199499	meanmale	3.176844717	meanfemale	male	FC1
TRINITY_DN132123_c0_g1_i2	3.198585517	meanmale	2.164110323	meanfemale	male	FC1
TRINITY_DN115904_c0_g3_i2	7.333062692	meanmale	6.292869218	meanfemale	male	FC1
TRINITY_DN115328_c0_g1_i1	4.972356312	meanmale	3.876216286	meanfemale	male	FC1
TRINITY_DN113301_c1_g1_i1	6.771326248	meanmale	5.672154833	meanfemale	male	FC1
TRINITY_DN135618_c2_g1_i1	4.847139523	meanmale	3.732776804	meanfemale	male	FC1
TRINITY_DN131220_c7_g1_i1	4.761764779	meanmale	3.613325116	meanfemale	male	FC1
TRINITY_DN127570_c1_g1_i1	3.565969449	meanmale	2.401152987	meanfemale	male	FC1
TRINITY_DN36259_c0_g1_i1	3.905184733	meanmale	2.684772298	meanfemale	male	FC1
TRINITY_DN122960_c4_g4_i2	4.21999858	meanmale	2.999071225	meanfemale	male	FC1
TRINITY_DN122025_c0_g1_i3	2.894490788	meanmale	1.649484318	meanfemale	male	FC1
TRINITY_DN123754_c0_g1_i2	4.197757336	meanmale	2.934049398	meanfemale	male	FC1
TRINITY_DN134429_c5_g1_i1	5.950043508	meanmale	4.657016908	meanfemale	male	FC1
TRINITY_DN123054_c2_g2_i2	2.188905369	meanmale	0.887146707	meanfemale	male	FC1
TRINITY_DN123558_c0_g1_i1	4.125244987	meanmale	2.819724499	meanfemale	male	FC1
TRINITY_DN105267_c0_g2_i2	3.729774939	meanmale	2.415381469	meanfemale	male	FC1
TRINITY_DN120967_c0_g2_i1	2.888352551	meanmale	1.504763564	meanfemale	male	FC1
TRINITY_DN128884_c3_g1_i1	3.037828436	meanmale	1.634470582	meanfemale	male	FC1
TRINITY_DN136241_c3_g1_i3	2.380016361	meanmale	0.9526492	meanfemale	male	FC1
TRINITY_DN120979_c0_g1_i3	6.874693116	meanmale	5.360941702	meanfemale	male	FC1
TRINITY_DN121505_c1_g3_i1	2.253535403	meanmale	0.736129556	meanfemale	male	FC1
TRINITY_DN133976_c2_g2_i1	2.374467665	meanmale	0.85022521	meanfemale	male	FC1
TRINITY_DN122118_c0_g1_i1	7.011446894	meanmale	5.412728579	meanfemale	male	FC1
TRINITY_DN131144_c0_g8_i1	1.603945272	meanmale	-0.22047638	meanfemale	male	FC1
TRINITY_DN117360_c0_g1_i1	4.778867553	meanmale	2.946229708	meanfemale	male	FC1
TRINITY_DN117646_c0_g2_i1	1.820663728	meanmale	-0.022942784	meanfemale	male	FC1
TRINITY_DN127055_c1_g7_i1	1.722734593	meanmale	-0.142460671	meanfemale	male	FC1
TRINITY_DN114504_c0_g2_i2	0.642659538	meanmale	-1.226666801	meanfemale	male	FC1
TRINITY_DN131925_c1_g2_i3	2.360789679	meanmale	0.420336763	meanfemale	male	FC1
TRINITY_DN117446_c0_g1_i2	0.962121628	meanmale	-1.026723339	meanfemale	male	FC1
TRINITY_DN129733_c3_g5_i1	2.255073671	meanmale	0.153847701	meanfemale	male	FC1
TRINITY_DN128095_c4_g3_i3	2.312671588	meanmale	0.188464852	meanfemale	male	FC1
TRINITY_DN126485_c2_g1_i2	1.707438238	meanmale	-0.443660864	meanfemale	male	FC1
TRINITY_DN91309_c0_g1_i2	0.175433708	meanmale	-2.07614366	meanfemale	male	FC1
TRINITY_DN132104_c0_g2_i3	1.445594315	meanmale	-0.905059536	meanfemale	male	FC1
TRINITY_DN133322_c1_g4_i1	0.547881786	meanmale	-1.791492774	meanfemale	male	FC1
TRINITY_DN125892_c0_g1_i1	1.380662554	meanmale	-1.002934354	meanfemale	male	FC1
TRINITY_DN131144_c0_g4_i3	0.783035001	meanmale	-1.648385935	meanfemale	male	FC1
