gid	meanXY	male	bias	cutoff
TRINITY_DN117550_c0_g1_i1	4.076636062	meanmale	male	FC1
TRINITY_DN131154_c3_g9_i2	4.202199499	meanmale	male	FC1
TRINITY_DN132123_c0_g1_i2	3.198585517	meanmale	male	FC1
TRINITY_DN115904_c0_g3_i2	7.333062692	meanmale	male	FC1
TRINITY_DN115328_c0_g1_i1	4.972356312	meanmale	male	FC1
TRINITY_DN113301_c1_g1_i1	6.771326248	meanmale	male	FC1
TRINITY_DN135618_c2_g1_i1	4.847139523	meanmale	male	FC1
TRINITY_DN131220_c7_g1_i1	4.761764779	meanmale	male	FC1
TRINITY_DN127570_c1_g1_i1	3.565969449	meanmale	male	FC1
TRINITY_DN36259_c0_g1_i1	3.905184733	meanmale	male	FC1
TRINITY_DN122960_c4_g4_i2	4.21999858	meanmale	male	FC1
TRINITY_DN122025_c0_g1_i3	2.894490788	meanmale	male	FC1
TRINITY_DN123754_c0_g1_i2	4.197757336	meanmale	male	FC1
TRINITY_DN134429_c5_g1_i1	5.950043508	meanmale	male	FC1
TRINITY_DN123054_c2_g2_i2	2.188905369	meanmale	male	FC1
TRINITY_DN123558_c0_g1_i1	4.125244987	meanmale	male	FC1
TRINITY_DN105267_c0_g2_i2	3.729774939	meanmale	male	FC1
TRINITY_DN120967_c0_g2_i1	2.888352551	meanmale	male	FC1
TRINITY_DN128884_c3_g1_i1	3.037828436	meanmale	male	FC1
TRINITY_DN136241_c3_g1_i3	2.380016361	meanmale	male	FC1
TRINITY_DN120979_c0_g1_i3	6.874693116	meanmale	male	FC1
TRINITY_DN121505_c1_g3_i1	2.253535403	meanmale	male	FC1
TRINITY_DN133976_c2_g2_i1	2.374467665	meanmale	male	FC1
TRINITY_DN122118_c0_g1_i1	7.011446894	meanmale	male	FC1
TRINITY_DN131144_c0_g8_i1	1.603945272	meanmale	male	FC1
TRINITY_DN117360_c0_g1_i1	4.778867553	meanmale	male	FC1
TRINITY_DN117646_c0_g2_i1	1.820663728	meanmale	male	FC1
TRINITY_DN127055_c1_g7_i1	1.722734593	meanmale	male	FC1
TRINITY_DN114504_c0_g2_i2	0.642659538	meanmale	male	FC1
TRINITY_DN131925_c1_g2_i3	2.360789679	meanmale	male	FC1
TRINITY_DN117446_c0_g1_i2	0.962121628	meanmale	male	FC1
TRINITY_DN129733_c3_g5_i1	2.255073671	meanmale	male	FC1
TRINITY_DN128095_c4_g3_i3	2.312671588	meanmale	male	FC1
TRINITY_DN126485_c2_g1_i2	1.707438238	meanmale	male	FC1
TRINITY_DN91309_c0_g1_i2	0.175433708	meanmale	male	FC1
TRINITY_DN132104_c0_g2_i3	1.445594315	meanmale	male	FC1
TRINITY_DN133322_c1_g4_i1	0.547881786	meanmale	male	FC1
TRINITY_DN125892_c0_g1_i1	1.380662554	meanmale	male	FC1
TRINITY_DN131144_c0_g4_i3	0.783035001	meanmale	male	FC1
TRINITY_DN133534_c1_g5_i1	1.239138892	meanmale	male	FC1
TRINITY_DN128465_c0_g5_i9	6.102872747	meanmale	male	FC1
TRINITY_DN134235_c0_g1_i1	3.928455182	meanmale	male	FC1
TRINITY_DN123918_c0_g2_i1	1.680544985	meanmale	male	FC1
TRINITY_DN117036_c0_g1_i1	2.516370473	meanmale	male	FC1
TRINITY_DN105687_c0_g1_i1	1.495642664	meanmale	male	FC1
TRINITY_DN136506_c0_g1_i1	1.65681191	meanmale	male	FC1
TRINITY_DN209985_c0_g1_i1	2.507829223	meanmale	male	FC1
TRINITY_DN129784_c1_g7_i1	1.490847549	meanmale	male	FC3
TRINITY_DN126942_c1_g2_i1	2.956984363	meanmale	male	FC3
TRINITY_DN122261_c0_g1_i1	0.939316607	meanmale	male	FC3
TRINITY_DN130569_c1_g1_i1	3.367060504	meanmale	male	FC3
TRINITY_DN130300_c0_g1_i3	2.422036288	meanmale	male	FC3
TRINITY_DN125115_c2_g1_i1	3.547953513	meanmale	male	FC3
TRINITY_DN109305_c0_g2_i2	2.347064402	meanmale	male	FC3
TRINITY_DN132765_c1_g1_i7	1.725035215	meanmale	male	FC3
TRINITY_DN131753_c0_g4_i1	2.030523541	meanmale	male	FC3
TRINITY_DN127888_c0_g2_i1	0.081428837	meanmale	male	FC3
TRINITY_DN120963_c0_g1_i2	2.322392792	meanmale	male	FC3
TRINITY_DN110989_c1_g2_i1	1.716128439	meanmale	male	FC3
TRINITY_DN173093_c0_g1_i1	3.648616313	meanmale	male	FC3
TRINITY_DN134524_c3_g3_i1	2.493728304	meanmale	male	FC3
TRINITY_DN132560_c1_g7_i1	1.531340604	meanmale	male	FC3
TRINITY_DN134062_c1_g1_i3	2.314233763	meanmale	male	FC3
TRINITY_DN118022_c0_g1_i1	5.113565374	meanmale	male	FC3
TRINITY_DN38445_c0_g1_i1	3.08273224	meanmale	male	FC3
TRINITY_DN135896_c2_g3_i1	10.51720017	meanmale	male	FC3
TRINITY_DN126719_c0_g1_i3	2.68566644	meanmale	male	FC5
TRINITY_DN128367_c1_g4_i3	11.47715328	meanmale	male	FC5
TRINITY_DN20122_c0_g1_i1	0.61685158	meanmale	male	FC5
TRINITY_DN113348_c0_g3_i1	2.371215225	meanmale	male	FC5
TRINITY_DN133064_c1_g2_i1	1.662528239	meanmale	male	FC7
TRINITY_DN132642_c5_g2_i1	2.702342215	meanmale	male	FC7
TRINITY_DN135864_c0_g11_i1	4.204608254	meanmale	male	FC7
TRINITY_DN93756_c0_g1_i1	2.087727133	meanmale	male	FC7
TRINITY_DN86341_c0_g2_i1	2.045116145	meanmale	male	FC7
