"gid"	"log2RPKM"	"sex"
"TRINITY_DN100108_c0_g1_i1"	-0.312163434271319	"meanmale"
"TRINITY_DN100360_c0_g1_i1"	-2.5540527154851	"meanmale"
"TRINITY_DN106674_c0_g1_i1"	-0.64429519968506	"meanmale"
"TRINITY_DN106700_c0_g1_i1"	-4.61558199278265	"meanmale"
"TRINITY_DN108200_c0_g1_i1"	-2.82779495163361	"meanmale"
"TRINITY_DN110034_c0_g2_i1"	-2.24938521133187	"meanmale"
"TRINITY_DN114180_c0_g1_i1"	0.302694102086071	"meanmale"
"TRINITY_DN114651_c0_g1_i3"	2.96613997146082	"meanmale"
"TRINITY_DN115861_c0_g1_i2"	3.35969433713293	"meanmale"
"TRINITY_DN116526_c0_g1_i1"	2.55960162643372	"meanmale"
"TRINITY_DN117634_c0_g2_i1"	-3.34920869705679	"meanmale"
"TRINITY_DN117838_c2_g1_i2"	-6.19624900177546	"meanmale"
"TRINITY_DN120797_c1_g2_i1"	-4.72199366419469	"meanmale"
"TRINITY_DN120835_c1_g3_i1"	-2.55022501299464	"meanmale"
"TRINITY_DN121659_c3_g3_i2"	2.07296745030722	"meanmale"
"TRINITY_DN122021_c2_g12_i1"	-3.77127646976036	"meanmale"
"TRINITY_DN122048_c0_g1_i1"	-1.99468096815399	"meanmale"
"TRINITY_DN122389_c1_g3_i1"	3.08790813180359	"meanmale"
"TRINITY_DN123024_c0_g1_i1"	-0.571762641532605	"meanmale"
"TRINITY_DN123398_c4_g3_i2"	-3.12025610441891	"meanmale"
"TRINITY_DN123680_c0_g1_i1"	-1.68062880069664	"meanmale"
"TRINITY_DN125191_c6_g2_i1"	-0.0309700285506537	"meanmale"
"TRINITY_DN125863_c4_g1_i1"	-1.31158469980491	"meanmale"
"TRINITY_DN125999_c6_g3_i1"	-4.48735012279397	"meanmale"
"TRINITY_DN126027_c5_g2_i1"	-3.92107437206487	"meanmale"
"TRINITY_DN126126_c1_g3_i1"	-2.32084004669534	"meanmale"
"TRINITY_DN126288_c0_g1_i3"	-2.10871746298901	"meanmale"
"TRINITY_DN126888_c6_g3_i1"	1.47262378213181	"meanmale"
"TRINITY_DN127374_c0_g3_i1"	-4.6028755803751	"meanmale"
"TRINITY_DN127522_c0_g1_i1"	2.93256674112235	"meanmale"
"TRINITY_DN127567_c6_g4_i1"	-3.31358305280817	"meanmale"
"TRINITY_DN127631_c8_g3_i1"	-1.59874894941028	"meanmale"
"TRINITY_DN127864_c2_g3_i1"	-1.99309898428616	"meanmale"
"TRINITY_DN127989_c2_g1_i1"	-2.11683213062406	"meanmale"
"TRINITY_DN129581_c0_g1_i5"	2.72022775008661	"meanmale"
"TRINITY_DN130067_c1_g1_i1"	-0.319295819896194	"meanmale"
"TRINITY_DN130164_c2_g10_i1"	0.34662426149395	"meanmale"
"TRINITY_DN130680_c2_g1_i1"	-2.66469446836299	"meanmale"
"TRINITY_DN131251_c3_g6_i1"	-1.84165881022418	"meanmale"
"TRINITY_DN132431_c2_g3_i1"	-1.15589377945167	"meanmale"
"TRINITY_DN132667_c0_g6_i1"	2.90352799541342	"meanmale"
"TRINITY_DN133748_c2_g1_i1"	-3.59919942589928	"meanmale"
"TRINITY_DN133888_c1_g5_i1"	-2.61157552358544	"meanmale"
"TRINITY_DN134497_c1_g3_i1"	-4.80519605614987	"meanmale"
"TRINITY_DN134769_c2_g1_i4"	-0.32226762009515	"meanmale"
"TRINITY_DN134983_c5_g1_i2"	-2.02679563016132	"meanmale"
"TRINITY_DN135640_c2_g9_i1"	-4.61064501873211	"meanmale"
"TRINITY_DN135864_c0_g1_i1"	4.49927652777719	"meanmale"
"TRINITY_DN135947_c1_g1_i1"	-2.49542299231307	"meanmale"
"TRINITY_DN139125_c0_g1_i1"	-2.63255135567928	"meanmale"
"TRINITY_DN154814_c0_g1_i1"	-3.07161399055074	"meanmale"
"TRINITY_DN177856_c0_g1_i1"	-13.2877123795494	"meanmale"
"TRINITY_DN211480_c0_g1_i1"	-2.84710323807811	"meanmale"
"TRINITY_DN22653_c0_g1_i1"	-4.23913811821183	"meanmale"
"TRINITY_DN25753_c0_g2_i1"	3.1661233704854	"meanmale"
"TRINITY_DN26128_c0_g1_i1"	-3.69265688954587	"meanmale"
"TRINITY_DN27351_c0_g1_i1"	-0.281289844269951	"meanmale"
"TRINITY_DN27358_c0_g2_i1"	-3.56601943890871	"meanmale"
"TRINITY_DN49280_c0_g1_i1"	-3.8735317334453	"meanmale"
"TRINITY_DN60182_c0_g2_i1"	-13.2877123795494	"meanmale"
"TRINITY_DN66610_c0_g1_i1"	-6.38861691176442	"meanmale"
"TRINITY_DN69144_c0_g1_i1"	-2.46658163860992	"meanmale"
"TRINITY_DN81880_c0_g2_i1"	-1.20510104647753	"meanmale"
"TRINITY_DN83284_c0_g2_i1"	-4.55718819029038	"meanmale"
"TRINITY_DN87264_c0_g1_i1"	-3.74052668281793	"meanmale"
"TRINITY_DN87722_c1_g1_i1"	-4.31679874834154	"meanmale"
"TRINITY_DN90220_c0_g1_i1"	-2.38034864103055	"meanmale"
"TRINITY_DN90720_c0_g1_i1"	-0.468724029558319	"meanmale"
"TRINITY_DN91825_c0_g1_i1"	-0.810484978370948	"meanmale"
"TRINITY_DN93345_c0_g1_i1"	-2.30755010035397	"meanmale"
"TRINITY_DN95196_c0_g3_i1"	-2.65173065005366	"meanmale"
"TRINITY_DN98620_c0_g2_i1"	1.02748680266435	"meanmale"
"TRINITY_DN98734_c0_g1_i1"	-3.85558312807314	"meanmale"
