gid	meanXY	group1	sex	cutoff
TRINITY_DN177856_c0_g1_i1	-13.28771238	meanmale	female	FC7
TRINITY_DN60182_c0_g2_i1	-13.28771238	meanmale	female	FC7
TRINITY_DN66610_c0_g1_i1	-6.388616912	meanmale	female	FC7
TRINITY_DN117838_c2_g1_i2	-6.196249002	meanmale	female	FC7
TRINITY_DN135640_c2_g9_i1	-4.610645019	meanmale	female	FC7
TRINITY_DN127567_c6_g4_i1	-3.313583053	meanmale	female	FC5
TRINITY_DN127374_c0_g3_i1	-4.60287558	meanmale	female	FC5
TRINITY_DN134497_c1_g3_i1	-4.805196056	meanmale	female	FC5
TRINITY_DN125999_c6_g3_i1	-4.487350123	meanmale	female	FC5
TRINITY_DN126126_c1_g3_i1	-2.320840047	meanmale	female	FC5
TRINITY_DN83284_c0_g2_i1	-4.55718819	meanmale	female	FC5
TRINITY_DN87722_c1_g1_i1	-4.316798748	meanmale	female	FC5
TRINITY_DN26128_c0_g1_i1	-3.69265689	meanmale	female	FC5
TRINITY_DN98734_c0_g1_i1	-3.855583128	meanmale	female	FC5
TRINITY_DN106700_c0_g1_i1	-4.615581993	meanmale	female	FC5
TRINITY_DN211480_c0_g1_i1	-2.847103238	meanmale	female	FC5
TRINITY_DN134769_c2_g1_i4	-0.32226762	meanmale	female	FC5
TRINITY_DN117634_c0_g2_i1	-3.349208697	meanmale	female	FC5
TRINITY_DN120797_c1_g2_i1	-4.721993664	meanmale	female	FC5
TRINITY_DN134983_c5_g1_i2	-2.02679563	meanmale	female	FC5
TRINITY_DN22653_c0_g1_i1	-4.239138118	meanmale	female	FC5
TRINITY_DN123398_c4_g3_i2	-3.120256104	meanmale	female	FC5
TRINITY_DN27358_c0_g2_i1	-3.566019439	meanmale	female	FC5
TRINITY_DN100108_c0_g1_i1	-0.312163434	meanmale	female	FC5
TRINITY_DN122048_c0_g1_i1	-1.994680968	meanmale	female	FC5
TRINITY_DN106674_c0_g1_i1	-0.6442952	meanmale	female	FC3
TRINITY_DN98620_c0_g2_i1	1.027486803	meanmale	female	FC3
TRINITY_DN90220_c0_g1_i1	-2.380348641	meanmale	female	FC3
TRINITY_DN126027_c5_g2_i1	-3.921074372	meanmale	female	FC3
TRINITY_DN131251_c3_g6_i1	-1.84165881	meanmale	female	FC3
TRINITY_DN27351_c0_g1_i1	-0.281289844	meanmale	female	FC3
TRINITY_DN100360_c0_g1_i1	-2.554052715	meanmale	female	FC3
TRINITY_DN133888_c1_g5_i1	-2.611575524	meanmale	female	FC3
TRINITY_DN87264_c0_g1_i1	-3.740526683	meanmale	female	FC3
TRINITY_DN93345_c0_g1_i1	-2.3075501	meanmale	female	FC3
TRINITY_DN69144_c0_g1_i1	-2.466581639	meanmale	female	FC3
TRINITY_DN90720_c0_g1_i1	-0.46872403	meanmale	female	FC3
TRINITY_DN154814_c0_g1_i1	-3.071613991	meanmale	female	FC3
TRINITY_DN127631_c8_g3_i1	-1.598748949	meanmale	female	FC3
TRINITY_DN91825_c0_g1_i1	-0.810484978	meanmale	female	FC3
TRINITY_DN127989_c2_g1_i1	-2.116832131	meanmale	female	FC3
TRINITY_DN49280_c0_g1_i1	-3.873531733	meanmale	female	FC3
TRINITY_DN123024_c0_g1_i1	-0.571762642	meanmale	female	FC3
TRINITY_DN95196_c0_g3_i1	-2.65173065	meanmale	female	FC3
TRINITY_DN133748_c2_g1_i1	-3.599199426	meanmale	female	FC3
TRINITY_DN108200_c0_g1_i1	-2.827794952	meanmale	female	FC3
TRINITY_DN120835_c1_g3_i1	-2.550225013	meanmale	female	FC3
TRINITY_DN127864_c2_g3_i1	-1.993098984	meanmale	female	FC3
TRINITY_DN135947_c1_g1_i1	-2.495422992	meanmale	female	FC3
TRINITY_DN122021_c2_g12_i1	-3.77127647	meanmale	female	FC3
TRINITY_DN123680_c0_g1_i1	-1.680628801	meanmale	female	FC3
TRINITY_DN139125_c0_g1_i1	-2.632551356	meanmale	female	FC3
TRINITY_DN125191_c6_g2_i1	-0.030970029	meanmale	female	FC3
TRINITY_DN130680_c2_g1_i1	-2.664694468	meanmale	female	FC3
TRINITY_DN132431_c2_g3_i1	-1.155893779	meanmale	female	FC1
TRINITY_DN125863_c4_g1_i1	-1.3115847	meanmale	female	FC1
TRINITY_DN130067_c1_g1_i1	-0.31929582	meanmale	female	FC1
TRINITY_DN110034_c0_g2_i1	-2.249385211	meanmale	female	FC1
TRINITY_DN121659_c3_g3_i2	2.07296745	meanmale	female	FC1
TRINITY_DN126288_c0_g1_i3	-2.108717463	meanmale	female	FC1
TRINITY_DN81880_c0_g2_i1	-1.205101046	meanmale	female	FC1
TRINITY_DN122389_c1_g3_i1	3.087908132	meanmale	female	FC1
TRINITY_DN115861_c0_g1_i2	3.359694337	meanmale	female	FC1
TRINITY_DN25753_c0_g2_i1	3.16612337	meanmale	female	FC1
TRINITY_DN114180_c0_g1_i1	0.302694102	meanmale	female	FC1
TRINITY_DN126888_c6_g3_i1	1.472623782	meanmale	female	FC1
TRINITY_DN130164_c2_g10_i1	0.346624261	meanmale	female	FC1
TRINITY_DN132667_c0_g6_i1	2.903527995	meanmale	female	FC1
TRINITY_DN114651_c0_g1_i3	2.966139971	meanmale	female	FC1
TRINITY_DN116526_c0_g1_i1	2.559601626	meanmale	female	FC1
TRINITY_DN127522_c0_g1_i1	2.932566741	meanmale	female	FC1
TRINITY_DN135864_c0_g1_i1	4.499276528	meanmale	female	FC1
TRINITY_DN129581_c0_g1_i5	2.72022775	meanmale	female	FC1
