gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	meanXX	log2meanXY	group1	log2meanXX	group2
TRINITY_DN100115_c0_g2_i1	0.002914898	0.006864311	1.211711368	2	0.277046087	14.69335347	3.877091795	5.543960966	2.4709171	7.492765114	2.905498226	0.989139239	-0.015754475	0	NA	2.374791276	1.247800718	0	NA	5.379629597	2.427506842	15.94709722	3.995221935	NA	NA	NA	NA	1.332972658	2.568132847	1	male	9.177527335	1.548962315	3.198121226	meanmale	0.631395181	meanfemale
TRINITY_DN100287_c0_g2_i1	8.56E-09	5.49E-08	0.827978611	2	-0.272334596	4.760507634	2.251115423	0.404081365	-1.307282275	4.315350004	2.109477576	0.183842649	-2.443456604	0.382218564	-1.387530245	2.408350238	1.268045213	1.045114065	0.063660408	4.876000282	2.285698209	3.90305898	1.964605264	NA	NA	NA	NA	3.286301767	2.819026546	1	male	4.052653428	0.568647051	2.018902403	meanmale	-0.814140936	meanfemale
TRINITY_DN100300_c0_g1_i1	2.08E-05	7.64E-05	0.554385679	2	-0.851038105	1.499104211	0.584100676	0.080523461	-3.634447007	3.008342744	1.588968944	0.155161315	-2.688159187	0.541630172	-0.884619987	1.413012989	0.498774728	0.092562437	-3.433429341	0.907393049	-0.140200487	2.368883733	1.244207392	NA	NA	NA	NA	0.065192659	2.649538762	1	male	1.839347345	0.284852613	0.879272379	meanmale	-1.811206074	meanfemale
TRINITY_DN100586_c0_g1_i1	4.54E-06	1.87E-05	0.586601796	2	-0.769546607	2.081912734	1.057909598	0	NA	3.800053494	1.926019728	0.766163783	-0.384275265	0	NA	6.765818745	2.758264528	0	NA	10.08129057	3.333608434	0.935775992	-0.095764879	mogat1-like.1	Chr02	169580384	169580384	0.039484078	3.930112321	3	male	4.732970307	0.270553116	2.242776353	meanmale	-1.885483098	meanfemale
TRINITY_DN100830_c0_g1_i2	9.23E-10	6.94E-09	0.503045145	2	-0.991240217	7.617541165	2.929325391	0.92063596	-0.1192973	5.865780248	2.552323024	0	NA	0.516044444	-0.954432773	6.309765192	2.657586319	0.235173169	-2.088204623	3.688658253	1.883096132	4.333404522	2.115500918	NA	NA	NA	NA	1.126675407	3.699629332	3	male	5.563029876	0.434979744	2.475896787	meanmale	-1.200648245	meanfemale
TRINITY_DN100835_c0_g1_i1	6.52E-31	3.34E-29	0.065548307	2	-3.931297671	15.25071176	3.930804671	0.64423852	-0.634333171	11.5614403	3.531249232	0.156957164	-2.671557215	0.112070258	-3.157524639	17.36504083	4.118113898	0.102145922	-3.291296487	32.56859354	5.025409514	24.54683984	4.617465399	NA	NA	NA	NA	5.026191981	6.562094953	5	male	20.25852525	0.216192034	4.340464371	meanmale	-2.208947561	meanfemale
TRINITY_DN100998_c0_g1_i1	0.025576604	0.047073578	4.058972551	2	2.021114584	3.1372477	1.649499441	1.595737006	0.6742229	7.553649585	2.917173858	3.604983306	1.849992579	0.370121009	-1.433931066	7.402759217	2.888063104	2.846349225	1.50911268	5.270541797	2.397951275	5.698063665	2.510471741	NA	NA	NA	NA	2.452869802	1.200132494	1	male	5.812452393	2.495232619	2.539171815	meanmale	1.319232135	meanfemale
TRINITY_DN101232_c0_g1_i1	1.51E-08	9.37E-08	0.371781802	2	-1.42747194	1.639370737	0.713142151	0.343640159	-1.54102945	1.552543162	0.634633377	0.110360506	-3.179704118	0.173358681	-2.528168013	1.589765058	0.668813574	0	NA	2.710659508	1.438643904	1.698378595	0.764158094	rybp	Chr04	129685828	129685828	1.138246668	3.198190205	3	male	1.838143412	0.19982823	0.878327815	meanmale	-2.322445902	meanfemale
TRINITY_DN101247_c0_g3_i1	0.024329451	0.045137534	1.239871121	2	0.310190167	3.237102114	1.694702876	2.955942128	1.563618024	2.492684874	1.317700508	2.568707237	1.361042471	0.986827424	-0.019130286	4.045152016	2.01619392	1.848847497	0.886626228	4.702526643	2.233436118	4.910656473	2.295915902	NA	NA	NA	NA	2.270066181	1.005937148	1	male	3.877624424	1.920039081	1.95521028	meanmale	0.941210813	meanfemale
TRINITY_DN101361_c0_g1_i2	0.002027093	0.004948195	2.076178625	2	1.053930572	10.42723695	3.382285012	1.51349472	0.597883642	2.94139038	1.556498271	1.151196856	0.203134557	1.841833783	0.881142871	2.266161595	1.18025074	2.060260701	1.042826905	6.103925712	2.609737404	3.046435425	1.60712216	NA	NA	NA	NA	2.584065067	1.508402493	1	male	4.957030012	1.728592937	2.309505097	meanmale	0.78968163	meanfemale
TRINITY_DN101477_c0_g1_i2	7.09E-05	0.000235892	0.404474164	2	-1.305880542	2.073532096	1.052090379	0.493492435	-1.018900126	0.976625994	-0.034121917	0.457847777	-1.127060077	0.78374962	-0.351535256	0.816405281	-0.29264258	0.094545661	-3.40284494	4.44880637	2.153418308	2.709995608	1.438290513	NA	NA	NA	NA	1.804458464	2.299558851	1	male	2.20507307	0.446821931	1.140891888	meanmale	-1.161905252	meanfemale
