gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	group1	meanXX	group2
TRINITY_DN102894_c0_g1_i2	5.43E-159	6.12E-155	566.5559875	2	9.146074721	0	NA	346.4027028	8.436306376	0	NA	401.6547089	8.64981198	386.7086855	8.595103358	0	NA	503.096576	8.974691561	0	NA	0	NA	LOC101731441	Chr07	95541409	95541409	7.884053942	-15.8812175	7	female	-13.28771238	meanmale	8.784254762	meanfemale
TRINITY_DN133080_c7_g9_i1	1.16E-120	1.74E-117	94.95081906	2	6.56910854	0	NA	85.63512753	6.420130806	0	NA	72.07276772	6.171382343	67.6098854	6.079162297	0	NA	86.06113131	6.4272899	0	NA	0	NA	NA	NA	NA	NA	5.971083835	-13.96605638	7	female	-13.28771238	meanmale	6.3445808	meanfemale
TRINITY_DN126983_c0_g1_i2	3.47E-101	2.01E-98	36.82806402	2	5.202733654	0	NA	39.02342396	5.286268462	0	NA	37.1729758	5.216182279	34.95114203	5.127267691	0	NA	44.26510365	5.468097895	0	NA	0	NA	psme1	Chr01	127231566	127231566	5.402616585	-13.39618094	7	female	-13.28771238	meanmale	5.264845725	meanfemale
TRINITY_DN130516_c0_g2_i1	9.64E-86	3.20E-83	34.72795053	2	5.118025367	0	NA	55.87810076	5.804211081	0	NA	38.64433632	5.272185084	58.16055185	5.861969053	0	NA	35.66004326	5.156236548	0	NA	0	NA	NA	NA	NA	NA	5.0234243	-13.01570633	7	female	-13.28771238	meanmale	5.479434187	meanfemale
TRINITY_DN102894_c0_g2_i1	6.38E-116	8.00E-113	140.3779197	2	7.133172219	0	NA	220.3667593	7.78376281	0	NA	210.412975	7.71707986	228.5513731	7.836374676	0.047673166	-4.390678751	123.565076	6.949127232	0	NA	0	NA	NA	NA	NA	NA	6.174253121	-12.80195346	7	female	-6.697554542	meanmale	7.528687897	meanfemale
TRINITY_DN109666_c0_g1_i1	2.31E-115	2.61E-112	1622.980518	2	10.66442997	0.346985456	-1.527052902	643.5366724	9.329878554	0	NA	836.0762286	9.707490675	722.8645618	9.497581554	0.158573877	-2.65677297	1116.482628	10.12474509	0.168021509	-2.573282166	0	NA	mmp13	Chr02	158768110	158768110	7.877089338	-12.70137726	7	female	-2.890934567	meanmale	9.948934009	meanfemale
TRINITY_DN97753_c0_g1_i1	5.87E-162	1.32E-157	182.7478918	2	7.513710953	0	NA	198.5927779	7.633669348	0	NA	213.9142321	7.740888661	155.2775494	7.278705444	0.074921792	-3.738470783	185.0810487	7.532013368	0	NA	0.041449537	-4.592500203	NA	NA	NA	NA	7.552643752	-12.4088295	7	female	-5.41893514	meanmale	7.547841544	meanfemale
TRINITY_DN48710_c0_g1_i1	9.17E-35	5.79E-33	41.93324036	2	5.390022413	0	NA	32.02571833	5.001159025	0	NA	32.84460923	5.037584696	10.58245448	3.403602378	0	NA	7.877860768	2.977803919	0	NA	0	NA	NA	NA	NA	NA	3.752134297	-11.73568699	7	female	-13.28771238	meanmale	4.646904362	meanfemale
TRINITY_DN135526_c5_g2_i2	2.79E-70	6.00E-68	156.1790311	2	7.287056957	0.086017403	-3.539227615	54.11379547	5.757924528	0	NA	98.52689199	6.622445643	80.30634495	6.327442073	0.039310331	-4.668947678	179.4746767	7.487636489	0	NA	0	NA	NA	NA	NA	NA	5.783632683	-11.71215045	7	female	-5.312406245	meanmale	6.829345341	meanfemale
TRINITY_DN878_c0_g1_i1	1.92E-132	6.19E-129	105.3652751	2	6.719255671	0	NA	124.2499657	6.957101643	0	NA	127.1300022	6.990160731	93.73699367	6.55054662	0.093617098	-3.417084146	101.896019	6.670953877	0	NA	0	NA	NA	NA	NA	NA	6.470073096	-11.61762106	7	female	-5.731327447	meanmale	6.78758593	meanfemale
