gid	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	meanXY	male	meanXX	female	bias	cutoff
TRINITY_DN117550_c0_g1_i1	10.33064561	14.89395794	7.637793806	7.965416846	18.08537694	10.65202611	9.629701048	5.094285916	26.95085544	14.80410931	NA	NA	NA	NA	4.670443039	1.014548261	0.00013869	0.026517646	4.076636062	meanmale	3.059378409	meanfemale	male	FC1
TRINITY_DN131154_c3_g9_i2	6.710207799	19.41693735	12.64405582	11.79757111	22.73527506	6.559012721	21.27247092	7.505008158	11.15543238	17.45546183	NA	NA	NA	NA	3.391024061	1.02352674	0.00025342	0.04427351	4.202199499	meanmale	3.176844717	meanfemale	male	FC1
TRINITY_DN132123_c0_g1_i2	4.975901535	6.406167022	4.794040497	5.181741991	12.24263219	3.404648814	6.414935926	4.05266504	7.835199586	13.00347215	NA	NA	NA	NA	4.129971237	1.032699705	3.44E-05	0.009217037	3.198585517	meanmale	2.164110323	meanfemale	male	FC1
TRINITY_DN115904_c0_g3_i2	62.47072985	126.8962617	53.81658325	71.41954608	233.2877221	124.5131546	115.9146789	79.80325341	110.3638848	219.735172	vsx1	Chr05	49372262	49372262	7.166735951	1.034310808	0.000103847	0.021454458	7.333062692	meanmale	6.292869218	meanfemale	male	FC1
TRINITY_DN115328_c0_g1_i1	16.73230983	39.41912026	7.319059186	12.11210425	36.36761473	23.56027183	40.11418601	13.69795195	19.83772644	21.22425472	nfyc	Chr02	83728547	83728547	4.727049183	1.089627236	0.000137859	0.026517646	4.972356312	meanmale	3.876216286	meanfemale	male	FC1
TRINITY_DN113301_c1_g1_i1	74.10776019	142.2292274	39.91772495	20.05401446	115.5154582	58.99770016	113.6460234	61.87449159	72.73312763	102.0638661	NA	NA	NA	NA	6.671083007	1.093945762	7.56E-05	0.016462684	6.771326248	meanmale	5.672154833	meanfemale	male	FC1
TRINITY_DN135618_c2_g1_i1	16.45757026	21.30225186	11.98981793	14.43664951	38.90820653	10.37516558	20.95992773	13.21368092	17.27761298	45.46594809	NA	NA	NA	NA	6.04979123	1.108788782	1.06E-05	0.003651442	4.847139523	meanmale	3.732776804	meanfemale	male	FC1
TRINITY_DN131220_c7_g1_i1	9.287964921	27.43580292	11.29376307	11.7514067	27.03416365	16.68208839	38.56181724	12.17551613	35.44340458	7.169388234	NA	NA	NA	NA	6.088344239	1.145257374	0.00024686	0.043413068	4.761764779	meanmale	3.613325116	meanfemale	male	FC1
TRINITY_DN127570_c1_g1_i1	8.694163465	12.06884477	3.900248509	4.965844495	12.29059175	5.074207189	5.797818929	3.776293728	10.96138638	18.0961361	NA	NA	NA	NA	3.122302032	1.162886296	0.000292811	0.049212577	3.565969449	meanmale	2.401152987	meanfemale	male	FC1
TRINITY_DN36259_c0_g1_i1	4.679904432	14.00060738	8.264542243	6.065503542	15.96790688	6.353411603	18.95720404	6.785103299	12.06981917	13.91533391	NA	NA	NA	NA	3.400665564	1.213882559	5.77E-07	0.000382799	3.905184733	meanmale	2.684772298	meanfemale	male	FC1
TRINITY_DN122960_c4_g4_i2	8.244058837	20.66613445	9.146901004	9.078857094	17.21442095	5.093998602	16.42773499	8.409941637	13.40985977	25.45994502	NA	NA	NA	NA	3.274622575	1.219688964	4.17E-06	0.001794066	4.21999858	meanmale	2.999071225	meanfemale	male	FC1
TRINITY_DN122025_c0_g1_i3	3.987881377	6.455664333	2.513167749	4.528998851	10.61304559	1.899038323	7.995949794	2.756487771	7.986408867	4.12750411	mturn	Chr06	72716999	72716999	3.724843572	1.244302844	1.92E-05	0.005920805	2.894490788	meanmale	1.649484318	meanfemale	male	FC1
TRINITY_DN123754_c0_g1_i2	7.882225869	14.08405076	4.532507639	10.55955439	23.07074632	7.3048546	13.20118771	7.932983344	20.85235443	20.5442884	NA	NA	NA	NA	2.911998961	1.261902852	1.11E-05	0.003763864	4.197757336	meanmale	2.934049398	meanfemale	male	FC1
TRINITY_DN134429_c5_g1_i1	17.48095742	66.8529424	23.07323134	26.14855632	68.65640423	36.35532987	60.69108772	23.08693131	95.12984814	17.77816454	ap1m1	Chr01	79874854	79874854	7.009180326	1.290366018	4.49E-05	0.010848037	5.950043508	meanmale	4.657016908	meanfemale	male	FC1
TRINITY_DN123054_c2_g2_i2	1.760564	3.607349298	1.671151009	1.539459873	4.725823397	2.447824492	3.143479364	1.828073741	6.855369829	4.465448118	NA	NA	NA	NA	2.204781093	1.290972973	4.03E-05	0.010290525	2.188905369	meanmale	0.887146707	meanfemale	male	FC1
TRINITY_DN123558_c0_g1_i1	8.566343586	9.643432401	5.684641839	9.069148709	23.14737118	3.689496711	6.845758772	8.291247108	14.91293213	32.7054399	NA	NA	NA	NA	4.281487083	1.301498143	0.000295913	0.049237448	4.125244987	meanmale	2.819724499	meanfemale	male	FC1
TRINITY_DN105267_c0_g2_i2	4.062165109	16.12633445	4.268989753	6.109456466	16.31667929	7.290909198	13.46981653	4.941004817	9.490473779	10.93141048	NA	NA	NA	NA	2.525049624	1.304167488	8.22E-06	0.00319706	3.729774939	meanmale	2.415381469	meanfemale	male	FC1
TRINITY_DN120967_c0_g2_i1	3.857058647	4.506157295	2.290956526	2.77120381	11.26829474	2.46237988	3.498427962	2.806809162	4.355452804	13.39239009	NA	NA	NA	NA	4.754518311	1.377597036	2.75E-05	0.007922827	2.888352551	meanmale	1.504763564	meanfemale	male	FC1
TRINITY_DN128884_c3_g1_i1	3.26236119	3.621523466	3.137549375	2.122124071	8.837167655	4.133377834	3.447408566	2.867767345	10.11073358	15.04536512	pcsk4	Chr01	80419484	80419484	3.767374949	1.39771339	8.29E-05	0.01775946	3.037828436	meanmale	1.634470582	meanfemale	male	FC1
TRINITY_DN136241_c3_g1_i3	2.187890456	6.898050106	1.837266	2.034283883	5.386115479	2.20542371	5.39464752	1.411752886	3.645852427	4.701966744	NA	NA	NA	NA	2.755568288	1.421304814	2.66E-07	0.000202016	2.380016361	meanmale	0.9526492	meanfemale	male	FC1
TRINITY_DN120979_c0_g1_i3	21.54286908	57.0586171	43.96407627	45.57565334	160.7904338	47.3098715	92.03492275	47.08925575	75.07370927	201.7995788	NA	NA	NA	NA	8.138474646	1.507545183	4.19E-06	0.001794066	6.874693116	meanmale	5.360941702	meanfemale	male	FC1
TRINITY_DN121505_c1_g3_i1	3.081012593	6.953310249	0.931995805	1.298130716	3.849080444	2.119696677	3.706572942	0.897169797	6.824445521	2.508588949	NA	NA	NA	NA	2.553597986	1.511752127	0.000114937	0.022948548	2.253535403	meanmale	0.736129556	meanfemale	male	FC1
TRINITY_DN133976_c2_g2_i1	2.127825707	3.036510503	0.619820761	1.278989017	7.944263873	2.715400617	2.873108962	2.271375522	3.448427213	8.62441198	NA	NA	NA	NA	2.935551109	1.513688472	0.000187224	0.034287738	2.374467665	meanmale	0.85022521	meanfemale	male	FC1
TRINITY_DN122118_c0_g1_i1	38.70758083	194.8358642	38.93454902	34.52445505	111.0916095	66.53248764	134.4395235	34.29261062	182.0615622	22.66914428	NA	NA	NA	NA	7.822575941	1.597235125	3.90E-05	0.010153111	7.011446894	meanmale	5.412728579	meanfemale	male	FC1
TRINITY_DN131144_c0_g8_i1	0.985104494	4.664519147	1.355857915	0.499605085	4.192805933	0.433308609	2.706551921	1.017033816	2.132092094	1.502202906	NA	NA	NA	NA	0.871739449	1.822369046	6.48E-05	0.014459344	1.603945272	meanmale	-0.22047638	meanfemale	male	FC1
TRINITY_DN117360_c0_g1_i1	6.486534206	9.253878842	7.154685242	8.023676409	36.76933888	11.01834149	12.53865156	5.852873779	13.84546761	64.85484597	NA	NA	NA	NA	3.253211643	1.824143329	4.45E-05	0.010836289	4.778867553	meanmale	2.946229708	meanfemale	male	FC1
TRINITY_DN117646_c0_g2_i1	0.712203925	1.939635766	1.400355183	0.626081687	3.669450711	1.079042535	1.15398896	1.102931942	2.636094279	8.262514025	NA	NA	NA	NA	2.062632708	1.832693842	8.17E-05	0.017635397	1.820663728	meanmale	-0.022942784	meanfemale	male	FC1
TRINITY_DN127055_c1_g7_i1	0.76122129	1.169791792	0.658047061	1.411118038	6.879670691	0.750483767	0.998564549	0.94849286	1.309135566	6.145409284	NA	NA	NA	NA	3.773242217	1.856764222	0.000106203	0.021694021	1.722734593	meanmale	-0.142460671	meanfemale	male	FC1
TRINITY_DN114504_c0_g2_i2	0.637473123	0.804924582	0.576572004	0.362096603	2.099172235	0.186932854	0.592796001	0.372943153	0.671855265	3.636774478	NA	NA	NA	NA	1.789721923	1.86774696	0.000282092	0.048003153	0.642659538	meanmale	-1.226666801	meanfemale	male	FC1
TRINITY_DN131925_c1_g2_i3	0.381560836	2.243626398	1.187872933	1.677105696	9.633601533	1.118890405	3.460831734	2.325269622	1.017319305	9.326692838	NA	NA	NA	NA	3.130557009	1.929257842	0.000229624	0.040924001	2.360789679	meanmale	0.420336763	meanfemale	male	FC1
TRINITY_DN117446_c0_g1_i2	0.177975822	2.015929049	0.349941017	0.722097007	1.534937152	0.6523712	1.316496664	0.551233187	1.105352423	3.767648578	NA	NA	NA	NA	1.605292233	1.969791417	7.60E-06	0.003013648	0.962121628	meanmale	-1.026723339	meanfemale	male	FC1
TRINITY_DN129733_c3_g5_i1	1.631286132	3.844635179	1.233646233	1.145523087	5.411110288	1.01191316	3.845435261	0.539794734	6.376412071	4.389840846	NA	NA	NA	NA	1.094174837	2.101103067	6.57E-08	8.72E-05	2.255073671	meanmale	0.153847701	meanfemale	male	FC1
TRINITY_DN128095_c4_g3_i3	1.001549986	1.394820405	0.957286684	1.410959923	8.756192744	1.346101571	1.822730801	0.981354305	1.361348433	11.50451806	NA	NA	NA	NA	3.237076419	2.114446864	4.74E-05	0.011163077	2.312671588	meanmale	0.188464852	meanfemale	male	FC1
TRINITY_DN126485_c2_g1_i2	0.675014951	5.785030991	1.123043467	1.000686835	3.053291072	0.609051181	4.773643772	0.268036006	1.31925767	1.397296821	NA	NA	NA	NA	1.760284713	2.145843131	8.58E-06	0.00320934	1.707438238	meanmale	-0.443660864	meanfemale	male	FC1
TRINITY_DN91309_c0_g1_i2	0.137785857	0.639630333	0.045153065	0.326103885	1.131735485	0.202021879	2.08695247	0.474172629	0.345755581	1.441945376	NA	NA	NA	NA	0.486422699	2.211375776	0.000112429	0.022617885	0.175433708	meanmale	-2.07614366	meanfemale	male	FC1
TRINITY_DN132104_c0_g2_i3	0.426421971	0.69283852	0.922287024	0.51903347	4.537347507	0.453284994	0.65338369	0.348525874	0.581839764	7.152840742	NA	NA	NA	NA	2.727593296	2.34071268	0.00012509	0.024605641	1.445594315	meanmale	-0.905059536	meanfemale	male	FC1
TRINITY_DN133322_c1_g4_i1	0.448971148	1.288424779	0.561768817	0.248399972	2.651505948	0.14960962	0.690091129	0.035115398	0.921791742	1.757374666	NA	NA	NA	NA	0.993334742	2.34844725	1.25E-05	0.004146783	0.547881786	meanmale	-1.791492774	meanfemale	male	FC1
TRINITY_DN125892_c0_g1_i1	0.705492712	2.792404655	0.328537755	0.414291632	4.179687928	0.5988601	0.431610827	0.44723812	0.419291444	5.195901451	NA	NA	NA	NA	1.89164089	2.368689197	5.66E-05	0.012953168	1.380662554	meanmale	-1.002934354	meanfemale	male	FC1
TRINITY_DN131144_c0_g4_i3	0.202704194	3.199381722	0.597843943	0.102803354	2.327155823	0.037150658	1.231661294	0.653982081	0.572242109	1.272794091	NA	NA	NA	NA	0.898108994	2.414303656	6.81E-05	0.015067982	0.783035001	meanmale	-1.648385935	meanfemale	male	FC1
TRINITY_DN133534_c1_g5_i1	0	1.530112431	0.540071836	0.278607135	2.153548187	0.201363827	1.741524764	1.063413208	4.652496104	1.724698183	NA	NA	NA	NA	0.00715336	2.445123925	5.28E-05	0.012309206	1.239138892	meanmale	-1.262603273	meanfemale	male	FC1
TRINITY_DN128465_c0_g5_i9	23.40997737	10.92429108	8.675688854	10.25642764	109.3433238	9.209907306	11.4622958	8.119517062	10.72621255	201.1944946	sec24d-like.2	Chr07	52754568	52754568	5.794264874	2.516499218	0.000140939	0.026733133	6.102872747	meanmale	3.577054573	meanfemale	male	FC1
TRINITY_DN134235_c0_g1_i1	7.893430894	17.51710906	2.271261009	2.343353165	19.40721996	0.423415718	10.57903399	0	17.5731458	11.05246898	hlcs-like	Chr02	8640763	8640763	2.021718819	2.55968872	6.19E-05	0.013930325	3.928455182	meanmale	1.370941038	meanfemale	male	FC1
TRINITY_DN123918_c0_g2_i1	0.588968639	0.368510983	0.503498493	0.649350065	6.259756661	0.553796386	0.730615384	0.385544249	0.915680054	7.752387768	NA	NA	NA	NA	3.642534758	2.568553796	2.77E-05	0.007922827	1.680544985	meanmale	-0.898802928	meanfemale	male	FC1
TRINITY_DN117036_c0_g1_i1	0.677648978	1.061702825	1.165860749	0.902149774	11.50364344	0.745177638	1.074129789	1.202459871	1.594191979	13.37287683	alx1	Chr03	44294726	44294726	2.770642105	2.594002158	2.94E-05	0.008130232	2.516370473	meanmale	-0.091172643	meanfemale	male	FC1
TRINITY_DN105687_c0_g1_i1	0.210944202	2.203304486	0.518455452	0.534911761	5.611385051	0.657234405	0.445818722	0.362968917	1.439134626	4.399344037	NA	NA	NA	NA	1.496580264	2.602896493	3.12E-06	0.001459161	1.495642664	meanmale	-1.129724625	meanfemale	male	FC1
TRINITY_DN136506_c0_g1_i1	0.345594036	0.320863741	0.50963746	0.701085168	4.064380902	0.126677653	4.382361495	0.594659116	0.487812945	6.510028796	NA	NA	NA	NA	0.055919858	2.75855692	0.00020714	0.037419119	1.65681191	meanmale	-1.134063179	meanfemale	male	FC1
TRINITY_DN209985_c0_g1_i1	0.974229143	4.723575582	0.95777823	0.76858374	7.759566253	0.317425904	5.376221826	0.931301825	6.111751407	4.466566612	NA	NA	NA	NA	1.426889859	2.851946856	6.40E-13	2.43E-09	2.507829223	meanmale	-0.340141609	meanfemale	male	FC1
TRINITY_DN129784_c1_g7_i1	0.233156529	0.86588851	0.611251811	0.512406026	6.136974349	0.028487878	6.077413146	0.300892032	0.658210278	0.313715673	NA	NA	NA	NA	1.843211736	3.046084984	5.84E-05	0.013255758	1.490847549	meanmale	-1.567729595	meanfemale	male	FC3
TRINITY_DN126942_c1_g2_i1	0.756956415	6.606221506	1.488348776	1.074913346	9.580500148	0.443940358	9.11877374	0.911739471	7.407984021	6.110978557	NA	NA	NA	NA	1.36819439	3.054070707	3.55E-14	1.89E-10	2.956984363	meanmale	-0.096530262	meanfemale	male	FC3
TRINITY_DN122261_c0_g1_i1	0.245917016	0.251151438	0.290117329	0.249438293	4.324412326	0.072112797	0.38979885	0.275045016	0.254552337	4.367683362	NA	NA	NA	NA	1.958731064	3.065248281	3.88E-05	0.010153111	0.939316607	meanmale	-2.141614135	meanfemale	male	FC3
