gid	Am1_434	base	logAm1_434	Am2_433	logAm2_433	Am2_434	logAm2_434	Am4_434	logAm4_434	Am4_435	logAm4_435	Am5_433	logAm5_433	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN128948_c4_g2_i1	0	2	NA	24.76212478	4.630063209	0	NA	0	NA	0.368883881	-1.438761345	1.597136766	0.675487859	NA	NA	NA	NA	2.725005772	-11.53397417	7.95E-11	1.45E-07	0	-13.28771238	meanfemale	8.909381809	3.155341525	meanfemale	FC7
TRINITY_DN103897_c0_g2_i1	0	2	NA	13.29965614	3.73331704	0	NA	0	NA	2.436783241	1.284977925	0.812875139	-0.29889433	NA	NA	NA	NA	2.147149564	-10.94799315	2.57E-13	9.40E-10	0	-13.28771238	meanfemale	5.516438173	2.463763208	meanfemale	FC7
TRINITY_DN83270_c0_g2_i1	0	2	NA	6.016376945	2.588894959	0	NA	0	NA	2.225313154	1.154008372	2.136084714	1.094968863	tbc1d2b	Chr03	81536627	81536627	1.534016171	-10.3240009	2.74E-17	3.50E-13	0	-13.28771238	meanfemale	3.459258271	1.790504435	meanfemale	FC7
TRINITY_DN105980_c0_g1_i1	0	2	NA	0	NA	0	NA	0	NA	2.920025403	1.54598092	5.220862758	2.384288235	NA	NA	NA	NA	1.009046111	-9.791507624	1.28E-07	4.83E-05	0	-13.28771238	meanfemale	2.713629387	1.440276862	meanfemale	FC7
TRINITY_DN93354_c0_g1_i1	0	2	NA	2.430340211	1.281158284	0	NA	0	NA	0	NA	5.972363709	2.578302026	NA	NA	NA	NA	0.769951562	-9.544639601	2.55E-07	8.69E-05	0	-13.28771238	meanfemale	2.800901307	1.485942656	meanfemale	FC7
TRINITY_DN97717_c0_g2_i1	0	2	NA	0.502596834	-0.992526512	0	NA	0	NA	0	NA	2.507327404	1.326150394	NA	NA	NA	NA	0.220258976	-8.974105646	1.45E-06	0.000355691	0	-13.28771238	meanfemale	1.003308079	0.00490846	meanfemale	FC7
TRINITY_DN135643_c7_g7_i1	0	2	NA	1.629820462	0.704713049	0	NA	0	NA	0.455566348	-1.134266914	1.544213833	0.626872542	LOC100495666	Chr03	128127747	128127747	0.121861366	-8.855046793	3.69E-11	9.44E-08	0	-13.28771238	meanfemale	1.209866881	0.274967559	meanfemale	FC7
TRINITY_DN135526_c5_g2_i2	0.039515469	2	-4.661438658	4.614327659	2.206120452	0	NA	0	NA	1.300940212	0.379554661	0.397871421	-1.329625821	NA	NA	NA	NA	0.101145429	-6.919504177	6.51E-08	2.78E-05	0.013171823	-6.235489639	meanfemale	2.104379764	1.073463637	meanfemale	FC5
TRINITY_DN112124_c0_g2_i1	0	2	NA	4.672134333	2.224081755	0	NA	0.047036655	-4.410070723	1.904994776	0.929787041	0.855622969	-0.224952883	arl2bp	Chr04	53778260	53778260	0.065992743	-6.880641607	6.36E-09	4.52E-06	0.015678885	-5.985860928	meanfemale	2.477584026	1.308992215	meanfemale	FC5
TRINITY_DN105647_c0_g2_i1	0.124051859	2	-3.01098474	41.09694833	5.360959365	0.3134762	-1.673572181	0.061035198	-4.034214728	14.83163286	3.890605532	1.457221848	0.543220531	NA	NA	NA	NA	3.540603449	-6.765767424	1.47E-10	2.34E-07	0.166187752	-2.588246182	meanfemale	19.12860101	4.257667002	meanfemale	FC5
TRINITY_DN135864_c0_g7_i1	0	2	NA	3.550479028	1.828013685	0	NA	0.133157724	-2.908791978	2.422904679	1.276737648	8.023581309	3.004246324	NA	NA	NA	NA	0.996533863	-6.552700727	5.39E-11	1.15E-07	0.044385908	-4.49050779	meanfemale	4.665655005	2.222110555	meanfemale	FC5
