"gid"	"A10FB"	"A10MB"	"A12FB"	"A15FB"	"A15MB"	"A16FB"	"A16MB"	"A17FB"	"A17MB"	"A8MB"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.XYbrain.XXbrain"	"PV.XYbrain.XXbrain"	"FDR.XYbrain.XXbrain"	"meanXY"	"group1"	"meanXX"	"group2"
"8"	"TRINITY_DN100108_c0_g1_i1"	23.6419058	3.648384963	55.54178803	14.50587524	0.144306296	0.094451787	0	50.60099338	0.060619485	0.173354472	"LOC100485641"	"Chr02"	135882898	135882898	4.292170004	-5.15880273	1.50661e-05	0.00482023	-0.312163434271319	"meanmale"	4.85185410313217	"meanfemale"
"23"	"TRINITY_DN100360_c0_g1_i1"	4.092104731	0.768393429	8.904854026	2.098668252	0	0	0	8.900432248	0	0.082486733	"mphosph6"	"Chr04"	66339509	66339509	2.227097527	-4.793510475	8.53317e-05	0.017983989	-2.5540527154851	"meanmale"	2.26282756005366	"meanfemale"
"696"	"TRINITY_DN106674_c0_g1_i1"	15.93088864	2.435448302	38.49425525	11.48651982	0.107490672	0.375227283	0.067608511	35.50358563	0.301027715	0.286951193	NA	NA	NA	NA	3.805812456	-4.98707724	9.11466e-08	0.00010085	-0.64429519968506	"meanmale"	4.34753777262484	"meanfemale"
"698"	"TRINITY_DN106700_c0_g1_i1"	1.314838015	0.203458297	3.576291698	0.889110089	0	0	0	3.770707494	0	0	"mdh1"	"Chr05"	28656970	28656970	1.000271752	-5.45027274	1.01896e-06	0.000575715	-4.61558199278265	"meanmale"	0.933791261146875	"meanfemale"
"902"	"TRINITY_DN108200_c0_g1_i1"	1.515954062	0.703737103	6.054569375	1.345453334	0	0	0	3.994238424	0	0	NA	NA	NA	NA	0.413545292	-4.136104052	0.000280641	0.048003153	-2.82779495163361	"meanmale"	1.36856892161338	"meanfemale"
"1270"	"TRINITY_DN110034_c0_g2_i1"	0.689573146	0	1.549551903	0.849328644	0.413763743	0.649962914	0.416392603	1.398421497	0	0.220912192	NA	NA	NA	NA	0.26297404	-2.233238278	0.00023994	0.042477316	-2.24938521133187	"meanmale"	0.0390929301139534	"meanfemale"
"2322"	"TRINITY_DN114180_c0_g1_i1"	3.478499531	1.45508652	1.878989729	2.675310492	1.584131191	4.119378128	1.131017442	2.203419591	0.899262305	1.097230601	NA	NA	NA	NA	2.226188868	-1.21562827	0.000144285	0.0271737	0.302694102086071	"meanmale"	1.52166362350562	"meanfemale"
"2485"	"TRINITY_DN114651_c0_g1_i3"	17.16634164	8.743383363	15.97709643	15.33797175	6.750624566	18.06825926	10.23576457	19.6764998	5.570261413	7.771597873	NA	NA	NA	NA	4.306225181	-1.148994159	3.75368e-08	5.24626e-05	2.96613997146082	"meanmale"	4.10813414669685	"meanfemale"
"2993"	"TRINITY_DN115861_c0_g1_i2"	16.8066998	8.298098217	22.53991052	33.01077284	8.650522354	37.46155935	18.27330304	21.56392897	5.210831369	10.89290533	"LOC101731073"	"Chr07"	95710986	95710986	4.000112149	-1.362468719	9.78586e-06	0.003464848	3.35969433713293	"meanmale"	4.71571078758402	"meanfemale"
"3240"	"TRINITY_DN116526_c0_g1_i1"	11.02614433	5.118563329	10.10086805	11.69239217	5.403070005	14.97243279	7.547038593	15.84638424	6.013218713	5.394852986	NA	NA	NA	NA	2.681244532	-1.11942321	3.23316e-05	0.008760871	2.55960162643372	"meanmale"	3.66990485407374	"meanfemale"
"3759"	"TRINITY_DN117634_c0_g2_i1"	3.484210986	0.490134095	8.200143304	1.820597628	0	0	0	7.266952807	0	0	"chrnb4"	"Chr03"	80472595	80472595	2.383726128	-5.370660188	4.43673e-05	0.010836289	-3.34920869705679	"meanmale"	2.05466823996749	"meanfemale"
"3863"	"TRINITY_DN117838_c2_g1_i2"	6.164221947	0	0.039608708	3.55533587	0.067688823	4.518996808	0	0.069324809	0	0	NA	NA	NA	NA	1.655427026	-7.060844113	5.85689e-09	1.11093e-05	-6.19624900177546	"meanmale"	1.52084845808267	"meanfemale"
"5556"	"TRINITY_DN120797_c1_g2_i1"	1.356797179	0.18895596	3.801575647	0.550490044	0	0	0	2.801547695	0	0	NA	NA	NA	NA	0.267364056	-5.310166032	1.19915e-06	0.000644537	-4.72199366419469	"meanmale"	0.767385396287576	"meanfemale"
"5586"	"TRINITY_DN120835_c1_g3_i1"	2.721785423	0.42116962	5.153440998	1.278128968	0.084681832	0.110852412	0.159787239	4.986890258	0.142290925	0.045212394	NA	NA	NA	NA	1.405212159	-4.047080879	1.1534e-07	0.000113656	-2.55022501299464	"meanmale"	1.51112370050747	"meanfemale"
"6180"	"TRINITY_DN121659_c3_g3_i2"	9.678616318	6.290218297	28.54554726	9.326343873	1.761592706	18.18196909	5.241648063	19.6723815	5.464624787	2.278977082	NA	NA	NA	NA	2.919449746	-2.031693201	4.12355e-07	0.00028816	2.07296745030722	"meanmale"	4.09432658245346	"meanfemale"
"6464"	"TRINITY_DN122021_c2_g12_i1"	0.840622501	0.048779285	2.221024395	0.479620881	0.117692798	0.038516321	0.055519014	1.627254105	0.049439817	0.094255869	"hoga1"	"Chr07"	24794514	24794514	0.030382285	-3.686787126	3.42717e-06	0.001569111	-3.77127646976036	"meanmale"	0.0586734231666501	"meanfemale"
"6490"	"TRINITY_DN122048_c0_g1_i1"	7.832264827	1.019410843	17.70282344	3.675219905	0.06148989	0	0.038675355	15.01978846	0.068880995	0.065660013	NA	NA	NA	NA	3.408439998	-5.128877245	3.13207e-06	0.001459161	-1.99468096815399	"meanmale"	3.14504470306004	"meanfemale"
"6766"	"TRINITY_DN122389_c1_g3_i1"	19.56711423	9.299730298	44.42762211	19.13846307	5.348601229	12.29543103	8.861570759	47.09634493	13.15208383	5.850633614	NA	NA	NA	NA	2.773335072	-1.751219217	9.58417e-06	0.003439291	3.08790813180359	"meanmale"	4.83314790823554	"meanfemale"
"7312"	"TRINITY_DN123024_c0_g1_i1"	9.667828052	3.116670093	33.26601713	9.125270963	0	0	0	27.60998489	0.126354945	0.120446393	"LOC100496861"	"Chr08"	57578898	57578898	2.416490224	-4.5488483	0.000196738	0.035783424	-0.571762641532605	"meanmale"	3.99402935028872	"meanfemale"
"7678"	"TRINITY_DN123398_c4_g3_i2"	3.375247952	0.574515197	9.014587974	1.711789003	0	0	0	8.324434221	0	0	NA	NA	NA	NA	1.836437914	-5.240041962	2.90229e-05	0.008112652	-3.12025610441891	"meanmale"	2.16520828836773	"meanfemale"
"7975"	"TRINITY_DN123680_c0_g1_i1"	1.876578094	0.562029811	5.118082058	1.964850321	0.101703306	0.355024809	0.44777898	7.291297708	0.284820193	0.162900936	NA	NA	NA	NA	1.411038327	-3.421407861	3.35323e-07	0.000240662	-1.68062880069664	"meanmale"	1.73173353258931	"meanfemale"
"9548"	"TRINITY_DN125191_c6_g2_i1"	5.971081842	1.817133915	15.5235597	4.40784546	1.003189891	0.875481124	0.841303072	14.84074522	0.249727477	0.981955563	NA	NA	NA	NA	3.581167556	-3.0897685	1.00467e-07	0.000106716	-0.0309700285506537	"meanmale"	3.05724969663139	"meanfemale"
"10273"	"TRINITY_DN125863_c4_g1_i1"	1.959500487	0.70921123	4.244637057	1.414872155	0.223194495	0.2678242	0.386052851	4.228895236	0.218769728	0.476662211	NA	NA	NA	NA	1.892697749	-2.590887365	6.87005e-06	0.002764152	-1.31158469980491	"meanmale"	1.27694076690409	"meanfemale"
"10409"	"TRINITY_DN125999_c6_g3_i1"	1.756769681	0.222416911	4.317761814	1.619931639	0	0	0	4.740379206	0	0	NA	NA	NA	NA	0.545563651	-5.623992334	1.19841e-07	0.000113656	-4.48735012279397	"meanmale"	1.31444622491887	"meanfemale"
"10435"	"TRINITY_DN126027_c5_g2_i1"	1.889310603	0.286385927	4.093877868	1.13417436	0.043186315	0	0	3.118221649	0	0	"ccdc92"	"Chr01"	152187591	152187591	1.279575863	-4.880949631	3.52849e-06	0.001588118	-3.92107437206487	"meanmale"	1.03366395932608	"meanfemale"
"10557"	"TRINITY_DN126126_c1_g3_i1"	9.006669658	0.836216318	19.59076335	3.540058887	0.063049713	0	0	18.98463123	0	0.100988431	NA	NA	NA	NA	2.010212102	-5.61408834	3.33298e-07	0.000240662	-2.32084004669534	"meanmale"	3.35396186352158	"meanfemale"
"10750"	"TRINITY_DN126288_c0_g1_i3"	1.004266908	0.186480554	1.44805287	0.509323485	0.262461014	0.368114499	0.247620532	1.094418286	0.25200764	0.210195451	"rdh10"	"Chr06"	106259393	106259393	0.62145349	-1.911488103	3.99905e-05	0.010290525	-2.10871746298901	"meanmale"	-0.176356262528441	"meanfemale"
"11481"	"TRINITY_DN126888_c6_g3_i1"	4.748893383	2.283976805	4.921065519	4.730101759	4.684088275	8.091944842	3.006434873	9.349211921	1.771405304	2.129902876	NA	NA	NA	NA	4.184307573	-1.201013211	2.80454e-05	0.007922827	1.47262378213181	"meanmale"	2.67091815159347	"meanfemale"
"12071"	"TRINITY_DN127374_c0_g3_i1"	2.854750731	0.101941084	6.368698675	1.670554502	0	0	0	4.06195537	0.103321492	0	NA	NA	NA	NA	0.358063665	-5.909087637	1.18192e-08	2.09239e-05	-4.6028755803751	"meanmale"	1.58076867879063	"meanfemale"
"12238"	"TRINITY_DN127522_c0_g1_i1"	14.96699983	8.307378908	15.24739143	15.67635453	7.561951495	18.60524065	10.2574502	17.21566823	5.86839496	6.177699352	NA	NA	NA	NA	4.231884439	-1.104148157	1.17205e-07	0.000113656	2.93256674112235	"meanmale"	4.03055069499113	"meanfemale"
"12302"	"TRINITY_DN127567_c6_g4_i1"	6.132723249	0.502400552	14.71825717	3.018790254	0	0.066116251	0	11.87155836	0	0	NA	NA	NA	NA	1.813494471	-6.074706478	2.662e-08	4.15821e-05	-3.31358305280817	"meanmale"	2.8402797369318	"meanfemale"
"12381"	"TRINITY_DN127631_c8_g3_i1"	6.669358581	1.486105747	14.40098366	3.714521418	0.095073237	0.01777932	0.025627845	15.71151981	0	0.043508964	"ctu2"	"Chr04"	60737862	60737862	3.888944748	-4.613070094	0.000104222	0.021454458	-1.59874894941028	"meanmale"	3.01844413280148	"meanfemale"
"12646"	"TRINITY_DN127864_c2_g3_i1"	0.154190269	0.079531443	6.299265346	0.121642977	0.412564428	6.970616755	0.090520131	6.161161377	0.25794687	0.414930726	NA	NA	NA	NA	3.393401773	-3.961046221	2.55023e-06	0.00127776	-1.99309898428616	"meanmale"	1.97873575004194	"meanfemale"
"12789"	"TRINITY_DN127989_c2_g1_i1"	4.776217569	0.764558132	10.03879622	2.672887204	0.092234834	0.241479277	0	11.76077776	0	0.295470057	"samsn1"	"Chr02"	22431665	22431665	0.761116908	-4.598748136	1.4566e-07	0.000124774	-2.11683213062406	"meanmale"	2.56025801385527	"meanfemale"
"14762"	"TRINITY_DN129581_c0_g1_i5"	14.48774315	6.496466717	11.86190224	13.51229786	6.254699242	15.25738002	8.389425012	10.99803057	5.571446575	6.236304181	NA	NA	NA	NA	4.230260828	-1.010344263	5.02546e-07	0.000342182	2.72022775008661	"meanmale"	3.7250398960664	"meanfemale"
"15407"	"TRINITY_DN130067_c1_g1_i1"	3.259919335	1.182282584	6.559972524	2.066623752	0.399359283	0.802840193	0.80738161	6.902068813	0.886736186	0.731045215	"shf"	"Chr03"	86229697	86229697	2.990931711	-2.295335284	1.14818e-06	0.000635208	-0.319295819896194	"meanmale"	1.97025912802997	"meanfemale"
"15521"	"TRINITY_DN130164_c2_g10_i1"	3.511639124	0.804502056	2.600464876	2.266677737	1.123778448	2.540952305	1.879509284	3.492054454	1.158720636	1.390898527	NA	NA	NA	NA	1.992234669	-1.189590688	0.000212335	0.038098331	0.34662426149395	"meanmale"	1.52729943611567	"meanfemale"
"16174"	"TRINITY_DN130680_c2_g1_i1"	0.247622381	0.194533156	0.056178694	4.926758433	0.14934251	0.921624997	0.181154767	0.376917434	0.143394454	0.119602969	NA	NA	NA	NA	1.741394236	-3.035454858	0.000112101	0.022617885	-2.66469446836299	"meanmale"	0.385066949237313	"meanfemale"
"16932"	"TRINITY_DN131251_c3_g6_i1"	5.871942494	1.340595081	15.80419119	4.100868039	0.053908944	0	0	15.98383967	0	0	"eif5b-like"	"Chr02"	109082024	109082024	1.965337134	-4.869718482	5.53424e-05	0.012779287	-1.84165881022418	"meanmale"	3.06216805266327	"meanfemale"
"18527"	"TRINITY_DN132431_c2_g3_i1"	5.249143142	0	3.662294358	6.526567951	0	0.806870516	0.626261164	0.801237484	0.478017505	1.139161665	NA	NA	NA	NA	1.014543294	-2.924226589	0.000255513	0.044347449	-1.15589377945167	"meanmale"	1.76948515609824	"meanfemale"
"18850"	"TRINITY_DN132667_c0_g6_i1"	18.07589865	9.450288572	20.1860981	10.68042337	6.093449709	11.06432416	10.38511749	22.87426524	4.87169973	6.611642148	NA	NA	NA	NA	3.548800033	-1.154490611	7.11314e-05	0.0156107	2.90352799541342	"meanmale"	4.05105027905229	"meanfemale"
"20280"	"TRINITY_DN133748_c2_g1_i1"	3.381819926	0	4.300445594	0.223711571	0.082343915	0.889283754	0	0	0	0.329731188	NA	NA	NA	NA	1.153164846	-4.340770639	0.000148894	0.027844301	-3.59919942589928	"meanmale"	0.814880283245596	"meanfemale"
"20450"	"TRINITY_DN133888_c1_g5_i1"	3.327052772	0.698696243	9.423226159	1.687346361	0.044362833	0	0	8.314613704	0.074542889	0	NA	NA	NA	NA	2.363164687	-4.774988055	3.20082e-05	0.008760871	-2.61157552358544	"meanmale"	2.18604022874394	"meanfemale"
"21298"	"TRINITY_DN134497_c1_g3_i1"	1.296568056	0.178338845	4.390544131	1.022881663	0	0	0	4.544604408	0	0	NA	NA	NA	NA	1.0922818	-5.846667982	1.92474e-07	0.000154883	-4.80519605614987	"meanmale"	1.17057865170194	"meanfemale"
"21673"	"TRINITY_DN134769_c2_g1_i4"	28.96223838	2.906998414	63.1726812	15.87943115	0.278961727	0.573844425	0.225589917	57.73261831	0.267851159	0.31915753	NA	NA	NA	NA	4.346942931	-5.374439048	2.58457e-09	5.27948e-06	-0.32226762009515	"meanmale"	5.05590115142596	"meanfemale"
"21953"	"TRINITY_DN134983_c5_g1_i2"	6.802012145	1.114459114	19.17639411	4.971633613	0.112038518	0	0	18.84709641	0	0	NA	NA	NA	NA	2.146254202	-5.296039	5.67465e-06	0.002354537	-2.02679563016132	"meanmale"	3.31607726416204	"meanfemale"
"22757"	"TRINITY_DN135640_c2_g9_i1"	0	0	0	0.923426618	0	28.32314024	0	0.881154804	0	0.204157448	NA	NA	NA	NA	2.243855282	-7.017566858	4.41815e-05	0.010836289	-4.61064501873211	"meanmale"	2.59111551942656	"meanfemale"
"23028"	"TRINITY_DN135864_c0_g1_i1"	41.60402899	25.01674715	48.17592784	40.50043657	27.13047952	65.34972962	31.49761862	40.65834028	14.84545091	14.58956785	NA	NA	NA	NA	5.404315498	-1.068047997	6.62398e-06	0.00270615	4.49927652777719	"meanmale"	5.56248033967008	"meanfemale"
"23113"	"TRINITY_DN135947_c1_g1_i1"	6.264540965	0.065351213	3.044778948	0.071395985	0.157676912	2.992891739	0.148761297	1.756180262	0.198708445	0.315694218	NA	NA	NA	NA	0.951128191	-3.943671062	7.97993e-08	0.000100379	-2.49542299231307	"meanmale"	1.49879086030938	"meanfemale"
"23906"	"TRINITY_DN139125_c0_g1_i1"	1.351106559	0.368947939	3.437931367	0.483689296	0.044509176	0.233058228	0.167969872	2.940227827	0.224366369	0	NA	NA	NA	NA	0.14888304	-3.374631625	1.59198e-05	0.00503275	-2.63255135567928	"meanmale"	0.756427824485177	"meanfemale"
"24076"	"TRINITY_DN154814_c0_g1_i1"	3.063085597	0.418219833	4.251334709	1.370711387	0	0	0.095200873	6.588263928	0	0.080812323	NA	NA	NA	NA	0.687788583	-4.634540437	2.84764e-06	0.001374892	-3.07161399055074	"meanmale"	1.61106806975227	"meanfemale"
