gid	log2RPKM	sex	cutoff
TRINITY_DN123374_c0_g1_i4	4.967735284	meanfemale	FC1
TRINITY_DN130048_c0_g1_i3	1.683065024	meanfemale	FC1
TRINITY_DN130854_c0_g3_i2	2.362293615	meanfemale	FC1
TRINITY_DN135877_c0_g1_i10	2.712619068	meanfemale	FC1
TRINITY_DN127347_c4_g6_i1	5.014962073	meanfemale	FC1
TRINITY_DN129158_c1_g1_i4	2.686636852	meanfemale	FC1
TRINITY_DN134885_c1_g1_i1	1.064105206	meanfemale	FC1
TRINITY_DN118623_c0_g1_i1	4.809233456	meanfemale	FC1
TRINITY_DN120324_c0_g1_i2	2.555490632	meanfemale	FC1
TRINITY_DN127245_c0_g1_i2	2.905209035	meanfemale	FC1
TRINITY_DN133182_c5_g1_i2	1.154820751	meanfemale	FC1
TRINITY_DN108890_c1_g2_i1	5.25077698	meanfemale	FC1
TRINITY_DN95938_c0_g1_i1	6.178173829	meanfemale	FC1
TRINITY_DN116432_c0_g1_i1	3.256967801	meanfemale	FC1
TRINITY_DN136469_c4_g1_i3	3.631502066	meanfemale	FC1
TRINITY_DN121583_c1_g3_i5	1.164969307	meanfemale	FC1
TRINITY_DN130339_c2_g2_i1	5.815706454	meanfemale	FC1
TRINITY_DN109892_c0_g1_i1	3.693015854	meanfemale	FC1
TRINITY_DN130513_c3_g3_i2	2.634997775	meanfemale	FC1
TRINITY_DN113380_c0_g1_i1	4.041579802	meanfemale	FC1
TRINITY_DN128490_c0_g1_i4	2.120796363	meanfemale	FC1
TRINITY_DN121941_c0_g10_i1	3.47866426	meanfemale	FC1
TRINITY_DN131755_c8_g12_i2	3.561311821	meanfemale	FC1
TRINITY_DN134776_c2_g1_i1	0.357968217	meanfemale	FC1
TRINITY_DN132349_c0_g3_i1	0.826649716	meanfemale	FC1
TRINITY_DN128448_c2_g1_i2	3.673092934	meanfemale	FC1
TRINITY_DN134301_c2_g2_i2	3.022758104	meanfemale	FC1
TRINITY_DN105039_c0_g1_i1	3.035247175	meanfemale	FC1
TRINITY_DN114439_c1_g1_i1	2.244277112	meanfemale	FC1
TRINITY_DN133061_c1_g1_i3	1.143626016	meanfemale	FC1
TRINITY_DN79738_c0_g2_i1	6.091990867	meanfemale	FC1
TRINITY_DN132022_c5_g3_i1	5.690946259	meanfemale	FC1
TRINITY_DN135092_c0_g1_i1	3.609515217	meanfemale	FC1
TRINITY_DN123733_c4_g1_i2	2.396971804	meanfemale	FC1
TRINITY_DN132533_c4_g2_i1	3.975527281	meanfemale	FC1
TRINITY_DN135017_c0_g2_i3	4.586860941	meanfemale	FC1
TRINITY_DN126900_c0_g7_i1	4.058781718	meanfemale	FC1
TRINITY_DN130413_c0_g1_i1	0.49581939	meanfemale	FC1
TRINITY_DN115650_c0_g1_i2	4.78456678	meanfemale	FC1
TRINITY_DN125335_c7_g1_i2	3.97051291	meanfemale	FC1
TRINITY_DN126981_c2_g1_i2	1.495312918	meanfemale	FC1
TRINITY_DN131584_c0_g2_i3	1.675422096	meanfemale	FC1
TRINITY_DN122991_c3_g1_i1	3.172598483	meanfemale	FC1
TRINITY_DN136357_c0_g1_i1	2.0457152	meanfemale	FC1
TRINITY_DN136247_c3_g2_i9	2.703806169	meanfemale	FC1
TRINITY_DN134777_c1_g3_i3	1.74632119	meanfemale	FC1
TRINITY_DN130380_c0_g1_i1	1.144675422	meanfemale	FC1
TRINITY_DN131091_c8_g1_i2	1.820746477	meanfemale	FC1
TRINITY_DN135728_c6_g1_i1	3.503292325	meanfemale	FC1
TRINITY_DN128071_c0_g1_i3	1.607288184	meanfemale	FC1
TRINITY_DN106183_c0_g1_i1	3.007132551	meanfemale	FC1
TRINITY_DN134995_c0_g1_i1	1.425893778	meanfemale	FC1
TRINITY_DN125283_c5_g3_i3	4.660624426	meanfemale	FC1
TRINITY_DN130408_c2_g6_i1	4.748563469	meanfemale	FC1
TRINITY_DN129128_c4_g1_i5	2.417281276	meanfemale	FC1
TRINITY_DN128540_c3_g8_i1	2.906694473	meanfemale	FC1
TRINITY_DN128313_c5_g2_i1	7.367405651	meanfemale	FC1
TRINITY_DN129004_c0_g3_i2	2.764996296	meanfemale	FC1
TRINITY_DN129671_c1_g5_i2	3.041844217	meanfemale	FC1
TRINITY_DN136373_c4_g8_i1	4.935629019	meanfemale	FC1
TRINITY_DN127528_c0_g1_i2	5.160334094	meanfemale	FC1
TRINITY_DN131972_c3_g4_i3	3.291174506	meanfemale	FC1
TRINITY_DN130034_c2_g2_i1	4.616550437	meanfemale	FC1
TRINITY_DN134026_c0_g2_i6	5.908512121	meanfemale	FC1
TRINITY_DN134836_c4_g1_i1	-0.099173406	meanfemale	FC1
TRINITY_DN132814_c0_g1_i5	1.898917351	meanfemale	FC1
TRINITY_DN136339_c3_g3_i1	5.038015144	meanfemale	FC1
TRINITY_DN133949_c2_g3_i2	3.279734281	meanfemale	FC1
TRINITY_DN126419_c5_g1_i1	4.674072537	meanfemale	FC1
TRINITY_DN125398_c5_g2_i1	2.492994087	meanfemale	FC1
TRINITY_DN129034_c7_g7_i3	1.203914547	meanfemale	FC1
TRINITY_DN124099_c3_g1_i1	1.130664527	meanfemale	FC1
TRINITY_DN122177_c1_g1_i1	-0.762871735	meanfemale	FC1
TRINITY_DN131510_c9_g1_i1	6.637146019	meanfemale	FC1
TRINITY_DN135719_c0_g2_i1	0.86059371	meanfemale	FC1
TRINITY_DN125867_c6_g4_i1	2.450916264	meanfemale	FC1
TRINITY_DN134409_c0_g6_i1	5.257521036	meanfemale	FC1
TRINITY_DN76422_c0_g1_i1	3.238159027	meanfemale	FC1
TRINITY_DN119634_c0_g1_i1	-0.387810665	meanfemale	FC1
TRINITY_DN119592_c2_g1_i2	1.130057078	meanfemale	FC1
TRINITY_DN121093_c3_g5_i3	2.05594274	meanfemale	FC1
TRINITY_DN129329_c6_g2_i1	4.155063286	meanfemale	FC1
TRINITY_DN135396_c1_g2_i2	2.902878409	meanfemale	FC1
TRINITY_DN61744_c0_g2_i1	1.548676371	meanfemale	FC1
TRINITY_DN101728_c0_g2_i1	5.122327684	meanfemale	FC1
TRINITY_DN118227_c0_g1_i2	0.319776405	meanfemale	FC1
TRINITY_DN108376_c0_g1_i4	0.66416338	meanfemale	FC1
TRINITY_DN125138_c7_g3_i10	2.03883541	meanfemale	FC1
TRINITY_DN128644_c0_g2_i5	2.188736141	meanfemale	FC1
TRINITY_DN125260_c4_g1_i9	2.16578133	meanfemale	FC1
TRINITY_DN131314_c0_g2_i2	1.778254715	meanfemale	FC1
TRINITY_DN126986_c0_g1_i1	2.289673488	meanfemale	FC1
TRINITY_DN132993_c1_g1_i1	3.091294776	meanfemale	FC1
TRINITY_DN126900_c0_g6_i1	2.168838981	meanfemale	FC1
TRINITY_DN95761_c0_g1_i1	1.283334914	meanfemale	FC1
TRINITY_DN128194_c3_g1_i3	1.141739777	meanfemale	FC1
TRINITY_DN127372_c3_g2_i2	2.363237574	meanfemale	FC1
TRINITY_DN119733_c1_g1_i9	3.678443799	meanfemale	FC1
TRINITY_DN133143_c0_g1_i1	0.087881896	meanfemale	FC1
TRINITY_DN125745_c5_g1_i4	6.112113121	meanfemale	FC1
TRINITY_DN131220_c7_g1_i1	0.360237091	meanfemale	FC1
TRINITY_DN125124_c5_g1_i1	2.962970442	meanfemale	FC1
TRINITY_DN130898_c0_g1_i1	1.975399983	meanfemale	FC1
TRINITY_DN105307_c0_g1_i1	5.778614146	meanfemale	FC1
TRINITY_DN100684_c0_g3_i1	6.405817403	meanfemale	FC1
TRINITY_DN134530_c9_g1_i1	5.938517409	meanfemale	FC1
TRINITY_DN126268_c0_g1_i2	2.439278177	meanfemale	FC1
TRINITY_DN128174_c4_g1_i1	2.068938142	meanfemale	FC1
TRINITY_DN136741_c9_g1_i1	1.770218916	meanfemale	FC1
TRINITY_DN122038_c0_g1_i2	2.584840938	meanfemale	FC1
TRINITY_DN134495_c3_g5_i1	1.067809466	meanfemale	FC1
TRINITY_DN128286_c2_g1_i2	5.118898249	meanfemale	FC1
TRINITY_DN128513_c1_g2_i6	4.947105545	meanfemale	FC1
TRINITY_DN122657_c3_g1_i1	6.129078419	meanfemale	FC1
TRINITY_DN115612_c0_g2_i2	-0.250459613	meanfemale	FC1
TRINITY_DN128854_c0_g1_i2	0.145750086	meanfemale	FC1
TRINITY_DN123534_c0_g1_i2	2.291779192	meanfemale	FC1
TRINITY_DN127632_c0_g1_i2	-0.46843788	meanfemale	FC1
TRINITY_DN128813_c2_g3_i1	4.649263984	meanfemale	FC1
TRINITY_DN134219_c1_g1_i3	1.634879173	meanfemale	FC1
TRINITY_DN134053_c4_g1_i1	1.582827968	meanfemale	FC1
TRINITY_DN125884_c1_g1_i5	2.889598936	meanfemale	FC1
TRINITY_DN134074_c0_g5_i2	1.301075431	meanfemale	FC1
TRINITY_DN115114_c1_g1_i1	1.908468195	meanfemale	FC1
