gid	gname	chr	start	end	logCPM	logFC.FB.MB	logFC.FL.ML	logFC.FO.MT	PV.FB.MB	PV.FL.ML	PV.FO.MT	FDR.FB.MB	FDR.FL.ML	FDR.FO.MT	A6MT1	A6FO1	A2FO2	A2FL1	A17MT1	A17ML1	A17MB	A17FO1	A17FL1	A17FB	A16MB	A16FB	A15MT1	A15ML1	A15MB	A15FB	A12MT1	A12ML1	A12FL1	A12FB	A10MB	A10FO1	A10FB	A7FL1	A8FL1	A8FO2	A8MB	A8ML1	A8MT1	average	ward.D
TRINITY_DN103690_c0_g1_i1	NA	NA	NA	NA	2.47966223991138	5.01753624302847	0.7186426459474	1.90048934537344	1.60011681310197e-07	0.339611070093756	0.117069457044588	0.000351026689674138	0.697750790704983	0.17188287813286	-2.70375933015671	-3.04580949602863	-3.04580949602863	4.37530327357965	-3.04580949602863	3.7991936614845	-1.86203764475892	-3.04580949602863	3.98355037212132	-3.04580949602863	-2.49550760236381	-3.04580949602863	-3.04580949602863	5.02452565722371	1.65373875136204	-2.51546145088255	-3.04580949602863	4.77598851361868	3.41392005098647	-2.14100875611888	-2.54282598002447	-3.04580949602863	-3.04580949602863	3.56255071860439	3.37349950378837	-3.04580949602863	1.50135207357097	4.09492143383366	-2.40814263559734	3	2
TRINITY_DN106674_c0_g1_i1	NA	NA	NA	NA	2.68295599689764	-4.96518941494227	-2.4502800862389	-6.14444259378486	1.42754465860458e-05	0.0377151041112157	4.55485948824332e-07	0.00936782659506252	0.25041395839308	2.15337365192737e-06	-1.39483692018079	5.55979100149217	1.32760090850492	0.0352230558891237	-1.86300377504267	-0.763935798979184	-1.40449526224821	4.76710044967817	-0.271969210338535	4.91039194538962	-2.49550760236381	-1.1749879531	-1.14134033871122	-1.3108905682875	-2.24498437580467	3.26955985977521	-3.04580949602863	-2.00489643096838	-0.654924760933742	5.0198461763767	1.13233061190475	1.53766602440707	3.73968181376291	2.83924744197494	-0.611370848876736	-2.34848058678594	-1.49527697202692	-0.5423307318573	-1.12778388135964	1	1
TRINITY_DN107742_c0_g1_i1	NA	NA	NA	NA	3.08126127666922	5.40786828652539	4.69220001814833	1.84924229847963	3.74352015238933e-05	0.000321335067216051	0.0959189315129888	0.0193691172500067	0.0156056317390756	0.144828489385317	2.9392511171285	2.54791889268514	1.6720468565347	0.0352230558891237	3.87090800629895	-0.281413007401882	-2.53596191836466	3.37729756631166	-1.92954319767092	-1.50112505371489	5.12408703416923	-1.46419025322891	4.94581958527968	-1.93190637962582	-2.24498437580467	-2.12852657345012	5.23504487591877	5.17926920720268	-0.981067419715408	-1.58922843181819	-0.79658540348929	3.11320430575867	-3.04580949602863	-1.29934332305776	-2.13422687265296	3.08319496544504	-1.93641452737922	-0.272205785081946	5.30111927608399	2	2
TRINITY_DN109305_c0_g2_i2	LOC100485936	Chr10	37793960	37793960	0.856876309744996	3.27956327293778	0.309012332846504	0.578989432619413	0.000169597127487482	0.809991714461177	0.530363116666033	0.0473057344589971	0.963388280443318	0.612710706938882	-2.19567434428874	-1.26081739424653	-2.05570477863294	-3.04580949602863	-1.22191467333763	-3.04580949602863	-0.0855951005158877	-1.7358890911258	-3.04580949602863	-0.891574818678845	-0.54911170748262	0.493924004842564	-2.41471243673449	-1.93190637962582	4.02648387489742	0.259511973786732	-1.09327566429815	-2.00489643096838	-1.40315666827805	-0.13083477645016	0.0431023864540479	-3.04580949602863	-0.871996509045773	-1.92301859459989	-3.04580949602863	-3.04580949602863	4.37988280922674	-1.9296924649866	-1.96745782314227	3	2
TRINITY_DN109782_c0_g1_i1	NA	NA	NA	NA	2.93359440079109	-2.87183069481997	-0.316281824181531	2.07800957384098	0.000123975911442926	0.536909474446396	0.00299867166788395	0.0411798999675547	0.827909068133915	0.0066260891281552	-0.882879013077226	-3.04580949602863	-2.31675469084656	5.06197068298245	-1.40566794773266	3.38025410747422	-1.86203764475892	-2.05580895114723	4.77689162669791	-1.32295749229114	-3.04580949602863	-1.1749879531	-0.348164106136088	4.52996829512996	-2.72692496446101	-2.12852657345012	-0.89374140175198	4.6855494926634	4.85329472478997	-2.14100875611888	-3.04580949602863	-2.45072439269138	-0.208622843543734	2.78057230246832	5.28781277683158	-1.88038004122593	-3.04580949602863	4.79142366158608	-3.04580949602863	1	1
TRINITY_DN110815_c0_g1_i2	aloxe3	scaffold_440	14897	14897	0.908259831313248	-3.29431906525909	-0.00807236439885377	-2.35360337618561	4.18931622511502e-07	0.990292730310513	0.000117916204443458	0.000704459706479498	1	0.000346574520328573	0.251289119318365	2.76254285618805	0.0521142290743728	1.05584873612215	-1.22191467333763	0.0795411894145215	-1.86203764475892	2.22004210619013	-0.0445274585802625	1.97413259653428	-1.12500073432696	-1.1749879531	-0.475667147611753	1.06691191649196	-1.7330314215383	0.794988808309797	-0.0659141378017692	0.348946746480131	0.84128331721571	2.40513805774461	-0.362599113750686	1.34044315303256	1.50200525092768	1.01617215851426	-0.611370848876736	2.3256619530416	-2.57503787674359	0.61824976236347	0.0886340299120641	1	1
TRINITY_DN110989_c1_g2_i1	NA	NA	NA	NA	0.089360291978847	3.75315858355897	0.457107844240474	3.2513589078408	3.56320680845689e-05	0.64235457626123	0.000290700259758126	0.0187976625846142	0.886196131269912	0.00078740466010192	0.952672120015267	-0.486970887046836	-2.31675469084656	-3.04580949602863	1.50508007022112	-0.763935798979184	1.58286998032338	-3.04580949602863	-3.04580949602863	-1.02154514174168	2.61781846681594	-2.048316212855	0.833754752687294	-0.878158747723065	1.55424486614062	-2.12852657345012	1.23004967978061	-0.393289239589733	-1.40315666827805	-2.14100875611888	-1.42020887444728	-3.04580949602863	-1.8335179189394	-0.0339435160856287	-1.57998343403963	-1.52752635278932	-1.49527697202692	-1.9296924649866	-0.600483133801479	2	2
TRINITY_DN112375_c0_g4_i1	NA	NA	NA	NA	5.30785855325464	-1.58318423113966	-0.045468021694809	0.769172565807986	0.00011366863533905	0.915126661245629	0.0580350152261063	0.0397175926467163	1	0.0931426022170684	4.5810245675874	3.03871966619645	3.92317372782036	5.36055003394134	4.19145840808187	6.42168544363493	4.96713426568774	3.58537456364975	7.10561307479336	6.76531528630166	4.23197237169758	5.14722553181175	3.45315912669464	5.64475983432686	4.50123178111102	4.61740717037838	4.20202555942216	5.25862748136593	4.4317054621652	7.16236067971052	4.60687616675206	2.8786637904777	5.37623417381388	5.43259155464509	5.89605129223722	3.24081265357821	4.41190191503472	5.93217890947357	4.08870486212916	1	1
TRINITY_DN112907_c0_g1_i1	NA	NA	NA	NA	0.127903630160208	6.27734178749397	3.54221313640368	9.09513826595426	3.4279256846391e-11	3.32411870398371e-05	3.74700960422279e-24	2.30570851363037e-07	0.00296143754075105	1.19023959151847e-22	2.60467976115783	-3.04580949602863	-3.04580949602863	-0.803634048100352	2.61345749409177	-0.763935798979184	-0.342997549595274	-3.04580949602863	-3.04580949602863	-3.04580949602863	-0.230829040975465	-3.04580949602863	1.54198597856359	-0.275716315689326	-1.15011016374489	-3.04580949602863	1.70022562729887	0.0250445102188067	-3.04580949602863	-3.04580949602863	-0.929068930578721	-3.04580949602863	-3.04580949602863	-3.04580949602863	-3.04580949602863	-3.04580949602863	-0.127526646126959	0.324497388232779	1.49225940974205	2	2
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.09614340130006	6.60626446597636	5.4503221823213	6.18797654376686	3.81073932884257e-19	2.6054891713816e-20	4.86346926640668e-21	3.41759805475031e-15	1.40201372312044e-16	1.17355731491185e-19	2.08263601352587	-3.04580949602863	-3.04580949602863	-1.24365783458838	2.00633919989241	2.73773304543042	0.939371327990343	-2.05580895114723	-1.30781818077828	-3.04580949602863	1.06302633376736	-3.04580949602863	1.08035949597573	2.723908862946	0.49480387531687	-3.04580949602863	1.23004967978061	3.74838618669608	-0.654924760933742	-3.04580949602863	1.31915763490447	-2.45072439269138	-2.52072490623989	-2.20978930801522	-3.04580949602863	-3.04580949602863	0.200402574357845	3.51506165712484	1.4215234630987	2	2
