gid	gname	chr	start	end	logCPM	logFC.FB.MB	logFC.FL.ML	logFC.FO.MT	PV.FB.MB	PV.FL.ML	PV.FO.MT	FDR.FB.MB	FDR.FL.ML	FDR.FO.MT
TRINITY_DN131528_c2_g1_i1	ptpra	Chr01	6230782	6230782	2.83490494173726	0.000115590631653523	0.583704282746902	4.92369240868922	0.999693123700437	0.427385516662696	4.48248759339911e-43	1	0.755506394599858	6.00006610449767e-41
TRINITY_DN126312_c0_g1_i4	oxt	Chr01	6308159	6308159	6.11455794694074	0.136832566967555	-4.35691046887477	-3.16308197073814	0.736222895787387	3.86879100706618e-06	1.96722037990508e-16	1	0.000588078090650371	2.96018256830795e-15
TRINITY_DN121522_c0_g1_i3	pradc1	Chr01	10441921	10441921	0.541734952493462	0	0	-7.1189093239928	1	1	2.3670586294403e-16	1	1	3.52243984652053e-15
TRINITY_DN121040_c0_g3_i2	tnip2	Chr01	11849553	11849553	1.68448373474006	-0.396167264074068	-0.173639043079314	-4.34967914933312	0.375623709151707	0.849121755283454	8.67390504155513e-17	1	0.976517239833354	1.35681055315721e-15
TRINITY_DN119009_c0_g2_i2	kcnip4-like	Chr01	22625130	22625130	1.31796315348915	-0.0117288393607151	-0.690793580723517	3.05027949325816	0.979453232950178	0.222949259013227	9.31416044943747e-08	1	0.581526884512931	4.8839892202712e-07
TRINITY_DN126289_c6_g2_i1	pacrgl	Chr01	22668808	22668808	3.48182361567625	-0.0120045976956475	0.107080533218459	3.0675341474508	0.976506959251039	0.798529905914508	6.94285997780109e-13	1	0.957915994607185	7.05162882985045e-12
TRINITY_DN127999_c10_g6_i2	klf3	Chr01	26186197	26186197	2.16581171683788	0.546229280356327	-0.844095913152943	3.09739821848901	0.261627489805753	0.0959643836867395	4.59980140618059e-08	1	0.398474038271697	2.52412108572892e-07
TRINITY_DN126256_c6_g2_i1	klhl5-like	Chr01	26330435	26330435	4.25421662408879	-0.0302520611006204	0.0322189689136776	-4.47625165925216	0.923628805591338	0.94306397583326	6.27482675464726e-34	1	1	4.37368429621204e-32
TRINITY_DN135526_c5_g2_i2	atp8a1	Chr01	28181203	28181203	4.07705666951775	-0.7129521844046	-2.29799003052824	-11.7247779806767	0.525440670759828	0.0594809795078862	1.17642919904278e-52	1	0.313146215212116	2.4536300465307e-50
TRINITY_DN118819_c0_g1_i1	corin-like	Chr01	29391953	29391953	8.72541039049793	-0.0686009009756902	0.0142240091300884	3.39035172761125	0.856913128214538	0.971843201767868	4.47874612938467e-16	1	1	6.48201530990287e-15
