gid	gname	chr	start	end	logCPM	logFC.FB.MB	logFC.FL.ML	logFC.FO.MT	PV.FB.MB	PV.FL.ML	PV.FO.MT	FDR.FB.MB	FDR.FL.ML	FDR.FO.MT
TRINITY_DN131528_c2_g1_i1	ptpra	Chr01	6230782	6230782	2.83490494173726	0.000115590631653523	0.583704282746902	4.92369240868922	0.999693123700437	0.427385516662696	4.48248759339911e-43	1	0.755506394599858	6.00006610449767e-41
TRINITY_DN126312_c0_g1_i4	oxt	Chr01	6308159	6308159	6.11455794694074	0.136832566967555	-4.35691046887477	-3.16308197073814	0.736222895787387	3.86879100706618e-06	1.96722037990508e-16	1	0.000588078090650371	2.96018256830795e-15
TRINITY_DN133310_c0_g2_i1	gfra4	Chr01	7416468	7416468	3.4224575118684	-0.51279961380382	2.54204925449126	0.113243837922053	0.502122045755451	0.00192965501895067	0.881673310000496	1	0.0483967455757224	0.91215796821778
TRINITY_DN136216_c2_g1_i1	dysf-like	Chr01	9051421	9051421	5.15526597305723	-0.317197158136859	0.256175981366059	1.07734818033235	0.353934958385286	0.48100776579762	0.00167420495639911	1	0.793760560066259	0.00389186835596319
TRINITY_DN119931_c0_g1_i1	LOC100127651	Chr01	9648232	9648232	5.14897798232873	-0.102513877648698	-0.717938938982452	-1.27302713184126	0.689961666221585	0.0103949152981133	6.82493638298475e-07	1	0.130142017727193	3.12765991116002e-06
TRINITY_DN128516_c1_g3_i2	LOC100489358	Chr01	9910989	9910989	2.70989212068379	0.0690256439105865	-0.290052116555037	1.4686086506009	0.839480071988137	0.496521732678376	0.000102630730363109	1	0.80423910571494	0.000306112789160966
TRINITY_DN110146_c0_g1_i3	dctn1	Chr01	10068970	10068970	5.0237681520754	0.0968189156688911	1.10668886514645	1.02904652859738	0.800971971855061	0.00208746437971737	0.00349269374875551	1	0.050046595964913	0.00761206361363039
TRINITY_DN93335_c0_g2_i1	LOC100495180	Chr01	10131517	10131517	5.50927393022059	0.608273087839712	0.492613655445467	-2.3451910620083	0.230757226919935	0.287775355287094	2.05639940136812e-06	1	0.650201203728523	8.65166941263633e-06
TRINITY_DN121522_c0_g1_i3	pradc1	Chr01	10441921	10441921	0.541734952493462	0	0	-7.1189093239928	1	1	2.3670586294403e-16	1	1	3.52243984652053e-15
TRINITY_DN125389_c0_g2_i1	spr	Chr01	10753033	10753033	2.60395483104703	-0.135960638436144	0.228038430418618	1.00672629044475	0.660023908610899	0.505827480796321	0.00299628276964589	1	0.8103116176244	0.00662135424372261
