gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	logFC.XY27.XX27	logFC.XY31.XX31	logFC.XY43.XX43	logFC.XY46.XX46	PV.XY23.XX23	PV.XY27.XX27	PV.XY31.XX31	PV.XY43.XX43	PV.XY46.XX46	FDR.XY23.XX23	FDR.XY27.XX27	FDR.XY31.XX31	FDR.XY43.XX43	FDR.XY46.XX46
TRINITY_DN99798_c0_g2_i1	gapdh	Chr07	1685766	1685766	0.693350785689115	-0.760821130865183	-0.184400576178896	0.876890460350749	-1.64055336757625	-6.13848590799422	0.313351576598244	0.810663311729902	0.186338988361945	0.00433179050966945	3.29201365264509e-19	1	1	1	0.242851930502954	3.11204217097292e-17
TRINITY_DN119494_c0_g1_i1	NA	NA	NA	NA	2.81696458840841	0.307520246635507	-0.16457885669285	0.410557564494149	-4.67956711555439	-9.03459813833983	0.592430181938947	0.780330757052203	0.444330030627516	1.48336859657343e-12	2.23850074934125e-29	1	1	1	2.24363863080545e-09	1.04651945032385e-26
TRINITY_DN98835_c0_g3_i1	NA	NA	NA	NA	1.35230768737898	0.0510642951835441	-0.149969344928485	0.155661187577667	-0.449501062484373	-3.44205502022642	0.907046230395349	0.740081521947361	0.678648656574526	0.318236126059051	4.45598944848689e-11	1	1	1	0.926589558912132	1.35754569536663e-09
TRINITY_DN117235_c0_g3_i1	NA	NA	NA	NA	3.75297841854076	0.0402729232281816	0.0453280689365763	-0.0176377178942703	-0.644273168400888	-4.0631265371043	0.897177604336882	0.885549709193429	0.946559374861268	0.0420343620590653	1.71754747294141e-28	1	1	1	0.765419122327704	7.12311260834556e-26
TRINITY_DN133682_c1_g1_i3	NA	NA	NA	NA	4.78970394569177	0.00148593017764859	0.080886138149111	-0.0106698760779462	-0.511383890108119	-3.97584265765075	0.996956384052693	0.83600579390054	0.97366571034263	0.194299399722226	4.91591552307686e-18	1	1	1	0.924001874065281	4.05137614887421e-16
TRINITY_DN133692_c2_g4_i1	NA	NA	NA	NA	3.44573419691649	-0.50803740558946	-0.552682338486384	0.090717697202979	-0.470716874482228	-3.03131373472031	0.227839096684258	0.194537739623115	0.796097394542629	0.271952014784096	4.70011180865891e-10	1	1	1	0.926589558912132	1.22944023332702e-08
TRINITY_DN4687_c0_g1_i1	NA	NA	NA	NA	3.98714074619406	-0.0786546063079961	-0.213990776924151	1.08996931551542	-3.12045827901371	8.25620673513295	0.961539515335326	0.895522874233419	0.427562048853893	0.077232187898386	0.00239354623034436	1	1	1	0.866429720393694	0.0166879756564112
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.139704948664891	9.03854288637723	0.597766505287793	1.47803585554514	8.87119991286745	-0.180582300193948	3.19901410152321e-07	0.594284861884769	0.127145462660401	3.6480093317836e-07	0.885404532164091	0.00164512499184932	1	1	7.88245915530687e-05	0.945370265573261
TRINITY_DN117651_c0_g1_i7	NA	NA	NA	NA	2.98482720511541	0.0952654027801955	-0.0467027168210932	-0.219482690866525	-0.0428945299843724	-3.79046410066214	0.785104205932169	0.896457184406214	0.459278803174532	0.904371513106725	2.54936080069257e-20	1	1	1	0.991898457848172	2.90051833045168e-18
TRINITY_DN123052_c0_g1_i2	plxnb3	Chr08	3112250	3112250	2.17349220084338	0.0339938981540626	-0.64473197239164	1.37065442373621	-4.34036104600481	-9.31597999017505	0.971454771466662	0.493518244575726	0.124575074345398	5.80304751351527e-06	4.39136230386784e-15	1	1	1	0.000904325822515262	2.24037894681258e-13
TRINITY_DN124951_c0_g3_i3	NA	NA	NA	NA	0.400753385991001	-1.11244039403959	-1.42229185619122	0.383829350382716	-2.63541347918175	-5.44168997483261	0.204599038726133	0.149434100765677	0.570380726041259	2.49321405732692e-05	3.29794023687865e-14	1	1	1	0.00333895901333579	1.50621558278616e-12
TRINITY_DN112067_c0_g1_i2	NA	NA	NA	NA	5.8265001634767	0.681547070691556	0.189771321724621	-0.657441308986484	0.677326674146879	-3.71442203904767	0.406636585475595	0.816436737236968	0.325376148197334	0.413329101939435	0.000502858109783478	1	1	1	0.930262683204651	0.00422134853962212
TRINITY_DN136529_c1_g2_i1	NA	NA	NA	NA	4.65474300475811	-0.0562733615098573	0.184177159098174	-0.201821137029363	-0.571357065020527	-5.44797639141071	0.900657574849085	0.668284583708653	0.561219399072211	0.163855306326898	8.7659034031582e-27	1	1	1	0.920099185414933	2.57476553855254e-24
TRINITY_DN119122_c0_g1_i3	NA	NA	NA	NA	7.29836977858441	0.121121633693756	0.199815333748562	-0.133854057870639	-0.538450859739803	-3.11721321120315	0.710422864953745	0.540031780100287	0.617139901867459	0.100045214504068	5.09853214231486e-17	1	1	1	0.89924783021391	3.58192778621153e-15
TRINITY_DN116262_c0_g2_i2	NA	NA	NA	NA	0.0117395490299679	-0.075290816457733	0.0257987056501608	-0.022051435376497	-0.75427216998641	-3.49972908251796	0.887579482842781	0.962417462571219	0.961957345999808	0.232457416775251	1.91700165100395e-06	1	1	1	0.924001874065281	2.71730228513035e-05
TRINITY_DN119528_c0_g1_i3	anxa9	Chr08	106137096	106137096	2.23483914572111	-0.0308804287806643	-0.116100860563307	0.225279969266067	-0.452379873919659	-3.03205181054584	0.929289178053018	0.744123315654172	0.455789099663217	0.203139338067788	1.8324338223192e-14	1	1	1	0.924001874065281	8.53575559298798e-13
TRINITY_DN131929_c1_g1_i1	NA	NA	NA	NA	2.19578827371089	-0.0577522711405414	0.31901525208736	-0.339292107428101	-0.284811036871212	-3.19645115831116	0.892884324989881	0.46505816131986	0.35187916103644	0.522773577619959	2.11767432036157e-10	1	1	1	0.948622085294582	5.88667673507645e-09
TRINITY_DN131883_c2_g3_i1	NA	NA	NA	NA	0.867760204676396	0.160860407791293	-0.282953786438218	0.561626462549902	-0.471903618235503	-3.41490052747816	0.677286061362163	0.49767528783953	0.136445110096132	0.239301306096788	1.62836813583089e-14	1	1	1	0.924001874065281	7.62663567880138e-13
