gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	logFC.XY27.XX27	logFC.XY31.XX31	logFC.XY43.XX43	logFC.XY46.XX46	PV.XY23.XX23	PV.XY27.XX27	PV.XY31.XX31	PV.XY43.XX43	PV.XY46.XX46	FDR.XY23.XX23	FDR.XY27.XX27	FDR.XY31.XX31	FDR.XY43.XX43	FDR.XY46.XX46
TRINITY_DN127333_c1_g1_i5	NA	NA	NA	NA	4.41479254345177	0.186590349706659	0.0730222545795162	0.192876314807972	0.794048809815994	2.78736484653704	0.71007368068162	0.883821212234062	0.635012799112525	0.108096908625053	6.41095827866014e-06	1	1	1	0.90125447550178	8.15660416720377e-05
TRINITY_DN99798_c0_g2_i1	gapdh	Chr07	1685766	1685766	0.693350785689115	-0.760821130865183	-0.184400576178896	0.876890460350749	-1.64055336757625	-6.13848590799422	0.313351576598244	0.810663311729902	0.186338988361945	0.00433179050966945	3.29201365264509e-19	1	1	1	0.242851930502954	3.11204217097292e-17
TRINITY_DN126328_c0_g1_i1	cenpm	Chr04	105778900	105778900	4.04971812548121	-0.194285517113944	-0.0188527023975752	0.1208744583694	-0.0820400505466262	-2.15489113846065	0.483588462689082	0.946276366985851	0.603477174838886	0.770193496864875	6.38609356352991e-12	1	1	1	0.978660256108582	2.18649299332949e-10
TRINITY_DN205013_c0_g1_i1	NA	NA	NA	NA	2.62570359820403	-1.15463921721224	0.530364573554561	-0.342650925228388	-1.03000866150723	2.06733788752335	0.116073636651643	0.419764906967884	0.54025108246807	0.087833704728463	0.00417509901159288	1	1	1	0.882061642824018	0.026966671912858
TRINITY_DN119494_c0_g1_i1	NA	NA	NA	NA	2.81696458840841	0.307520246635507	-0.16457885669285	0.410557564494149	-4.67956711555439	-9.03459813833983	0.592430181938947	0.780330757052203	0.444330030627516	1.48336859657343e-12	2.23850074934125e-29	1	1	1	2.24363863080545e-09	1.04651945032385e-26
TRINITY_DN72899_c0_g1_i1	NA	NA	NA	NA	1.71356377394897	-0.0784963262988114	-0.165271962676849	-0.178002080156621	-0.787694679106909	-2.45202882429529	0.819078168318938	0.635221501443608	0.541014465831407	0.0248419258280693	1.96426400743865e-10	1	1	1	0.64717369687654	5.4839435855885e-09
TRINITY_DN133028_c0_g1_i1	NA	NA	NA	NA	1.88344856221033	0.25742810989547	0.330484696157201	0.364933921329951	-0.0939040429428024	-2.07737901286004	0.668584651413705	0.583542189778164	0.470388203930493	0.877360941339199	0.00207228136825432	1	1	1	0.989948815078219	0.01469513811967
TRINITY_DN98835_c0_g3_i1	NA	NA	NA	NA	1.35230768737898	0.0510642951835441	-0.149969344928485	0.155661187577667	-0.449501062484373	-3.44205502022642	0.907046230395349	0.740081521947361	0.678648656574526	0.318236126059051	4.45598944848689e-11	1	1	1	0.926589558912132	1.35754569536663e-09
TRINITY_DN117235_c0_g3_i1	NA	NA	NA	NA	3.75297841854076	0.0402729232281816	0.0453280689365763	-0.0176377178942703	-0.644273168400888	-4.0631265371043	0.897177604336882	0.885549709193429	0.946559374861268	0.0420343620590653	1.71754747294141e-28	1	1	1	0.765419122327704	7.12311260834556e-26
TRINITY_DN133682_c1_g1_i3	NA	NA	NA	NA	4.78970394569177	0.00148593017764859	0.080886138149111	-0.0106698760779462	-0.511383890108119	-3.97584265765075	0.996956384052693	0.83600579390054	0.97366571034263	0.194299399722226	4.91591552307686e-18	1	1	1	0.924001874065281	4.05137614887421e-16
TRINITY_DN118108_c0_g2_i1	NA	NA	NA	NA	3.61078424064868	0.0177377574111296	-0.0317585316086278	-0.19172504712923	-0.367516524055719	-2.02453286145094	0.947058414526272	0.906103476488773	0.392833420529238	0.181198958519935	2.43189797466031e-11	1	1	1	0.920099185414933	7.68198926565609e-10
TRINITY_DN129757_c0_g1_i1	NA	NA	NA	NA	4.93287905040197	0.0566337618237036	0.0893121667506942	0.420681916263741	-0.00130690962659852	-2.74168157330916	0.911774258143853	0.86162051793464	0.321035040580975	0.997967120452248	2.00717704471923e-06	1	1	1	1	2.82915858581364e-05
