gid	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	4.17644125933532	-7.08309530547931	9.69498200417366e-10	5.32221808607792e-09
TRINITY_DN100287_c0_g2_i1	inmt	Chr07	73890622	73890622	4.13176936804092	2.56257375113316	5.09970517057759e-07	1.92713913255567e-06
TRINITY_DN100830_c0_g1_i2	LOC101733955	Chr03	85276942	85276942	2.17035454954874	3.3912999435161	1.60503798019223e-10	9.64623518583478e-10
TRINITY_DN100835_c0_g1_i1	Xetrov90013145m	Chr05	14816595	14816595	5.74079655059214	6.61713824735613	4.84030599566834e-37	2.10511584035748e-35
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	5.92833090219435	-2.71134506124127	4.79010044503662e-24	1.02615952208959e-22
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	10.5399031983781	-5.69263128370787	2.56643323643107e-49	1.73794035943554e-47
TRINITY_DN101232_c0_g1_i1	scn3b	Chr07	54900494	54900494	1.81982975595334	3.39015581792843	1.58803101203651e-08	7.41473063926347e-08
TRINITY_DN101369_c0_g1_i1	kbtbd8	scaffold_16	903489	903489	1.80934204899135	-3.099140354696	3.28430384300025e-06	1.09621653244699e-05
TRINITY_DN101809_c0_g1_i2	LOC101732244	Chr05	59159234	59159234	4.51096129104002	2.3694720584614	3.33498877100365e-14	3.02336358485416e-13
TRINITY_DN101833_c0_g1_i1	ier2	Chr03	129491240	129491240	6.89061757565524	-2.50527445323087	6.76803315150344e-16	7.29588189088351e-15
TRINITY_DN101895_c0_g1_i1	LOC100498557	scaffold_2562	2638	2638	2.23224922862153	2.02687728779385	0.00106618246471543	0.00238109364076554
TRINITY_DN102094_c0_g3_i1	neurod6	Chr06	26805528	26805528	0.119605489879321	-4.92713000968713	1.62480670641158e-07	6.52120114068928e-07
