ID	Am2_463	Am2_464	Am4_461	Am5_461	Am6_462	Am6_464
TRINITY_DN97412_c0_g1_i1	1	2	2	6	5	4
TRINITY_DN76735_c0_g1_i1	489	334	768	830	930	639
TRINITY_DN69467_c0_g1_i1	1	2	9	15	6	15
TRINITY_DN16834_c0_g2_i1	0	2	1	9	3	2
TRINITY_DN13815_c0_g2_i1	9.9371	66.2043	6.43317	49	41.7239	97
TRINITY_DN3073_c0_g2_i1	17	5	12	23	24	14
TRINITY_DN96172_c0_g1_i1	244	117	203	233	819	237
TRINITY_DN129479_c11_g4_i2	184.931	255.086	323.27	413.12	263.887	421.054
TRINITY_DN23388_c0_g1_i1	4	0	10	3.015	10	25
TRINITY_DN127263_c1_g1_i1	73	57	187	97	92	113
TRINITY_DN48362_c0_g2_i1	4	0	2	1	4	5
TRINITY_DN116347_c0_g1_i1	395.801	128.796	477.282	469.323	691.529	311.31
TRINITY_DN42263_c0_g1_i1	0	2	9	0	4	1
TRINITY_DN4662_c0_g1_i1	1	0	4	6	0	0
TRINITY_DN5089_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN74768_c0_g1_i1	4	6	18	17	4	13
TRINITY_DN66054_c0_g1_i1	1	0	9	9	4	6
TRINITY_DN95912_c0_g1_i1	7	17	16	14	16.8185	10
TRINITY_DN87575_c0_g2_i1	2	0	3	3	4	1
TRINITY_DN118925_c0_g1_i1	102	365	159	195	164	412
TRINITY_DN134865_c1_g4_i1	1	0	0	0	2	1
TRINITY_DN134185_c1_g4_i1	7	7	8.48224	14	7	6.60525
TRINITY_DN45268_c0_g2_i1	0	0	0	0	0	0
TRINITY_DN44718_c0_g1_i1	2	4	12	13	11	4
TRINITY_DN43882_c0_g1_i1	2.47433	0	7.42966	6.17695	8.34121	6.53503
TRINITY_DN81712_c0_g2_i1	9	10	11	40	33	41
TRINITY_DN86469_c0_g1_i1	2	0	0	4	3	1
TRINITY_DN96624_c0_g3_i2	194	1367	377	384	317	1435
TRINITY_DN134146_c2_g1_i2	377	229	523	735	536	434
TRINITY_DN68257_c0_g1_i1	2	1	7	10	3	1
TRINITY_DN45599_c0_g2_i1	33.8478	14.5052	65.6407	60.8237	75.4932	56.0686
TRINITY_DN129440_c8_g2_i1	0	0	1	4	2	2
TRINITY_DN79409_c0_g1_i1	11.7625	5	20.5956	18.6731	16.1131	10.6272
TRINITY_DN133031_c0_g1_i3	202.129	146.133	439.997	395.935	419.188	199.279
TRINITY_DN134177_c0_g1_i1	5	4.13242	18.726	32.665	15.6319	17.5947
TRINITY_DN130777_c4_g9_i3	55.5413	44.4282	110.51	136.961	115.936	85.165
TRINITY_DN15061_c0_g1_i1	2	1	1	1	0	1
TRINITY_DN12356_c0_g2_i1	4.94955	0.0374818	0.133305	0.0562561	0.017515	0.0647263
TRINITY_DN91229_c0_g2_i1	1.02208	0	1	0	1	2
TRINITY_DN69345_c0_g1_i1	1	0	6	2	4	2
TRINITY_DN88831_c0_g2_i1	2	1	2	3	2	0
TRINITY_DN70122_c0_g1_i1	0	1	0	2	0	0
TRINITY_DN129407_c2_g1_i1	84	73	205	123	176	115
TRINITY_DN57090_c0_g2_i1	6	0	0	4	0	0
TRINITY_DN118994_c0_g1_i1	145	121	193	242	218	190
TRINITY_DN57850_c0_g1_i1	21.672	16.7919	0.0141724	0	60.3757	51.2722
TRINITY_DN8924_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN83954_c0_g1_i1	8	3.66509	18.535	19.2696	33	4.41216
TRINITY_DN93262_c0_g1_i1	20	16	41	32	34	21
TRINITY_DN75392_c0_g2_i1	1	1	6	1	1	0
TRINITY_DN17651_c0_g1_i1	1	0	0	0	0	0
TRINITY_DN93473_c0_g1_i1	26.9639	11.6538	18.4451	31.2656	33.7731	15.1464
TRINITY_DN83366_c0_g1_i1	3	2	4	4	1	0
TRINITY_DN23330_c0_g1_i1	2	0	1	1	0	2
TRINITY_DN68911_c0_g3_i1	0	1	2	4	3	2
TRINITY_DN4253_c0_g2_i1	0	0	0	0	0	0
TRINITY_DN133039_c0_g3_i1	0	0	1	0	0	0
TRINITY_DN43450_c0_g1_i1	0	13	0	3	2	10
TRINITY_DN96125_c0_g1_i1	1	1	2	0	0	1
TRINITY_DN9690_c0_g1_i1	18.3231	13.3516	29.8705	28.3703	18.1035	41.0982
TRINITY_DN134567_c1_g1_i1	58	106	115	156	73	206
TRINITY_DN134848_c3_g2_i2	100	160	89	102	133	109
TRINITY_DN38801_c0_g1_i1	4	4	15	10	7	1
TRINITY_DN82945_c0_g1_i1	347	1897	442	620	523	1754
TRINITY_DN73149_c0_g1_i1	0	0	0	0	0	2
TRINITY_DN160467_c0_g1_i1	0	0	1	1	2	0
TRINITY_DN5131_c0_g1_i1	1509	451	2367	2063	1267	2031
TRINITY_DN47917_c0_g2_i1	3	1	1	9	5	3
TRINITY_DN67409_c0_g1_i1	0	8	0	0	0	5
TRINITY_DN42118_c0_g2_i1	0	1	0	3	3	1
TRINITY_DN80427_c0_g1_i1	6	5	10	8	10	8
TRINITY_DN81329_c0_g1_i1	725	596	1943	1682	1706	1432
TRINITY_DN32992_c0_g1_i1	0	1	0	0	0	0
TRINITY_DN98677_c0_g1_i1	1	0	3	3	3	2
TRINITY_DN116595_c0_g1_i1	2	4	25	8	14	2
TRINITY_DN97938_c0_g1_i1	5	0	0	0	1	3
TRINITY_DN98126_c0_g2_i1	6	5	26	31	50	18.0004
TRINITY_DN39022_c0_g1_i1	2	1.1094	4	2	7	9
TRINITY_DN134515_c0_g1_i1	224	296	501	811	410	581
TRINITY_DN87522_c0_g1_i1	0	2	0	1	0	1
TRINITY_DN90936_c0_g1_i1	20	7	10	16	30	7
TRINITY_DN127260_c0_g3_i5	2	2	0	170	40	33
TRINITY_DN118957_c0_g2_i1	84.6871	300.936	210.413	341.966	254.732	305.177
TRINITY_DN68476_c0_g1_i1	0	10	0	0	0	6
TRINITY_DN118905_c0_g1_i1	7	2	27	16	13	8
TRINITY_DN130789_c5_g2_i2	441	742	918	861	834	956
TRINITY_DN82941_c0_g1_i1	2	11	15	7	1	1
TRINITY_DN51181_c0_g2_i1	55	72	125	133	101	150
TRINITY_DN155889_c0_g1_i1	1	0	1	3	1	0
TRINITY_DN116393_c0_g1_i2	112	109	193	215	229	156
TRINITY_DN98773_c0_g2_i1	42	26	83	1	140	39
TRINITY_DN48675_c0_g1_i1	27	85.6991	45.2543	42	44	95
TRINITY_DN92736_c0_g2_i1	1	0	0.991744	1.99103	0	0
TRINITY_DN28900_c0_g1_i1	0	0	0	1	1	0
TRINITY_DN34502_c0_g1_i1	0	1	3	1	0	0
TRINITY_DN89051_c0_g1_i1	2	2	6	9	4	5
TRINITY_DN2358_c0_g1_i1	22	29	30	39	45	41
TRINITY_DN133710_c3_g1_i1	29	17	57	72	60	144
TRINITY_DN10948_c0_g1_i1	0	0	1	1	0	2
TRINITY_DN75326_c0_g1_i2	1	0	0	2	0	3
TRINITY_DN129427_c0_g5_i1	0	0	3.53988	3.62894	5.11731	0
TRINITY_DN84753_c0_g2_i1	2	0	2	3	2	2
TRINITY_DN84441_c0_g1_i1	2	2	14	7	10	7
TRINITY_DN30378_c0_g1_i1	3	1	4	2	7	4
TRINITY_DN99998_c0_g3_i1	0	0	1	0	1	0
TRINITY_DN173763_c0_g1_i1	1	0	0	0	0	0
TRINITY_DN43542_c0_g1_i1	1	3	0	0	3	1
TRINITY_DN98783_c0_g4_i1	0	0	1	1	0	0
TRINITY_DN97528_c0_g1_i1	1	15	3	4	4	7
