ID	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313
TRINITY_DN130580_c2_g9_i1	3	15.9914	13.8806	0	15	6	10	22	17.2975
TRINITY_DN73764_c0_g3_i1	60	198	158	68	3	0	44	127	79
TRINITY_DN132482_c0_g1_i10	152	156	80	79	117	192	87	181	108
TRINITY_DN127206_c0_g1_i1	2376	3347	2066	1719	1801	2166	2621	3502	3373
TRINITY_DN134064_c3_g1_i5	1674	2869.92	2123	1520	1489	1643	1899	2505.91	1839
TRINITY_DN166088_c0_g1_i1	1	2	1	0	0	0	0	1	0
TRINITY_DN121542_c0_g2_i3	167	278	158	37	62	152	107	66	115
TRINITY_DN34629_c0_g2_i1	28.1131	43.2826	9.24092	11.2146	26.8518	10.8822	17.4876	25.8585	27.3072
TRINITY_DN119538_c0_g1_i1	1857	2518	1685	1334	1605	1840	1491	2265	1661
TRINITY_DN131809_c6_g2_i1	22	33	31	16	8	6	37	40	41
TRINITY_DN131630_c1_g1_i1	2.63432	4.6645	14.5396	0.0790196	0.00411605	5.09438	36.832	87.4987	11.0553
TRINITY_DN124704_c0_g1_i10	28	43	16	15	30	24	24	41	20
TRINITY_DN131178_c0_g1_i2	39	29	11	16	28	22.8276	17	13	25
TRINITY_DN136561_c3_g4_i2	8	48	28	12	17	33	67	101	24
TRINITY_DN128975_c3_g4_i1	0	0	0	0	0	2.23698	0	1.06548	0
TRINITY_DN123758_c9_g4_i1	192.483	243.68	167.87	156.878	253.96	501.727	482.414	525.311	248.124
TRINITY_DN129434_c2_g2_i1	0	1	0	0	0	2	1	4	2
TRINITY_DN21989_c0_g1_i1	0	0	1	1	1	2	0	0	0
TRINITY_DN124227_c0_g1_i1	0	1	0	0	0	0	2	6	2
TRINITY_DN210839_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN177478_c0_g1_i1	1	7	6	3	0	0	1	12	8
TRINITY_DN179939_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN70092_c0_g1_i1	14	33	38	22	3	0	16	16	4
TRINITY_DN127402_c0_g1_i1	10	14	12	10	13	135	10	10	12
TRINITY_DN119189_c2_g1_i2	71	99	75	48	41	85	58	125	78
TRINITY_DN16003_c0_g2_i1	32	38	26	30	14	47	31	63	42
TRINITY_DN133762_c0_g1_i3	536	937	659	455	319	412	380	465	384
TRINITY_DN130505_c1_g1_i3	286	444	322	216	366	235	318	442	330
TRINITY_DN123716_c3_g1_i1	2546.82	4191.67	2003.4	1506.92	2322.71	2708.85	2576.76	4723.9	3662.66
TRINITY_DN135515_c4_g1_i3	91	220	158	95	46	42	69	77	93
TRINITY_DN68693_c0_g2_i1	465.249	608.335	353.485	265.43	367.294	362.396	465.868	545.47	571.936
TRINITY_DN145249_c0_g1_i1	5	9	4	3	3	0	2	13	4
TRINITY_DN124900_c0_g3_i1	13	17	5	7	6	3	17	42	20
TRINITY_DN106518_c0_g4_i2	9	23	5	10	11	4	4	12	6
TRINITY_DN138580_c0_g1_i1	6	37	26	8	0	0	12	33	17
TRINITY_DN126847_c0_g1_i3	1140	2034	1289	905	1328	1393	1115	1857	1854
TRINITY_DN152960_c0_g1_i1	43	107	118	50	2	1	36	81	65
TRINITY_DN166596_c0_g1_i1	0	0	10.6911	5.88763	2.07267	0	0	0	0
TRINITY_DN46664_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN123559_c0_g2_i2	1	3	1	1	10	12	13	28	8
TRINITY_DN106315_c0_g1_i2	12	19	6	9	26	9	10	9	9
TRINITY_DN27786_c0_g1_i1	1	0	0	0	0	0	0	0	0
TRINITY_DN132722_c2_g5_i3	126	173	77	110	117	129	81	215	158
TRINITY_DN126985_c1_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN44216_c1_g1_i1	6	28	25	9	8	8	13	20	23
TRINITY_DN184260_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN123604_c0_g5_i1	924.516	1402.52	728.705	718.927	938.817	1169.83	1399.67	1935.81	1894.66
TRINITY_DN144129_c0_g1_i1	10	23	23	17	0	0	9	42	27
TRINITY_DN151971_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128639_c3_g4_i1	22	47	22	9	16	15	44	63	38
TRINITY_DN123599_c7_g4_i1	142.361	217.192	114.378	107.592	136.254	146.46	110.511	205.612	114.345
TRINITY_DN86564_c0_g2_i1	0	1	2	1	1	0	1	0	0
TRINITY_DN126847_c1_g1_i1	3	1	5	3	2	2	11	14	3
TRINITY_DN139730_c0_g1_i1	4	11	8	9	3	8	6	10	4
TRINITY_DN69284_c0_g1_i1	1883	2691	1335	1503.92	2376	1592	1485	1908	1721
TRINITY_DN136743_c32_g7_i1	109	147	117.644	57	51	128	109	198	172.67
TRINITY_DN130292_c0_g3_i1	0	4	1	0	0	0	1	1	0
TRINITY_DN103834_c0_g1_i1	3.88491	8.57978	4.33994	3.63365	16.1378	4.11762	4.33055	7.9439	0
TRINITY_DN79190_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131047_c0_g2_i1	3	8	3	2	0	1	8	8	1
TRINITY_DN3348_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN126993_c10_g6_i1	1	3	1	2	2	0	7	9	2
TRINITY_DN135389_c10_g4_i2	28	65	44.0073	35.0055	38	23.0015	44	36	33
TRINITY_DN16601_c0_g1_i1	4	9	7	5	0	0	2	11	6
TRINITY_DN146529_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN89558_c0_g1_i1	2	1	1	1	1	2	0	2	0
TRINITY_DN211347_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN208221_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN166580_c0_g1_i1	8	18	9	8	3	0	9	39	22
TRINITY_DN134873_c1_g1_i1	4	1	3	2	0	2	5	15	1
TRINITY_DN140836_c0_g1_i1	0	4	1.00297	1.0012	0	0	2	0	0
TRINITY_DN74642_c0_g1_i1	4	6	3	2	3	1	10	13	3
TRINITY_DN127470_c0_g3_i1	6	15	13	12	5	7	14	18	13
TRINITY_DN127024_c2_g3_i1	149.147	232.626	163.264	98.5721	130.652	142.947	151.814	257.966	166.446
TRINITY_DN126605_c1_g1_i1	16	27	14	12	6	16	41	84	19
TRINITY_DN34652_c0_g1_i1	0	0	0	0	0	0	0	2	0
TRINITY_DN110111_c0_g1_i1	8	31	12	5	10	8	16	6	8
TRINITY_DN125402_c0_g1_i2	633	1312	1024	561	697	653	581	977	1071
