stage	trans
G43	TRINITY_DN127464_c0_g2_i1
G43	TRINITY_DN121490_c3_g1_i3
G43	TRINITY_DN180950_c0_g1_i1
G43	TRINITY_DN127614_c0_g1_i2
G43	TRINITY_DN128130_c4_g11_i1
G43	TRINITY_DN121465_c5_g2_i1
G43	TRINITY_DN127436_c2_g1_i1
G43	TRINITY_DN129279_c4_g4_i1
G43	TRINITY_DN116044_c0_g2_i1
G43	TRINITY_DN133889_c1_g7_i1
G43	TRINITY_DN113348_c0_g3_i1
G43	TRINITY_DN127464_c0_g7_i1
G43	TRINITY_DN209985_c0_g1_i1
G43	TRINITY_DN129733_c3_g5_i1
G43	TRINITY_DN124874_c1_g1_i1
G43	TRINITY_DN119926_c0_g1_i1
G43	TRINITY_DN135864_c0_g11_i1
G43	TRINITY_DN130234_c0_g4_i4
G43	TRINITY_DN127055_c1_g5_i1
G43	TRINITY_DN27210_c0_g1_i1
G43	TRINITY_DN131565_c0_g5_i1
G43	TRINITY_DN127093_c0_g4_i1
G43	TRINITY_DN129533_c4_g2_i3
G43	TRINITY_DN134625_c0_g1_i4
G43	TRINITY_DN125925_c5_g1_i1
G43	TRINITY_DN133889_c1_g4_i7
G43	TRINITY_DN130291_c2_g1_i1
G43	TRINITY_DN133889_c1_g1_i1
G46	TRINITY_DN123374_c0_g1_i4
G46	TRINITY_DN130048_c0_g1_i3
G46	TRINITY_DN127347_c4_g6_i1
G46	TRINITY_DN135877_c0_g1_i10
G46	TRINITY_DN134885_c1_g1_i1
G46	TRINITY_DN129158_c1_g1_i4
G46	TRINITY_DN118623_c0_g1_i1
G46	TRINITY_DN127245_c0_g1_i2
G46	TRINITY_DN133182_c5_g1_i2
G46	TRINITY_DN108890_c1_g2_i1
G46	TRINITY_DN95938_c0_g1_i1
G46	TRINITY_DN116432_c0_g1_i1
G46	TRINITY_DN136469_c4_g1_i3
G46	TRINITY_DN130339_c2_g2_i1
G46	TRINITY_DN109892_c0_g1_i1
G46	TRINITY_DN130513_c3_g3_i2
G46	TRINITY_DN113380_c0_g1_i1
G46	TRINITY_DN132349_c0_g3_i1
G46	TRINITY_DN128448_c2_g1_i2
G46	TRINITY_DN134301_c2_g2_i2
G46	TRINITY_DN105039_c0_g1_i1
G46	TRINITY_DN133061_c1_g1_i3
G46	TRINITY_DN114439_c1_g1_i1
G46	TRINITY_DN79738_c0_g2_i1
G46	TRINITY_DN132022_c5_g3_i1
G46	TRINITY_DN135092_c0_g1_i1
G46	TRINITY_DN123733_c4_g1_i2
G46	TRINITY_DN132533_c4_g2_i1
G46	TRINITY_DN135017_c0_g2_i3
G46	TRINITY_DN126900_c0_g7_i1
G46	TRINITY_DN115650_c0_g1_i2
G46	TRINITY_DN125335_c7_g1_i2
G46	TRINITY_DN131584_c0_g2_i3
G46	TRINITY_DN126981_c2_g1_i2
G46	TRINITY_DN122991_c3_g1_i1
G46	TRINITY_DN131091_c8_g1_i2
G46	TRINITY_DN136357_c0_g1_i1
G46	TRINITY_DN136247_c3_g2_i9
G46	TRINITY_DN134777_c1_g3_i3
G46	TRINITY_DN130380_c0_g1_i1
G46	TRINITY_DN135728_c6_g1_i1
G46	TRINITY_DN106183_c0_g1_i1
G46	TRINITY_DN134995_c0_g1_i1
G46	TRINITY_DN130408_c2_g6_i1
G46	TRINITY_DN125283_c5_g3_i3
