gid	gname	chr	start	end	logCPM	logFC.M46.F46	PV.M46.F46	FDR.M46.F46	Am2_463	Am2_464	Am4_461	Am6_462	Am6_464	average	ward.D
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.11749292393356	-1.42196199973832	1.66219145336657e-05	0.000174626661443105	3.35166853612386	4.58284051868808	3.17180309294015	3.5884709582592	4.97933325192689	1	1
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.73914144990433	-1.98854858500526	5.9970730318966e-08	9.6345109197075e-07	2.54027205222119	4.70328896610954	2.28548571051634	2.954661738816	4.48075972858354	1	1
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.08527885984596	-1.34376275275801	6.06940657229561e-06	6.94402643488263e-05	4.37993884139777	5.82857667555382	4.19795876492662	4.58343075898095	5.63834113642904	1	1
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	2.68373300095045	-1.37242687921358	0.00568851388368192	0.0306311108083672	0.981561515302628	3.09533797603481	2.72972021363799	1.66940653330853	3.54620853535125	1	1
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	6.02555785528329	1.13361150094937	0.00418855439305166	0.0237354540460329	6.02592565445395	4.68389967668125	6.19232377288485	6.79994248073642	5.64913710706167	2	2
TRINITY_DN100754_c0_g1_i1	hsdl2	Chr01	96084504	96084504	3.73468963840955	1.28852405424237	0.000697407228224228	0.00503928470645241	4.17600563531069	3.08552018239339	4.23276069224637	3.93644879629791	2.56069787298754	2	2
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	3.48439735260254	-1.48459691351476	3.2065675085407e-05	0.000315657397934456	2.83971218595681	4.22866797179911	2.75203795803065	2.52647324655332	4.13750404253651	1	1
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	6.05948390575616	-2.13793494425816	1.12989433368168e-10	2.64641948515138e-09	4.35435663434972	6.97372687364628	4.98923679440106	5.02687544513078	6.94214751782767	1	1
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.466210276738915	-4.73243729930737	9.03940404155205e-10	1.85318761885066e-08	-1.90576590169543	2.29126351414692	-2.7098625529307	-2.36209368924211	0.721109229594832	1	1
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	3.15386875076634	-1.61113723579397	0.000121077788470143	0.00105129236154854	2.27534770253815	4.3484455887016	2.26493914047294	2.36032343491487	3.24871488521546	1	1
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	2.83917982425484	-2.68654914488056	4.29958459050076e-09	8.14829208434795e-08	0.448582822363821	3.80684599376688	0.881188156488476	1.87189272027091	3.89850539793482	1	1
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	6.87715164823353	-11.48695538679	1.19832721351755e-97	5.05674111984183e-94	-2.28009363948981	8.19746923277533	-2.7098625529307	-2.36209368924211	8.19823973215238	1	1
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	3.41686995423984	-1.46049965356863	0.000912214097663965	0.00638196980899528	3.08755748702413	4.58632573265491	2.27524900269572	2.50789063154058	3.40047692915747	1	1
