gid	gname	chr	start	end	logCPM	logFC.M46.F46	PV.M46.F46	FDR.M46.F46
TRINITY_DN136034_c0_g2_i1	slbp	Chr01	13321554	13321554	0.852914302075719	-3.2627627006942	3.45742871644419e-05	0.000338509813115431
TRINITY_DN120473_c0_g1_i2	LOC100487093-like	Chr01	35386654	35386654	4.87000096011746	-3.59283764473691	9.53786093184156e-21	5.45122124002926e-19
TRINITY_DN131630_c1_g1_i1	fnip2-like	Chr01	43643926	43643926	1.17639845642143	-3.17312466911746	2.64033833041998e-07	3.81785986224463e-06
TRINITY_DN113614_c0_g1_i2	sec24b	Chr01	58234143	58234143	3.25566210155239	-5.29460446685227	7.70175455648326e-22	4.83872763314143e-20
TRINITY_DN135970_c0_g1_i2	snca	Chr01	69061906	69061906	3.76302017300319	-3.87128338326358	1.0915255317984e-18	5.51623451888296e-17
TRINITY_DN103798_c0_g1_i1	LOC779531	Chr01	81263750	81263750	6.85556078645347	-13.0978183536565	8.33148187465046e-97	2.63680986980344e-93
TRINITY_DN115228_c0_g1_i1	misp-like	Chr01	81977099	81977099	0.0298175187977281	-4.36575162390286	6.33571489114094e-08	1.01399472394942e-06
TRINITY_DN130557_c1_g3_i3	LOC101734175	Chr01	82296754	82296754	0.95455203591895	4.85662464349618	0.000691823495889196	0.00500465116926244
TRINITY_DN117179_c0_g1_i1	chchd10	Chr01	86912587	86912587	3.51637417943435	-3.43728258951598	9.66748458398376e-18	4.50775399966639e-16
TRINITY_DN128186_c0_g1_i4	hapln4	Chr01	101891688	101891688	3.99446372189156	-5.58075857921067	9.58104185334641e-42	1.4525892136819e-39
TRINITY_DN122373_c0_g1_i2	kcnv2	Chr01	115809921	115809921	2.72835716197175	-3.56742780176118	6.01375414167747e-14	1.98775771688162e-12
TRINITY_DN131149_c0_g2_i1	mamdc2	Chr01	117467899	117467899	6.67470792208142	-3.14409205374248	1.63659080098211e-19	8.69260302446914e-18
TRINITY_DN114530_c0_g5_i1	mrps18c	Chr01	121827523	121827523	1.35825700385736	-5.93475871554115	4.12578328742549e-18	1.99733665495843e-16
TRINITY_DN127574_c0_g1_i13	aaed1	Chr01	124125662	124125662	1.94602077697834	-3.30624528576667	3.40436368336908e-12	9.37922569088376e-11
TRINITY_DN126124_c0_g1_i1	mmp14	Chr01	127876910	127876910	2.12368498314215	-6.71023219217535	1.05876533423976e-29	1.0310338268314e-27
TRINITY_DN124802_c6_g3_i1	rem2	Chr01	127940248	127940248	4.39778658177815	-3.27832794903831	2.85926689849411e-08	4.78162342159658e-07
TRINITY_DN134031_c5_g1_i1	tmem55b	Chr01	130593011	130593011	3.96740424033315	-3.58393797271805	3.26134017124566e-18	1.59717353570152e-16
TRINITY_DN109288_c0_g1_i1	nipsnap1	Chr01	132381492	132381492	0.297300027410169	-4.11354812298905	1.87957460749094e-09	3.71208654345265e-08
TRINITY_DN122436_c6_g1_i1	wdr36	Chr01	135270707	135270707	0.803202124504864	-3.10366584408322	7.92437145892967e-08	1.24310508654672e-06
TRINITY_DN120743_c0_g1_i1	vps37b	Chr01	152844919	152844919	5.7380990449725	-3.23340453653404	2.9297708611968e-24	2.07783945195075e-22
TRINITY_DN120569_c0_g1_i1	csnk1g3	Chr01	160600427	160600427	1.82211591332436	-6.44031805485783	9.12608396038753e-15	3.30902398789127e-13
TRINITY_DN135835_c0_g1_i3	LOC101732630	Chr01	163694682	163694682	7.49091917825248	-7.34529114264378	5.93700791237888e-64	1.85579139917927e-61
TRINITY_DN131094_c4_g2_i3	mrps30	Chr01	181453885	181453885	3.1590136382394	-4.43565188432828	4.2798652473958e-24	3.01843755428452e-22
TRINITY_DN121562_c0_g1_i6	LOC100493838-like	Chr02	30395779	30395779	3.70239954526334	-9.95574785025988	5.77610742173566e-57	1.39281203629453e-54
TRINITY_DN113308_c0_g1_i2	hip1	Chr02	44481656	44481656	1.83073280991832	-8.04522565533776	1.79769329316896e-14	6.33043066616758e-13
TRINITY_DN115331_c0_g1_i2	LOC100145338	Chr02	46369017	46369017	2.26362764543476	-7.07717067266509	3.4851414724308e-19	1.82314663100156e-17
TRINITY_DN120396_c0_g1_i4	cisd3	Chr02	51509213	51509213	3.67319029817613	-3.88998198819597	6.65110182748168e-15	2.42650212060531e-13
TRINITY_DN132253_c2_g15_i1	dhdds	Chr02	51700887	51700887	3.13314156319397	-3.0549283577271	1.05925825470807e-07	1.62738833440253e-06
TRINITY_DN129633_c3_g2_i1	arid1a	Chr02	51910250	51910250	2.58583421632706	-5.63867149654745	1.04325936373619e-28	9.7111337611899e-27
TRINITY_DN128042_c2_g1_i1	eya3	Chr02	53585329	53585329	6.24180901024984	-3.14879264514759	5.56678692326261e-20	3.09090960767733e-18
TRINITY_DN121209_c1_g1_i1	tspan2	Chr02	66403265	66403265	5.25600497770194	-3.02625650733157	2.17221894095985e-23	1.45498442767625e-21
TRINITY_DN126630_c4_g2_i1	med14-like	Chr02	70152404	70152404	4.01976153407266	-3.67711561506897	5.43599089619745e-24	3.80204015195645e-22
TRINITY_DN125285_c2_g1_i3	ppp1r12b	Chr02	76740527	76740527	5.3067771819865	-9.90102273663448	6.2165417937412e-72	2.53865518831828e-69
TRINITY_DN120619_c0_g1_i2	csmd2	Chr02	83971527	83971527	4.30818578646173	-3.98512441234037	4.02016470760539e-31	4.24110625966087e-29
TRINITY_DN117820_c0_g3_i1	txnl4b	Chr02	101546333	101546333	0.434494427345157	3.47796369961309	1.9020644894985e-05	0.000197469890435864
TRINITY_DN135567_c0_g1_i3	eif5b-like	Chr02	109082024	109082024	2.47098573272287	-3.13005910132052	4.3748058664419e-14	1.47099216112142e-12
TRINITY_DN123052_c0_g1_i2	cs	Chr02	134044635	134044635	4.61181381915073	-9.24772462550266	8.93286859305597e-59	2.355951040704e-56
TRINITY_DN121990_c1_g1_i1	nabp2	Chr02	134183476	134183476	1.40019612580624	-3.15346484616418	3.66178315293982e-06	4.3711781069912e-05
TRINITY_DN109646_c1_g1_i3	timeless	Chr02	135230911	135230911	5.89237667943302	-4.41812033480191	2.17575320050354e-37	2.83958223111078e-35
