ID	Tissue_specific_index	Tissue_name
28	TRINITY_DN175633_c0_g1_i1	0.938444814069843	Ovary_mean
39	TRINITY_DN21989_c0_g1_i1	0.947791262046672	Brain_mean
47	TRINITY_DN115175_c0_g1_i4	0.931470602732997	Brain_mean
50	TRINITY_DN83780_c0_g1_i1	0.937004318922266	Ovary_mean
61	TRINITY_DN121765_c1_g1_i1	0.902549828402579	Brain_mean
116	TRINITY_DN197055_c0_g1_i1	0.919419759176445	Ovary_mean
117	TRINITY_DN213402_c0_g1_i1	0.943067422769472	Ovary_mean
124	TRINITY_DN75107_c0_g1_i1	0.936148238192043	Ovary_mean
237	TRINITY_DN132176_c6_g7_i1	0.91938953838231	Ovary_mean
241	TRINITY_DN75750_c0_g1_i1	0.948595143070289	Brain_mean
243	TRINITY_DN183163_c0_g1_i1	0.959012809860103	Ovary_mean
257	TRINITY_DN107791_c0_g1_i1	0.92705853797376	Brain_mean
281	TRINITY_DN134342_c3_g1_i5	0.927291709231134	G31_mean
297	TRINITY_DN165261_c0_g1_i1	0.930712336621611	Ovary_mean
311	TRINITY_DN152712_c0_g1_i1	0.958686598386189	Ovary_mean
319	TRINITY_DN124921_c5_g1_i1	0.927392383459414	Ovary_mean
320	TRINITY_DN98734_c0_g1_i1	0.919818761109034	Ovary_mean
322	TRINITY_DN82397_c0_g2_i1	0.985023464127616	Brain_mean
323	TRINITY_DN135734_c2_g3_i1	0.910690062780818	Brain_mean
356	TRINITY_DN133633_c2_g2_i1	0.936287629041751	Ovary_mean
376	TRINITY_DN134428_c0_g1_i1	0.985041777182523	Liver_mean
394	TRINITY_DN126281_c6_g3_i1	0.969845744084144	Brain_mean
401	TRINITY_DN135455_c2_g3_i1	0.92165203458122	Brain_mean
419	TRINITY_DN106041_c0_g1_i2	0.963182968018157	Brain_mean
435	TRINITY_DN111350_c0_g2_i1	0.958322338602962	Brain_mean
445	TRINITY_DN131929_c0_g3_i5	0.939017914907505	G31_mean
466	TRINITY_DN107740_c0_g3_i1	0.952193526649859	Ovary_mean
484	TRINITY_DN50369_c0_g1_i1	0.932055894849279	Ovary_mean
487	TRINITY_DN130970_c0_g1_i1	0.910937295637341	Brain_mean
501	TRINITY_DN135168_c0_g2_i1	0.932814220651213	Brain_mean
510	TRINITY_DN202429_c0_g1_i1	0.970924489754596	Ovary_mean
516	TRINITY_DN121286_c0_g1_i1	0.956747462538463	Brain_mean
539	TRINITY_DN127140_c0_g1_i1	0.946556804230564	Brain_mean
541	TRINITY_DN120749_c0_g1_i3	0.911669612206009	Ovary_mean
559	TRINITY_DN131507_c1_g1_i1	0.938451472499112	Liver_mean
575	TRINITY_DN208937_c0_g1_i1	0.918952065878312	Ovary_mean
600	TRINITY_DN15493_c0_g1_i1	0.937392949646713	Liver_mean
619	TRINITY_DN184135_c0_g1_i1	0.90573327455232	Ovary_mean
626	TRINITY_DN78386_c0_g1_i1	0.902116605676589	G46_F_mean
634	TRINITY_DN116783_c0_g3_i4	0.928424777272634	Ovary_mean
636	TRINITY_DN119571_c2_g1_i2	0.934948749545753	Brain_mean
644	TRINITY_DN112460_c0_g1_i3	0.950229179957363	Brain_mean
660	TRINITY_DN166197_c0_g1_i1	0.946981112398758	Liver_mean
665	TRINITY_DN79256_c0_g3_i1	0.944831412198727	Brain_mean
675	TRINITY_DN68484_c0_g1_i1	0.932373106876157	Liver_mean
679	TRINITY_DN132519_c1_g1_i1	0.982482358190942	Brain_mean
695	TRINITY_DN126963_c1_g6_i1	0.947281832893337	Brain_mean
735	TRINITY_DN122953_c0_g1_i3	0.922363360679909	Brain_mean
749	TRINITY_DN6758_c0_g1_i1	0.963295146712243	Brain_mean
754	TRINITY_DN111051_c0_g4_i1	0.946788274217802	Brain_mean
756	TRINITY_DN135514_c0_g1_i1	0.935283602888783	Ovary_mean
