G23,G27,G31,G43,G46
TRINITY_DN118593_c3_g6_i1,TRINITY_DN113743_c3_g1_i2,TRINITY_DN100374_c0_g4_i1,TRINITY_DN100187_c0_g1_i1,TRINITY_DN102017_c0_g1_i1
,TRINITY_DN121173_c3_g2_i1,TRINITY_DN111853_c0_g1_i7,TRINITY_DN100282_c0_g1_i1,TRINITY_DN102166_c0_g1_i1
,TRINITY_DN131353_c3_g2_i1,TRINITY_DN114782_c1_g1_i1,TRINITY_DN1002_c0_g1_i1,TRINITY_DN103326_c0_g1_i1
,TRINITY_DN136857_c1_g1_i6,TRINITY_DN118431_c1_g4_i2,TRINITY_DN100623_c0_g1_i1,TRINITY_DN103385_c0_g1_i1
,TRINITY_DN137940_c0_g1_i2,TRINITY_DN121524_c0_g2_i1,TRINITY_DN100648_c0_g1_i2,TRINITY_DN103408_c0_g1_i1
,TRINITY_DN140205_c3_g1_i1,TRINITY_DN121869_c4_g1_i2,TRINITY_DN100708_c0_g1_i1,TRINITY_DN103684_c0_g1_i1
,TRINITY_DN140376_c2_g4_i3,TRINITY_DN122518_c4_g1_i1,TRINITY_DN100765_c0_g2_i1,TRINITY_DN104218_c0_g1_i1
,TRINITY_DN142125_c1_g1_i1,TRINITY_DN124204_c2_g1_i1,TRINITY_DN100795_c0_g4_i1,TRINITY_DN104409_c0_g1_i1
,TRINITY_DN143046_c4_g1_i2,TRINITY_DN125468_c1_g1_i1,TRINITY_DN100801_c0_g2_i1,TRINITY_DN104968_c0_g1_i1
,,TRINITY_DN127241_c1_g2_i6,TRINITY_DN100821_c0_g1_i1,TRINITY_DN105482_c0_g1_i3
,,TRINITY_DN127764_c4_g1_i1,TRINITY_DN100833_c0_g1_i1,TRINITY_DN105510_c0_g1_i1
,,TRINITY_DN129364_c1_g2_i1,TRINITY_DN100955_c0_g1_i1,TRINITY_DN105754_c0_g2_i1
,,TRINITY_DN129440_c3_g1_i1,TRINITY_DN101109_c1_g1_i1,TRINITY_DN105775_c0_g1_i1
,,TRINITY_DN130908_c0_g1_i1,TRINITY_DN101204_c0_g1_i1,TRINITY_DN105861_c0_g1_i1
,,TRINITY_DN131820_c5_g1_i5,TRINITY_DN101468_c0_g1_i1,TRINITY_DN106018_c0_g1_i1
,,TRINITY_DN132525_c3_g3_i2,TRINITY_DN101619_c0_g1_i1,TRINITY_DN106087_c0_g1_i1
,,TRINITY_DN132945_c2_g4_i6,TRINITY_DN101851_c0_g1_i1,TRINITY_DN106184_c0_g1_i1
,,TRINITY_DN133231_c4_g1_i2,TRINITY_DN101886_c0_g2_i1,TRINITY_DN106287_c0_g1_i1
,,TRINITY_DN135434_c4_g1_i1,TRINITY_DN102074_c0_g1_i1,TRINITY_DN106493_c0_g1_i2
,,TRINITY_DN138154_c4_g1_i2,TRINITY_DN102210_c0_g1_i1,TRINITY_DN106500_c0_g1_i1
,,TRINITY_DN140067_c0_g1_i2,TRINITY_DN102229_c0_g1_i1,TRINITY_DN106727_c0_g1_i1
,,TRINITY_DN141248_c9_g1_i2,TRINITY_DN102540_c0_g1_i1,TRINITY_DN106763_c0_g1_i1
,,TRINITY_DN142431_c6_g4_i1,TRINITY_DN102599_c0_g1_i1,TRINITY_DN106832_c0_g1_i1
,,TRINITY_DN143761_c1_g1_i5,TRINITY_DN102608_c0_g2_i1,TRINITY_DN106860_c0_g1_i1
,,TRINITY_DN144221_c7_g5_i1,TRINITY_DN102803_c0_g1_i2,TRINITY_DN106893_c0_g2_i1
,,,TRINITY_DN103339_c1_g1_i1,TRINITY_DN106951_c0_g1_i1
,,,TRINITY_DN103377_c0_g1_i1,TRINITY_DN107146_c0_g1_i1
,,,TRINITY_DN103385_c0_g1_i1,TRINITY_DN107187_c0_g1_i1
,,,TRINITY_DN103478_c0_g1_i2,TRINITY_DN107208_c0_g1_i3
,,,TRINITY_DN103620_c0_g1_i1,TRINITY_DN107263_c0_g1_i1
,,,TRINITY_DN103694_c0_g1_i1,TRINITY_DN107285_c0_g1_i1
,,,TRINITY_DN103821_c0_g1_i1,TRINITY_DN107463_c0_g1_i1
,,,TRINITY_DN103862_c0_g2_i1,TRINITY_DN107551_c0_g1_i2
,,,TRINITY_DN103924_c0_g2_i1,TRINITY_DN107676_c0_g1_i4
,,,TRINITY_DN104133_c0_g1_i1,TRINITY_DN107681_c0_g1_i2
,,,TRINITY_DN104177_c0_g1_i1,TRINITY_DN107705_c0_g1_i1
,,,TRINITY_DN104337_c0_g1_i1,TRINITY_DN107732_c0_g1_i1
,,,TRINITY_DN104359_c0_g2_i1,TRINITY_DN107754_c0_g1_i1
,,,TRINITY_DN104382_c0_g1_i2,TRINITY_DN107777_c0_g1_i1
,,,TRINITY_DN104790_c0_g1_i1,TRINITY_DN107984_c0_g1_i2
,,,TRINITY_DN104931_c0_g1_i1,TRINITY_DN108054_c0_g1_i2
,,,TRINITY_DN104984_c0_g1_i1,TRINITY_DN108163_c0_g1_i1
,,,TRINITY_DN105001_c0_g1_i1,TRINITY_DN108174_c0_g1_i2
,,,TRINITY_DN105149_c0_g1_i1,TRINITY_DN108317_c0_g1_i2
,,,TRINITY_DN105232_c0_g1_i1,TRINITY_DN108346_c0_g1_i1
,,,TRINITY_DN105381_c0_g4_i1,TRINITY_DN108403_c0_g1_i1
,,,TRINITY_DN105477_c0_g1_i1,TRINITY_DN108412_c0_g1_i2
,,,TRINITY_DN105482_c0_g1_i3,TRINITY_DN108496_c0_g1_i2
,,,TRINITY_DN105516_c0_g1_i1,TRINITY_DN108579_c0_g1_i1
,,,TRINITY_DN105774_c0_g1_i2,TRINITY_DN108603_c0_g1_i1
,,,TRINITY_DN105821_c0_g1_i1,TRINITY_DN108869_c0_g1_i1
,,,TRINITY_DN105937_c0_g1_i1,TRINITY_DN108878_c0_g1_i1
,,,TRINITY_DN105937_c0_g2_i1,TRINITY_DN108956_c0_g1_i1
,,,TRINITY_DN105961_c0_g1_i1,TRINITY_DN108965_c0_g1_i1
,,,TRINITY_DN106133_c0_g1_i2,TRINITY_DN108975_c0_g1_i2
,,,TRINITY_DN106193_c2_g6_i1,TRINITY_DN109029_c0_g1_i1
,,,TRINITY_DN106283_c0_g3_i1,TRINITY_DN109041_c1_g1_i2
,,,TRINITY_DN106373_c0_g1_i4,TRINITY_DN109051_c0_g1_i1
,,,TRINITY_DN106418_c0_g1_i1,TRINITY_DN109207_c0_g1_i1
,,,TRINITY_DN106442_c0_g1_i1,TRINITY_DN109268_c0_g1_i2
,,,TRINITY_DN106456_c0_g1_i1,TRINITY_DN109307_c0_g1_i1
,,,TRINITY_DN106457_c0_g1_i1,TRINITY_DN109331_c0_g1_i1
,,,TRINITY_DN106677_c0_g1_i3,TRINITY_DN109355_c0_g1_i1
,,,TRINITY_DN106677_c0_g3_i1,TRINITY_DN109412_c0_g1_i1
,,,TRINITY_DN106717_c0_g1_i1,TRINITY_DN109468_c0_g1_i1
,,,TRINITY_DN10671_c0_g1_i1,TRINITY_DN109504_c0_g1_i1
,,,TRINITY_DN106751_c0_g1_i1,TRINITY_DN109756_c0_g1_i2
,,,TRINITY_DN106764_c0_g3_i1,TRINITY_DN109840_c0_g1_i2
,,,TRINITY_DN106774_c0_g1_i1,TRINITY_DN109865_c0_g1_i1
,,,TRINITY_DN106792_c0_g1_i1,TRINITY_DN109928_c0_g1_i2
,,,TRINITY_DN106856_c1_g1_i1,TRINITY_DN109970_c0_g2_i2
,,,TRINITY_DN106909_c0_g2_i2,TRINITY_DN109989_c0_g1_i1
,,,TRINITY_DN106909_c0_g3_i1,TRINITY_DN109999_c0_g1_i1
,,,TRINITY_DN107023_c0_g2_i1,TRINITY_DN110003_c0_g1_i1
,,,TRINITY_DN107102_c0_g2_i1,TRINITY_DN110115_c0_g4_i1
,,,TRINITY_DN107128_c0_g1_i1,TRINITY_DN110160_c0_g1_i1
,,,TRINITY_DN107189_c0_g1_i1,TRINITY_DN110253_c0_g1_i1
,,,TRINITY_DN10719_c0_g1_i1,TRINITY_DN110272_c0_g1_i2
,,,TRINITY_DN107285_c0_g1_i1,TRINITY_DN110297_c0_g1_i2
,,,TRINITY_DN107347_c0_g1_i1,TRINITY_DN110307_c0_g1_i2
,,,TRINITY_DN107347_c0_g2_i1,TRINITY_DN110309_c0_g2_i1
,,,TRINITY_DN107466_c0_g1_i1,TRINITY_DN110316_c0_g1_i1
,,,TRINITY_DN107466_c0_g5_i1,TRINITY_DN110389_c0_g1_i1
,,,TRINITY_DN107471_c0_g4_i1,TRINITY_DN110400_c0_g1_i3
,,,TRINITY_DN107539_c0_g1_i1,TRINITY_DN110429_c0_g1_i1
,,,TRINITY_DN107617_c0_g2_i1,TRINITY_DN110433_c0_g1_i1
,,,TRINITY_DN107635_c0_g2_i1,TRINITY_DN110438_c0_g2_i1
,,,TRINITY_DN107664_c0_g2_i1,TRINITY_DN110439_c0_g1_i2
,,,TRINITY_DN107681_c0_g1_i2,TRINITY_DN110446_c0_g1_i3
,,,TRINITY_DN107705_c0_g1_i1,TRINITY_DN110465_c0_g1_i2
,,,TRINITY_DN107739_c0_g1_i1,TRINITY_DN110497_c0_g1_i9
,,,TRINITY_DN107752_c0_g1_i1,TRINITY_DN110652_c0_g1_i1
,,,TRINITY_DN107781_c0_g1_i1,TRINITY_DN110656_c0_g1_i1
,,,TRINITY_DN107784_c0_g1_i1,TRINITY_DN110709_c0_g1_i1
,,,TRINITY_DN107786_c0_g1_i2,TRINITY_DN110725_c0_g1_i1
,,,TRINITY_DN107811_c0_g1_i1,TRINITY_DN110727_c0_g1_i2
,,,TRINITY_DN107811_c0_g2_i1,TRINITY_DN110747_c0_g2_i2
,,,TRINITY_DN107820_c0_g2_i2,TRINITY_DN110775_c0_g1_i1
,,,TRINITY_DN107888_c1_g1_i1,TRINITY_DN110786_c0_g1_i2
,,,TRINITY_DN107903_c0_g2_i2,TRINITY_DN110802_c0_g1_i1
,,,TRINITY_DN107917_c0_g1_i1,TRINITY_DN110812_c0_g1_i1
,,,TRINITY_DN107917_c0_g3_i1,TRINITY_DN110818_c0_g2_i1
,,,TRINITY_DN107950_c0_g1_i1,TRINITY_DN110851_c0_g1_i1
,,,TRINITY_DN108062_c0_g1_i1,TRINITY_DN110862_c0_g1_i1
,,,TRINITY_DN108063_c1_g3_i2,TRINITY_DN110878_c0_g1_i2
,,,TRINITY_DN108063_c1_g6_i1,TRINITY_DN110884_c0_g1_i1
,,,TRINITY_DN108115_c0_g1_i2,TRINITY_DN110906_c0_g1_i5
,,,TRINITY_DN108150_c0_g1_i3,TRINITY_DN110921_c0_g1_i2
,,,TRINITY_DN108155_c0_g4_i4,TRINITY_DN110933_c0_g1_i1
