gid	gname	chr	start	end	logFC.XY46.XX46	abslogFC.XY46.XX46	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	-1.344107007	1.344107007	female	0.257661278	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.488231265	0.488231265	unbias	0.33834217	G46_M_mean	0.072	0.0933	1.2961
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.066283463	1.066283463	unbias	0.618468984	G43_M_mean	0.2178	0.4114	1.8887
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	-0.496765977	0.496765977	unbias	0.195032263	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	0.6511492	0.6511492	unbias	0.437639948	G27_mmean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	-1.611944782	1.611944782	female	0.606357753	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	-2.359130221	2.359130221	female	0.654838779	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-1.617057321	1.617057321	female	0.484065879	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.273144125	0.273144125	unbias	0.170045449	G23_mmean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	uprt-like	Chr08	26339534	26339534	-0.788856374	0.788856374	unbias	0.253323869	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	1.109236347	1.109236347	male	0.459006234	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101809_c0_g1_i2	sh2b2	Chr02	41888815	41888815	0.803252576	0.803252576	unbias	0.412454283	Brain_fmean	0.0979	0.1516	1.5493
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	0.233725162	0.233725162	unbias	0.703153505	Brain_mmean	0.1315	0.1055	0.8024
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	-0.66319214	0.66319214	unbias	0.469207272	Ovary_mean	0.1532	0.1723	1.1247
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	-0.579339572	0.579339572	unbias	0.428111172	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102026_c0_g1_i2	inmt	Chr07	73890622	73890622	0.961032631	0.961032631	unbias	0.577737791	Brain_fmean	0.0728	0.1038	1.4255
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	14965134	14965134	-2.156195295	2.156195295	female	0.434214696	Ovary_mean	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	42692844	42692844	-1.099192848	1.099192848	female	0.261237667	Ovary_mean	0.0307	0.0444	1.4466
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.62020288	0.62020288	unbias	0.29869715	Ovary_mean	0.0123	0.0161	1.3059
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	0.755802532	0.755802532	unbias	0.616356934	G43_F_mean	0.0695	0.1113	1.6012
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.025596801	0.025596801	unbias	0.148778968	G23_mmean	0.0769	0.1219	1.5862
TRINITY_DN102288_c0_g1_i1	triobp	Chr04	112208425	112208425	-0.558424958	0.558424958	unbias	0.636104975	Ovary_mean	0.1168	0.1976	1.6917
TRINITY_DN102312_c0_g1_i1	mnat1	Chr08	82013879	82013879	-0.097275255	0.097275255	unbias	0.552689326	G27_mmean	0.2088	0.248	1.1875
TRINITY_DN102393_c0_g1_i1	NA	NA	NA	NA	0.188561578	0.188561578	unbias	0.632102805	G27_mmean	0.168	0.2435	1.4497
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.695102521	0.695102521	unbias	0.174012021	Testis_mean	0.0704	0.1202	1.7079
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	-0.174624496	0.174624496	unbias	0.185950609	Ovary_mean	0.128	0.2116	1.6526
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	1.190080261	1.190080261	unbias	0.616896586	Brain_mmean	0.0406	0.072	1.7709
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.629973398	0.629973398	unbias	0.524397524	Liver_fmean	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	-0.014397321	0.014397321	unbias	0.203652497	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	-0.053373453	0.053373453	unbias	0.54774587	G23_fmean	0.0467	0.0534	1.1438
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	-0.040765932	0.040765932	unbias	0.350280171	Brain_mmean	0.1183	0.1998	1.6879
TRINITY_DN102581_c0_g1_i2	NA	NA	NA	NA	-5.202101884	5.202101884	female	0.818376762	Ovary_mean	0.1789	0.2786	1.5577
TRINITY_DN102595_c0_g1_i2	slc25a10	Chr10	19666060	19666060	0.419113155	0.419113155	unbias	0.592060982	G43_M_mean	0.0532	0.0718	1.3508
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.038065352	0.038065352	unbias	0.139536702	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	0.421735541	0.421735541	unbias	0.375544167	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	lhx9	Chr04	101172999	101172999	0.28317655	0.28317655	unbias	0.568647296	Brain_mmean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	-0.286978962	0.286978962	unbias	0.139736082	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	-0.060005155	0.060005155	unbias	0.600261969	G23_mmean	0.1007	0.1285	1.2759
TRINITY_DN103526_c0_g1_i1	NA	NA	NA	NA	-2.409666638	2.409666638	female	0.619290643	Ovary_mean	0.0511	0.0908	1.7749
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-1.371772163	1.371772163	female	0.312515837	Ovary_mean	0.0579	0.1024	1.7679
TRINITY_DN103584_c0_g2_i1	NA	NA	NA	NA	0.679803721	0.679803721	unbias	0.719761967	Brain_mmean	0.0662	0.0951	1.4364
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-3.807957397	3.807957397	female	0.700727109	Ovary_mean	0.1704	0.2308	1.3544
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	21109905	21109905	-3.268973096	3.268973096	female	0.5106073	Ovary_mean	0.1036	0.1679	1.6208
TRINITY_DN103653_c0_g1_i1	NA	NA	NA	NA	-1.734627143	1.734627143	female	0.767498165	Brain_fmean	0.0311	0.0462	1.4862
TRINITY_DN103698_c0_g1_i1	spaca5-like.2	Chr10	10577050	10577050	2.508684921	2.508684921	male	0.673602195	Brain_fmean	0.009	0.0124	1.3701
TRINITY_DN103720_c0_g1_i2	irf2bpl	Chr08	61460014	61460014	-0.417413516	0.417413516	unbias	0.498870473	Brain_mmean	0.1192	0.1809	1.5179
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	-1.131018074	1.131018074	female	0.490403251	Ovary_mean	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	NA	NA	NA	NA	-6.646268876	6.646268876	female	0.793468978	Ovary_mean	0.0743	0.1212	1.6324
TRINITY_DN103855_c0_g1_i1	NA	NA	NA	NA	0.616818312	0.616818312	unbias	0.557022048	Testis_mean	0.0197	0.0249	1.2626
TRINITY_DN103859_c0_g1_i1	NA	NA	NA	NA	-0.607139694	0.607139694	unbias	0.962343999	Testis_mean	0.1828	0.3626	1.9837
TRINITY_DN103891_c0_g1_i1	NA	NA	NA	NA	0.421838355	0.421838355	unbias	0.524909783	Brain_mmean	0.077	0.1254	1.6285
TRINITY_DN103896_c0_g1_i2	ptgr2	Chr08	85428706	85428706	0.174633571	0.174633571	unbias	0.542271212	G23_mmean	0.136	0.2344	1.7238
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	-1.035593199	1.035593199	female	0.258720657	Ovary_mean	0.0885	0.1434	1.6201
TRINITY_DN104173_c0_g1_i1	NA	NA	NA	NA	-0.472107079	0.472107079	unbias	0.265391286	Testis_mean	0.1217	0.2082	1.7112
TRINITY_DN104207_c0_g1_i1	NA	NA	NA	NA	-3.681619619	3.681619619	female	0.722574477	Ovary_mean	0.1071	0.1454	1.358
TRINITY_DN104287_c1_g1_i1	LOC100489713	Chr06	115371838	115371838	0.16717616	0.16717616	unbias	0.518937609	Brain_fmean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	NA	NA	NA	NA	-0.335986565	0.335986565	unbias	0.443111179	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104365_c0_g3_i1	NA	NA	NA	NA	-1.070400221	1.070400221	female	0.471346293	Ovary_mean	0.0999	0.1188	1.1895
TRINITY_DN104428_c0_g1_i2	NA	NA	NA	NA	-0.711580692	0.711580692	unbias	0.288033524	G23_mmean	0.0885	0.1168	1.3195
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	0.112957983	0.112957983	unbias	0.297143318	Brain_mmean	0.0939	0.1014	1.0793
TRINITY_DN104508_c0_g2_i3	NA	NA	NA	NA	-0.060681745	0.060681745	unbias	0.302173955	Ovary_mean	0.1025	0.1619	1.579
TRINITY_DN104654_c0_g1_i1	ino80	Chr08	95309657	95309657	-2.099046875	2.099046875	female	0.667587307	Ovary_mean	0.0931	0.1819	1.954
TRINITY_DN104667_c0_g1_i3	NA	NA	NA	NA	0.317464729	0.317464729	unbias	0.464926481	Brain_mmean	0.0959	0.1441	1.5034
TRINITY_DN104694_c0_g1_i1	kcnk5	scaffold_386	35647	35647	-0.841150611	0.841150611	unbias	0.402121776	Brain_mmean	0.0241	0.0443	1.8389
TRINITY_DN104721_c0_g1_i1	NA	NA	NA	NA	0.28964632	0.28964632	unbias	0.705658308	Brain_mmean	0.0491	0.078	1.5902
TRINITY_DN104732_c0_g1_i1	NA	NA	NA	NA	0.811257149	0.811257149	unbias	0.613586486	G43_M_mean	0.2624	0.4046	1.5421
TRINITY_DN104740_c0_g1_i2	NA	NA	NA	NA	-0.78035804	0.78035804	unbias	0.452856277	Ovary_mean	0.0484	0.0932	1.925
TRINITY_DN104751_c0_g1_i2	NA	NA	NA	NA	-1.464496149	1.464496149	female	0.401085647	Ovary_mean	0.0416	0.06	1.4428
TRINITY_DN104786_c0_g1_i1	NA	NA	NA	NA	0.27429144	0.27429144	unbias	0.707684998	G46_M_mean	0.1946	0.2884	1.4816
