gid	gname	chr	start	end	logFC.XY46.XX46	bias	tau	tissue
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	1.01761635	unbias	0.505257093	Brain_mmean
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	-1.421971308	female	0.154410881	G46_F_mean
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	-0.892748562	unbias	0.487386997	Brain_mmean
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	-0.889525636	unbias	0.47119469	Brain_mmean
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	-1.988918474	female	0.490391902	Ovary_mean
TRINITY_DN100132_c0_g1_i2	gnb1l	Chr01	146232743	146232743	0.801970508	unbias	0.575283282	G46_M_mean
TRINITY_DN100230_c0_g1_i1	NA	NA	NA	NA	1.456103855	unbias	0.914938514	Brain_mmean
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	-1.344107007	female	0.257661278	Ovary_mean
TRINITY_DN100266_c0_g1_i1	rps6ka1	Chr02	51799984	51799984	0.298435528	unbias	0.512994422	Brain_fmean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	0.12013043	unbias	0.465101477	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.526172735	unbias	0.243568285	G46_M_mean
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	0.735866322	unbias	0.441229383	G31_fmean
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.488231265	unbias	0.33834217	G46_M_mean
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	-1.372111536	female	0.398501081	G31_fmean
TRINITY_DN100376_c0_g2_i1	secisbp2	Chr01	125667448	125667448	0.909305902	unbias	0.569257309	Liver_mmean
TRINITY_DN100376_c0_g3_i1	lmx1b.1	Chr08	9183575	9183575	0.614444086	unbias	0.870382823	Liver_mmean
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	0.249853177	unbias	0.536567119	Ovary_mean
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	0.48225441	unbias	0.416926551	Brain_mmean
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.066283463	unbias	0.618468984	G43_M_mean
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	0.718211257	unbias	0.406904097	Brain_fmean
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	2.225904703	unbias	0.431096319	G46_M_mean
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	-0.890763327	unbias	0.562439164	G43_F_mean
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	0.338834198	unbias	0.19357363	Brain_fmean
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	-0.496765977	unbias	0.195032263	Ovary_mean
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	0.432157052	unbias	0.141796895	Brain_fmean
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	-0.828512765	unbias	0.434386206	G23_fmean
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	1.134274441	male	0.380993312	G27_mmean
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	0.199183123	unbias	0.1456891	Brain_fmean
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	0.741492024	unbias	0.309325789	Brain_fmean
TRINITY_DN100754_c0_g1_i1	LOC100493463	Chr03	35127454	35127454	1.288130644	male	0.645895403	G46_M_mean
TRINITY_DN100779_c0_g1_i1	NA	NA	NA	NA	-0.743426145	unbias	0.582069999	G27_mmean
TRINITY_DN100784_c0_g2_i1	slc2a10	Chr10	29387860	29387860	1.495807136	unbias	0.60984036	G31_mmean
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	0.6511492	unbias	0.437639948	G27_mmean
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.255168983	unbias	0.646753634	Liver_mmean
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-1.484850461	female	0.280627776	Brain_mmean
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	-1.10691194	unbias	0.20354166	Brain_mmean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-2.138227805	female	0.326273107	Ovary_mean
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	-4.73466241	female	0.832491733	Ovary_mean
TRINITY_DN100932_c0_g1_i1	NA	NA	NA	NA	1.133200092	unbias	0.447648528	G46_M_mean
TRINITY_DN100986_c0_g2_i2	NA	NA	NA	NA	0.4384811	unbias	0.721754518	Liver_fmean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	0.599022444	unbias	0.214017864	G43_F_mean
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	-0.550301808	unbias	0.600830486	Ovary_mean
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	-1.611944782	female	0.606357753	Ovary_mean
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	-2.686553236	female	0.719096943	Ovary_mean
TRINITY_DN101072_c0_g2_i2	hdgf	Chr08	110018458	110018458	-11.48717789	female	0.901888887	Ovary_mean
TRINITY_DN101074_c0_g1_i1	NA	NA	NA	NA	0.09206768	unbias	0.209076279	G23_fmean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	-1.461381506	female	0.273916653	Ovary_mean
TRINITY_DN101111_c0_g1_i2	skap2	Chr06	33087585	33087585	-1.903766797	female	0.473016121	Ovary_mean
TRINITY_DN101150_c0_g1_i1	Xetrov90000522m	Chr01	20771304	20771304	0.219985225	unbias	0.472543558	G23_mmean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	-0.637026738	unbias	0.452904283	Ovary_mean
TRINITY_DN101180_c0_g1_i1	NA	NA	NA	NA	0.617916284	unbias	0.638427447	G43_M_mean
TRINITY_DN101193_c0_g1_i1	NA	NA	NA	NA	0.000641765	unbias	0.530143701	G31_mmean
TRINITY_DN101232_c0_g1_i1	NA	NA	NA	NA	0.25964939	unbias	0.675159323	Brain_mmean
TRINITY_DN101244_c0_g1_i1	slc39a9	Chr08	89577681	89577681	-0.654069035	unbias	0.378557799	Ovary_mean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	0.13692507	unbias	0.288124765	Brain_fmean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	0.16362414	unbias	0.287104048	Brain_mmean
TRINITY_DN101325_c0_g1_i1	NA	NA	NA	NA	0.827806921	unbias	0.781506643	Liver_fmean
TRINITY_DN101325_c0_g2_i1	NA	NA	NA	NA	1.516921826	unbias	0.775661852	Liver_mmean
TRINITY_DN101326_c0_g1_i1	NA	NA	NA	NA	0.436817786	unbias	0.531050733	G31_mmean
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	0.747014211	unbias	0.359279261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	-2.359130221	female	0.654838779	Ovary_mean
TRINITY_DN101361_c0_g1_i2	mrpl22	Chr03	10915763	10915763	0.419548547	unbias	0.451788343	G23_mmean
TRINITY_DN101365_c0_g1_i1	NA	NA	NA	NA	-0.056470902	unbias	0.721484909	G46_F_mean
