gid	gname	chr	start	end	logCPM	logFC.XY27.XX27	PV.XY27.XX27	FDR.XY27.XX27	tau	tissue	stage
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	2.400665767	0.434499534	0.303952584	0.999929563	0.505257093	Brain_mmean	G27
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.575262393	-0.078419774	0.770972649	0.999929563	0.154410881	G46_F_mean	G27
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.698811644	-0.005953017	0.99465733	0.999929563	0.487386997	Brain_mmean	G27
TRINITY_DN100105_c0_g1_i1	NA	NA	NA	NA	1.269009344	0.080937305	0.857580493	0.999929563	0.79919844	Brain_mmean	G27
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	4.852367986	-0.187719442	0.477115953	0.999929563	0.490391902	Ovary_mean	G27
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.467405647	-0.168088513	0.605434774	0.999929563	0.257661278	Ovary_mean	G27
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	0.55026024	-0.336482087	0.511188859	0.999929563	0.512994422	Brain_fmean	G27
TRINITY_DN100287_c0_g1_i1	cdhr4	Chr04	115755580	115755580	3.957640335	-0.799793294	0.436441628	0.999929563	0.465101477	G43_F_mean	G27
TRINITY_DN100287_c0_g2_i1	syt1-like	Chr03	52730814	52730814	7.271737819	-0.313469719	0.32538501	0.999929563	0.243568285	G46_M_mean	G27
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	2.093566657	-0.112552583	0.789482369	0.999929563	0.441229383	G31_fmean	G27
TRINITY_DN100358_c0_g1_i1	pcmtd1	Chr06	99145061	99145061	3.253706416	0.364915552	0.310271439	0.999929563	0.33834217	G46_M_mean	G27
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	4.651398997	0.455418065	0.369672502	0.999929563	0.398501081	G31_fmean	G27
TRINITY_DN100376_c0_g2_i1	NA	NA	NA	NA	4.770341028	-0.450232793	0.437635237	0.999929563	0.569257309	Liver_mmean	G27
TRINITY_DN100379_c0_g1_i1	march7-like	Chr09	68045837	68045837	1.448253215	-0.669356513	0.124614563	0.999929563	0.536567119	Ovary_mean	G27
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	1.636341859	-0.234303572	0.56721128	0.999929563	0.416926551	Brain_mmean	G27
TRINITY_DN100452_c0_g1_i1	NA	NA	NA	NA	2.394568237	-0.086263884	0.831759041	0.999929563	0.597097874	G31_mmean	G27
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	1.795815429	-0.250936871	0.510708788	0.999929563	0.406904097	Brain_fmean	G27
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	2.369094074	-0.393720796	0.334184111	0.999929563	0.431096319	G46_M_mean	G27
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.495504287	0.793749414	0.59213712	0.999929563	0.562439164	G43_F_mean	G27
TRINITY_DN100595_c0_g1_i1	hpdl	Chr04	73068310	73068310	5.755946809	0.037345958	0.902613042	0.999929563	0.19357363	Brain_fmean	G27
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	1.137673246	0.001106755	0.99791146	0.999929563	0.396914093	G23_fmean	G27
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	7.204847562	0.054076978	0.870733098	0.999929563	0.195032263	Ovary_mean	G27
