gid	gname	chr	start	end	logCPM	logFC.XY31.XX31	PV.XY31.XX31	FDR.XY31.XX31	tau	tissue	stage
TRINITY_DN100022_c0_g1_i1	pcbp3	Chr02	144068745	144068745	1.836945138	0.527701462	0.134598534	0.999896172	0.505257093	Brain_mmean	G31
TRINITY_DN100034_c0_g1_i1	Xetrov90029733m	scaffold_601	14667	14667	3.689225768	-0.12276668	0.612593619	0.999896172	0.154410881	G46_F_mean	G31
TRINITY_DN100083_c0_g4_i1	NA	NA	NA	NA	0.11724938	-0.443088753	0.277597098	0.999896172	0.430599859	Brain_mmean	G31
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.768922364	0.204231752	0.756200564	0.999896172	0.487386997	Brain_mmean	G31
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.104898241	-0.082752966	0.907025457	0.999896172	0.47119469	Brain_mmean	G31
TRINITY_DN100105_c0_g1_i1	NA	NA	NA	NA	0.821785803	-0.474531215	0.184156874	0.999896172	0.79919844	Brain_mmean	G31
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.774995547	-0.137872651	0.667354999	0.999896172	0.490391902	Ovary_mean	G31
TRINITY_DN100132_c0_g1_i2	limk2	Chr01	143496064	143496064	0.161378541	0.042354504	0.927103783	0.999896172	0.575283282	G46_M_mean	G31
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.07926233	-0.062845811	0.81878601	0.999896172	0.257661278	Ovary_mean	G31
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	0.665327061	0.215086608	0.58984927	0.999896172	0.512994422	Brain_fmean	G31
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	4.622304875	-0.237535379	0.765538572	0.999896172	0.465101477	G43_F_mean	G31
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	7.373486844	0.390313084	0.131266534	0.999896172	0.243568285	G46_M_mean	G31
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	2.489895035	-0.310891279	0.315219607	0.999896172	0.441229383	G31_fmean	G31
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	2.821966834	0.089854482	0.775518514	0.999896172	0.33834217	G46_M_mean	G31
TRINITY_DN100376_c0_g1_i1	mrpl54	Chr01	74389900	74389900	4.803597693	-1.422130079	1.95E-05	0.01717803	0.398501081	G31_fmean	G31
TRINITY_DN100376_c0_g2_i1	NA	NA	NA	NA	5.10637736	-0.464543645	0.193879657	0.999896172	0.569257309	Liver_mmean	G31
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	1.024520056	0.222070219	0.628600657	0.999896172	0.536567119	Ovary_mean	G31
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	1.223329652	0.280776649	0.505444772	0.999896172	0.416926551	Brain_mmean	G31
TRINITY_DN100452_c0_g1_i1	eri3	Chr04	82739387	82739387	2.94972726	-0.199125019	0.597047066	0.999896172	0.597097874	G31_mmean	G31
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	1.782397692	0.09390104	0.770318805	0.999896172	0.406904097	Brain_fmean	G31
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	2.365710083	0.752786056	0.014389831	0.999896172	0.431096319	G46_M_mean	G31
TRINITY_DN100586_c0_g2_i1	oxa1l	Chr01	128276275	128276275	0.56291549	-9.303809237	3.95E-12	1.34E-08	0.562439164	G43_F_mean	G31
TRINITY_DN100595_c0_g1_i1	rbm23	Chr01	127947997	127947997	6.267126167	-0.079003803	0.732225187	0.999896172	0.19357363	Brain_fmean	G31
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	0.596584591	-0.28529263	0.559476811	0.999896172	0.396914093	G23_fmean	G31
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	6.856990118	0.011004768	0.961884569	0.999896172	0.195032263	Ovary_mean	G31
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	5.033477327	-0.032780333	0.883551706	0.999896172	0.141796895	Brain_fmean	G31
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	5.876043648	-1.522485788	0.004391244	0.790324092	0.434386206	G23_fmean	G31
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	7.357798034	0.848546772	0.035261294	0.999896172	0.380993312	G27_mmean	G31
