ID	Tissue_specific_index	Tissue_name
TRINITY_DN165_c0_g1_i1	1	Ovary_mean
TRINITY_DN170047_c0_g1_i1	1	Ovary_mean
TRINITY_DN96472_c0_g3_i1	1	Ovary_mean
TRINITY_DN209959_c0_g1_i1	1	Ovary_mean
TRINITY_DN57236_c0_g1_i1	1	Ovary_mean
TRINITY_DN83565_c0_g1_i1	1	Ovary_mean
TRINITY_DN210185_c0_g1_i1	1	Ovary_mean
TRINITY_DN28451_c0_g1_i1	1	Ovary_mean
TRINITY_DN17973_c0_g1_i1	1	Ovary_mean
TRINITY_DN169896_c0_g1_i1	1	Ovary_mean
TRINITY_DN141364_c0_g1_i1	1	Ovary_mean
TRINITY_DN2423_c0_g2_i1	1	Ovary_mean
TRINITY_DN198609_c0_g1_i1	1	Ovary_mean
TRINITY_DN130195_c1_g2_i1	1	Ovary_mean
TRINITY_DN112264_c1_g1_i1	1	Testis_mean
TRINITY_DN68171_c0_g3_i1	1	Ovary_mean
TRINITY_DN24599_c0_g1_i1	1	Ovary_mean
TRINITY_DN174251_c0_g1_i1	1	Ovary_mean
TRINITY_DN128157_c0_g2_i1	1	Ovary_mean
TRINITY_DN3024_c0_g1_i1	1	Ovary_mean
TRINITY_DN62672_c0_g1_i1	1	Ovary_mean
TRINITY_DN148452_c0_g1_i1	1	Ovary_mean
TRINITY_DN127723_c2_g2_i1	1	Ovary_mean
TRINITY_DN212532_c0_g1_i1	1	Ovary_mean
TRINITY_DN210091_c0_g1_i1	1	Ovary_mean
TRINITY_DN61468_c0_g1_i1	1	Ovary_mean
TRINITY_DN34353_c0_g1_i1	1	Ovary_mean
TRINITY_DN166430_c0_g1_i1	1	Ovary_mean
TRINITY_DN217938_c0_g1_i1	1	Ovary_mean
TRINITY_DN195825_c0_g1_i1	1	Ovary_mean
TRINITY_DN69291_c0_g1_i1	1	Ovary_mean
TRINITY_DN27150_c0_g2_i1	1	Ovary_mean
TRINITY_DN75845_c0_g1_i1	1	Ovary_mean
TRINITY_DN132810_c2_g2_i1	1	Ovary_mean
TRINITY_DN181196_c0_g1_i1	1	Ovary_mean
TRINITY_DN158928_c0_g1_i1	1	Ovary_mean
TRINITY_DN104385_c0_g1_i1	1	Ovary_mean
TRINITY_DN212065_c0_g1_i1	1	Ovary_mean
TRINITY_DN207330_c0_g1_i1	1	Ovary_mean
TRINITY_DN193955_c0_g1_i1	1	Ovary_mean
TRINITY_DN78278_c0_g1_i1	1	Ovary_mean
TRINITY_DN44677_c0_g2_i1	1	Ovary_mean
TRINITY_DN54218_c0_g1_i1	1	Ovary_mean
TRINITY_DN39915_c0_g1_i1	1	Ovary_mean
TRINITY_DN59980_c0_g1_i1	1	Ovary_mean
TRINITY_DN74565_c0_g1_i1	1	Ovary_mean
TRINITY_DN137263_c0_g1_i1	1	Ovary_mean
TRINITY_DN172890_c0_g1_i1	1	Ovary_mean
TRINITY_DN140805_c0_g1_i1	1	Ovary_mean
TRINITY_DN19312_c0_g1_i1	1	Ovary_mean
TRINITY_DN97837_c0_g1_i1	1	Ovary_mean
TRINITY_DN213233_c0_g1_i1	1	Ovary_mean
TRINITY_DN215731_c0_g1_i1	1	Ovary_mean
TRINITY_DN130083_c0_g1_i1	1	Ovary_mean
TRINITY_DN183312_c0_g1_i1	1	Ovary_mean
TRINITY_DN98355_c0_g1_i1	1	Ovary_mean
TRINITY_DN149479_c0_g1_i1	1	Ovary_mean
TRINITY_DN23331_c0_g1_i1	1	Ovary_mean
TRINITY_DN132189_c0_g2_i1	1	Ovary_mean
TRINITY_DN94487_c0_g1_i1	1	Ovary_mean
TRINITY_DN155675_c0_g1_i1	1	Ovary_mean
TRINITY_DN16073_c0_g2_i1	1	Ovary_mean
TRINITY_DN131843_c0_g1_i1	1	Ovary_mean
TRINITY_DN64774_c0_g2_i1	1	Ovary_mean
TRINITY_DN96106_c0_g1_i1	1	Ovary_mean
TRINITY_DN67391_c0_g1_i1	1	Ovary_mean
TRINITY_DN17140_c0_g1_i1	1	Ovary_mean
TRINITY_DN17651_c0_g1_i1	1	Ovary_mean
TRINITY_DN76423_c0_g2_i1	1	G46_M_mean
TRINITY_DN67380_c0_g1_i1	1	Testis_mean
TRINITY_DN74026_c0_g1_i1	1	Ovary_mean
TRINITY_DN128115_c0_g1_i1	1	Ovary_mean
TRINITY_DN143761_c0_g1_i1	1	Ovary_mean
TRINITY_DN112264_c1_g2_i1	1	Testis_mean
TRINITY_DN76657_c0_g1_i1	1	Ovary_mean
TRINITY_DN120666_c0_g2_i1	1	Ovary_mean
TRINITY_DN15287_c0_g1_i1	1	Ovary_mean
TRINITY_DN201507_c0_g1_i1	1	Ovary_mean
TRINITY_DN82842_c0_g2_i1	1	Ovary_mean
TRINITY_DN104411_c0_g3_i1	1	Ovary_mean
TRINITY_DN27666_c0_g1_i1	1	Ovary_mean
