gid	cutoff	bias	log2RPKM	sex	gname	chr	chr_all	start	end	target_id	length	eff_length
TRINITY_DN102500_c0_g1_i1	FC1	male	-0.39249932	meanfemale	ror2	Chr01	Chr01	126678883	126678883	TRINITY_DN102500_c0_g1_i1	4697	4480.83
TRINITY_DN103615_c0_g1_i1	FC1	male	5.25469256	meanfemale	gstt1-like.1	Chr01	Chr01	144513755	144513755	TRINITY_DN103615_c0_g1_i1	1055	838.835
TRINITY_DN104173_c0_g1_i1	FC1	male	2.5649342	meanfemale	efs	Chr01	Chr01	127517336	127517336	TRINITY_DN104173_c0_g1_i1	2300	2083.83
TRINITY_DN104667_c0_g1_i3	FC1	male	1.505658798	meanfemale	palm	Chr01	Chr01	81998606	81998606	TRINITY_DN104667_c0_g1_i3	2084	1867.83
TRINITY_DN106476_c0_g1_i1	FC1	male	3.68034144	meanfemale	isyna1	Chr01	Chr01	87331353	87331353	TRINITY_DN106476_c0_g1_i1	2893	2676.83
TRINITY_DN110705_c0_g1_i1	FC1	male	2.549685951	meanfemale	rnf34	Chr01	Chr01	153758327	153758327	TRINITY_DN110705_c0_g1_i1	1633	1416.83
TRINITY_DN111980_c0_g1_i1	FC1	male	2.714543548	meanfemale	hspb8	Chr01	Chr01	157247053	157247053	TRINITY_DN111980_c0_g1_i1	2149	1932.83
TRINITY_DN112614_c0_g1_i1	FC1	male	-1.923442778	meanfemale	jak3	Chr01	Chr01	99208866	99208866	TRINITY_DN112614_c0_g1_i1	2884	2667.83
TRINITY_DN113473_c0_g1_i2	FC1	male	-1.534376413	meanfemale	znf366	Chr01	Chr01	166911909	166911909	TRINITY_DN113473_c0_g1_i2	3171	2954.83
TRINITY_DN114549_c0_g1_i2	FC1	male	1.167098291	meanfemale	ubxn6	Chr01	Chr01	74902024	74902024	TRINITY_DN114549_c0_g1_i2	2042	1825.83
TRINITY_DN114599_c0_g1_i2	FC1	male	0.251174658	meanfemale	LOC100486844	Chr01	Chr01	88996962	88996962	TRINITY_DN114599_c0_g1_i2	1494	1277.83
TRINITY_DN114996_c0_g2_i1	FC1	male	-2.49343297	meanfemale	LOC100497518	Chr01	Chr01	144188447	144188447	TRINITY_DN114996_c0_g2_i1	2070	1853.83
TRINITY_DN115590_c0_g1_i2	FC1	male	-1.875515805	meanfemale	ldb2	Chr01	Chr01	16710027	16710027	TRINITY_DN115590_c0_g1_i2	1722	1505.83
TRINITY_DN115766_c0_g2_i1	FC1	male	4.133614608	meanfemale	ywhah	Chr01	Chr01	143706404	143706404	TRINITY_DN115766_c0_g2_i1	1324	1107.83
TRINITY_DN115771_c0_g1_i1	FC1	male	-0.460136557	meanfemale	LOC100485344	Chr01	Chr01	103155831	103155831	TRINITY_DN115771_c0_g1_i1	1308	1091.83
TRINITY_DN116139_c0_g2_i1	FC1	male	1.050422699	meanfemale	znf367	Chr01	Chr01	124009536	124009536	TRINITY_DN116139_c0_g2_i1	2071	1854.83
TRINITY_DN116154_c0_g1_i1	FC1	male	-0.863652671	meanfemale	LOC101732630	Chr01	Chr01	163694682	163694682	TRINITY_DN116154_c0_g1_i1	3540	3323.83
TRINITY_DN116177_c0_g1_i2	FC1	male	-0.068691216	meanfemale	rnf212	Chr01	Chr01	14518463	14518463	TRINITY_DN116177_c0_g1_i2	1115	898.835
TRINITY_DN116442_c0_g3_i1	FC1	male	-1.9547418	meanfemale	fam222a	Chr01	Chr01	138619037	138619037	TRINITY_DN116442_c0_g3_i1	3197	2980.83
TRINITY_DN116447_c1_g3_i2	FC1	male	3.306072414	meanfemale	gatc-like	Chr01	Chr01	143203540	143203540	TRINITY_DN116447_c1_g3_i2	745	529.093
