gid	gname	chr	chrall	start	end	target_id	length	eff_length	cutoff	bias	log2RPKM	sex
TRINITY_DN103783_c0_g1_i1	fam175a	Chr01	Chr01	123992821	123992821	TRINITY_DN103783_c0_g1_i1	1877	1660.83	FC1	female	3.875400638	meanmale
TRINITY_DN104751_c0_g1_i2	use1	Chr01	Chr01	99717791	99717791	TRINITY_DN104751_c0_g1_i2	1694	1477.83	FC1	female	3.3224915	meanmale
TRINITY_DN105030_c0_g1_i1	tacr3	Chr01	Chr01	63787145	63787145	TRINITY_DN105030_c0_g1_i1	1921	1704.83	FC1	female	-1.69322421	meanmale
TRINITY_DN106065_c0_g1_i2	slc30a5	Chr01	Chr01	173689269	173689269	TRINITY_DN106065_c0_g1_i2	3432	3215.83	FC1	female	4.084210331	meanmale
TRINITY_DN107530_c1_g1_i1	lmnb1	Chr01	Chr01	159727673	159727673	TRINITY_DN107530_c1_g1_i1	2768	2551.83	FC1	female	5.62557376	meanmale
TRINITY_DN107852_c0_g1_i2	kcmf1	Chr01	Chr01	75613371	75613371	TRINITY_DN107852_c0_g1_i2	2426	2209.83	FC1	female	4.771786205	meanmale
TRINITY_DN107990_c0_g1_i1	tmem161a	Chr01	Chr01	102084590	102084590	TRINITY_DN107990_c0_g1_i1	2158	1941.83	FC1	female	4.086049267	meanmale
TRINITY_DN108541_c0_g1_i1	isca1	Chr01	Chr01	122707595	122707595	TRINITY_DN108541_c0_g1_i1	2308	2091.83	FC1	female	3.345060322	meanmale
TRINITY_DN108688_c0_g1_i1	snx24	Chr01	Chr01	160897943	160897943	TRINITY_DN108688_c0_g1_i1	1242	1025.83	FC1	female	1.811154897	meanmale
TRINITY_DN108932_c0_g1_i1	ell2	Chr01	Chr01	172702126	172702126	TRINITY_DN108932_c0_g1_i1	3697	3480.83	FC1	female	4.841533626	meanmale
TRINITY_DN109275_c0_g1_i1	wdr36	Chr01	Chr01	135270707	135270707	TRINITY_DN109275_c0_g1_i1	3276	3059.83	FC1	female	5.005368887	meanmale
TRINITY_DN109459_c0_g1_i1	LOC100486041-like	Chr01	Chr01	65671663	65671663	TRINITY_DN109459_c0_g1_i1	2423	2206.83	FC1	female	3.744220355	meanmale
TRINITY_DN109646_c1_g1_i3	Xetrov90001894m	Chr01	Chr01	97375445	97375445	TRINITY_DN109646_c1_g1_i3	2371	2154.83	FC1	female	5.129649439	meanmale
TRINITY_DN110037_c0_g1_i1	LOC100490930	Chr01	Chr01	182019902	182019902	TRINITY_DN110037_c0_g1_i1	1101	884.835	FC1	female	0.672167897	meanmale
TRINITY_DN110371_c0_g1_i1	gfra4	Chr01	Chr01	7416468	7416468	TRINITY_DN110371_c0_g1_i1	2799	2582.83	FC1	female	-1.589116549	meanmale
TRINITY_DN110955_c0_g1_i1	chchd10	Chr01	Chr01	86912587	86912587	TRINITY_DN110955_c0_g1_i1	766	550.057	FC1	female	4.198951469	meanmale
TRINITY_DN111067_c0_g1_i1	apba3-like	Chr01	Chr01	74393757	74393757	TRINITY_DN111067_c0_g1_i1	2817	2600.83	FC1	female	3.308965706	meanmale
TRINITY_DN111129_c0_g1_i1	fbxl5	Chr01	Chr01	16988064	16988064	TRINITY_DN111129_c0_g1_i1	2161	1944.83	FC1	female	5.526696606	meanmale
TRINITY_DN112067_c0_g1_i2	vim.2	Chr01	Chr01	11588720	11588720	TRINITY_DN112067_c0_g1_i2	1449	1232.83	FC1	female	-2.226462273	meanmale
TRINITY_DN112453_c0_g3_i1	bcl7a	Chr01	Chr01	153437220	153437220	TRINITY_DN112453_c0_g3_i1	1708	1491.83	FC1	female	3.764468273	meanmale
TRINITY_DN112849_c0_g1_i1	slc35e1	Chr01	Chr01	100115756	100115756	TRINITY_DN112849_c0_g1_i1	2129	1912.83	FC1	female	1.338085473	meanmale
TRINITY_DN112933_c0_g2_i1	Xetrov90001975m	Chr01	Chr01	100592693	100592693	TRINITY_DN112933_c0_g2_i1	1769	1552.83	FC1	female	3.913084404	meanmale
TRINITY_DN113395_c0_g1_i5	ogfod2	Chr01	Chr01	152771504	152771504	TRINITY_DN113395_c0_g1_i5	1185	968.835	FC1	female	3.552196639	meanmale
TRINITY_DN113530_c0_g1_i1	rchy1	Chr01	Chr01	70186402	70186402	TRINITY_DN113530_c0_g1_i1	1165	948.835	FC1	female	4.348929784	meanmale
