gid	gname	chr	logCPM	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN100638_c0_g2_i1	LOC100495096	scaffold_261	7.462843195	-1.260719512	1.260719512	7.74E-08	0.00000043	0.194444628	Ovary_mean	female	0.0057	0.0062	1.0857	gonad
TRINITY_DN101042_c0_g2_i1	ca14	Chr08	4.55084606	-1.660433523	1.660433523	0.0000008	0.00000378	0.568551038	Ovary_mean	female	0.0354	0.0565	1.5983	gonad
TRINITY_DN101369_c0_g1_i1	sec31a	Chr01	1.059897754	-3.404158964	3.404158964	0.000000466	0.00000229	0.925954454	Ovary_mean	female	0.0496	0.0684	1.3795	gonad
TRINITY_DN101457_c0_g1_i1	NA	NA	7.473385529	-1.975176504	1.975176504	6.55E-16	1.06E-14	0.456256144	Ovary_mean	female	0.1189	0.2181	1.8344	gonad
TRINITY_DN101542_c0_g1_i1	NA	NA	7.082221794	-1.277621101	1.277621101	2.43E-08	0.000000146	0.246994246	Ovary_mean	female	0.0408	0.0347	0.8502	gonad
TRINITY_DN101903_c0_g2_i2	phka2-like	Chr02	5.550552853	-1.893340213	1.893340213	2.12E-10	1.73E-09	0.437470329	Ovary_mean	female	0.1532	0.1723	1.1247	gonad
TRINITY_DN102065_c0_g1_i1	slc5a7-like.1	Chr02	7.802192174	-2.066848894	2.066848894	1.16E-17	2.24E-16	0.403031814	Ovary_mean	female	0.0308	0.0476	1.5475	gonad
TRINITY_DN102162_c0_g1_i1	NA	NA	6.573296284	-1.989864092	1.989864092	7.06E-14	9.11E-13	0.452032675	Ovary_mean	female	0.1384	0.2751	1.9882	gonad
TRINITY_DN103526_c0_g1_i1	capn2.2	Chr05	3.751142807	-2.629955349	2.629955349	5.09E-10	3.95E-09	0.601049357	Ovary_mean	female	0.0511	0.0908	1.7749	gonad
TRINITY_DN103621_c0_g1_i2	smc3	scaffold_401	6.182421956	-1.717840771	1.717840771	0.0000515	0.000175742	0.656361493	Ovary_mean	female	0.1704	0.2308	1.3544	gonad
TRINITY_DN103622_c0_g3_i3	NA	NA	5.662647671	-2.907884227	2.907884227	1.37E-24	4.85E-23	0.490328287	Ovary_mean	female	0.1036	0.1679	1.6208	gonad
TRINITY_DN103653_c0_g1_i1	cbll1	Chr03	0.70331067	-4.404281168	4.404281168	6.21E-08	0.00000035	0.765978192	Brain_mean	female	0.0311	0.0462	1.4862	gonad
TRINITY_DN103704_c0_g1_i1	NA	NA	0.771537545	-1.662437395	1.662437395	0.004128901	0.009388027	0.774173862	G31_mean	female	0.1949	0.2886	1.4806	gonad
TRINITY_DN103783_c0_g1_i1	NA	NA	5.505011957	-1.205059818	1.205059818	0.0000553	0.000187747	0.454331592	Ovary_mean	female	0.1565	0.2719	1.738	gonad
TRINITY_DN103838_c0_g1_i1	NA	NA	8.054092956	-6.480451356	6.480451356	7.75E-101	4.37E-98	0.745128049	Ovary_mean	female	0.0743	0.1212	1.6324	gonad
TRINITY_DN104428_c0_g1_i2	slc41a2	Chr03	4.666377687	-1.311862547	1.311862547	0.0000218	0.00008	0.31409969	G23_mean	female	0.0885	0.1168	1.3195	gonad
TRINITY_DN104434_c0_g2_i1	NA	NA	1.771946631	-2.868916072	2.868916072	2.59E-09	1.82E-08	0.79540516	Ovary_mean	female	0.174	0.3138	1.8029	gonad
TRINITY_DN104740_c0_g1_i2	NA	NA	5.585085148	-2.24163101	2.24163101	9.16E-14	1.17E-12	0.428153923	Ovary_mean	female	0.0484	0.0932	1.925	gonad
TRINITY_DN104751_c0_g1_i2	NA	NA	5.638665358	-2.283459332	2.283459332	1.90E-15	2.93E-14	0.383417863	Ovary_mean	female	0.0416	0.06	1.4428	gonad
TRINITY_DN105030_c0_g1_i1	cdkn1a	Chr02	0.48921171	-1.694779559	1.694779559	0.015348936	0.030160439	0.867713033	Brain_mean	female	0.0674	0.0767	1.1379	gonad
TRINITY_DN105440_c0_g1_i1	NA	NA	4.881650087	-2.221296958	2.221296958	2.52E-12	2.67E-11	0.660503475	Ovary_mean	female	0.05	0.0838	1.6769	gonad
TRINITY_DN105578_c0_g1_i1	NA	NA	2.793838966	-2.148793105	2.148793105	0.00000164	0.00000733	0.754051954	Ovary_mean	female	0.1479	0.2113	1.4289	gonad
TRINITY_DN105601_c0_g1_i1	NA	NA	7.958586831	-4.548541026	4.548541026	1.15E-58	1.84E-56	0.654871744	Ovary_mean	female	0.0889	0.1503	1.6911	gonad
TRINITY_DN105647_c0_g2_i1	vwa5a-like	scaffold_138	8.968091357	-11.35528165	11.35528165	5.46E-130	1.37E-126	0.856680274	Ovary_mean	female	0.5406	0.7804	1.4436	gonad
TRINITY_DN105940_c0_g1_i2	pofut2	Chr09	3.180477478	-1.211834269	1.211834269	0.002197924	0.005323723	0.559635474	Ovary_mean	female	0.0124	0.0153	1.2403	gonad
TRINITY_DN106065_c0_g1_i2	sass6	Chr01	6.823913387	-1.536839044	1.536839044	1.09E-10	9.29E-10	0.424193039	Ovary_mean	female	0.0442	0.0531	1.2023	gonad
TRINITY_DN106090_c0_g2_i1	NA	NA	6.422139207	-1.354660205	1.354660205	0.0000222	0.0000812	0.213188507	Ovary_mean	female	0.1269	0.1557	1.227	gonad
