ID	tau	tissue
TRINITY_DN100034_c0_g1_i1	0.156573961419932	G46_F_mean
TRINITY_DN100099_c0_g1_i1	0.455835556218562	Ovary_mean
TRINITY_DN100099_c0_g2_i1	0.408639328790738	Ovary_mean
TRINITY_DN100115_c0_g1_i1	0.459221931040166	Ovary_mean
TRINITY_DN100260_c0_g2_i1	0.250670295947791	Ovary_mean
TRINITY_DN100266_c0_g1_i1	0.43879131023712	Brain_mean
TRINITY_DN100287_c0_g1_i1	0.472032645516859	G43_F_mean
TRINITY_DN100335_c0_g2_i1	0.566201320885761	Testis_mean
TRINITY_DN100358_c0_g1_i1	0.315592516406116	G46_M_mean
TRINITY_DN100376_c0_g1_i1	0.345277234722298	G31_mean
TRINITY_DN100410_c0_g1_i1	0.37813833835267	Brain_mean
TRINITY_DN100528_c0_g1_i1	0.550777806283816	Ovary_mean
TRINITY_DN100538_c0_g1_i1	0.401746296380158	Ovary_mean
TRINITY_DN100549_c0_g1_i1	0.380726877571983	Brain_mean
TRINITY_DN100550_c0_g1_i1	0.831781882729449	Ovary_mean
TRINITY_DN100637_c0_g1_i1	0.604442649125042	Brain_mean
TRINITY_DN100681_c0_g1_i1	0.115938334386514	Brain_mean
TRINITY_DN100684_c0_g1_i1	0.427145037944659	G23_mean
TRINITY_DN100684_c0_g3_i1	0.400208459459579	G27_mean
TRINITY_DN100706_c0_g3_i1	0.133099764870553	G43_M_mean
TRINITY_DN100751_c0_g1_i1	0.264362110308175	G46_M_mean
TRINITY_DN100779_c0_g1_i1	0.631390300338686	G27_mean
TRINITY_DN100856_c0_g1_i1	0.257924433634246	G46_F_mean
TRINITY_DN100856_c0_g2_i1	0.173797401979984	Ovary_mean
TRINITY_DN100915_c0_g2_i1	0.482204543212753	Ovary_mean
TRINITY_DN100985_c0_g1_i1	0.539198062796774	Testis_mean
TRINITY_DN101055_c0_g2_i1	0.595547357644736	Brain_mean
TRINITY_DN101074_c0_g1_i1	0.194238418883487	G23_mean
TRINITY_DN101087_c0_g1_i1	0.272358663800009	Ovary_mean
TRINITY_DN101111_c0_g1_i2	0.430844051867075	Ovary_mean
TRINITY_DN101150_c0_g2_i1	0.44273535822272	Ovary_mean
TRINITY_DN101180_c0_g1_i1	0.578716991368993	G43_M_mean
TRINITY_DN101217_c0_g1_i1	0.222521190195529	Brain_mean
TRINITY_DN101244_c0_g1_i1	0.359381798038573	Ovary_mean
TRINITY_DN101247_c0_g2_i1	0.577241680760913	Testis_mean
TRINITY_DN101269_c0_g2_i1	0.218768651460649	Brain_mean
TRINITY_DN101294_c0_g1_i1	0.24382233953765	Ovary_mean
TRINITY_DN101332_c0_g1_i1	0.319042260682453	G46_M_mean
TRINITY_DN101356_c0_g1_i1	0.608105373023531	Ovary_mean
TRINITY_DN101437_c0_g1_i1	0.219601614368071	Ovary_mean
TRINITY_DN101472_c0_g1_i1	0.450467266208172	Ovary_mean
TRINITY_DN101481_c0_g1_i2	0.253034124643071	Brain_mean
TRINITY_DN101488_c0_g2_i2	0.155105807086535	G23_mean
TRINITY_DN101504_c0_g2_i1	0.563136167780191	Ovary_mean
TRINITY_DN101558_c0_g1_i1	0.408787277625071	Ovary_mean
TRINITY_DN101758_c0_g1_i1	0.10077586368718	G27_mean
TRINITY_DN101867_c0_g1_i1	0.239577365478153	G23_mean
TRINITY_DN101953_c0_g1_i3	0.411181265827479	Ovary_mean
TRINITY_DN101966_c0_g1_i1	0.442336924496429	G46_M_mean
TRINITY_DN102016_c0_g1_i1	0.313979327578557	Ovary_mean
TRINITY_DN102020_c0_g1_i1	0.35613234847423	Testis_mean
TRINITY_DN102020_c0_g2_i1	0.635445691127124	Ovary_mean
TRINITY_DN102065_c0_g2_i1	0.731384602005288	Testis_mean
TRINITY_DN102067_c0_g1_i1	0.517511216314077	Testis_mean
TRINITY_DN102078_c0_g1_i1	0.253002841736777	Ovary_mean
TRINITY_DN102085_c0_g1_i1	0.20995127228264	Ovary_mean
TRINITY_DN102142_c0_g1_i1	0.548131402230934	G27_mean
TRINITY_DN102159_c0_g1_i2	0.42982434922188	Liver_mean
TRINITY_DN102193_c0_g2_i1	0.414616605924508	Brain_mean
TRINITY_DN102201_c0_g1_i1	0.357658707101365	Ovary_mean
TRINITY_DN102276_c0_g1_i1	0.615566053321809	G43_F_mean
TRINITY_DN102279_c0_g1_i1	0.132303324216944	G23_mean
TRINITY_DN102279_c0_g2_i1	0.15606992269992	G46_F_mean
TRINITY_DN102288_c0_g1_i1	0.570520611537265	Ovary_mean
TRINITY_DN102362_c0_g1_i1	0.22158192528708	Ovary_mean
TRINITY_DN102400_c0_g2_i1	0.492127284114423	Testis_mean
TRINITY_DN102407_c0_g1_i1	0.315982980484916	G31_mean
TRINITY_DN102444_c0_g1_i1	0.342235666052996	Ovary_mean
TRINITY_DN102449_c0_g1_i1	0.419641723351023	G43_F_mean
TRINITY_DN102456_c0_g1_i1	0.3457380472336	Liver_mean
TRINITY_DN102459_c0_g1_i1	0.562141949961242	Brain_mean
TRINITY_DN102469_c0_g1_i1	0.469054470494245	Liver_mean
TRINITY_DN102493_c0_g1_i1	0.198656898922495	Ovary_mean
TRINITY_DN102496_c0_g1_i1	0.141215720982898	G23_mean
TRINITY_DN102539_c0_g1_i1	0.261451473823265	Brain_mean
TRINITY_DN102584_c0_g1_i1	0.293181018706282	Ovary_mean
TRINITY_DN102616_c0_g1_i1	0.22197451155921	Ovary_mean
TRINITY_DN102643_c0_g1_i1	0.230751501702826	G43_M_mean
