gid	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	tau	tissue	bias
TRINITY_DN100115_c0_g2_i1	NA	NA	NA	NA	1.332972658	2.568132847	0.002914898	0.006864311	0.756527602	Testis_mean	male
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	3.286301767	2.819026546	8.56E-09	5.49E-08	0.262335873	G46_M_mean	male
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	0.065192659	2.649538762	2.08E-05	7.64E-05	0.375960092	Testis_mean	male
TRINITY_DN100586_c0_g1_i1	mogat1-like.1	Chr02	169580384	169580384	0.039484078	3.930112321	4.54E-06	1.87E-05	0.401678381	G46_M_mean	male
TRINITY_DN100830_c0_g1_i2	NA	NA	NA	NA	1.126675407	3.699629332	9.23E-10	6.94E-09	0.837323146	Testis_mean	male
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	5.026191981	6.562094953	6.52E-31	3.34E-29	0.482394987	G27_mean	male
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	2.452869802	1.200132494	0.025576604	0.047073578	0.221386767	G43_F_mean	male
TRINITY_DN101232_c0_g1_i1	rybp	Chr04	129685828	129685828	1.138246668	3.198190205	1.51E-08	9.37E-08	0.684011892	Brain_mean	male
TRINITY_DN101247_c0_g3_i1	NA	NA	NA	NA	2.270066181	1.005937148	0.024329451	0.045137534	0.638345306	Testis_mean	male
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	2.584065067	1.508402493	0.002027093	0.004948195	0.493693894	G23_mean	male
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	1.804458464	2.299558851	7.09E-05	0.000235892	0.377335453	G46_M_mean	male
TRINITY_DN101728_c0_g2_i1	epor	Chr03	129216492	129216492	1.844865724	3.495145334	1.28E-09	9.44E-09	0.42239493	G43_F_mean	male
TRINITY_DN101809_c0_g1_i2	sumo2	Chr10	35830902	35830902	3.789000596	2.349384489	3.81E-11	3.47E-10	0.389206888	Brain_mean	male
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	1.557904846	1.869543753	0.001478171	0.00372723	0.292855113	G31_mean	male
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	1.215306731	1.518446502	0.003362756	0.007812953	0.314697661	Brain_mean	male
