gid	tissue1	sexbias	gid2	tissue2	sexbias2	direction
TRINITY_DN104464_c0_g1_i1	Gonad	male	TRINITY_DN104464_c0_g1_i1	Liver	female	yes
TRINITY_DN105647_c0_g2_i1	Gonad	female	TRINITY_DN105647_c0_g2_i1	Liver	female	no
TRINITY_DN110867_c0_g1_i1	Gonad	male	TRINITY_DN110867_c0_g1_i1	Liver	female	yes
TRINITY_DN112847_c0_g1_i1	Gonad	male	TRINITY_DN112847_c0_g1_i1	Liver	female	yes
TRINITY_DN113202_c0_g1_i1	Gonad	male	TRINITY_DN113202_c0_g1_i1	Liver	male	no
TRINITY_DN115622_c0_g2_i1	Gonad	female	TRINITY_DN115622_c0_g2_i1	Liver	male	yes
TRINITY_DN115794_c1_g1_i1	Gonad	female	TRINITY_DN115794_c1_g1_i1	Liver	female	no
TRINITY_DN117920_c0_g1_i5	Gonad	female	TRINITY_DN117920_c0_g1_i5	Liver	male	yes
TRINITY_DN118885_c0_g1_i1	Gonad	female	TRINITY_DN118885_c0_g1_i1	Liver	male	yes
TRINITY_DN119647_c0_g2_i1	Gonad	male	TRINITY_DN119647_c0_g2_i1	Liver	male	no
TRINITY_DN120237_c0_g2_i1	Gonad	female	TRINITY_DN120237_c0_g2_i1	Liver	male	yes
TRINITY_DN121035_c0_g2_i1	Gonad	male	TRINITY_DN121035_c0_g2_i1	Liver	female	yes
TRINITY_DN121738_c0_g2_i3	Gonad	female	TRINITY_DN121738_c0_g2_i3	Liver	female	no
TRINITY_DN122892_c0_g1_i1	Gonad	female	TRINITY_DN122892_c0_g1_i1	Liver	male	yes
TRINITY_DN123800_c0_g1_i1	Gonad	male	TRINITY_DN123800_c0_g1_i1	Liver	female	yes
TRINITY_DN124922_c6_g7_i1	Gonad	female	TRINITY_DN124922_c6_g7_i1	Liver	male	yes
TRINITY_DN126089_c1_g1_i2	Gonad	male	TRINITY_DN126089_c1_g1_i2	Liver	male	no
TRINITY_DN126754_c2_g1_i1	Gonad	female	TRINITY_DN126754_c2_g1_i1	Liver	female	no
TRINITY_DN128775_c0_g1_i1	Gonad	male	TRINITY_DN128775_c0_g1_i1	Liver	female	yes
TRINITY_DN129628_c2_g2_i2	Gonad	female	TRINITY_DN129628_c2_g2_i2	Liver	female	no
TRINITY_DN129698_c3_g1_i2	Gonad	male	TRINITY_DN129698_c3_g1_i2	Liver	male	no
TRINITY_DN129827_c5_g2_i1	Gonad	male	TRINITY_DN129827_c5_g2_i1	Liver	female	yes
TRINITY_DN129860_c0_g3_i1	Gonad	female	TRINITY_DN129860_c0_g3_i1	Liver	male	yes
TRINITY_DN130699_c6_g2_i2	Gonad	female	TRINITY_DN130699_c6_g2_i2	Liver	male	yes
TRINITY_DN131896_c3_g1_i2	Gonad	male	TRINITY_DN131896_c3_g1_i2	Liver	male	no
TRINITY_DN132129_c0_g1_i2	Gonad	male	TRINITY_DN132129_c0_g1_i2	Liver	male	no
TRINITY_DN133911_c4_g9_i1	Gonad	male	TRINITY_DN133911_c4_g9_i1	Liver	male	no
TRINITY_DN134360_c3_g1_i1	Gonad	female	TRINITY_DN134360_c3_g1_i1	Liver	female	no
TRINITY_DN134935_c0_g2_i1	Gonad	female	TRINITY_DN134935_c0_g2_i1	Liver	female	no
TRINITY_DN179330_c0_g1_i1	Gonad	male	TRINITY_DN179330_c0_g1_i1	Liver	male	no
TRINITY_DN44500_c0_g1_i1	Gonad	male	TRINITY_DN44500_c0_g1_i1	Liver	male	no
