Tissue_specific_index	Tissue_name
TRINITY_DN143736_c0_g1_i1	5.73915881980371	Brain.3
TRINITY_DN115740_c0_g2_i1	5.71209070503565	Ovary.3
TRINITY_DN127333_c1_g1_i5	3.82903139697162	G46_M.1
TRINITY_DN116567_c0_g1_i1	5.78486227856508	Testis.4
TRINITY_DN125436_c0_g1_i6	5.42072934283748	Brain.7
TRINITY_DN135409_c1_g3_i4	2.08363704495053	Brain.8
TRINITY_DN37970_c0_g1_i1	2.65592074835031	Brain.7
TRINITY_DN85219_c0_g1_i1	5.24957026715679	G23.1
TRINITY_DN203225_c0_g1_i1	6.00482338977195	Ovary.2
TRINITY_DN120582_c1_g2_i1	1.05154989296833	Testis
TRINITY_DN135828_c4_g29_i1	2.68650286059465	G27.3
TRINITY_DN127864_c0_g1_i2	5.51221108382342	Brain.8
TRINITY_DN120367_c1_g1_i1	5.84106597520207	Brain.8
TRINITY_DN104004_c0_g1_i1	3.7202195519011	Brain.7
TRINITY_DN125523_c6_g3_i1	3.44564046060571	G23.1
TRINITY_DN125998_c1_g1_i4	3.1056145312684	Brain.8
TRINITY_DN24608_c0_g1_i1	3.6926351076136	G43_F.2
TRINITY_DN105192_c0_g1_i2	3.83606686852073	G46_M
TRINITY_DN123376_c1_g1_i2	2.35190078753528	Brain.5
TRINITY_DN99798_c0_g2_i1	6.27336421267659	Ovary.3
TRINITY_DN126328_c0_g1_i1	3.3516964561474	Testis.1
TRINITY_DN133014_c5_g4_i7	1.90663834719503	Brain.8
TRINITY_DN133363_c0_g1_i1	4.21486921398412	Brain.8
TRINITY_DN121799_c0_g1_i2	5.84265747373748	Brain.5
TRINITY_DN124678_c1_g2_i1	3.62326443631601	Testis.2
TRINITY_DN123791_c1_g1_i1	2.36745990873518	Brain.8
TRINITY_DN122558_c2_g3_i1	3.76611786084056	G43_F
TRINITY_DN175633_c0_g1_i1	6.68545102748388	Ovary.3
TRINITY_DN122565_c0_g2_i2	6.27676867998378	Liver.7
TRINITY_DN135798_c3_g12_i1	5.34904803919002	Brain.3
TRINITY_DN131116_c0_g9_i1	5.1872073132001	G23.1
TRINITY_DN110438_c1_g1_i1	5.55793608705904	Brain.3
TRINITY_DN69707_c0_g1_i1	4.87575322764991	Liver.6
TRINITY_DN121556_c12_g4_i1	4.79092887857035	Brain.2
TRINITY_DN155059_c0_g1_i1	1.63706850193972	G43_F.1
TRINITY_DN122407_c3_g1_i3	5.31747909713441	G23.1
TRINITY_DN113089_c0_g1_i1	3.08327665351632	G31.4
TRINITY_DN119009_c0_g2_i2	4.98459305434416	Brain.8
TRINITY_DN21989_c0_g1_i1	6.20963414404518	Brain.8
TRINITY_DN130448_c1_g3_i1	3.62184659839757	Brain.6
TRINITY_DN117798_c2_g1_i1	6.12398512918876	Ovary.2
TRINITY_DN133934_c1_g2_i1	2.67470755586203	G23.5
TRINITY_DN205013_c0_g1_i1	5.29500426201077	G46_M.2
TRINITY_DN37812_c0_g1_i1	4.61899827859762	Testis
TRINITY_DN118987_c0_g1_i1	1.83928664483627	Ovary.3
TRINITY_DN211431_c0_g1_i1	4.40306880593741	Brain.3
TRINITY_DN115175_c0_g1_i4	5.93414722405578	Brain.2
TRINITY_DN106470_c0_g1_i1	3.00688763294988	Testis
TRINITY_DN131353_c0_g2_i1	3.54893614881981	G23.3
TRINITY_DN83780_c0_g1_i1	6.43358533493206	Ovary.4
TRINITY_DN119494_c0_g1_i1	5.7668760543521	Ovary.3
TRINITY_DN132231_c0_g2_i2	1.04369720866328	Liver.5
TRINITY_DN134708_c12_g1_i1	1.54657326289238	Ovary.2
TRINITY_DN131970_c0_g8_i2	5.00186893295425	Brain.1
TRINITY_DN127557_c7_g5_i1	3.36527537703937	Liver.6
TRINITY_DN128222_c5_g1_i3	3.10348889793927	Brain.2
TRINITY_DN119214_c0_g1_i2	4.90724270907778	G43_M.1
TRINITY_DN94212_c0_g1_i1	4.79438956823921	G31
TRINITY_DN102061_c0_g3_i1	4.40070093520933	Ovary.1
TRINITY_DN82693_c0_g1_i1	5.56230306474886	G46_M.2
TRINITY_DN121765_c1_g1_i1	5.94912152302392	Brain.4
TRINITY_DN128623_c0_g3_i1	5.00622543931925	Brain.8
TRINITY_DN127626_c0_g3_i1	0.778018054793621	Testis
TRINITY_DN125646_c0_g1_i1	3.47314070861412	G43_M.2
TRINITY_DN112186_c0_g1_i2	5.56389296587441	G23.5
TRINITY_DN128434_c0_g1_i6	2.81133161495988	Brain.7
TRINITY_DN107815_c0_g2_i1	5.4587531630283	Brain.7
TRINITY_DN102213_c0_g1_i1	5.82185400066573	G43_M.1
TRINITY_DN114596_c0_g2_i1	3.34282223777058	Ovary
TRINITY_DN120511_c0_g1_i3	4.61000117476672	Brain.8
TRINITY_DN123999_c6_g2_i3	3.53676263626331	Brain.9
TRINITY_DN76006_c0_g1_i1	6.00853315945148	Brain.7
TRINITY_DN120770_c0_g2_i1	3.70110874369438	G46_F
TRINITY_DN61254_c0_g1_i1	5.57269424082123	Ovary
TRINITY_DN127274_c0_g2_i1	4.49916919228069	G23.4
TRINITY_DN140163_c0_g1_i1	5.68718742042512	G31.2
TRINITY_DN103614_c0_g2_i2	5.52011194582384	Brain.3
TRINITY_DN8881_c0_g1_i1	5.14313388730942	Ovary.2
TRINITY_DN131416_c0_g1_i2	3.06598333531719	Testis.4
TRINITY_DN203490_c0_g1_i1	2.55984955634995	Brain.9
TRINITY_DN124239_c5_g1_i4	2.08705985380529	Brain.5
TRINITY_DN123498_c2_g1_i1	1.65808707192706	Testis.2
TRINITY_DN121164_c1_g2_i1	2.59834162573589	G46_M.1
TRINITY_DN161249_c0_g1_i1	5.95680634947798	Brain.8
TRINITY_DN117706_c0_g1_i1	4.75704002713226	Brain.2
TRINITY_DN117634_c1_g1_i1	1.77318134700664	G43_F.1
TRINITY_DN136318_c3_g3_i1	5.17365446101374	G31
