gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	Am1_434	Am2_433	Am2_434	Am4_434	Am4_435	Am5_433
TRINITY_DN100681_c0_g1_i1	ocel1	Chr01	99481568	99481568	5.033717767	0.05654699	0.906507571	0.999875411	4.415696796	4.475662809	5.337715006	5.263237968	5.605308574	4.667488407
TRINITY_DN101047_c0_g1_i2	gldc	Chr01	114524252	114524252	1.776216434	-0.322644703	0.557822679	0.999875411	1.999596826	2.111749456	1.275340808	1.453088009	2.058602176	1.536045479
TRINITY_DN101758_c0_g1_i1	Xetrov90003730m	Chr01	188782517	188782517	6.454052697	-0.388554573	0.503860096	0.999875411	7.117884446	6.574711406	5.471435134	5.478280599	6.018589328	7.109145457
TRINITY_DN10201_c0_g1_i1	znf131	Chr01	182108399	182108399	0.813478695	-0.640738933	0.284263501	0.999875411	0.412015673	1.365730671	0.475494076	0.528392195	0.849481898	0.998432886
TRINITY_DN102026_c0_g1_i2	spock3	Chr01	41555975	41555975	1.49797882	0.470375028	0.492115949	0.999875411	2.102780532	1.610227494	0.540800654	2.025615204	1.722529532	-0.381544349
TRINITY_DN102094_c0_g1_i1	fam81b-like	Chr01	172482617	172482617	1.58148911	-0.611064839	0.385627347	0.999875411	1.126265544	1.11409645	-0.140023822	2.025615204	1.001172385	2.738257464
TRINITY_DN102104_c0_g1_i1	limch1-like	Chr01	27762044	27762044	3.668695301	-0.311802172	0.538662456	0.999875411	3.733463671	3.565825196	2.938843946	3.711808136	3.179549884	4.416379291
TRINITY_DN102496_c0_g1_i1	gfm2-like	Chr01	165785366	165785366	7.821232413	-0.12133846	0.819420253	0.999875411	7.970083469	8.156237254	7.682033776	7.59901323	7.454537021	7.944379303
TRINITY_DN102894_c0_g1_i2	morc2	Chr01	131453682	131453682	2.825293294	-5.962388638	7.48E-11	1.45E-07	-1.771735779	4.733124008	-1.032095434	-3.826343306	3.29660972	2.37750781
TRINITY_DN103557_c0_g2_i2	dmrt3	Chr01	116424526	116424526	4.698344008	0.137647978	0.762223909	0.999875411	3.997233395	4.601669938	4.930385986	5.134560949	4.833129866	4.419147217
TRINITY_DN104055_c0_g1_i1	homer1	Chr01	163878577	163878577	0.496730331	0.262184811	0.688788796	0.999875411	1.050849034	-0.265370068	-0.089732689	0.673326711	0.417616079	0.774653353
TRINITY_DN104088_c0_g1_i2	fam211b	Chr01	144116504	144116504	0.304727734	-0.463147988	0.471247554	0.999875411	0.286127334	-0.013582968	-0.140023822	0.033020154	0.453137143	0.937957864
TRINITY_DN104287_c1_g1_i1	ankle2-like	Chr01	146995879	146995879	2.730586941	0.539349605	0.351457263	0.999875411	2.414961323	1.89503273	2.805688646	3.490009947	3.174238378	1.813562329
TRINITY_DN104666_c0_g2_i1	glrb	Chr01	44226997	44226997	2.015714744	-0.028781626	0.95914912	0.999875411	2.187383349	1.484998885	1.660377136	2.104434753	1.820980661	2.569129181
