ID	tau	Tissue_name	gid	chr	chrone	start	end
TRINITY_DN100194_c0_g1_i1	0.780429458	Brain_mean	vax2	Chr01	Chr01	8250217	8250217
TRINITY_DN101356_c0_g1_i1	0.608105373	Ovary_mean	purg	Chr01	Chr01	78613871	78613871
TRINITY_DN102198_c0_g1_i3	0.893616742	Brain_mean	LOC100485437	Chr01	Chr01	67211793	67211793
TRINITY_DN102393_c0_g1_i1	0.665881596	G27_mean	Xetrov90003677m	Chr01	Chr01	185960157	185960157
TRINITY_DN102500_c0_g1_i1	0.551779824	G23_mean	ror2	Chr01	Chr01	126678883	126678883
TRINITY_DN103107_c0_g1_i1	0.135045065	Ovary_mean	glrx	Chr01	Chr01	172667785	172667785
TRINITY_DN103509_c0_g1_i1	0.632057413	G23_mean	comt.2	Chr01	Chr01	146432864	146432864
TRINITY_DN103615_c0_g1_i1	0.172768343	G27_mean	gstt1-like.1	Chr01	Chr01	144513755	144513755
TRINITY_DN103720_c0_g1_i2	0.446706954	Ovary_mean	enpp6	Chr01	Chr01	35674507	35674507
TRINITY_DN103783_c0_g1_i1	0.454331592	Ovary_mean	fam175a	Chr01	Chr01	123992821	123992821
TRINITY_DN103859_c0_g1_i1	0.89255607	Testis_mean	amh	Chr01	Chr01	83615433	83615433
TRINITY_DN103986_c0_g1_i1	0.329670222	Brain_mean	tlr2	Chr01	Chr01	45753921	45753921
TRINITY_DN104136_c0_g1_i1	0.839564609	Ovary_mean	not	Chr01	Chr01	10478571	10478571
TRINITY_DN104173_c0_g1_i1	0.258729367	Testis_mean	efs	Chr01	Chr01	127517336	127517336
TRINITY_DN104654_c0_g1_i1	0.632622506	Ovary_mean	mex3d	Chr01	Chr01	79764930	79764930
TRINITY_DN104667_c0_g1_i3	0.441723031	Brain_mean	palm	Chr01	Chr01	81998606	81998606
TRINITY_DN104751_c0_g1_i2	0.383417863	Ovary_mean	use1	Chr01	Chr01	99717791	99717791
TRINITY_DN105030_c0_g1_i1	0.867713033	Brain_mean	tacr3	Chr01	Chr01	63787145	63787145
TRINITY_DN105438_c0_g1_i1	0.817707367	Brain_mean	LOC100492550	Chr01	Chr01	98813361	98813361
TRINITY_DN105496_c0_g1_i1	0.838443055	Liver_mean	slc2a9	Chr01	Chr01	18216490	18216490
TRINITY_DN105503_c0_g2_i1	0.827620134	Liver_mean	Xetrov90002548m	Chr01	Chr01	129276645	129276645
TRINITY_DN105513_c0_g1_i1	0.369512088	Brain_mean	cdc25b	Chr01	Chr01	9356036	9356036
TRINITY_DN105592_c1_g1_i2	0.247918508	G43_F_mean	rfesd-like	Chr01	Chr01	172602337	172602337
