gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXrain	PV.XYbrain.XXrain	FDR.XYbrain.XXrain	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	average	ward.D
TRINITY_DN100108_c0_g1_i1	LOC100485641	Chr02	135882898	135882898	4.29217000393506	-5.15880273021139	1.5066055018661e-05	0.0048202300122957	4.9625336687507	2.30137186275214	6.19320942436237	4.25669989452819	-1.59025835679578	-1.89118924989139	-2.77316925856253	6.05702320006774	-2.14426066435849	-1.42193975490408	1	2
TRINITY_DN100360_c0_g1_i1	mphosph6	Chr04	66339509	66339509	2.22709752714836	-4.79351047460482	8.53316726924772e-05	0.0179839886376883	2.93961965364633	0.639374635253361	4.04874963766419	1.9969208214124	-2.77316925856254	-2.77316925856254	-2.77316925856253	4.04599324706105	-2.77316925856254	-1.7487102766279	1	2
TRINITY_DN105267_c0_g2_i2	NA	NA	NA	NA	2.52504962365578	1.30416748788166	8.22379721507491e-06	0.00319705979017103	1.37768574290763	3.30291292711167	1.44761136889363	1.93378959769393	3.29416586839754	2.17744148876815	3.04686767280448	1.64599114183984	2.56098487289365	2.7500019786404	2	1
TRINITY_DN105687_c0_g1_i1	NA	NA	NA	NA	1.49658026351609	2.60289649317281	3.11604406396143e-06	0.00145916106692041	-1.0453683000129	1.87763061289902	-0.0306884382698901	0.00110921222551831	3.16561850508975	0.256226041875496	-0.217688812881147	-0.457199525038198	1.30111747744842	2.84419190958535	3	1
TRINITY_DN106368_c0_g2_i1	trmt12-like	Chr08	17532617	17532617	4.47082948487836	0.908564456717348	5.52393108254005e-06	0.00232838079201351	4.27990798322703	4.70162781062231	3.77808341318543	4.11448870192938	5.14218790552747	3.8590724923347	4.85600346615044	3.62885776530603	4.73781669767796	4.77093165551601	2	1
TRINITY_DN106674_c0_g1_i1	NA	NA	NA	NA	3.80581245631556	-4.98707723988863	9.11466408771792e-08	0.000100849960353896	4.40610337549104	1.74892166632936	5.67541257248594	3.93269365685109	-1.80765609439667	-0.645004114963584	-2.08626181916188	5.55702393309812	-0.87323052466268	-0.930998555222285	1	2
TRINITY_DN106700_c0_g1_i1	mdh1	Chr05	28656970	28656970	1.00027175162991	-5.45027273995648	1.01896488271818e-06	0.000575715158735771	1.42388559344879	-0.89343670940827	2.81914634145068	0.891617976368136	-2.77316925856254	-2.77316925856254	-2.77316925856253	2.89195076310877	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN108200_c0_g1_i1	NA	NA	NA	NA	0.413545291864981	-4.13610405216501	0.000280640579549072	0.0480031526571265	0.584228273726539	-0.370417259972583	2.47473197465205	0.424990576501511	-2.77316925856254	-2.77316925856254	-2.77316925856253	1.89209723262128	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN109305_c0_g2_i2	NA	NA	NA	NA	2.82596225294303	3.28503585989721	4.74979152016709e-05	0.0111630765042585	-0.281456903018405	0.639374635253361	0.480563172845299	0.891617976368136	4.65725350494747	1.08346247089458	0.054302234497844	-0.194413919089852	0.511095392050883	5.07278805052685	3	1
TRINITY_DN110034_c0_g2_i1	NA	NA	NA	NA	0.262974039965404	-2.23323827770308	0.00023993965127608	0.042477316264242	0.411553735459839	-2.77316925856254	1.49099510414765	0.677088441883057	-0.246151497374798	0.328838004561765	-0.217688812881147	1.34908880956582	-2.77316925856254	-0.930998555222285	1	2
