gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXrain	PV.XYbrain.XXrain	FDR.XYbrain.XXrain
TRINITY_DN117036_c0_g1_i1	alx1	Chr03	44294726	44294726	2.77064210454913	2.59400215838286	2.93919146747619e-05	0.00813023223112816
TRINITY_DN117634_c0_g2_i1	chrnb4	Chr03	80472595	80472595	2.38372612803957	-5.37066018816967	4.43673097863398e-05	0.0108362887696246
TRINITY_DN122025_c0_g1_i3	mturn	Chr06	72716999	72716999	3.72484357178511	1.24430284427281	1.91748896987446e-05	0.00592080460407167
TRINITY_DN122021_c2_g12_i1	hoga1	Chr07	24794514	24794514	0.0303822847628765	-3.68678712622801	3.42716663000845e-06	0.00156911051482542
TRINITY_DN128465_c0_g5_i9	sec24d-like.2	Chr07	52754568	52754568	5.79426487445915	2.51649921772787	0.000140939128510508	0.0267331325542609
TRINITY_DN130262_c0_g1_i1	svip	scaffold_173	4529	4529	5.21187138851774	0.723964766454798	0.000172332394878191	0.0317797690693775
TRINITY_DN134983_c5_g1_i2	NA	NA	NA	NA	2.14625420207912	-5.29603899970829	5.6746517841615e-06	0.00235453715825638
TRINITY_DN127374_c0_g3_i1	NA	NA	NA	NA	0.358063665148576	-5.9090876371439	1.18191690199619e-08	2.09238688883393e-05
TRINITY_DN123680_c0_g1_i1	NA	NA	NA	NA	1.41103832708972	-3.42140786078759	3.35322921988007e-07	0.00024066216738896
TRINITY_DN117838_c2_g1_i2	NA	NA	NA	NA	1.65542702623279	-7.06084411282302	5.85689270522965e-09	1.11092704133838e-05
TRINITY_DN66610_c0_g1_i1	NA	NA	NA	NA	1.65428124828559	-7.98735646657379	8.80487370850065e-08	0.000100849960353896
TRINITY_DN211480_c0_g1_i1	NA	NA	NA	NA	0.711724883750546	-5.44015034560472	6.22853205122506e-07	0.000384648066558794
TRINITY_DN127570_c1_g1_i1	NA	NA	NA	NA	3.12230203216228	1.16288629612182	0.00029281066576024	0.0492125774003997
TRINITY_DN126485_c2_g1_i2	NA	NA	NA	NA	1.76028471266674	2.14584313060332	8.57665733953197e-06	0.00320934035786858
TRINITY_DN121659_c3_g3_i2	NA	NA	NA	NA	2.91944974628114	-2.03169320080242	4.12354611021662e-07	0.000288159913044217
TRINITY_DN81880_c0_g2_i1	NA	NA	NA	NA	0.429439318828626	-1.76268286883673	3.68583866470312e-05	0.00978774457411914
TRINITY_DN133534_c1_g5_i1	NA	NA	NA	NA	0.00715335960793081	2.44512392500346	5.28431374347539e-05	0.0123092062682446
TRINITY_DN135947_c1_g1_i1	NA	NA	NA	NA	0.951128191170041	-3.943671061935	7.97993180017883e-08	0.000100379249737982
TRINITY_DN118022_c0_g1_i1	NA	NA	NA	NA	4.8059733002185	4.32858541267098	1.63795919820456e-07	0.000135925020338506
TRINITY_DN126888_c6_g3_i1	NA	NA	NA	NA	4.18430757346338	-1.20101321127976	2.80454038108718e-05	0.00792282657657129
TRINITY_DN27358_c0_g2_i1	NA	NA	NA	NA	0.161365080902596	-5.1914184743332	1.4500764579765e-07	0.000124774128615618
TRINITY_DN131767_c0_g2_i1	NA	NA	NA	NA	5.30420301633851	0.831248693413865	9.03621619457112e-06	0.00333273223676161
TRINITY_DN105687_c0_g1_i1	NA	NA	NA	NA	1.49658026351609	2.60289649317281	3.11604406396143e-06	0.00145916106692041
TRINITY_DN135864_c0_g1_i1	NA	NA	NA	NA	5.40431549794467	-1.06804799727121	6.6239783440982e-06	0.00270614992196196
TRINITY_DN93756_c0_g1_i1	NA	NA	NA	NA	0.798178624607923	8.43281793129063	4.99079702910357e-22	4.41768717026151e-18
TRINITY_DN69144_c0_g1_i1	NA	NA	NA	NA	2.35268065090015	-4.67970268675192	4.15545739421473e-05	0.0105093496288926
TRINITY_DN27351_c0_g1_i1	NA	NA	NA	NA	3.44886171055097	-4.83427342690319	0.000116426030653305	0.0230723376417799
TRINITY_DN36259_c0_g1_i1	NA	NA	NA	NA	3.40066556379027	1.21388255871205	5.76613246194399e-07	0.000382799118817307
TRINITY_DN133322_c1_g4_i1	NA	NA	NA	NA	0.993334742481997	2.34844725005486	1.24926607245778e-05	0.00414678256926454
TRINITY_DN126942_c1_g2_i1	NA	NA	NA	NA	1.36819438994445	3.05407070733648	3.55108282103385e-14	1.88598008625108e-10
TRINITY_DN129784_c1_g7_i1	NA	NA	NA	NA	1.8432117358073	3.04608498449804	5.84042061766303e-05	0.0132557580770976
TRINITY_DN116526_c0_g1_i1	NA	NA	NA	NA	2.68124453220585	-1.1194232103475	3.23315899500376e-05	0.00876087113391069
TRINITY_DN122960_c4_g4_i2	NA	NA	NA	NA	3.27462257522164	1.21968896354706	4.16790246805715e-06	0.00179406642361757
TRINITY_DN120967_c0_g2_i1	NA	NA	NA	NA	4.75451831067606	1.37759703642373	2.74538172357617e-05	0.00792282657657129
TRINITY_DN118329_c0_g1_i1	NA	NA	NA	NA	6.17359040653528	-0.804205520258464	8.58080080620106e-06	0.00320934035786858
TRINITY_DN125863_c4_g1_i1	NA	NA	NA	NA	1.89269774935992	-2.59088736452066	6.87004514554089e-06	0.00276415225514907
TRINITY_DN154814_c0_g1_i1	NA	NA	NA	NA	0.687788582662517	-4.63454043739402	2.84763836235146e-06	0.00137489157658624
TRINITY_DN130569_c1_g1_i1	NA	NA	NA	NA	1.10735827683692	3.07521176129847	1.60405695901724e-09	3.87233932242752e-06
TRINITY_DN127567_c6_g4_i1	NA	NA	NA	NA	1.8134944711562	-6.07470647760382	2.66200420717972e-08	4.1582071600975e-05
TRINITY_DN133976_c2_g2_i1	NA	NA	NA	NA	2.93555110867559	1.51368847157263	0.000187223572161806	0.0342877376465983
TRINITY_DN117360_c0_g1_i1	NA	NA	NA	NA	3.25321164343206	1.8241433286808	4.44795886232001e-05	0.0108362887696246
TRINITY_DN135640_c2_g9_i1	NA	NA	NA	NA	2.2438552819357	-7.01756685803477	4.41815195564311e-05	0.0108362887696246
TRINITY_DN120835_c1_g3_i1	NA	NA	NA	NA	1.40521215911371	-4.04708087910302	1.15339534217988e-07	0.000113656144509482
TRINITY_DN134429_c5_g1_i1	ap1m1	Chr01	79874854	79874854	7.00918032584189	1.29036601827506	4.49363242819899e-05	0.0108480371937113
TRINITY_DN128367_c1_g4_i3	aqp9	Chr03	89621392	89621392	10.6733485918219	5.48643435371723	1.63881993444743e-05	0.005119866277559
