gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias
TRINITY_DN177856_c0_g1_i1	NA	NA	NA	NA	-8.577598596	female
TRINITY_DN60182_c0_g2_i1	NA	NA	NA	NA	-8.312579863	female
TRINITY_DN66610_c0_g1_i1	NA	NA	NA	NA	-7.987356467	female
TRINITY_DN117838_c2_g1_i2	NA	NA	NA	NA	-7.060844113	female
TRINITY_DN135640_c2_g9_i1	NA	NA	NA	NA	-7.017566858	female
TRINITY_DN127567_c6_g4_i1	NA	NA	NA	NA	-6.074706478	female
TRINITY_DN127374_c0_g3_i1	NA	NA	NA	NA	-5.909087637	female
TRINITY_DN134497_c1_g3_i1	NA	NA	NA	NA	-5.846667982	female
TRINITY_DN125999_c6_g3_i1	NA	NA	NA	NA	-5.623992334	female
TRINITY_DN126126_c1_g3_i1	NA	NA	NA	NA	-5.61408834	female
TRINITY_DN83284_c0_g2_i1	NA	NA	NA	NA	-5.61363137	female
TRINITY_DN87722_c1_g1_i1	NA	NA	NA	NA	-5.577033389	female
TRINITY_DN26128_c0_g1_i1	NA	NA	NA	NA	-5.573955279	female
TRINITY_DN98734_c0_g1_i1	NA	NA	NA	NA	-5.455594558	female
TRINITY_DN106700_c0_g1_i1	mdh1	Chr05	28656970	28656970	-5.45027274	female
TRINITY_DN211480_c0_g1_i1	NA	NA	NA	NA	-5.440150346	female
TRINITY_DN134769_c2_g1_i4	NA	NA	NA	NA	-5.374439048	female
TRINITY_DN117634_c0_g2_i1	chrnb4	Chr03	80472595	80472595	-5.370660188	female
TRINITY_DN120797_c1_g2_i1	NA	NA	NA	NA	-5.310166032	female
TRINITY_DN134983_c5_g1_i2	NA	NA	NA	NA	-5.296039	female
TRINITY_DN22653_c0_g1_i1	NA	NA	NA	NA	-5.285938365	female
TRINITY_DN123398_c4_g3_i2	NA	NA	NA	NA	-5.240041962	female
TRINITY_DN27358_c0_g2_i1	NA	NA	NA	NA	-5.191418474	female
TRINITY_DN100108_c0_g1_i1	LOC100485641	Chr02	135882898	135882898	-5.15880273	female
TRINITY_DN122048_c0_g1_i1	NA	NA	NA	NA	-5.128877245	female
TRINITY_DN106674_c0_g1_i1	NA	NA	NA	NA	-4.98707724	female
TRINITY_DN98620_c0_g2_i1	NA	NA	NA	NA	-4.985512349	female
TRINITY_DN90220_c0_g1_i1	nrm	Chr08	52369033	52369033	-4.968204915	female
TRINITY_DN126027_c5_g2_i1	ccdc92	Chr01	152187591	152187591	-4.880949631	female
TRINITY_DN131251_c3_g6_i1	eif5b-like	Chr02	109082024	109082024	-4.869718482	female
TRINITY_DN27351_c0_g1_i1	NA	NA	NA	NA	-4.834273427	female
TRINITY_DN100360_c0_g1_i1	mphosph6	Chr04	66339509	66339509	-4.793510475	female
TRINITY_DN133888_c1_g5_i1	NA	NA	NA	NA	-4.774988055	female
TRINITY_DN87264_c0_g1_i1	NA	NA	NA	NA	-4.738294752	female
TRINITY_DN93345_c0_g1_i1	NA	NA	NA	NA	-4.691235267	female
TRINITY_DN69144_c0_g1_i1	NA	NA	NA	NA	-4.679702687	female
TRINITY_DN90720_c0_g1_i1	NA	NA	NA	NA	-4.651680996	female
TRINITY_DN154814_c0_g1_i1	NA	NA	NA	NA	-4.634540437	female
TRINITY_DN127631_c8_g3_i1	ctu2	Chr04	60737862	60737862	-4.613070094	female
TRINITY_DN91825_c0_g1_i1	NA	NA	NA	NA	-4.605474092	female
TRINITY_DN127989_c2_g1_i1	samsn1	Chr02	22431665	22431665	-4.598748136	female
TRINITY_DN49280_c0_g1_i1	NA	NA	NA	NA	-4.591138356	female
TRINITY_DN123024_c0_g1_i1	LOC100496861	Chr08	57578898	57578898	-4.5488483	female
TRINITY_DN95196_c0_g3_i1	NA	NA	NA	NA	-4.525589238	female
TRINITY_DN133748_c2_g1_i1	NA	NA	NA	NA	-4.340770639	female
TRINITY_DN108200_c0_g1_i1	NA	NA	NA	NA	-4.136104052	female
TRINITY_DN120835_c1_g3_i1	NA	NA	NA	NA	-4.047080879	female
TRINITY_DN127864_c2_g3_i1	NA	NA	NA	NA	-3.961046221	female
TRINITY_DN135947_c1_g1_i1	NA	NA	NA	NA	-3.943671062	female
TRINITY_DN122021_c2_g12_i1	hoga1	Chr07	24794514	24794514	-3.686787126	female
TRINITY_DN123680_c0_g1_i1	NA	NA	NA	NA	-3.421407861	female
TRINITY_DN139125_c0_g1_i1	NA	NA	NA	NA	-3.374631625	female
TRINITY_DN125191_c6_g2_i1	NA	NA	NA	NA	-3.0897685	female
TRINITY_DN130680_c2_g1_i1	NA	NA	NA	NA	-3.035454858	female
TRINITY_DN132431_c2_g3_i1	NA	NA	NA	NA	-2.924226589	female
TRINITY_DN125863_c4_g1_i1	NA	NA	NA	NA	-2.590887365	female
TRINITY_DN130067_c1_g1_i1	shf	Chr03	86229697	86229697	-2.295335284	female
TRINITY_DN110034_c0_g2_i1	NA	NA	NA	NA	-2.233238278	female
TRINITY_DN121659_c3_g3_i2	NA	NA	NA	NA	-2.031693201	female
TRINITY_DN126288_c0_g1_i3	rdh10	Chr06	106259393	106259393	-1.911488103	female
TRINITY_DN81880_c0_g2_i1	NA	NA	NA	NA	-1.762682869	female
TRINITY_DN122389_c1_g3_i1	NA	NA	NA	NA	-1.751219217	female
TRINITY_DN115861_c0_g1_i2	LOC101731073	Chr07	95710986	95710986	-1.362468719	female
TRINITY_DN25753_c0_g2_i1	NA	NA	NA	NA	-1.326958093	female
TRINITY_DN114180_c0_g1_i1	NA	NA	NA	NA	-1.21562827	female
TRINITY_DN126888_c6_g3_i1	NA	NA	NA	NA	-1.201013211	female
TRINITY_DN130164_c2_g10_i1	NA	NA	NA	NA	-1.189590688	female
TRINITY_DN132667_c0_g6_i1	NA	NA	NA	NA	-1.154490611	female
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	-1.148994159	female
TRINITY_DN116526_c0_g1_i1	NA	NA	NA	NA	-1.11942321	female
TRINITY_DN127522_c0_g1_i1	NA	NA	NA	NA	-1.104148157	female
TRINITY_DN135864_c0_g1_i1	NA	NA	NA	NA	-1.068047997	female
