gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.224376941	unbias	0.48457286	Brain_mean
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	-0.247751654	unbias	0.156573961	G46_F_mean
TRINITY_DN100083_c0_g4_i1	iws1	Chr05	122139027	122139027	0.179773756	unbias	0.383917913	Brain_mean
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.720364736	unbias	0.455835556	Ovary_mean
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.60056626	unbias	0.408639329	Ovary_mean
TRINITY_DN100105_c0_g1_i1	ppp1r3c.2	Chr03	119934945	119934945	0.417282576	unbias	0.802280257	Brain_mean
TRINITY_DN100107_c0_g1_i1	ly75	Chr09	67919858	67919858	0.057612778	unbias	0.895237817	Brain_mean
TRINITY_DN100108_c0_g1_i1	LOC100485641	Chr02	135882898	135882898	-5.15880273	female	0.897177924	Ovary_mean
TRINITY_DN100115_c0_g1_i1	LOC100498169	Chr05	5380152	5380152	-0.044757728	unbias	0.459221931	Ovary_mean
TRINITY_DN100192_c0_g1_i2	NA	NA	NA	NA	0.444375619	unbias	0.665109688	Brain_mean
TRINITY_DN100194_c0_g1_i1	dner	Chr05	125518548	125518548	-0.179462298	unbias	0.780429458	Brain_mean
TRINITY_DN100194_c1_g2_i1	NA	NA	NA	NA	-0.146986572	unbias	0.785704593	Brain_mean
TRINITY_DN100230_c0_g1_i1	NA	NA	NA	NA	0.105588286	unbias	0.915841703	Brain_mean
TRINITY_DN100252_c0_g7_i1	fam46d	Chr08	43190824	43190824	0.081917927	unbias	0.659323317	Brain_mean
TRINITY_DN100260_c0_g2_i1	cdc16	Chr02	108267164	108267164	-0.056845661	unbias	0.250670296	Ovary_mean
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	-0.330896235	unbias	0.43879131	Brain_mean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	0.412333486	unbias	0.472032646	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.095478173	unbias	0.262335873	G46_M_mean
TRINITY_DN100295_c0_g1_i1	gins2	Chr04	67310826	67310826	-1.240374014	unbias	0.915814657	Brain_mean
TRINITY_DN100300_c0_g1_i1	nxph2	Chr09	76125906	76125906	2.000622619	unbias	0.375960092	Testis_mean
TRINITY_DN100348_c0_g1_i1	NA	NA	NA	NA	0.278376145	unbias	0.953598196	Brain_mean
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.527140121	unbias	0.315592516	G46_M_mean
TRINITY_DN100360_c0_g1_i1	mphosph6	Chr04	66339509	66339509	-4.793510475	female	0.915962441	Ovary_mean
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	0.017341149	unbias	0.378138338	Brain_mean
TRINITY_DN100411_c0_g3_i1	rspo3	Chr05	46662187	46662187	-0.635772005	unbias	0.519943513	Ovary_mean
TRINITY_DN100435_c0_g1_i1	LOC100490310	Chr02	146504622	146504622	-0.848429037	unbias	0.910424377	Brain_mean
TRINITY_DN100514_c0_g1_i1	NA	NA	NA	NA	0.35997615	unbias	0.923389315	Brain_mean
TRINITY_DN100549_c0_g1_i1	LOC100486041-like	Chr01	65671663	65671663	-0.096523723	unbias	0.380726878	Brain_mean
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	-0.112753898	unbias	0.156980954	Brain_mean
TRINITY_DN100617_c0_g1_i1	NA	NA	NA	NA	0.671895238	unbias	0.681578814	Brain_mean
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	-0.044793775	unbias	0.348450255	G23_mean
TRINITY_DN100637_c0_g1_i1	NA	NA	NA	NA	-0.187683599	unbias	0.604442649	Brain_mean
TRINITY_DN100638_c0_g2_i1	mertk	Chr05	38783057	38783057	0.134521501	unbias	0.194444628	Ovary_mean
