gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN100194_c0_g1_i1	dner	Chr05	125518548	125518548	-0.179462298	unbias	0.780429458	Brain_mean	0.0782	0.0539	0.6898
TRINITY_DN100260_c0_g2_i1	cdc16	Chr02	108267164	108267164	-0.056845661	unbias	0.250670296	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100348_c0_g1_i1	NA	NA	NA	NA	0.278376145	unbias	0.953598196	Brain_mean	0.0384	0.0638	1.659
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.527140121	unbias	0.315592516	G46_M_mean	0.072	0.0933	1.2961
TRINITY_DN100514_c0_g1_i1	NA	NA	NA	NA	0.35997615	unbias	0.923389315	Brain_mean	0.045	0.0447	0.9937
TRINITY_DN100638_c0_g2_i1	mertk	Chr05	38783057	38783057	0.134521501	unbias	0.194444628	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	ednrb2	Chr08	44124017	44124017	0.25251502	unbias	0.482394987	G27_mean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	plcxd3	Chr01	182748621	182748621	-0.180671364	unbias	0.568551038	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101292_c0_g1_i3	NA	NA	NA	NA	-0.104700202	unbias	0.903083267	Brain_mean	0.0589	0.0678	1.1513
TRINITY_DN101356_c0_g1_i1	pdcd6ip	Chr06	82552138	82552138	0.052898494	unbias	0.608105373	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	cyb561	Chr10	7711105	7711105	0.107111481	unbias	0.456256144	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	blmh	Chr02	24132124	24132124	-0.005117627	unbias	0.155105807	G23_mean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.034137587	unbias	0.246994246	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	fam172b	Chr02	101553638	101553638	0.421028978	unbias	0.42239493	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101798_c0_g1_i1	NA	NA	NA	NA	0.050596514	unbias	0.936289038	Brain_mean	0.0971	0.0987	1.0167
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.178326129	unbias	0.389206888	Brain_mean	0.0979	0.1516	1.5493
TRINITY_DN101821_c0_g1_i1	LOC100486705	Chr06	4999391	4999391	0.018594706	unbias	0.72321634	Brain_mean	0.1315	0.1055	0.8024
TRINITY_DN101903_c0_g2_i2	arhgef12	Chr07	87356877	87356877	0.186764247	unbias	0.437470329	Ovary_mean	0.1532	0.1723	1.1247
TRINITY_DN101930_c0_g4_i3	NA	NA	NA	NA	-0.616425525	unbias	0.94726948	Brain_mean	0.061	0.0665	1.0894
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	-0.252395773	unbias	0.411181266	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102026_c0_g1_i2	NA	NA	NA	NA	-0.149009481	unbias	0.532322044	Brain_mean	0.0728	0.1038	1.4255
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	0.130006048	unbias	0.403031814	Ovary_mean	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.081577353	unbias	0.253002842	Ovary_mean	0.0307	0.0444	1.4466
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.286516878	unbias	0.452032675	Ovary_mean	0.1384	0.2751	1.9882
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	0.120052827	unbias	0.278699067	Ovary_mean	0.0123	0.0161	1.3059
TRINITY_DN102198_c0_g1_i3	sec22b	Chr04	107751288	107751288	-0.312822541	unbias	0.893616742	Brain_mean	0.118	0.1657	1.4038
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	0.140905539	unbias	0.132303324	G23_mean	0.0769	0.1219	1.5862
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.107619197	unbias	0.175182122	Testis_mean	0.0704	0.1202	1.7079
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	-0.024275152	unbias	0.173678848	Ovary_mean	0.128	0.2116	1.6526
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	0.01293375	unbias	0.56214195	Brain_mean	0.0406	0.072	1.7709
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	-0.469534854	unbias	0.46905447	Liver_mean	0.1875	0.3205	1.7093
TRINITY_DN10248_c0_g1_i1	NA	NA	NA	NA	0.067851727	unbias	0.70559034	Brain_mean	0.1519	0.2049	1.349
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.497016595	unbias	0.198656899	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	-0.159147106	unbias	0.551779824	G23_mean	0.0467	0.0534	1.1438
TRINITY_DN102539_c0_g1_i1	hmx3	Chr07	11821120	11821120	0.105320603	unbias	0.261451474	Brain_mean	0.1183	0.1998	1.6879
TRINITY_DN102595_c0_g1_i2	NA	NA	NA	NA	0.254715214	unbias	0.575191016	G43_M_mean	0.0532	0.0718	1.3508
TRINITY_DN102921_c0_g1_i1	st3gal2.2	Chr10	34055145	34055145	0.031577035	unbias	0.893707367	Brain_mean	0.0435	0.0728	1.6749
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.085559822	unbias	0.135045065	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	0.160037553	unbias	0.328031285	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	-0.013531311	unbias	0.523378908	Brain_mean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	rab25	Chr08	111876972	111876972	-0.13244001	unbias	0.142706311	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	-0.480266556	unbias	0.632057413	G23_mean	0.1007	0.1285	1.2759
TRINITY_DN103526_c0_g1_i1	rnf38	Chr01	97731465	97731465	-0.010492424	unbias	0.601049357	Ovary_mean	0.0511	0.0908	1.7749
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	0.166712557	unbias	0.287912192	Ovary_mean	0.0579	0.1024	1.7679
TRINITY_DN103584_c0_g2_i1	ctdspl2	Chr03	115925040	115925040	1.584422594	unbias	0.597186521	G43_M_mean	0.0662	0.0951	1.4364
