gid	gname	chr	start	end	logFC.XYbrain.XXrain	abslogFC.XYbrain.Xxrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN93345_c0_g1_i1	NA	NA	NA	NA	-4.691235267	4.691235267	female	0.910157241	Ovary_mean	0.0035	0.0056	1.6231
TRINITY_DN132667_c0_g6_i1	NA	NA	NA	NA	-1.154490611	1.154490611	female	0.355032394	Ovary_mean	0.0217	0.0331	1.5287
TRINITY_DN130680_c2_g1_i1	NA	NA	NA	NA	-3.035454858	3.035454858	female	0.383889618	G43_M_mean	0.0748	0.0884	1.1821
TRINITY_DN129581_c0_g1_i5	NA	NA	NA	NA	-1.010344263	1.010344263	female	0.442304405	Ovary_mean	0.0441	0.0682	1.5481
TRINITY_DN127522_c0_g1_i1	NA	NA	NA	NA	-1.104148157	1.104148157	female	0.486239092	Ovary_mean	0.0651	0.116	1.7813
TRINITY_DN126288_c0_g1_i3	rdh10	Chr06	106259393	106259393	-1.911488103	1.911488103	female	0.596800995	G23_mean	0.1948	0.369	1.8946
TRINITY_DN125191_c6_g2_i1	NA	NA	NA	NA	-3.0897685	3.0897685	female	0.435764872	Ovary_mean	0.0193	0.0383	1.9865
TRINITY_DN120835_c1_g3_i1	NA	NA	NA	NA	-4.047080879	4.047080879	female	0.914751956	Ovary_mean	0.0234	0.0415	1.7709
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	-1.148994159	1.148994159	female	0.422673948	Ovary_mean	0.0352	0.0533	1.516
TRINITY_DN114180_c0_g1_i1	NA	NA	NA	NA	-1.21562827	1.21562827	female	0.278850344	G43_M_mean	0.111	0.1529	1.3777
TRINITY_DN136241_c3_g1_i3	NA	NA	NA	NA	1.421304814	1.421304814	male	0.221715296	G46_M_mean	0.0741	0.1405	1.8971
TRINITY_DN135896_c2_g3_i1	NA	NA	NA	NA	4.582599865	4.582599865	male	0.362221592	Brain_mean	0.0872	0.1279	1.4669
TRINITY_DN135618_c2_g1_i1	NA	NA	NA	NA	1.108788782	1.108788782	male	0.690615261	Brain_mean	0.0697	0.0782	1.1216
TRINITY_DN134429_c5_g1_i1	ap1m1	Chr01	79874854	79874854	1.290366018	1.290366018	male	0.523332041	Brain_mean	0.0836	0.1517	1.8149
TRINITY_DN133976_c2_g2_i1	NA	NA	NA	NA	1.513688472	1.513688472	male	0.401742159	Brain_mean	0.0114	0.0109	0.9614
TRINITY_DN132104_c0_g2_i3	NA	NA	NA	NA	2.34071268	2.34071268	male	0.401497079	G27_mean	0.112	0.2009	1.7936
TRINITY_DN130300_c0_g1_i3	NA	NA	NA	NA	3.075426879	3.075426879	male	0.827638809	Brain_mean	0.0402	0.0743	1.8468
TRINITY_DN129784_c1_g7_i1	NA	NA	NA	NA	3.046084984	3.046084984	male	0.375785353	G46_M_mean	0.1274	0.1851	1.4525
TRINITY_DN128095_c4_g3_i3	NA	NA	NA	NA	2.114446864	2.114446864	male	0.703016473	G23_mean	0.0251	0.034	1.3519
TRINITY_DN127055_c1_g7_i1	NA	NA	NA	NA	1.856764222	1.856764222	male	0.382437878	Testis_mean	0.067	0.0998	1.49
TRINITY_DN126719_c0_g1_i3	NA	NA	NA	NA	5.459715424	5.459715424	male	0.300923181	G46_F_mean	0.0935	0.1359	1.4538
TRINITY_DN125892_c0_g1_i1	NA	NA	NA	NA	2.368689197	2.368689197	male	0.571056827	Ovary_mean	0.1038	0.1752	1.6877
TRINITY_DN125115_c2_g1_i1	NA	NA	NA	NA	3.164948314	3.164948314	male	0.470093822	Brain_mean	0.1438	0.186	1.2934
TRINITY_DN123918_c0_g2_i1	NA	NA	NA	NA	2.568553796	2.568553796	male	0.652741709	G27_mean	0.1413	0.2209	1.5631
TRINITY_DN123054_c2_g2_i2	NA	NA	NA	NA	1.290972973	1.290972973	male	0.505718244	Brain_mean	0.1098	0.2139	1.9484
TRINITY_DN122261_c0_g1_i1	NA	NA	NA	NA	3.065248281	3.065248281	male	0.828539198	Brain_mean	0.0976	0.1693	1.7336
TRINITY_DN122118_c0_g1_i1	NA	NA	NA	NA	1.597235125	1.597235125	male	0.457883973	Brain_mean	0.0718	0.0651	0.9073
TRINITY_DN122025_c0_g1_i3	mturn	Chr06	72716999	72716999	1.244302844	1.244302844	male	0.490070409	Ovary_mean	0.0813	0.1061	1.3045
TRINITY_DN121505_c1_g3_i1	NA	NA	NA	NA	1.511752127	1.511752127	male	0.448121115	Ovary_mean	0.0536	0.0933	1.7418
TRINITY_DN120979_c0_g1_i3	NA	NA	NA	NA	1.507545183	1.507545183	male	0.261258484	Brain_mean	0.0629	0.099	1.5747
