gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	Am2_463	Am2_464	Am4_461	Am6_462	Am6_464
TRINITY_DN100099_c0_g1_i1	cln6	Chr03	116488040	116488040	2.745821719019	-0.556293979537052	0.250613273203543	0.356687877725657	3.03739868159449	3.51179959199899	2.0985347250357	2.24440866474188	2.39969601033135
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	0.646684933849639	0.432654917620634	0.490318345801947	0.589972533086303	1.22231853640655	0.507487517066256	0.931824632242106	0.106675916241595	0.330584379704044
TRINITY_DN100115_c0_g1_i1	cenpm	Chr04	105778900	105778900	4.6606656855007	-1.67934860389594	2.24159055019356e-07	2.24932738324927e-06	3.69344783633511	5.46825857782897	3.3729643031286	4.10206154217572	5.37547017434088
TRINITY_DN100194_c0_g1_i1	vax2	Chr01	8250217	8250217	2.55913316950037	0.763497321665748	0.0911413078661269	0.16433239167213	2.46654105630183	2.1462580659324	2.64123832426473	3.20777549885008	1.9992859014067
TRINITY_DN100230_c0_g1_i1	LOC100485082	Chr06	133846472	133846472	1.602842042959	1.71463695514065	0.00394218004107689	0.0141826189638342	1.14107670472568	0.507487517066256	2.16745604693881	2.4796352682826	0.398812877242101
TRINITY_DN100260_c0_g2_i1	ncbp2	Chr05	97976339	97976339	5.98247571474577	-1.08373076041301	2.49906603247946e-05	0.000174902103522326	5.45044880983761	6.57968418256881	5.22202952339583	5.64534913106064	6.47990887397562
TRINITY_DN100287_c0_g2_i1	inmt	Chr07	73890622	73890622	8.43655763442094	0.757466374864264	0.0117825530871964	0.0338776281162441	8.66777895870199	7.91500435312016	8.43525731187437	8.93525386372936	7.95822810556627
TRINITY_DN100358_c0_g1_i1	LOC100486229	Chr08	87767206	87767206	5.10726874296736	0.648160967285569	0.0207254451194465	0.053131704087854	5.44199374535455	4.64261678973854	5.2619731035509	5.29068247114464	4.72960734915859
TRINITY_DN100376_c0_g1_i1	LOC100492536	Chr08	50375420	50375420	5.0630195316679	0.207169325454717	0.536773859521367	0.630785494174066	4.79478530551129	4.50772240677417	5.50326021086762	5.02939851238642	5.26098894354521
TRINITY_DN100418_c0_g1_i1	clec2d	Chr07	2179298	2179298	1.49991926075073	1.26147897210187	0.0663789107931326	0.129966862650478	2.46654105630183	1.00232495294225	0.273983330869831	2.19719178359385	0.398812877242101
TRINITY_DN100638_c0_g2_i1	srp54	Chr08	89146521	89146521	7.72002288965819	-0.238802160450285	0.361195358841683	0.469795680435403	7.60064410183045	7.97014596265713	7.63790677360611	7.62020504333827	7.73763919852539
TRINITY_DN100835_c0_g1_i1	Xetrov90013145m	Chr05	14816595	14816595	4.78426472614398	0.906096863059044	0.00453056169472132	0.0158437100618067	5.0045412906908	3.8969054749558	5.23813990575657	4.98838239818161	4.41234848983002
TRINITY_DN101042_c0_g2_i1	clpx	Chr03	117918294	117918294	4.08721606186146	-1.25940039671332	0.000655032235639246	0.00315689146898359	3.42831109905332	5.11573053361443	3.40185587602596	3.52704542270046	4.13075055805359
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	3.70300724396839	-2.42671459977108	8.49260325503486e-09	1.06226666528384e-07	1.50804668974778	4.5620189624299	1.94995118096747	2.918572586343	4.74279330513376
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	7.68393912532261	-11.2582971640676	2.29594602240489e-139	1.23487456815047e-135	-1.26243443210076	8.95847997700228	-1.73200852749563	-1.3577930032384	9.04716898285712
TRINITY_DN101150_c0_g2_i1	esrra	Chr04	39939444	39939444	5.04184713921035	0.277886631313144	0.452887490403474	0.556194854922955	5.39019556704551	5.35663678287626	4.78368224726412	5.20675002326254	4.14571904860402
TRINITY_DN101193_c0_g1_i1	LOC100489217-like	Chr10	20091650	20091650	3.56334797964013	0.264058182902499	0.476769719536491	0.577871760344116	3.9653292521896	3.46190204882952	3.63873699086032	3.3331924751911	3.34325373310489
TRINITY_DN101232_c0_g1_i1	scn3b	Chr07	54900494	54900494	3.39523166811574	0.512441699382886	0.1780514079889	0.274463451077081	3.44533169135912	2.81644020511978	3.55546999301601	3.71477168281487	3.28134458579987
TRINITY_DN101247_c0_g3_i1	chst7	Chr02	111324143	111324143	0.622373795148914	-0.0371551632232604	0.95582912413689	0.969163341346077	0.865666121313463	1.13560717323447	0.983708150364784	-0.238052310464674	0.0199478493284536
TRINITY_DN101292_c0_g1_i3	c16orf45	Chr09	28224425	28224425	1.10969364998633	0.611627294768815	0.279250773746115	0.387100589328216	1.29922829987063	1.07050466238323	1.08219220482458	1.5398221019879	0.398812877242101
TRINITY_DN101326_c0_g1_i1	itgb1bp2	Chr08	23058002	23058002	2.62172167111153	0.726876808180581	0.144404126619178	0.233083990583036	3.24605477969307	2.62567756019792	2.91951279109399	2.33444494400678	1.53695873321086
TRINITY_DN101356_c0_g1_i1	purg	Chr01	78613871	78613871	3.36620201332959	-2.11082394007189	1.30352526273723e-07	1.35740767195202e-06	1.69042676819638	4.49537387975019	2.41428713143245	2.26744997420358	3.94927457036732
TRINITY_DN101361_c0_g1_i2	cyp46a1-like.1	Chr08	65160881	65160881	4.78390733779946	0.662869529884196	0.0400782464746375	0.0880738911803218	5.04975942891257	4.33830768406649	5.29057781856739	4.62344757464015	4.37048571632677
TRINITY_DN101457_c0_g1_i1	asnsd1-like	Chr09	39386717	39386717	6.1949197356717	-1.35834462710364	1.23611226153193e-07	1.29346883242207e-06	5.50423095508802	6.97385805224977	5.30084050365981	5.65848224648998	6.71634406922414
TRINITY_DN101488_c0_g2_i2	pdcl3	Chr02	106708785	106708785	6.24611054151878	-0.0233543129046878	0.924403270428252	0.946668505330989	6.3267126176349	6.28012304131502	6.10346597287536	6.27212666531683	6.23946424157483
TRINITY_DN101542_c0_g1_i1	rps6kb1	Chr02	87418446	87418446	7.34084553086311	-0.533038644227268	0.0337309676962727	0.0772995354726897	7.07076768223193	7.68764542697738	7.09883471245068	7.14016383563009	7.5831021764554
TRINITY_DN101610_c0_g2_i1	s100a11	scaffold_281	155613	155613	9.21653621145197	0.916283604354237	0.00822322772217624	0.0254699857781312	9.68461626414047	8.50080412045257	9.1593191210623	9.65018929672085	8.69467795284664
TRINITY_DN101728_c0_g2_i1	lrrc20	Chr07	32617150	32617150	7.29584245577123	1.29615600423565	1.72602362478964e-05	0.000125086176724439	7.32296160868314	6.32268014913277	7.57376055349402	8.06114342844673	6.45708956321473
TRINITY_DN101751_c0_g1_i1	ssna1	Chr08	103347	103347	4.40602954239115	-2.73129505979129	1.38238616266724e-15	3.51544396023912e-14	2.65391295288547	5.62949983273703	2.45161183306112	3.00336604077373	5.19055940236542
TRINITY_DN101809_c0_g1_i2	LOC101732244	Chr05	59159234	59159234	4.3097985680772	1.01947876517291	0.00433823653043371	0.0153105020859171	4.26283179681631	3.41021671445265	4.96562721150476	4.58269265338691	3.80587159405631
TRINITY_DN101821_c0_g1_i1	cbln2	scaffold_21	2082425	2082425	3.17026573415593	0.481201455757014	0.261733286822803	0.368371708275925	3.41108730186882	2.29616143705443	3.49418475883652	3.09637701279714	3.26315708730842
TRINITY_DN101833_c0_g1_i1	ier2	Chr03	129491240	129491240	6.49770336824725	-0.656311319343643	0.202295395539532	0.303457198412878	7.1416620702738	7.17113196934057	4.53688126015908	5.81914994657599	6.45107685954505
TRINITY_DN101895_c0_g1_i1	LOC100498557	scaffold_2562	2638	2638	2.60579956762164	0.73114894062984	0.0936871204897138	0.167909422710405	2.92054148759453	1.82956594577223	2.70444870634314	2.93305545394165	2.3829493112287
TRINITY_DN101903_c0_g2_i2	rnft1	Chr02	87452051	87452051	5.26328127732863	-0.394515437918538	0.161356865491393	0.254205594916654	5.038587067479	5.67947655150092	5.08622860826704	5.1489876639318	5.26556421844215
TRINITY_DN101966_c0_g1_i1	sla2	Chr10	34939460	34939460	1.7612420527921	1.07989989939448	0.0511667721371122	0.106255013104038	1.69042676819638	1.31494982202134	1.69373165395368	2.6471141903063	0.802997409975657
TRINITY_DN102026_c0_g1_i2	gjb7	Chr05	87154347	87154347	3.34602070953346	1.12546940382713	0.0044636892346398	0.0156607648718266	3.63530353998442	2.32435973258059	3.56401631266403	3.87336923695745	2.80366481114445
TRINITY_DN102065_c0_g1_i1	uck2	Chr04	108945411	108945411	6.96796885283923	-1.88896226778466	4.80396192739642e-12	8.48542174926162e-11	6.03504212080034	7.94709531108542	5.54270994079556	6.09830076630461	7.63175747173315
TRINITY_DN102078_c0_g1_i1	adsl	Chr04	111381918	111381918	6.91087543043904	-0.723965588385816	0.00495019268942399	0.016926008506082	6.77844394280587	7.18080372067518	6.56490442594466	6.3591610020272	7.40896991363011
TRINITY_DN102094_c0_g3_i1	neurod6	Chr06	26805528	26805528	3.39394189593672	0.0926290081981519	0.821328067296214	0.868474141202573	3.42831109905332	2.77617490377418	3.63873699086032	3.18375299638048	3.72844448135135
TRINITY_DN102159_c0_g1_i2	Xetrov90012386m	Chr04	109890106	109890106	8.54347180567805	0.84667503235826	0.00630811992396656	0.0206266350293891	8.94035489928644	7.82843449859298	8.9648930141284	8.53194275165157	8.11539232895586
TRINITY_DN102162_c0_g1_i1	LOC100486925-like	Chr09	18751230	18751230	5.92171690215173	-0.543473170992693	0.0436548938340445	0.0940319769669236	5.78725306458789	6.0546271657631	5.35601630717421	5.85000617651697	6.36947977176562
TRINITY_DN102167_c0_g1_i2	ccdc6	Chr07	8097857	8097857	6.72402287912276	-0.362465165970555	0.142710180482241	0.231055600759702	6.63930461146279	7.03911681685394	6.47486520973688	6.58573884692784	6.81249744537363
TRINITY_DN102186_c0_g1_i2	LOC100488185	scaffold_5850	707	707	8.72694749687639	1.00116171504766	0.00441900089475521	0.0155496214016623	9.35827258312481	7.61388276447439	8.7912904301535	8.93705130269116	8.38139920801348
TRINITY_DN102193_c0_g2_i1	nkiras2	Chr10	2283277	2283277	4.56246345731391	0.34724466072697	0.258117926243151	0.364427685076463	4.54136416950816	4.30331697465144	4.66555284338495	4.84640454718072	4.38737687136041
TRINITY_DN102252_c0_g2_i1	ccdc39	Chr05	95583263	95583263	4.59408678025215	0.621332084738826	0.0752868272977346	0.142933357084668	5.01027167409496	3.79982492922276	4.46112234205953	4.91367267321597	4.49649473176737
TRINITY_DN102271_c0_g3_i1	srcrb4d	Chr02	90251249	90251249	0.228665932124694	0.638161257541587	0.39635766412595	0.503795272716866	1.05498550033533	0.507487517066256	-0.340049126112875	0.466637357830276	-0.924883107286729
TRINITY_DN102272_c0_g1_i1	dmap1	Chr04	82690214	82690214	4.95823978609968	-1.2077642135664	0.000208280183880544	0.00117056945559196	4.60333757342852	5.85646007107131	3.94388525274177	4.44294363807554	5.17605130243473
TRINITY_DN102276_c0_g1_i1	adam28	Chr03	106784533	106784533	4.66246987575412	0.685539722511723	0.0927950550478664	0.166615991846086	4.28190742916581	3.66298816967729	4.74662241003039	5.42482991540505	4.60877999097318
TRINITY_DN102279_c0_g1_i1	cars	scaffold_1089	131	131	6.99127737238349	0.132890836421432	0.594838709103354	0.682890074047468	7.10330302114289	6.8177279300523	7.01560728102363	7.00874205369741	6.99645459459071
TRINITY_DN102288_c0_g1_i1	mboat1	Chr06	47429669	47429669	3.09211838373702	-0.321753488822443	0.434642246706564	0.538922193878661	2.9446824336173	2.81644020511978	2.80881116170044	3.09637701279714	3.60390693056447
TRINITY_DN102312_c0_g1_i1	ag1	Chr09	55633147	55633147	6.70629989247855	0.163021118029299	0.539225085997337	0.632644240895221	7.06939598962854	6.64122703320023	6.60168816380286	6.58573884692784	6.57051533493072
TRINITY_DN102326_c0_g6_i1	Xetrov90015728m	Chr06	20798284	20798284	3.81018458090101	0.830826031519855	0.0798507986653096	0.148950959459122	2.84559595052865	3.18269353752267	4.15660083887956	4.67605615304778	3.33457056637555
TRINITY_DN102393_c0_g1_i1	Xetrov90003677m	Chr01	185960157	185960157	4.7723268624897	0.418031450898671	0.199441269974577	0.300180459090041	4.82110505608955	4.09813419701448	5.03796429958067	4.90635146457422	4.82258242227399
TRINITY_DN102400_c0_g1_i1	mrpl22	Chr03	10915763	10915763	5.78100378075226	-0.4393157981569	0.0822627062800797	0.152123075718552	5.55215710797703	5.92481752927185	5.54702739039362	5.6650042421644	6.12201356882562
TRINITY_DN102455_c0_g1_i1	tprg1-like	Chr05	100117567	100117567	5.4512252934733	0.0803298678311093	0.762278296419875	0.82220271077796	5.47965730897603	5.38368826891771	5.5832132278312	5.37796093221002	5.42129707943971
TRINITY_DN102459_c0_g1_i1	stk32a	Chr03	34227746	34227746	2.25292218756911	1.42571546771884	0.00235163445834108	0.0092424303501553	2.43280230808693	1.19789830174927	2.6889038510438	2.82848252818486	1.3770246812757
TRINITY_DN102469_c0_g1_i1	themis2	Chr02	53702359	53702359	2.50392420683713	0.876219537340425	0.0871566307491371	0.159148510773802	1.85231707833524	1.6629038048015	3.28264688339507	2.82848252818486	2.1454558233519
TRINITY_DN102493_c0_g1_i1	gclc	Chr05	114371420	114371420	6.47601678961869	0.233215576509752	0.493117759943371	0.592347040057045	6.11699469275213	6.37753790365996	7.20305290986347	6.06581045974967	6.28524434714474
TRINITY_DN102496_c0_g1_i1	st13	Chr04	105911538	105911538	8.45856967939965	-0.411216598171757	0.143455109243096	0.231947483861112	8.38202034418918	8.70796707797919	8.18954674090903	8.26164196954183	8.67353104500285
