gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	3.70300724396839	-2.42671459977108	8.49260325503486e-09	1.06226666528384e-07
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	7.68393912532261	-11.2582971640676	2.29594602240489e-139	1.23487456815047e-135
TRINITY_DN101356_c0_g1_i1	purg	Chr01	78613871	78613871	3.36620201332959	-2.11082394007189	1.30352526273723e-07	1.35740767195202e-06
TRINITY_DN101751_c0_g1_i1	ssna1	Chr08	103347	103347	4.40602954239115	-2.73129505979129	1.38238616266724e-15	3.51544396023912e-14
TRINITY_DN102559_c0_g2_i1	LOC100485278	Chr10	24700728	24700728	4.66585949686792	-2.28268441936058	3.35984923926077e-08	3.81243652602617e-07
TRINITY_DN102581_c0_g1_i2	xkr5	scaffold_13	875624	875624	2.65489922739628	-3.23297856767142	8.96953685352704e-13	1.73847401681784e-11
TRINITY_DN103621_c0_g1_i2	parpbp	Chr03	39656922	39656922	4.76795261727836	-2.82818585643648	5.41421719071332e-15	1.30292470515667e-13
TRINITY_DN103622_c0_g3_i3	rcor2	Chr04	40885768	40885768	5.46365776128845	-2.39118779571411	1.2009348829061e-15	3.07582298462403e-14
TRINITY_DN103637_c0_g3_i1	tcf19	Chr08	52757611	52757611	6.2270038290351	-5.98453899095458	4.54945886909726e-54	5.20622649519992e-52
TRINITY_DN103690_c0_g1_i1	cldn2	Chr08	16730244	16730244	4.92711639077346	2.05405818597008	5.10550891876398e-06	4.16375734944231e-05
TRINITY_DN103698_c0_g1_i1	kctd15	Chr04	19757914	19757914	2.02770532580715	2.70302218287449	2.70866856894245e-06	2.32539088556376e-05
TRINITY_DN103704_c0_g1_i1	LOC594890	Chr08	106161888	106161888	0.711654035650152	-2.90863349258267	6.77684551160615e-06	5.37996510467508e-05
TRINITY_DN103741_c0_g1_i2	psmc3ip	Chr10	23148035	23148035	4.17713543298563	-3.61665922212743	4.20094097478784e-20	1.47197140279455e-18
TRINITY_DN103838_c0_g1_i1	kpna7	Chr09	38771710	38771710	7.36292697928853	-6.3859341731372	9.52248632184135e-61	1.24918762639082e-58
TRINITY_DN103860_c0_g1_i1	ska3	Chr02	154712760	154712760	5.08250967774527	-2.84515826980806	3.38805563727547e-23	1.38575340266814e-21
TRINITY_DN104136_c0_g1_i1	not	Chr01	10478571	10478571	0.843001359285647	-5.86842547950902	5.96905532404022e-12	1.0423559759854e-10
TRINITY_DN104207_c0_g1_i1	LOC100487349	Chr06	61545114	61545114	1.85146411332538	-3.40397989182393	1.39048523680916e-07	1.44098744627709e-06
TRINITY_DN104496_c0_g2_i1	LOC100498003	Chr03	22984987	22984987	1.97475655172628	-2.84277373396286	2.03284756010629e-08	2.39510856561482e-07
TRINITY_DN105440_c0_g1_i1	kcnq1-like	Chr04	15895945	15895945	4.88251494891113	-3.80598552581606	2.02020491323482e-30	1.27083884512672e-28
TRINITY_DN105578_c0_g1_i1	ipmk	Chr07	7302223	7302223	2.50373806439684	-4.46825395718404	7.52320372669159e-15	1.7904226214164e-13
TRINITY_DN105601_c0_g1_i1	exd2	Chr08	89479970	89479970	7.49459120027222	-4.74820604001249	2.60823999954573e-56	3.11742640834594e-54
TRINITY_DN105624_c0_g1_i1	mkrn3	Chr02	77298584	77298584	4.61523825113987	-10.6240685990501	9.57509140704109e-71	1.77584928044036e-68
TRINITY_DN105647_c0_g2_i1	ccnb1	Chr01	173679416	173679416	7.77159656815907	-11.5670798508365	2.18277294230197e-137	5.87002213508558e-134
TRINITY_DN107450_c0_g3_i2	c2orf44	Chr05	141414975	141414975	4.60058641571199	-2.19801998157732	1.24802652540697e-12	2.36772863030031e-11
TRINITY_DN107632_c0_g1_i1	tex12	Chr07	74053815	74053815	0.858313974599399	-3.02636891712947	4.22279149354646e-06	3.49688745928247e-05
TRINITY_DN107704_c0_g1_i1	LOC100145419	scaffold_316	44694	44694	4.40535113608013	-2.09193855834494	0.000831236302864573	0.00386413522468203
TRINITY_DN108203_c0_g2_i1	LOC100492274-like	Chr06	111228792	111228792	2.52766076413899	2.10658706151392	2.15980966713721e-05	0.000153556329077296
TRINITY_DN108305_c0_g1_i1	cdh23-like.1	Chr07	41437428	41437428	0.460165880316219	-5.41853667579037	4.65512816864988e-10	6.73053947717295e-09
TRINITY_DN108305_c0_g2_i1	LOC101730685	Chr07	50819201	50819201	0.351870303164113	-4.02326170794023	2.45622206439828e-07	2.45098151639446e-06
TRINITY_DN108566_c0_g3_i1	gkn1.2	Chr03	111426207	111426207	6.56941785873052	-2.20736444269101	0.0147677352900694	0.0404112257734105
TRINITY_DN108653_c0_g1_i2	haus4	Chr01	127979292	127979292	5.4230677625887	-2.67948349271835	2.17662218708812e-22	8.54522805346966e-21
TRINITY_DN108668_c0_g1_i1	LOC100497969-like	Chr03	334904	334904	2.08845255249937	-4.5720064780381	5.48355237519255e-16	1.45287125369326e-14
TRINITY_DN108932_c0_g1_i1	ell2	Chr01	172702126	172702126	7.43787671847318	-2.22019693332605	2.67902204243269e-14	6.10555934543398e-13
TRINITY_DN109077_c0_g1_i1	ahi1-like	Chr05	34396335	34396335	2.95592169574036	-2.51390069991318	1.1228998062566e-05	8.47998269561502e-05
TRINITY_DN109275_c0_g1_i1	wdr36	Chr01	135270707	135270707	7.0198584227564	-2.65090916539018	1.71780527851153e-25	8.1045751670827e-24
TRINITY_DN109308_c0_g1_i1	LOC100486185	Chr02	143976998	143976998	3.15192179070676	-2.43765184311204	1.14191780939948e-09	1.589082778229e-08
TRINITY_DN109541_c0_g2_i1	knstrn-like	Chr08	94357028	94357028	5.22386201174005	-3.36363931668682	7.56192157213989e-28	4.0469447936074e-26
TRINITY_DN109596_c0_g1_i1	cyp26a1	Chr07	17008567	17008567	6.24212279562838	-7.50101137516356	2.98729518388025e-91	1.10808049286206e-88
TRINITY_DN109646_c1_g1_i3	Xetrov90001894m	Chr01	97375445	97375445	6.70198820767667	-4.1571251111532	6.06281195434036e-50	6.15261020687163e-48
