gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	Am2_463	Am2_464	Am4_461	Am6_462	Am6_464	average	ward.D
TRINITY_DN100115_c0_g1_i1	cenpm	Chr04	105778900	105778900	4.6606656855007	-1.67934860389594	2.24159055019356e-07	2.24932738324927e-06	3.69344783633511	5.46825857782897	3.3729643031286	4.10206154217572	5.37547017434088	1	1
TRINITY_DN100230_c0_g1_i1	LOC100485082	Chr06	133846472	133846472	1.602842042959	1.71463695514065	0.00394218004107689	0.0141826189638342	1.14107670472568	0.507487517066256	2.16745604693881	2.4796352682826	0.398812877242101	2	2
TRINITY_DN100260_c0_g2_i1	ncbp2	Chr05	97976339	97976339	5.98247571474577	-1.08373076041301	2.49906603247946e-05	0.000174902103522326	5.45044880983761	6.57968418256881	5.22202952339583	5.64534913106064	6.47990887397562	1	1
TRINITY_DN100287_c0_g2_i1	inmt	Chr07	73890622	73890622	8.43655763442094	0.757466374864264	0.0117825530871964	0.0338776281162441	8.66777895870199	7.91500435312016	8.43525731187437	8.93525386372936	7.95822810556627	2	2
TRINITY_DN100835_c0_g1_i1	Xetrov90013145m	Chr05	14816595	14816595	4.78426472614398	0.906096863059044	0.00453056169472132	0.0158437100618067	5.0045412906908	3.8969054749558	5.23813990575657	4.98838239818161	4.41234848983002	2	2
TRINITY_DN101042_c0_g2_i1	clpx	Chr03	117918294	117918294	4.08721606186146	-1.25940039671332	0.000655032235639246	0.00315689146898359	3.42831109905332	5.11573053361443	3.40185587602596	3.52704542270046	4.13075055805359	1	1
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	3.70300724396839	-2.42671459977108	8.49260325503486e-09	1.06226666528384e-07	1.50804668974778	4.5620189624299	1.94995118096747	2.918572586343	4.74279330513376	1	1
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	7.68393912532261	-11.2582971640676	2.29594602240489e-139	1.23487456815047e-135	-1.26243443210076	8.95847997700228	-1.73200852749563	-1.3577930032384	9.04716898285712	1	1
TRINITY_DN101356_c0_g1_i1	purg	Chr01	78613871	78613871	3.36620201332959	-2.11082394007189	1.30352526273723e-07	1.35740767195202e-06	1.69042676819638	4.49537387975019	2.41428713143245	2.26744997420358	3.94927457036732	1	1
TRINITY_DN101457_c0_g1_i1	asnsd1-like	Chr09	39386717	39386717	6.1949197356717	-1.35834462710364	1.23611226153193e-07	1.29346883242207e-06	5.50423095508802	6.97385805224977	5.30084050365981	5.65848224648998	6.71634406922414	1	1
