gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	Am1_434	Am2_433	Am2_434	Am4_434	Am4_435	Am5_433	average	ward.D
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	4.35415375258102	-5.90557025443323	1.67569101793281e-10	2.00133363908442e-07	-0.876947403664142	6.32516829123085	0.64374316893335	-1.83403926062868	5.06845898731063	2.84553387396361	1	1
TRINITY_DN103838_c0_g1_i1	kpna7	Chr09	38771710	38771710	3.82096439206766	-4.06598039150564	1.31536319032436e-08	4.98946419178779e-06	1.2355607049645	5.52936497428806	1.06689904655869	-0.524573457496502	4.68733136817318	3.02848201163895	1	1
TRINITY_DN105624_c0_g1_i1	mkrn3	Chr02	77298584	77298584	1.94148008203655	-5.35353150410895	5.10713971610294e-09	2.04432473333634e-06	-2.25639531357062	3.82041576962518	-1.39996828493404	-1.5162533131873	2.69417124228776	1.00349046370347	1	1
TRINITY_DN105647_c0_g2_i1	ccnb1	Chr01	173679416	173679416	4.35821659211097	-6.716540538543	3.29538609027481e-11	5.90368418072733e-08	-1.28479640214261	6.40608945175213	-0.230543873264468	-1.83403926062868	5.07888807921882	1.82517923706166	1	1
TRINITY_DN109666_c0_g1_i1	avd.2	Chr10	36014201	36014201	4.94617208603821	-5.87836283624476	6.07618045061423e-08	1.97917768677734e-05	-1.85548847125019	6.69980832166141	1.60486731827344	-2.81350505622665	5.48392996304473	5.05940000796547	1	1
TRINITY_DN109929_c0_g1_i1	LOC734032-like	Chr02	150276350	150276350	3.31223626495338	-5.00780950442762	8.92201606122644e-12	2.39756876605308e-08	-0.70942655081906	4.73369618475176	0.340867087561069	-1.83403926062868	4.39770151168076	3.33672395160894	1	1
TRINITY_DN110103_c0_g1_i1	vegt	Chr01	144396774	144396774	2.30544557946322	-4.49815864560845	4.54519975506969e-07	9.9706841157641e-05	-1.85548847125019	4.22076113883403	-0.446207962330104	-0.675649717387556	3.00974331963393	0.881962027739698	1	1
TRINITY_DN110679_c0_g1_i1	LOC100145154	Chr01	116802093	116802093	2.08286428704847	-5.9313347172482	3.76374941870435e-09	1.79139434487521e-06	-2.25639531357062	3.85300268615376	-1.19063666839928	-2.81350505622665	3.14492860387243	0.817129968373785	1	1
TRINITY_DN111028_c0_g1_i1	btg4	Chr07	75092716	75092716	3.32785267113671	-6.395834166261	3.83310725947807e-09	1.79139434487521e-06	-2.25639531357062	5.35072805050171	-0.446207962330104	-2.81350505622665	4.01335120532848	1.49296510886118	1	1
TRINITY_DN111232_c1_g1_i1	LOC100491633	Chr06	134400774	134400774	1.10070336461845	-4.0009952984862	2.9971854853269e-05	0.00429556623757051	-1.06650730862743	2.64942333830566	-1.00786537936078	-2.81350505622665	2.28966527120293	-0.199104563429725	1	1
