gid	gname	chr	chrone	start	end	logCPM	logFC.XY46.SR46	PV.XY46.SR46	FDR.XY46.SR46	Am2_463	Am4_461	Am5_461	Am6_462
TRINITY_DN100132_c0_g1_i2	gnb1l	Chr01	Chr01	146232743	146232743	1.370361536	0.848673252	0.155639385	0.999859762	1.654321972	1.596026645	0.722473006	1.367388461
TRINITY_DN100376_c0_g2_i1	secisbp2	Chr01	Chr01	125667448	125667448	3.33302431	0.953162395	0.034541902	0.999859762	3.36259388	3.655156837	2.575374101	3.521434401
TRINITY_DN101150_c0_g1_i1	Xetrov90000522m	Chr01	Chr01	20771304	20771304	3.662513569	1.010901349	0.049992778	0.999859762	4.387532558	3.510016394	2.853983757	3.497437027
TRINITY_DN101739_c1_g1_i2	cfi	Chr01	Chr01	59181768	59181768	2.226968441	-0.16780033	0.751235807	0.999859762	1.565551665	2.497589414	2.348097322	2.301269684
TRINITY_DN101950_c0_g1_i1	anapc5	Chr01	Chr01	153780797	153780797	2.626240433	-0.181328852	0.702341041	0.999859762	2.761164677	2.66020317	2.757484504	2.278919421
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	Chr01	42692844	42692844	4.9747564	0.103559612	0.821883677	0.999859762	5.476912829	4.848257978	4.896444279	4.509242522
TRINITY_DN103557_c0_g3_i1	c12orf49	Chr01	Chr01	156092901	156092901	2.091700451	0.266430022	0.661330592	0.999859762	2.826296124	1.526690266	1.895922872	1.818507485
TRINITY_DN103567_c0_g1_i1	enpep	Chr01	Chr01	58901065	58901065	6.806166779	-0.095093031	0.838775932	0.999859762	6.716276204	6.72708698	6.876829898	6.894832964
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	Chr01	21109905	21109905	2.25040108	0.337689093	0.512537393	0.999859762	2.178009102	2.610803601	1.995991613	2.13701842
TRINITY_DN103929_c0_g1_i1	Xetrov90002887m	Chr01	Chr01	143564540	143564540	0.661666422	0.976193672	0.212927188	0.999859762	0.026921425	0.513216616	-0.076523957	1.527627241
TRINITY_DN104233_c0_g1_i1	rplp0	Chr01	Chr01	143013157	143013157	-0.007931125	-0.318445968	0.650929695	0.999859762	-0.380117625	0.280298971	0.200148312	-0.322962409
TRINITY_DN105273_c0_g1_i2	fabp1	Chr01	Chr01	15230089	15230089	2.049087269	0.676868406	0.21236342	0.999859762	2.546019113	1.900091961	1.529211483	2.073509987
TRINITY_DN105777_c1_g1_i1	hnf1a	Chr01	Chr01	143451549	143451549	1.515846235	-0.327074508	0.552158326	0.999859762	1.764776268	1.377141068	1.745908155	1.087740284
TRINITY_DN106060_c0_g1_i1	LOC101733704	Chr01	Chr01	143633503	143633503	1.334177175	-0.252169182	0.658901035	0.999859762	1.565551665	0.996134266	1.512412829	1.210909176
TRINITY_DN106470_c0_g3_i1	tmem259	Chr01	Chr01	81416115	81416115	0.995094367	0.040219809	0.948977549	0.999859762	0.543141518	1.296120428	0.964008862	1.035369335
TRINITY_DN106615_c0_g1_i1	tcf3	Chr01	Chr01	79654994	79654994	2.081503062	0.265627251	0.597803305	0.999859762	2.217391043	2.116116164	1.882911765	2.099249803
TRINITY_DN106825_c0_g1_i1	ficd	Chr01	Chr01	133833076	133833076	1.517661901	-3.217924593	2.17E-09	1.83E-06	-0.636785047	0.362188136	3.064533611	-0.131183251
TRINITY_DN106899_c0_g2_i1	psmd9	Chr01	Chr01	153494616	153494616	0.842183849	-0.517091927	0.403646811	0.999859762	0.718076723	0.996134266	1.192099832	0.282337637
TRINITY_DN107178_c0_g3_i1	cnn1	Chr01	Chr01	81171220	81171220	5.165095899	-0.006302932	0.987468175	0.999859762	5.106656011	5.104692181	5.169858257	5.27227491
TRINITY_DN107234_c0_g1_i1	denr	Chr01	Chr01	152957959	152957959	2.006484963	-0.314159049	0.517479005	0.999859762	1.916057766	1.980080931	2.22976324	1.864262123
TRINITY_DN107522_c0_g2_i2	abcg2	Chr01	Chr01	69819146	69819146	5.066718427	-0.302212889	0.469347718	0.999859762	4.607288997	4.951076471	5.286840369	5.308585049
TRINITY_DN107751_c0_g1_i1	gatsl3	Chr01	Chr01	131983209	131983209	4.669779309	0.147080264	0.708402474	0.999859762	4.554446987	4.727924323	4.55880545	4.819070966
TRINITY_DN108137_c0_g1_i2	pet112	Chr01	Chr01	46772336	46772336	0.312620856	0.406531522	0.551053277	0.999859762	0.194170392	0.439677776	0.021714766	0.529546198
TRINITY_DN108499_c0_g1_i1	ywhah	Chr01	Chr01	143706404	143706404	0.667474334	0.007875029	0.989985656	0.999859762	0.823927035	0.476915709	0.662827522	0.707437398
TRINITY_DN109059_c0_g2_i1	caps	Chr01	Chr01	82777390	82777390	0.413677591	2.985698048	0.000899885	0.126999629	0.413498398	0.439677776	-1.836066183	1.257375835
TRINITY_DN109213_c0_g1_i1	eri1	Chr01	Chr01	79076927	79076927	7.995715692	0.496714194	0.461717989	0.999859762	8.849571192	7.913221601	7.608390515	6.950690246
TRINITY_DN109423_c0_g1_i2	mrps18c	Chr01	Chr01	121827523	121827523	4.827337553	0.058560569	0.890789637	0.999859762	4.438415871	5.195453585	4.783713529	4.78775366
TRINITY_DN109619_c0_g1_i1	ndufs4-like	Chr01	Chr01	179478784	179478784	4.326270641	0.08797542	0.826051231	0.999859762	4.479489313	4.399826468	4.259897567	4.145369836
TRINITY_DN109631_c0_g1_i1	pou4f2	Chr01	Chr01	48700122	48700122	1.536312818	-0.339492685	0.542532771	0.999859762	1.058866418	1.829870388	1.774369498	1.302392466
TRINITY_DN109931_c0_g5_i1	fbxw8	Chr01	Chr01	156166963	156166963	0.762000164	0.918212494	0.191802069	0.999859762	0.271044666	1.18799433	0.068434378	1.138276534
TRINITY_DN109948_c0_g1_i1	cabp7	Chr01	Chr01	132254155	132254155	0.644433576	-0.113286227	0.855934939	0.999859762	0.413498398	0.649922238	0.722473006	0.740527205
TRINITY_DN110125_c0_g2_i1	dcp2	Chr01	Chr01	134706641	134706641	2.138274417	-0.068377494	0.896287474	0.999859762	2.137521892	1.694157191	2.188058692	2.438671093
TRINITY_DN110132_c0_g2_i1	ocel1	Chr01	Chr01	99481568	99481568	6.003725656	0.086563307	0.840090945	0.999859762	6.087825381	6.03520772	5.938408446	5.948524111
TRINITY_DN110172_c1_g1_i1	prmt5	Chr01	Chr01	127965063	127965063	2.90122965	-0.050873655	0.908537497	0.999859762	3.050013669	2.700115447	2.93815524	2.900571631
TRINITY_DN110298_c0_g2_i1	ccdc109b	Chr01	Chr01	58289293	58289293	5.431574271	0.258274582	0.551295711	0.999859762	5.732738347	5.209349212	5.234024542	5.48857287
TRINITY_DN110307_c0_g1_i3	gprin3	Chr01	Chr01	69220445	69220445	4.731057942	0.08727463	0.822437268	0.999859762	4.830067133	4.617625678	4.66522641	4.801538705
TRINITY_DN110309_c0_g1_i1	mlana-like	Chr01	Chr01	114661493	114661493	3.226820033	0.276674676	0.542293698	0.999859762	2.838976855	3.478232161	3.017685431	3.45819112
TRINITY_DN110449_c0_g3_i1	LOC100145599	Chr01	Chr01	178928228	178928228	5.116736659	0.046838023	0.908894819	0.999859762	5.175762417	4.860637987	5.081506546	5.312716475
TRINITY_DN110622_c0_g2_i1	rbm23	Chr01	Chr01	127947997	127947997	3.397765102	0.144916185	0.74322154	0.999859762	3.698033649	3.166875901	3.288256796	3.392047836
TRINITY_DN110846_c0_g1_i1	slc44a1-like	Chr01	Chr01	107969922	107969922	3.604855668	0.696614798	0.106589713	0.999859762	3.739203101	3.683308288	3.058760111	3.825063348
TRINITY_DN111029_c0_g1_i3	ermp1	Chr01	Chr01	114677820	114677820	0.784628097	-0.596531394	0.476061735	0.999859762	-0.784559042	1.596026645	1.170846639	-0.1923202
TRINITY_DN111042_c0_g1_i1	LOC101733849	Chr01	Chr01	100561777	100561777	0.555115279	-1.188038179	0.074873852	0.999859762	-0.267096749	-0.278678566	1.293908638	0.740527205
TRINITY_DN111055_c1_g1_i2	mbd3	Chr01	Chr01	79746190	79746190	0.109025149	0.060765939	0.935637666	0.999859762	0.271044666	0.548626498	0.068434378	-0.713117304
TRINITY_DN111140_c0_g1_i1	vps37a	Chr01	Chr01	33086111	33086111	1.514283796	0.245259704	0.666957068	0.999859762	1.18341634	1.544339261	1.332702194	1.879196788
TRINITY_DN111143_c0_g1_i2	LOC100487964	Chr01	Chr01	80157397	80157397	3.744652743	0.587362952	0.296702546	0.999859762	4.577330959	3.328392744	3.288256796	3.344412571
TRINITY_DN111209_c0_g1_i1	shc2	Chr01	Chr01	86442298	86442298	1.968681098	0.013119685	0.978966445	0.999859762	1.867372148	2.055866989	1.959274402	1.979622366
TRINITY_DN111220_c0_g1_i1	ebi3	Chr01	Chr01	75192396	75192396	4.251916706	0.349546861	0.39692949	0.999859762	4.499595688	4.270599067	3.983406097	4.211767676
TRINITY_DN111237_c0_g1_i2	anxa3	Chr01	Chr01	90853582	90853582	4.833858868	-1.092427984	0.016201819	0.833561487	5.055961712	3.901002202	5.563519689	4.217655019
TRINITY_DN111272_c1_g1_i1	mrpl54	Chr01	Chr01	74389900	74389900	4.264195452	0.476428606	0.253820446	0.999859762	4.163896166	4.348009241	3.895444608	4.565724386
TRINITY_DN111385_c0_g4_i1	plgrkt	Chr01	Chr01	114840949	114840949	2.348765387	-0.597820097	0.209639958	0.999859762	1.963153918	2.272544272	2.764595504	2.256217451
TRINITY_DN111898_c0_g1_i2	LOC100490372	Chr01	Chr01	15500329	15500329	3.303285537	-0.598085521	0.183676698	0.999859762	2.561404497	3.302697997	3.723648776	3.376343527
