gid	gname	chr	start	end	logCPM	logFC.XY46.SR46	PV.XY46.SR46	FDR.XY46.SR46	Am2_463	Am4_461	Am5_461	Am6_462	average	ward.D
TRINITY_DN100376_c0_g3_i1	lmx1b.1	Chr08	9183575	9183575	0.824893063416704	8.83612900595468	1.13624445133196e-07	6.33740342730401e-05	0.603840885555521	1.94064074011743	-3.65094566624525	0.707437398120666	1	1
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	4.08623953936796	2.19923308945649	0.000153729897287017	0.0322451744386384	3.86232412343497	5.02050105376137	2.21944957975113	4.02295264541309	1	1
TRINITY_DN101325_c0_g2_i1	NA	NA	NA	NA	1.81486748351475	9.88743398533624	5.74807082200804e-08	3.61701041135639e-05	3.34492130262775	1.23222187617181	-3.65094566624525	0.981025435267681	1	1
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	2.42000613075773	10.4535330448229	9.65878957152216e-05	0.0217464545756629	-3.65094566624525	3.16116778279163	-3.65094566624525	3.59564884945758	1	1
TRINITY_DN103720_c0_g1_i2	irf2bpl	Chr08	61460014	61460014	2.933106354397	-1.98571381218707	3.40788159279102e-06	0.00124825107714454	1.71060592467773	2.33471903108384	4.1060432603022	2.26761308980288	2	2
TRINITY_DN104490_c0_g1_i1	NA	NA	NA	NA	0.330109511217205	8.33372094997858	3.6294676882166e-07	0.000178141533073047	0.82392703526697	1.14236793870305	-3.65094566624525	0.0903427302306826	1	1
TRINITY_DN105911_c1_g1_i1	dpysl5	scaffold_1818	4180	4180	3.52275806037902	-1.92757538868282	0.00026351574961633	0.048991969782836	1.47095903272885	3.13228342944118	4.67469440636577	3.11130901645034	2	2
TRINITY_DN105911_c1_g4_i1	NA	NA	NA	NA	4.6308968922841	-1.67041647277878	2.33732051246461e-05	0.00637335363293268	4.075573620864	4.30465459956323	5.66865858094078	3.52143440112543	2	2
TRINITY_DN106825_c0_g1_i1	ficd	Chr01	133833076	133833076	1.51766190130076	-3.21792459333803	2.16777581373873e-09	1.83446159465387e-06	-0.636785046804344	0.362188136231816	3.06453361099884	-0.131183251299233	2	2
TRINITY_DN106855_c0_g1_i1	NA	NA	NA	NA	4.18523497947239	4.07329565334336	7.14568943111468e-05	0.01702547226495	4.33030518654511	5.52260969266642	0.568464254616388	2.38736121164427	1	1
TRINITY_DN107012_c1_g1_i1	NA	NA	NA	NA	0.803560919129278	8.77769367382938	0.00026678254175712	0.0492263936636202	-3.65094566624525	1.94064074011743	-3.65094566624525	1.48920498999172	1	1
TRINITY_DN108182_c0_g5_i1	arpc4	Chr04	128058767	128058767	2.30100866646395	10.3906972959828	1.81019667954476e-05	0.0052885757991319	4.18391505450561	0.0525939370052289	-3.65094566624525	0.189531682106213	1	1
TRINITY_DN111790_c1_g2_i1	NA	NA	NA	NA	1.59353094894382	-3.42446153525917	2.64866068377403e-05	0.00714294305939544	-1.34856003052786	1.02155920611344	3.18603386908524	-1.89414041455522	2	2
TRINITY_DN111958_c0_g1_i1	NA	NA	NA	NA	1.64797608550447	3.56589527902582	4.67764864785719e-06	0.00166368370242121	2.59169161956625	1.72543813106004	-1.27321923679937	1.60153180701765	1	1
TRINITY_DN112291_c0_g1_i1	slitrk1	Chr02	121178556	121178556	3.78389752541534	2.07868653319939	7.9805926134797e-05	0.018831896473789	4.07020587414453	4.44750391742452	2.03179750113999	3.640166089917	1	1
TRINITY_DN112881_c0_g1_i2	NA	NA	NA	NA	2.74025958855319	3.35607909516309	1.97424499593354e-05	0.00569999369943588	3.91117753541816	2.24042232821654	-0.128271352092552	2.67952207895891	1	1
TRINITY_DN112947_c0_g1_i2	NA	NA	NA	NA	2.09243463404951	3.07918967419741	1.46643116242099e-06	0.000580446567047959	2.51474719532615	2.27254427216182	-0.485094132909839	2.56411687394685	1	1
