gid	gname	chr	start	end	logCPM	logFC.XY46.SR46	PV.XY46.SR46	FDR.XY46.SR46
TRINITY_DN125283_c5_g3_i3	LOC100492997-like	Chr02	146585783	146585783	5.55327901149486	2.43921500340192	9.15098223895788e-05	0.0209882481426416
TRINITY_DN116959_c0_g6_i1	wif1	Chr03	48342839	48342839	5.08420168355943	13.1493715448286	1.76423855497836e-05	0.0052885757991319
TRINITY_DN126089_c1_g1_i2	uggt1-like	Chr05	129409251	129409251	1.20459215985955	-3.2403533371019	6.43919425465268e-08	3.95060665508579e-05
TRINITY_DN123957_c6_g2_i1	rrn3	Chr09	28434670	28434670	3.42182338761274	3.3229363238679	2.50764891377893e-07	0.000128208774985518
TRINITY_DN105911_c1_g1_i1	dpysl5	scaffold_1818	4180	4180	3.52275806037902	-1.92757538868282	0.00026351574961633	0.048991969782836
TRINITY_DN63832_c0_g1_i1	Xetrov90028445m	scaffold_384	7659	7659	0.535297493092942	8.59563708723996	5.32597710566491e-06	0.00181534450208503
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.46796849359342	10.521659535267	4.44214999318878e-17	1.36268503728557e-13
TRINITY_DN127748_c1_g2_i1	NA	NA	NA	NA	0.860108286311095	8.89391034143934	3.13866539334304e-06	0.00118501519104664
TRINITY_DN119281_c1_g1_i1	NA	NA	NA	NA	1.22792214713155	3.63234442891713	1.79306960915213e-05	0.0052885757991319
TRINITY_DN134877_c3_g1_i4	NA	NA	NA	NA	4.16677157294325	1.88773154399322	0.000167830666573014	0.0334856291737264
TRINITY_DN134963_c2_g10_i1	NA	NA	NA	NA	0.677270149721147	8.6906613957867	1.01482051952123e-08	7.54688193017289e-06
TRINITY_DN134053_c4_g1_i1	NA	NA	NA	NA	4.26790300835811	-1.46474359994424	0.000160613004334198	0.0328466978280462
TRINITY_DN123443_c0_g2_i1	NA	NA	NA	NA	1.91303177558084	2.7381778702486	1.60308162587565e-05	0.00491765327257678
TRINITY_DN126739_c1_g1_i1	NA	NA	NA	NA	3.34139533064624	11.400562515712	4.89579250180089e-08	3.16178009964989e-05
TRINITY_DN131144_c0_g1_i1	NA	NA	NA	NA	2.37153576469331	4.6306301379176	1.67729279149732e-10	1.71510176650566e-07
TRINITY_DN126588_c4_g7_i1	NA	NA	NA	NA	0.103273479053822	8.12588810326467	6.97614707709148e-06	0.00228268833891869
TRINITY_DN67991_c0_g1_i1	NA	NA	NA	NA	6.77571498151259	14.8411381697007	4.00305726424455e-30	9.82390283218255e-26
TRINITY_DN113704_c0_g2_i1	NA	NA	NA	NA	0.410683998330207	8.41097714487681	7.82833742124021e-08	4.57417211082515e-05
TRINITY_DN134505_c1_g8_i1	NA	NA	NA	NA	3.00677588253116	-1.91866774158693	2.99185340212331e-05	0.00781096535547959
