gid	logFC.XYtestis.XXovary
TRINITY_DN126270_c1_g1_i1	-2.36446980074228
TRINITY_DN131082_c0_g3_i1	2.3301255881864
TRINITY_DN131269_c13_g15_i1	1.89949459686627
TRINITY_DN122933_c2_g3_i2	3.10965827725185
TRINITY_DN126848_c4_g2_i1	-1.67791443393576
TRINITY_DN128039_c0_g1_i2	2.01255295951796
TRINITY_DN122212_c0_g1_i2	-1.4450763284587
TRINITY_DN131083_c3_g5_i5	1.55968571054457
TRINITY_DN128742_c10_g1_i1	-1.88094344873527
TRINITY_DN134232_c2_g1_i2	1.54830035787212
TRINITY_DN135141_c0_g3_i1	1.40192975406247
TRINITY_DN127407_c0_g1_i4	-1.23978838975104
TRINITY_DN110958_c0_g2_i1	8.2214229237938
TRINITY_DN133766_c0_g1_i3	1.434203113832
TRINITY_DN134704_c1_g4_i2	2.77882243113569
TRINITY_DN130304_c0_g2_i2	2.64313380689854
TRINITY_DN119243_c0_g1_i3	-2.64803742342617
TRINITY_DN106366_c0_g5_i1	-5.06976401889898
TRINITY_DN129802_c0_g3_i1	4.4539146584351
TRINITY_DN122754_c2_g2_i4	-1.26489280980705
TRINITY_DN131253_c3_g2_i6	2.81993033825717
TRINITY_DN132956_c5_g1_i3	-1.52357162441745
TRINITY_DN127481_c0_g2_i1	-5.84289825080959
TRINITY_DN133220_c5_g4_i2	1.5107828124784
TRINITY_DN129065_c4_g8_i1	2.54829136239545
TRINITY_DN131217_c3_g4_i1	1.23467441424631
TRINITY_DN133089_c1_g2_i1	2.18031037680893
TRINITY_DN119032_c0_g1_i2	-1.35368472515142
TRINITY_DN127187_c0_g3_i1	4.49076644786418
TRINITY_DN46401_c0_g1_i1	-1.50314645807904
TRINITY_DN120556_c0_g1_i2	-1.20949952589558
TRINITY_DN132040_c1_g2_i1	3.87740242348452
TRINITY_DN123781_c4_g1_i1	2.69221281368158
TRINITY_DN129294_c9_g2_i1	2.67263099248336
TRINITY_DN107303_c0_g1_i1	1.46804462010028
TRINITY_DN95269_c0_g2_i1	1.38120239601717
TRINITY_DN118376_c0_g1_i1	1.40844172350076
TRINITY_DN117473_c0_g2_i1	1.05888809775949
TRINITY_DN127761_c0_g1_i1	2.25153188515678
TRINITY_DN130106_c0_g1_i4	2.73091273047754
TRINITY_DN136207_c10_g1_i1	-1.07937101153392
TRINITY_DN112067_c0_g1_i2	-2.18286071302383
TRINITY_DN133657_c2_g6_i2	3.16208577440843
TRINITY_DN127691_c3_g2_i2	-1.0073797676943
TRINITY_DN130180_c1_g4_i1	4.40333193823158
TRINITY_DN96721_c0_g1_i1	1.90525511995073
TRINITY_DN129596_c3_g3_i3	-1.13575830162431
TRINITY_DN131468_c1_g2_i1	1.12673397483206
TRINITY_DN126047_c5_g6_i1	-1.43614093577468
TRINITY_DN117282_c0_g1_i1	1.31494399308845
TRINITY_DN125152_c0_g1_i3	-3.73149016104724
TRINITY_DN112226_c0_g2_i2	-6.84650797679798
TRINITY_DN124267_c8_g1_i2	-2.01758484117922
TRINITY_DN116636_c0_g2_i1	1.65748206608139
TRINITY_DN134492_c0_g1_i3	1.27968700527325
TRINITY_DN130385_c1_g1_i2	1.96850055278957
TRINITY_DN167104_c0_g1_i1	-1.52628250012081
TRINITY_DN100586_c0_g1_i1	3.93011232113194
TRINITY_DN141154_c0_g1_i1	-1.69195446918411
TRINITY_DN127209_c2_g4_i3	-1.01699435597581
TRINITY_DN136097_c2_g1_i2	4.69357356443966
TRINITY_DN125832_c2_g1_i3	1.38795748172002
TRINITY_DN130446_c1_g1_i6	5.71781559104509
TRINITY_DN129538_c1_g1_i3	2.24948174288783
TRINITY_DN115718_c0_g2_i4	-1.86735451867582
TRINITY_DN135751_c6_g7_i1	-2.64059958324092
TRINITY_DN120309_c0_g1_i2	-1.43084474797748
TRINITY_DN101193_c0_g1_i1	-2.08926927220524
TRINITY_DN117247_c0_g1_i1	3.15132134676653
TRINITY_DN88001_c0_g3_i1	2.95609986175883
TRINITY_DN119997_c1_g2_i8	-1.08318967684992
TRINITY_DN125974_c13_g1_i1	2.32872320872869
TRINITY_DN123796_c0_g1_i1	-2.69143085266246
TRINITY_DN124155_c0_g1_i1	-4.65424772285648
TRINITY_DN129877_c1_g1_i2	-1.51578776830089
TRINITY_DN118152_c0_g1_i1	7.61799892095432
TRINITY_DN131810_c3_g8_i1	-5.71511969864658
