gid	gname	chr	start	end	logCPM	logFC.M46.SR46	PV.M46.SR46	FDR.M46.SR46
TRINITY_DN115726_c0_g4_i1	fastkd5	Chr01	6365286	6365286	2.14306217229367	-2.47809759274882	0.00025354443643631	0.0477883603953791
TRINITY_DN122900_c0_g1_i1	kit	Chr01	30989876	30989876	3.7497029015651	3.70780302523922	5.11846209551615e-07	0.000237610384834072
TRINITY_DN98773_c0_g2_i1	mknk2	Chr01	83933755	83933755	1.47573548244991	6.56943144786743	7.51808256679654e-09	5.38466553669873e-06
TRINITY_DN126739_c1_g1_i1	kiaa0020	Chr01	115761863	115761863	3.33253233213518	11.4010393733795	5.3787721596584e-08	3.28866001215407e-05
TRINITY_DN104490_c0_g1_i1	cit	Chr01	142829798	142829798	0.322619798574663	8.33379940914156	1.10570054646598e-06	0.000469791547437443
TRINITY_DN101325_c0_g2_i1	pdik1l	Chr02	51099186	51099186	1.81066221840519	9.88823049242675	9.00586965066829e-08	5.01686978673228e-05
TRINITY_DN134963_c2_g10_i1	hoxc5	Chr02	142885834	142885834	0.668357014009547	8.68980212411469	3.49064930073442e-08	2.24368196591822e-05
TRINITY_DN133071_c2_g6_i2	dock5	Chr03	106582469	106582469	3.7051283005331	3.11140877763781	2.28632477543707e-05	0.00622973798594093
TRINITY_DN81405_c0_g1_i1	cds2	Chr03	111271933	111271933	0.130690122140872	8.12513312292695	1.81588615382045e-06	0.000695515950287028
TRINITY_DN128376_c2_g5_i2	LOC101730599	Chr03	112813926	112813926	3.45707233563543	11.5279934517848	1.45147341094749e-07	7.42561948278198e-05
TRINITY_DN123443_c0_g2_i1	lzts1	Chr03	119041962	119041962	1.90378425907643	2.73803495533611	3.53069555128566e-05	0.00912448207006484
TRINITY_DN134404_c1_g17_i1	ctcf	Chr04	43765400	43765400	5.32018077725525	13.3941669213404	1.73196832638076e-26	8.71891660808959e-23
TRINITY_DN124439_c0_g2_i1	csdc2	Chr04	104033084	104033084	6.03798801299283	2.01707398894568	8.48879840510749e-05	0.0188316104795783
TRINITY_DN121083_c0_g1_i2	cdyl	Chr06	50445598	50445598	1.88256305922115	-3.82489126648156	4.40054419237272e-13	6.48899069496466e-10
TRINITY_DN117967_c0_g1_i1	kdsr	Chr06	52530497	52530497	2.69872000118634	10.7474844980058	0.000119185619379642	0.0246921083190815
TRINITY_DN67991_c0_g1_i1	oat.1	Chr07	11393739	11393739	6.76423801928099	14.8393761205089	2.48672009474377e-30	2.0779033111679e-26
TRINITY_DN131071_c0_g1_i1	lipe	Chr07	99514031	99514031	1.170788284848	-2.41140691536246	4.1204873956414e-05	0.0103854438308724
TRINITY_DN144998_c0_g1_i1	LOC100498514	Chr08	37558504	37558504	2.22928745071569	3.68262988324176	1.694628974687e-06	0.000663764986522715
TRINITY_DN132876_c2_g4_i1	mmgt1	Chr08	47592356	47592356	5.85782785389009	1.98578521378854	4.47637940264481e-05	0.0110013606730882
